observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date
3031water_regimewatered,3338323,Kar11,KWS Karlsruhe 2011,127430,https://doi.org/10.15454/TX6MDP,NC290_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,299.8339118083,,4397.0514874167,,70.7153046465,,73.4284590587,
3017water_regimerainfed,3338341,Kar11,KWS Karlsruhe 2011,127416,https://doi.org/10.15454/O8CNHP,A374_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,228.6122474177,,5153.591925504,,72.0521346855,,73.0190481479,
3017water_regimewatered,3338309,Kar11,KWS Karlsruhe 2011,127416,https://doi.org/10.15454/O8CNHP,A374_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,235.4259187589,,5059.8079717978,,72.1186627071,,73.9334713856,
3027water_regimerainfed,3338351,Kar11,KWS Karlsruhe 2011,127426,https://doi.org/10.15454/3UYP74,B97_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,301.8545632355,,3706.7376815685,,73.9877659848,,74.5147330087,
3003water_regimerainfed,3338327,Kar11,KWS Karlsruhe 2011,127402,https://doi.org/10.15454/5GN11W,Oh43_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,287.3961186266,,3957.563187389,,73.5651462658,,73.9866978594,
3003water_regimewatered,3338295,Kar11,KWS Karlsruhe 2011,127402,https://doi.org/10.15454/5GN11W,Oh43_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,292.4311161155,,4629.2398646691,,71.5295724203,,71.5422200297,
3011water_regimerainfed,3338335,Kar11,KWS Karlsruhe 2011,127410,https://doi.org/10.15454/ZJPT9Q,F912_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,293.4988986233,,4026.7944777909,,72.363537464,,73.2839794615,
3011water_regimewatered,3338303,Kar11,KWS Karlsruhe 2011,127410,https://doi.org/10.15454/ZJPT9Q,F912_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,285.6936223035,,4333.4467140656,,69.2074574864,,69.5581771233,
3027water_regimewatered,3338319,Kar11,KWS Karlsruhe 2011,127426,https://doi.org/10.15454/3UYP74,B97_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,287.927740597,,3780.1068195985,,74.6646861264,,75.3155699945,
3025water_regimerainfed,3338349,Kar11,KWS Karlsruhe 2011,127424,https://doi.org/10.15454/EYCTRV,Oh02_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,286.9406687818,,4175.4600181392,,74.8841422878,,77.9685527191,
3004water_regimerainfed,3338328,Kar11,KWS Karlsruhe 2011,127403,https://doi.org/10.15454/EW2AP2,W64A_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,277.3092312644,,4128.6886192778,,71.3769985074,,73.7253604335,
3004water_regimewatered,3338296,Kar11,KWS Karlsruhe 2011,127403,https://doi.org/10.15454/EW2AP2,W64A_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,282.4299617266,,4185.0664453834,,70.5555159699,,72.3218416901,
3022water_regimerainfed,3338346,Kar11,KWS Karlsruhe 2011,127421,https://doi.org/10.15454/RFTVJ3,F1808_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,308.4181712151,,3552.862694859,,71.5369643411,,73.2913703585,
3022water_regimewatered,3338314,Kar11,KWS Karlsruhe 2011,127421,https://doi.org/10.15454/RFTVJ3,F1808_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,318.9135817231,,4056.8044359016,,69.9232822614,,69.9390302795,
3018water_regimerainfed,3338342,Kar11,KWS Karlsruhe 2011,127417,https://doi.org/10.15454/TPZTSA,FR19_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,276.9556611652,,3648.9867944763,,73.4563478451,,75.1539377616,
3012water_regimerainfed,3338336,Kar11,KWS Karlsruhe 2011,127411,https://doi.org/10.15454/KIHXDG,B105_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,288.3609925266,,4328.3704471222,,71.9758282649,,73.6217805845,
3012water_regimewatered,3338304,Kar11,KWS Karlsruhe 2011,127411,https://doi.org/10.15454/KIHXDG,B105_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,321.3801003559,,4269.3664643469,,70.9662133857,,71.4207216806,
3005water_regimerainfed,3338329,Kar11,KWS Karlsruhe 2011,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,273.3610407266,,3558.3513440203,,73.9309161967,,73.8532544837,
3005water_regimewatered,3338297,Kar11,KWS Karlsruhe 2011,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,265.7123735508,,4023.072433029,,71.6285639629,,72.7014968019,
3018water_regimewatered,3338310,Kar11,KWS Karlsruhe 2011,127417,https://doi.org/10.15454/TPZTSA,FR19_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,272.8182482667,,3804.1678739997,,69.7536165834,,71.6179974423,
3025water_regimewatered,3338317,Kar11,KWS Karlsruhe 2011,127424,https://doi.org/10.15454/EYCTRV,Oh02_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,299.4844118645,,4182.7736105213,,74.1556402719,,75.7384481923,
3032water_regimewatered,3338324,Kar11,KWS Karlsruhe 2011,127431,https://doi.org/10.15454/YK08AN,UH_P089_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,284.6178767785,,3877.3449175847,,69.7645367993,,71.1807727567,
3030water_regimerainfed,3338354,Kar11,KWS Karlsruhe 2011,127429,https://doi.org/10.15454/LFK19C,B89_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,279.3994684679,,3624.5188797536,,70.5740687836,,72.0572179613,
3029water_regimerainfed,3338353,Kar11,KWS Karlsruhe 2011,127428,https://doi.org/10.15454/4W8MAU,B104_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,309.5641054792,,3657.7247349223,,75.2945192273,,78.0858725382,
3006water_regimerainfed,3338330,Kar11,KWS Karlsruhe 2011,127405,https://doi.org/10.15454/FLE1RA,EZ47_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,275.1347813526,,3887.4439103788,,72.7486445921,,74.4100670791,
3006water_regimewatered,3338298,Kar11,KWS Karlsruhe 2011,127405,https://doi.org/10.15454/FLE1RA,EZ47_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,273.4094957568,,4403.5391399931,,70.6178265166,,72.5964717343,
3013water_regimerainfed,3338337,Kar11,KWS Karlsruhe 2011,127412,https://doi.org/10.15454/CNJTVT,A347_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,316.1247826982,,3232.3872838999,,74.8733657652,,75.0681093563,
3013water_regimewatered,3338305,Kar11,KWS Karlsruhe 2011,127412,https://doi.org/10.15454/CNJTVT,A347_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,298.0454395845,,3610.9847962752,,73.2089804132,,74.2143127801,
3029water_regimewatered,3338321,Kar11,KWS Karlsruhe 2011,127428,https://doi.org/10.15454/4W8MAU,B104_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,331.3709985291,,3950.5128004588,,72.5121156593,,75.039228094,
3019water_regimerainfed,3338343,Kar11,KWS Karlsruhe 2011,127418,https://doi.org/10.15454/PJSPJG,B100_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,287.3642812016,,4125.5748891499,,72.3533248146,,73.6048224374,
3019water_regimewatered,3338311,Kar11,KWS Karlsruhe 2011,127418,https://doi.org/10.15454/PJSPJG,B100_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,298.9791485883,,4697.0279577435,,70.9453471549,,72.865169871,
3023water_regimerainfed,3338347,Kar11,KWS Karlsruhe 2011,127422,https://doi.org/10.15454/KUZQQB,Pa405_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,235.9488047066,,4172.533299062,,70.9936997075,,75.028450203,
3023water_regimewatered,3338315,Kar11,KWS Karlsruhe 2011,127422,https://doi.org/10.15454/KUZQQB,Pa405_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,255.6067867521,,4346.5598314074,,70.2464364706,,74.5530813531,
3014water_regimerainfed,3338338,Kar11,KWS Karlsruhe 2011,127413,https://doi.org/10.15454/JBBAWF,EP52_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,312.0073348989,,4098.7844382688,,75.2645172893,,75.9064325904,
3014water_regimewatered,3338306,Kar11,KWS Karlsruhe 2011,127413,https://doi.org/10.15454/JBBAWF,EP52_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,311.2295436649,,4150.6045725817,,72.205756286,,72.826346061,
3030water_regimewatered,3338322,Kar11,KWS Karlsruhe 2011,127429,https://doi.org/10.15454/LFK19C,B89_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,302.6344224028,,3802.1367677939,,68.9059123051,,71.4037495225,
3007water_regimerainfed,3338331,Kar11,KWS Karlsruhe 2011,127406,https://doi.org/10.15454/NPJBWJ,MS153_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,324.3790619222,,3407.8789594029,,71.281450643,,71.4564111913,
3007water_regimewatered,3338299,Kar11,KWS Karlsruhe 2011,127406,https://doi.org/10.15454/NPJBWJ,MS153_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,323.2179276688,,3881.5748677151,,70.1108680373,,71.5609973786,
3026water_regimerainfed,3338350,Kar11,KWS Karlsruhe 2011,127425,https://doi.org/10.15454/ZEQFBU,UH250_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,290.7353748563,,3266.2014066412,,69.7801224818,,69.554723684,
3026water_regimewatered,3338318,Kar11,KWS Karlsruhe 2011,127425,https://doi.org/10.15454/ZEQFBU,UH250_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,294.8294669928,,3296.2699212284,,67.8805175705,,68.494570133,
3020water_regimerainfed,3338344,Kar11,KWS Karlsruhe 2011,127419,https://doi.org/10.15454/F8P1TS,EZ11A_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,273.6998731228,,4924.3686646588,,75.0837102756,,77.0221515862,
3015water_regimerainfed,3338339,Kar11,KWS Karlsruhe 2011,127414,https://doi.org/10.15454/X2ENCA,F7028_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,221.1378028986,,4171.1770603737,,72.6864073249,,74.7534689962,
3015water_regimewatered,3338307,Kar11,KWS Karlsruhe 2011,127414,https://doi.org/10.15454/X2ENCA,F7028_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,238.465068314,,4207.7785791837,,70.547947931,,72.6262043636,
3008water_regimerainfed,3338332,Kar11,KWS Karlsruhe 2011,127407,https://doi.org/10.15454/GAHOFA,A310_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,310.3716846103,,3418.0187641352,,71.723346214,,72.4014508283,
3008water_regimewatered,3338300,Kar11,KWS Karlsruhe 2011,127407,https://doi.org/10.15454/GAHOFA,A310_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,305.9541567666,,3095.5567440784,,69.60078229,,71.257167096,
3020water_regimewatered,3338312,Kar11,KWS Karlsruhe 2011,127419,https://doi.org/10.15454/F8P1TS,EZ11A_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,287.4228461297,,4929.1623922289,,72.2428176259,,72.7574868508,
3028water_regimerainfed,3338352,Kar11,KWS Karlsruhe 2011,127427,https://doi.org/10.15454/KSZLK9,F838_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,246.9231414447,,4137.2846385709,,74.6480447817,,74.5431390755,
3028water_regimewatered,3338320,Kar11,KWS Karlsruhe 2011,127427,https://doi.org/10.15454/KSZLK9,F838_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,220.1634093697,,4714.4345052149,,72.1193888108,,72.5050125453,
3024water_regimerainfed,3338348,Kar11,KWS Karlsruhe 2011,127423,https://doi.org/10.15454/M33T8W,LH38_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,303.9650615813,,3488.1072340416,,75.061309894,,75.5179445382,
