observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF08083itkt,2841612,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61256,https://doi.org/10.15454/STVND6,CF08083,VIRTUAL_TRIAL,,,,,,,,treated,2009,151,,"73,9",,100,,"98,2",
RE08040itkt,2841618,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61548,https://doi.org/10.15454/KUNSYC,RE08040,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"78,2",,96,,"94,2",
EM08169itkt,2841595,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61911,https://doi.org/10.15454/OAFF6Z,EM08169,VIRTUAL_TRIAL,,,,,,,,treated,2009,147,,"73,3",,"95,7",,94,
AO09017itkt,2841611,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,27899,https://doi.org/10.15454/A4HIHD,AO09017,VIRTUAL_TRIAL,,,,,,,,treated,2009,149,,"75,5",,"103,7",,"101,8",
AO09020itkt,2841594,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,48447,gnpis_pui:holding-921_taxon-4898_accession-48447,AO09020,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"72,4",,"94,5",,"92,8",
RE08048itkt,2841616,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61706,https://doi.org/10.15454/KJ26GM,RE08048,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"75,5",,84,,"82,4",
DI09009itkt,2841604,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61585,https://doi.org/10.15454/L2HZDZ,DI09009,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"81,5",,"98,8",,97,
EM08221itkt,2841597,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,treated,2009,149,,"62,8",,"90,7",,89,
DI09011itkt,2841625,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61617,https://doi.org/10.15454/HODBAP,DI09011,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"78,8",,"93,7",,92,
CF08106itkt,2841629,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,27311,https://doi.org/10.15454/4DNWV7,CF08106,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"78,7",,"99,4",,"97,6",
Apacheitkt,2841606,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"78,5",,"100,4",,"98,5",
DI09012itkt,2841626,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61632,https://doi.org/10.15454/B2ALXB,DI09012,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"79,4",,"95,9",,"94,2",
EM08146itkt,2841600,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,75856,https://doi.org/10.15454/C6KLT2,EM08146,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"74,2",,"97,4",,"95,6",
DI09010itkt,2841624,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61602,https://doi.org/10.15454/VNDARA,DI09010,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,"80,3",,"98,1",,"96,3",
Koreliitkt,2841603,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2009,148,,"81,8",,"105,4",,"103,5",
EM08223itkt,2841599,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"66,9",,"86,7",,"85,2",
Sankaraitkt,2841608,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"71,6",,96,,"94,3",
DI09015itkt,2841619,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,treated,2009,149,,"72,5",,"102,7",,"100,9",
DI09014itkt,2841628,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61663,https://doi.org/10.15454/WSZFOK,DI09014,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,"76,7",,92,,"90,3",
RE08028itkt,2841621,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61041,https://doi.org/10.15454/CPPPMU,RE08028,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"78,7",,"82,6",,"81,1",
EM08227itkt,2841596,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,49083,https://doi.org/10.15454/APNWRY,EM08227,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"67,9",,"88,4",,"86,8",
RE08027itkt,2841617,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61805,https://doi.org/10.15454/5B16XD,RE08027,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,"80,5",,"92,3",,"90,6",
RE08030itkt,2841607,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,treated,2009,148,,"78,8",,"90,6",,"88,9",
AO09018itkt,2841614,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,27900,https://doi.org/10.15454/3DI7SO,AO09018,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"75,5",,"106,7",,"104,8",
EM08229itkt,2841601,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61958,https://doi.org/10.15454/0CU5YP,EM08229,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"66,1",,"87,2",,"85,6",
DI09016itkt,2841630,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,treated,2009,149,,"75,5",,106,,"104,1",
CF08088itkt,2841610,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61288,https://doi.org/10.15454/SGFBVV,CF08088,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"80,3",,"106,9",,105,
Toisondoritkt,2841593,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"74,8",,95,,"93,3",
