observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI00004itkfiRep0,2770466,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"107,1",,2,,"81,3",,6,,,
EM00004itktRep0,2770444,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,147,,"90,4",,1,,"98,5",,,,,
DI00016itkntRep0,2770509,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,3,,,,"77,5",,1,,"69,5",,9,,3,
OrnicaritktRep0,2770453,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25609,https://doi.org/10.15454/ZUZBM9,ORNICAR,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,144,,"96,4",,1,,"105,1",,,,,
DI00016itkfiRep0,2770508,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"72,8",,1,,"55,3",,9,,,
OrnicaritkfiRep0,2770451,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25609,https://doi.org/10.15454/ZUZBM9,ORNICAR,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"111,9",,1,,"84,9",,2,,,
EM00015itkntRep0,2770497,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,6,,,,"102,7",,3,,"92,1",,1,,3,
RE00014itktRep0,2770516,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26870,https://doi.org/10.15454/SUO7RH,RE00014,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,147,,"91,6",,1,,"99,9",,,,,
DI00010itktRep0,2770507,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,145,,"103,5",,1,,"112,9",,,,,
DI00010itkntRep0,2770506,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,6,,,,"111,5",,2,,"99,9",,3,,3,
CF00193itktRep0,2770435,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,,,144,,"74,7",,3,,"81,4",,,,,
CF00193itkntRep0,2770434,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,6,,,,"80,1",,3,,"71,8",,4,,4,
CF00193itkfiRep0,2770433,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,6,,,,"84,4",,3,,"64,1",,3,,,
RE00014itkntRep0,2770515,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26870,https://doi.org/10.15454/SUO7RH,RE00014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"106,9",,1,,"95,8",,2,,3,
CF00189itkntRep0,2770458,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"105,4",,2,,"94,5",,1,,4,
EM00302itkntRep0,2770479,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"99,7",,3,,"89,4",,4,,4,
CF00189itktRep0,2770459,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,146,,"96,6",,1,,"105,3",,,,,
EM00302itkfiRep0,2770478,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,113,,2,,"85,7",,4,,,
DI00010itkfiRep0,2770505,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,6,,,,"116,4",,2,,"88,3",,1,,,
CF00189itkfiRep0,2770457,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"114,8",,3,,"87,1",,1,,,
RE00014itkfiRep0,2770514,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26870,https://doi.org/10.15454/SUO7RH,RE00014,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,110,,4,,"83,5",,6,,,
EM00015itkfiRep0,2770496,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"103,9",,4,,"78,8",,1,,,
EM00002itkntRep0,2770440,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"107,3",,1,,"96,2",,1,,4,
CF00191itkfiRep0,2770502,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"113,6",,1,,"86,2",,4,,,
CF00191itktRep0,2770504,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,143,,"100,8",,1,,"109,9",,,,,
OratorioitkntRep0,2770461,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"108,4",,3,,"97,2",,1,,4,
DI00005itktRep0,2770471,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,143,,"92,4",,1,,"100,7",,,,,
EM00302itktRep0,2770480,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,148,,"95,7",,1,,"104,3",,,,,
EM00002itktRep0,2770441,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,141,,"102,4",,1,,"111,7",,,,,
EM00015itktRep0,2770498,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,treated,2001,100,,,,149,,"91,3",,1,,"99,6",,,,,
CF00191itkntRep0,2770503,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"106,9",,1,,"95,8",,4,,4,
EM00301itkntRep0,2770485,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"105,8",,3,,"94,8",,1,,3,
EM00006itkfiRep0,2770436,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"96,4",,3,,"73,1",,1,,,
EM00002itkfiRep0,2770439,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"107,6",,4,,"81,6",,1,,,
DI00024itkntRep0,2770446,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,113,,3,,"101,4",,1,,3,
DI00024itkfiRep0,2770445,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,112,,1,,85,,1,,,
ChargeritktRep0,2770483,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,,,147,,"101,8",,1,,111,,,,,
ChargeritkntRep0,2770482,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"105,7",,4,,"94,8",,1,,3,
ChargeritkfiRep0,2770481,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"106,3",,7,,"80,7",,1,,,
RE00010itktRep0,2770465,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26869,https://doi.org/10.15454/46HA0A,RE00010,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,149,,"91,9",,1,,"100,2",,,,,
EM00006itktRep0,2770438,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,143,,"84,7",,1,,"92,3",,,,,
TremieitktRep0,2770495,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,141,,"99,7",,1,,"108,7",,,,,
EM00301itkfiRep0,2770484,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"104,1",,4,,79,,1,,,
DI00024itktRep0,2770447,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,144,,"98,5",,1,,"107,4",,,,,
RE00010itkntRep0,2770464,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26869,https://doi.org/10.15454/46HA0A,RE00010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,3,,,,"102,2",,4,,"91,7",,1,,3,
RE00010itkfiRep0,2770463,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26869,https://doi.org/10.15454/46HA0A,RE00010,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"103,1",,6,,"78,2",,3,,,
TremieitkntRep0,2770494,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,99,,6,,"88,8",,4,,6,
RE00008itkfiRep0,2770472,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,2,,,,"119,4",,3,,"90,6",,1,,,
TremieitkfiRep0,2770493,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"96,2",,6,,73,,6,,,
RE00009itktRep0,2770477,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,144,,"97,5",,1,,"106,3",,,,,
SoissonsitkntRep0,2770512,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,2,,,,"91,1",,8,,"81,7",,3,,6,
EM00006itkntRep0,2770437,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"94,1",,1,,"84,3",,1,,4,
DI00008itktRep0,2770456,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,144,,"96,4",,1,,"105,1",,,,,
SoissonsitkfiRep0,2770511,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"91,7",,8,,"69,6",,3,,,
SoissonsitktRep0,2770513,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,,,137,,92,,4,,"100,3",,,,,
EM00019itktRep0,2770492,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,treated,2001,87,,,,148,,"92,7",,1,,"101,1",,,,,
DI00008itkntRep0,2770455,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"108,4",,1,,"97,2",,1,,4,
DI00008itkfiRep0,2770454,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"115,2",,2,,"87,4",,1,,,
EM00019itkfiRep0,2770490,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"97,6",,1,,"74,1",,6,,,
RE00009itkntRep0,2770476,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,6,,,,"105,3",,2,,"94,4",,3,,4,
RE00008itktRep0,2770474,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,treated,2001,82,,,,147,,"96,2",,1,,"104,8",,,,,
IsengrainitkfiRep0,2770499,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"105,8",,7,,"80,3",,4,,,
EM00018itktRep0,2770489,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,147,,"95,5",,1,,"104,1",,,,,
EM00018itkntRep0,2770488,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"107,7",,2,,"96,6",,3,,4,
EM00018itkfiRep0,2770487,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"115,6",,1,,"87,7",,3,,,
EM00019itkntRep0,2770491,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"92,7",,2,,"83,1",,6,,3,
RE00008itkntRep0,2770473,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"107,1",,2,,96,,1,,6,
OratorioitktRep0,2770462,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,141,,"98,4",,2,,"107,3",,,,,
EM00020itktRep0,2770450,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26863,https://doi.org/10.15454/CM80JS,EM00020,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,148,,"88,9",,1,,"96,9",,,,,
EM00020itkfiRep0,2770448,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26863,https://doi.org/10.15454/CM80JS,EM00020,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"114,1",,2,,"86,6",,1,,,
IsengrainitktRep0,2770501,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,,,141,,"106,5",,4,,"116,1",,,,,
EM00301itktRep0,2770486,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,treated,2001,100,,,,148,,"89,9",,1,,"98,1",,,,,
EM00020itkntRep0,2770449,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26863,https://doi.org/10.15454/CM80JS,EM00020,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"106,6",,2,,"95,6",,3,,3,
