observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO13042itkfi,2879431,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,150,,"77,5",,"103,6",,2,,"84,1",,1,
AO13043itkfi,2879415,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61286,https://doi.org/10.15454/F0IUDT,AO13043,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,153,,"77,4",,"92,2",,"1,5",,"74,9",,1,
EM12273itkfi,2879438,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,62019,https://doi.org/10.15454/HJW1L8,EM12273,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,142,,"79,7",,"91,5",,1,,"74,3",,1,
AO13046itkfi,2879446,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61333,https://doi.org/10.15454/JD3ICY,AO13046,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,150,,"74,5",,"104,9",,"1,5",,"85,2",,1,
EM12359itkfi,2879436,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,145,,"77,8",,"94,9",,2,,77,,1,
AO13030itkfi,2879422,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,141,,"76,3",,"108,2",,1,,"87,8",,1,
EM12252itkfi,2879440,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,62002,https://doi.org/10.15454/XMLVLJ,EM12252,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,148,,"78,8",,"91,9",,1,,"74,6",,1,
RE12071itkfi,2879437,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61543,https://doi.org/10.15454/8TKSMS,RE12071,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,150,,"77,9",,"98,5",,1,,80,,1,
AO13028itkfi,2879419,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61053,https://doi.org/10.15454/MLAKF0,AO13028,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,142,,"78,1",,"92,7",,3,,"75,3",,1,
CF12376itkfi,2879449,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,144,,"77,6",,"106,2",,3,,"86,2",,"2,5",
RE12068itkfi,2879416,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,49026,https://doi.org/10.15454/MZDFOJ,RE12068,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,108,,152,,"77,9",,"102,6",,1,,"83,3",,"1,5",
RE12080itkfi,2879441,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,145,,"78,8",,"118,9",,1,,"96,6",,1,
Apacheitkfi,2879434,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,144,,"77,2",,"98,8",,1,,"80,2",,1,
AO13027itkfi,2879421,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,141,,"77,8",,"96,5",,1,,"78,3",,2,
RE12095itkfi,2879448,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61619,https://doi.org/10.15454/JV6VFM,RE12095,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,144,,"80,6",,"85,7",,"2,5",,"69,6",,1,
CF12307itkfi,2879427,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61676,https://doi.org/10.15454/KFG2VK,CF12307,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,141,,"77,8",,97,,1,,"78,7",,1,
CF12278itkfi,2879444,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61646,https://doi.org/10.15454/XUD1JH,CF12278,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,149,,"79,3",,"93,6",,1,,76,,1,
DI13006itkfi,2879424,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,148,,"78,9",,"113,4",,3,,92,,1,
Solehioitkfi,2879435,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,27088,https://doi.org/10.15454/E4TDMS,SOLEHIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,139,,"78,7",,"113,4",,2,,"92,1",,1,
RE12087itkfi,2879425,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61603,https://doi.org/10.15454/P7UTSC,RE12087,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,146,,79,,"98,9",,1,,"80,3",,1,
RE12097itkfi,2879451,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61633,https://doi.org/10.15454/QMBOQP,RE12097,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,147,,"80,1",,"89,7",,1,,"72,8",,5,
Pakitoitkfi,2879430,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,144,,"77,2",,"101,9",,1,,"82,8",,1,
CF12300itkfi,2879432,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61661,https://doi.org/10.15454/6WYD8D,CF12300,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,134,,"80,5",,"102,8",,1,,"83,5",,1,
AO13045itkfi,2879428,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,148,,"76,2",,"96,1",,3,,78,,1,
DI13005itkfi,2879423,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,152,,"77,2",,"106,2",,1,,"86,3",,1,
AO13047itkfi,2879426,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,149,,"80,5",,"114,5",,2,,93,,1,
CF12340itkfi,2879417,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61689,https://doi.org/10.15454/1WJFDJ,CF12340,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,150,,"76,6",,"97,8",,1,,"79,4",,1,
RE12073itkfi,2879439,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,145,,"77,8",,"110,1",,1,,"89,4",,1,
