observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date
RE04043itkt,2807843,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,treated,2005,"80,5",,"145,5",,"70,7",
DI05011itkt,2807853,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,48754,gnpis_pui:holding-921_taxon-4898_accession-48754,DI05011,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,"145,5",,70,
Orvantisitkt,2807868,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,82,,"142,5",,"77,8",
RE04039itkt,2807861,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49389,gnpis_pui:holding-921_taxon-4898_accession-49389,RE04039,VIRTUAL_TRIAL,,,,,,,,treated,2005,"72,5",,147,,"70,3",
EM04294itkt,2807835,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,48735,gnpis_pui:holding-921_taxon-4898_accession-48735,EM04294,VIRTUAL_TRIAL,,,,,,,,treated,2005,"80,5",,146,,"65,3",
CF04076itkt,2807834,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,treated,2005,84,,144,,74,
EM04241itkt,2807864,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,treated,2005,89,,144,,"77,8",
AO05001itkt,2807867,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,treated,2005,"86,5",,"138,5",,"75,9",
RE04060itkt,2807838,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49071,gnpis_pui:holding-921_taxon-4898_accession-49071,RE04060,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,144,,"73,1",
RE04066itkt,2807836,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49212,gnpis_pui:holding-921_taxon-4898_accession-49212,RE04066,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,144,,"76,7",
CF04012itkt,2807841,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,48480,gnpis_pui:holding-921_taxon-4898_accession-48480,CF04012,VIRTUAL_TRIAL,,,,,,,,treated,2005,92,,"145,5",,"77,5",
Farandoleitkt,2807859,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2005,"81,5",,142,,"73,9",
RE04035itkt,2807866,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49143,gnpis_pui:holding-921_taxon-4898_accession-49143,RE04035,VIRTUAL_TRIAL,,,,,,,,treated,2005,82,,"146,5",,"76,6",
