observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Attlassitknt,2865524,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,95,,152,,,,"109,6",,7,,"75,9",,1,,"2,5",,2,
AO12011itkfi,2865529,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,95,,152,,"9,9",,"92,7",,4,,"61,4",,"4,5",,2,,2,
EM10126itkfi,2865493,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,88,,151,,"10,7",,"109,6",,5,,"72,6",,2,,"3,5",,"5,5",
EM10126itknt,2865494,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,90,,151,,,,"106,4",,7,,"73,7",,1,,"2,5",,7,
EM10126itkt,2865495,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,88,,149,,"11,08",,"94,7",,,,"82,3",,1,,"2,5",,9,
RE10040itkt,2865516,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,153,,"10,94",,"89,8",,,,78,,"1,5",,"1,5",,4,
AO12004itkfi,2865475,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61747,https://doi.org/10.15454/0HGHAW,AO12004,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,82,,154,,"11,33",,"51,3",,"3,5",,34,,8,,1,,1,
AO12004itknt,2865476,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61747,https://doi.org/10.15454/0HGHAW,AO12004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,82,,154,,,,43,,4,,"29,8",,8,,"4,5",,1,
AO12015itkfi,2865538,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,60849,https://doi.org/10.15454/OXSRSV,AO12015,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,92,,152,,"10,58",,"92,9",,"2,5",,"61,6",,5,,3,,1,
AO12011itkt,2865531,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,100,,152,,"11,07",,"104,8",,,,"91,1",,1,,"1,5",,6,
RE10072itknt,2865467,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,98,,152,,,,"91,1",,1,,"63,1",,1,,"3,5",,3,
AO12007itkt,2865486,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49256,https://doi.org/10.15454/W3CJOS,AO12007,VIRTUAL_TRIAL,,,,,,,,treated,2012,3,,80,,150,,"10,59",,"94,2",,,,"81,9",,1,,"1,5",,3,
AO12015itknt,2865539,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,60849,https://doi.org/10.15454/OXSRSV,AO12015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,90,,152,,,,"85,1",,1,,"58,9",,3,,"2,5",,"6,5",
AO12004itkt,2865477,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61747,https://doi.org/10.15454/0HGHAW,AO12004,VIRTUAL_TRIAL,,,,,,,,treated,2012,2,,82,,155,,"11,08",,"53,2",,,,"46,2",,"1,5",,2,,"2,5",
RE10072itkt,2865468,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,100,,152,,"11,98",,"92,9",,,,"80,8",,2,,2,,4,
RE10072itkfi,2865466,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,100,,153,,"11,26",,"99,3",,2,,"65,8",,2,,3,,2,
Croustyitkt,2865519,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,98,,151,,"11,78",,"98,6",,,,"85,7",,2,,2,,1,
AO12015itkt,2865540,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,60849,https://doi.org/10.15454/OXSRSV,AO12015,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,90,,153,,"10,34",,"91,9",,,,"79,9",,1,,"1,5",,"3,5",
CF10185itkt,2865552,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,95,,152,,"12,02",,"94,7",,,,"82,4",,2,,2,,"5,5",
Croustyitkfi,2865517,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,95,,153,,"10,29",,"81,8",,"4,5",,"54,2",,4,,2,,1,
AO12011itknt,2865530,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,100,,152,,,,"84,4",,4,,"58,4",,"6,5",,"2,5",,"5,5",
CF10185itkfi,2865550,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,92,,154,,"11,68",,104,,4,,"68,9",,1,,"2,5",,2,
CF10185itknt,2865551,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,100,,152,,,,"91,8",,5,,"63,6",,1,,"2,5",,4,
AO12024itknt,2865461,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49471,https://doi.org/10.15454/DTWPJI,AO12024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,98,,148,,,,"99,8",,2,,"69,1",,"2,5",,"3,5",,"6,5",
RE10095itkt,2865489,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,98,,150,,"12,25",,96,,,,"83,4",,1,,2,,4,
CF10140itkfi,2865469,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,92,,154,,"12,77",,"96,2",,"1,5",,"63,7",,2,,"3,5",,1,
RE10095itknt,2865488,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,98,,151,,,,"94,7",,7,,"65,6",,1,,"2,5",,5,
Altigoitkfi,2865505,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,85,,149,,"10,64",,"90,1",,4,,"59,6",,3,,2,,1,
CF10140itkt,2865471,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,154,,"12,77",,"92,9",,,,"80,8",,"1,5",,"1,5",,3,
AO12013itknt,2865527,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"2,5",,98,,150,,,,"101,3",,4,,"70,1",,1,,3,,3,
AO12024itkt,2865462,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49471,https://doi.org/10.15454/DTWPJI,AO12024,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,148,,"11,22",,"86,4",,,,"75,1",,2,,2,,"8,5",
CF10140itknt,2865470,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"2,5",,98,,154,,,,"90,4",,1,,"62,6",,1,,"3,5",,2,
RE10095itkfi,2865487,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,95,,151,,"11,97",,"107,9",,3,,"71,4",,1,,"2,5",,2,
Croustyitknt,2865518,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,100,,151,,,,"82,4",,"3,5",,57,,4,,"3,5",,1,
Bermudeitkt,2865465,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2012,2,,85,,151,,"10,69",,"100,4",,,,"87,3",,"1,5",,2,,"2,5",
AO12013itkt,2865528,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,149,,"10,28",,"96,2",,,,"83,6",,"1,5",,2,,2,
AO12005itknt,2865479,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61912,https://doi.org/10.15454/HZ6TJM,AO12005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,90,,151,,,,"79,4",,"4,5",,55,,1,,3,,"5,5",
AO12013itkfi,2865526,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"1,5",,95,,150,,"10,18",,"107,3",,2,,"71,1",,2,,3,,2,
RE10039itknt,2865473,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,112,,150,,,,"123,7",,7,,"85,6",,1,,2,,"5,5",
AO12005itkfi,2865478,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61912,https://doi.org/10.15454/HZ6TJM,AO12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,4,,92,,151,,"10,63",,"89,1",,"5,5",,59,,1,,2,,3,
AO12005itkt,2865480,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61912,https://doi.org/10.15454/HZ6TJM,AO12005,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,90,,150,,"10,97",,90,,,,"78,2",,1,,2,,"4,5",
RE10039itkfi,2865472,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,110,,150,,"11,69",,"117,4",,"1,5",,"77,8",,1,,2,,"4,5",
RE10099itknt,2865500,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,95,,152,,,,"105,2",,1,,"72,8",,1,,"2,5",,"5,5",
RE10039itkt,2865474,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2012,3,,105,,148,,"12,88",,"99,9",,,,"86,9",,1,,2,,5,
CF10042itkfi,2865457,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,100,,152,,"11,61",,"100,3",,"3,5",,"66,4",,3,,1,,2,
DI11012itkt,2865546,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,150,,"9,48",,"98,7",,,,"85,8",,"1,5",,2,,2,
CF10042itkt,2865459,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,100,,150,,"11,57",,"97,4",,,,"84,7",,"1,5",,2,,"2,5",
AO12021itkfi,2865451,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,92,,150,,"11,32",,"110,2",,4,,73,,1,,1,,7,
DI11012itknt,2865545,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,95,,150,,,,"108,8",,4,,"75,4",,4,,"2,5",,2,
CF10042itknt,2865458,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,100,,151,,,,"106,8",,7,,"73,9",,1,,3,,2,
CF10064itknt,2865509,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"2,5",,95,,150,,,,"108,3",,"2,5",,75,,1,,"2,5",,5,
DI11012itkfi,2865544,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,90,,150,,"9,26",,"116,6",,"2,5",,"77,2",,"3,5",,3,,1,
Altigoitkt,2865507,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,147,,"10,68",,"98,8",,,,"85,9",,"1,5",,2,,2,
CF10064itkfi,2865508,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,90,,152,,"11,54",,"110,4",,4,,"73,2",,3,,2,,3,
CF10064itkt,2865510,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,98,,150,,"12,87",,"99,7",,,,"86,7",,"1,5",,"1,5",,"6,5",
EM09227itkt,2865504,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,90,,151,,"11,54",,"92,8",,,,"80,7",,1,,2,,8,
EM09227itknt,2865503,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,90,,151,,,,"85,2",,7,,59,,2,,"3,5",,"7,5",
Premioitkfi,2865436,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,80,,150,,"11,31",,"120,6",,3,,"79,9",,2,,2,,1,
Bermudeitknt,2865464,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,82,,152,,,,"91,2",,"3,5",,"63,2",,1,,3,,2,
Premioitkt,2865438,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,148,,"11,29",,"100,3",,,,"87,2",,2,,2,,"2,5",
Premioitknt,2865437,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,85,,151,,,,"120,1",,2,,"83,2",,1,,3,,1,
AO12021itknt,2865452,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,98,,147,,,,"112,7",,1,,78,,1,,3,,"7,5",
AO12006itkt,2865483,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,88,,152,,"10,98",,"99,7",,,,"86,7",,1,,"1,5",,"1,5",
Apacheitknt,2865491,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,85,,147,,,,"101,3",,7,,"70,1",,2,,4,,1,
DI11013itkt,2865543,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,90,,150,,"9,57",,"102,7",,,,"89,3",,1,,2,,3,
AO12021itkt,2865453,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,150,,"11,66",,"96,4",,,,"83,8",,"1,5",,2,,9,
AO12006itkfi,2865481,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,82,,152,,"11,18",,"100,9",,"3,5",,"66,8",,1,,"1,5",,1,
AO12006itknt,2865482,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,90,,152,,,,107,,"4,5",,"74,1",,1,,"2,5",,3,
Apacheitkt,2865492,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,82,,148,,"12,15",,"100,6",,,,"87,4",,2,,2,,1,
EM09227itkfi,2865502,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,88,,152,,"10,82",,"89,2",,"5,5",,"59,1",,1,,2,,"4,5",
Apacheitkfi,2865490,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,82,,150,,"11,3",,91,,5,,"60,3",,1,,2,,1,
AO12010itkt,2865534,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,60765,https://doi.org/10.15454/FM5TGM,AO12010,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,92,,153,,"12,09",,"81,4",,,,"70,8",,1,,2,,8,
RE10099itkfi,2865499,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,95,,154,,"12,88",,"123,5",,1,,"81,8",,1,,2,,3,
AO12010itkfi,2865532,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,60765,https://doi.org/10.15454/FM5TGM,AO12010,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,92,,153,,"11,9",,"67,6",,"2,5",,"44,8",,"5,5",,2,,"5,5",
AO12010itknt,2865533,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,60765,https://doi.org/10.15454/FM5TGM,AO12010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,95,,153,,,,"76,9",,1,,"53,2",,4,,3,,7,
DI11013itknt,2865542,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,90,,151,,,,"101,1",,4,,70,,4,,"3,5",,2,
DI11013itkfi,2865541,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,90,,152,,"9,35",,"103,5",,4,,"68,6",,4,,1,,1,
