observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08012itkfi,2833915,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49381,gnpis_pui:holding-921_taxon-4898_accession-49381,DI08012,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,1,,134,,"107,2",,1,,"69,3",,1,,1,
RE07036itkfi,2833923,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,48462,gnpis_pui:holding-921_taxon-4898_accession-48462,RE07036,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,1,,134,,100,,1,,"64,7",,1,,1,
EM07213itkfi,2833927,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,48541,gnpis_pui:holding-921_taxon-4898_accession-48541,EM07213,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,3,,130,,"95,2",,"1,5",,"61,6",,1,,1,
CF07138itkfi,2833931,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49475,gnpis_pui:holding-921_taxon-4898_accession-49475,CF07138,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,102,,2,,135,,"126,3",,1,,"81,7",,1,,1,
Mendelitkfi,2833929,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,4,,132,,"104,3",,"1,5",,"67,5",,1,,1,
DI08010itkfi,2833917,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,48734,gnpis_pui:holding-921_taxon-4898_accession-48734,DI08010,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,1,,129,,"87,9",,1,,"56,8",,1,,1,
RE07087itkfi,2833948,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49201,gnpis_pui:holding-921_taxon-4898_accession-49201,RE07087,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,105,,1,,138,,"133,1",,1,,"86,1",,1,,1,
RE07027itkfi,2833938,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,2,,140,,"102,8",,1,,"66,5",,1,,1,
AO08514itkfi,2833949,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49416,gnpis_pui:holding-921_taxon-4898_accession-49416,AO08514,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,1,,126,,"89,4",,1,,"57,8",,"1,5",,1,
CF07141itkfi,2833940,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,27903,https://doi.org/10.15454/EWNN9Q,CF07141,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,1,,134,,"103,6",,1,,67,,1,,1,
Musikitkfi,2833921,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,1,,134,,"106,8",,1,,"69,1",,1,,1,
DI08008itkfi,2833936,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,1,,138,,"92,9",,1,,"60,1",,1,,1,
Caphornitkfi,2833933,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,1,,131,,"101,2",,1,,"65,4",,1,,1,
RE07038itkfi,2833943,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,48821,gnpis_pui:holding-921_taxon-4898_accession-48821,RE07038,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,2,,135,,"123,6",,1,,"79,9",,1,,1,
RE07047itkfi,2833941,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49013,gnpis_pui:holding-921_taxon-4898_accession-49013,RE07047,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,1,,137,,"129,1",,1,,"83,5",,1,,1,
RE07082itkfi,2833947,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,48501,gnpis_pui:holding-921_taxon-4898_accession-48501,RE07082,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,1,,127,,112,,1,,"72,4",,1,,1,
EM07219itkfi,2833930,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49294,gnpis_pui:holding-921_taxon-4898_accession-49294,EM07219,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,3,,129,,"95,8",,"1,5",,62,,1,,1,
