observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO13013itknt,2882385,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,90,,138,,,,"72,8",,"95,7",,"77,2",,1,,4,,1,
AO13013itkt,2882386,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,treated,2014,85,,139,,"9,8",,"77,8",,"105,6",,"100,8",,,,,,,
CF09117itknt,2882379,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,95,,136,,,,"78,7",,"105,1",,"84,7",,"3,5",,3,,1,
CF09117itkfi,2882378,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,136,,"10,9",,"78,6",,"103,3",,"85,2",,4,,,,,
CF09117itkt,2882380,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2014,95,,136,,"12,9",,81,,"106,6",,"101,8",,,,,,,
Apacheitknt,2882337,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,95,,132,,,,"74,2",,"77,6",,"62,5",,1,,"8,5",,1,
Apacheitkt,2882338,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2014,88,,132,,"10,3",,"78,9",,"97,4",,93,,,,,,,
Apacheitkfi,2882336,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,128,,"10,9",,75,,"89,2",,"73,6",,1,,,,,
Lyrikitknt,2882400,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,100,,141,,,,"79,7",,"118,6",,"95,6",,"2,5",,2,,1,
Lyrikitkfi,2882399,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,102,,140,,"10,2",,79,,"112,2",,"92,6",,5,,,,,
Lyrikitkt,2882401,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,141,,"9,1",,"80,1",,"111,1",,106,,,,,,,
CF08027itkt,2882398,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,142,,"9,7",,"81,8",,"100,4",,"95,9",,,,,,,
CF08027itknt,2882397,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,102,,140,,,,"81,3",,"108,1",,"87,2",,"2,5",,3,,1,
CF08027itkfi,2882396,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,139,,"9,8",,"80,5",,"103,7",,"85,5",,4,,,,,
AO11011itknt,2882292,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,90,,143,,,,"79,7",,"102,4",,"82,6",,1,,"2,5",,1,
AO11011itkt,2882293,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2014,85,,142,,"9,8",,"80,4",,"100,2",,"95,7",,,,,,,
AO11011itkfi,2882291,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,140,,"10,7",,"79,4",,"110,8",,"91,4",,1,,,,,
Gotikitkfi,2882372,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,110,,139,,"10,6",,"79,5",,"101,8",,84,,6,,,,,
Gotikitkt,2882374,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2014,108,,140,,"10,1",,"81,3",,"105,1",,"100,3",,,,,,,
Gotikitknt,2882373,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,108,,140,,,,"79,7",,"101,4",,"81,8",,6,,2,,1,
CF11029itkt,2882335,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2014,102,,143,,9,,"79,2",,"113,7",,"108,6",,,,,,,
CF11029itknt,2882334,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,100,,143,,,,"78,3",,"67,4",,"54,3",,8,,NA,,1,
CF11029itkfi,2882333,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,142,,"10,9",,"74,8",,54,,"44,5",,8,,,,,
CF11051itkt,2882296,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2014,95,,141,,"10,2",,"81,5",,"92,3",,"88,1",,,,,,,
CF11051itkfi,2882294,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,139,,"10,8",,"80,8",,"101,9",,84,,5,,,,,
CF11051itknt,2882295,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,95,,141,,,,"80,4",,"93,3",,"75,2",,"3,5",,3,,1,
CF11177itknt,2882394,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,88,,141,,,,"76,2",,"87,4",,"70,5",,1,,"6,5",,1,
CF11177itkfi,2882393,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,140,,"11,6",,"75,8",,"88,9",,"73,3",,3,,,,,
CF11177itkt,2882395,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2014,85,,142,,11,,"80,2",,100,,"95,5",,,,,,,
DI11013itkt,2882383,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2014,92,,142,,"8,3",,"82,3",,"111,2",,"106,1",,,,,,,
DI11013itknt,2882382,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,98,,140,,,,79,,"96,7",,78,,6,,2,,1,
DI11013itkfi,2882381,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,102,,139,,"9,9",,"74,8",,"82,2",,"67,8",,7,,,,,
DI12005itkfi,2882324,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,142,,"9,7",,"76,9",,112,,"92,4",,4,,,,,
DI12005itknt,2882325,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,98,,143,,,,"77,3",,"111,5",,"89,9",,3,,3,,1,
DI12005itkt,2882326,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2014,95,,144,,"9,7",,"79,6",,"117,3",,112,,,,,,,
EM11441itkfi,2882330,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,137,,"9,9",,"76,5",,"103,1",,85,,4,,,,,
EM11441itkt,2882332,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2014,90,,138,,"9,1",,"78,8",,"115,4",,"110,2",,,,,,,
EM11441itknt,2882331,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,95,,138,,,,"74,9",,"104,8",,"84,5",,"4,5",,3,,1,
EM11604itkfi,2882339,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,136,,"9,9",,"79,6",,"114,3",,"94,3",,3,,,,,
EM11604itkt,2882341,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2014,90,,138,,"9,6",,"80,8",,"103,3",,"98,6",,,,,,,
EM11604itknt,2882340,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,92,,136,,,,"80,3",,"111,1",,"89,5",,"1,5",,"2,5",,1,
RE10042itkfi,2882348,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,143,,"10,1",,"79,3",,"104,2",,86,,"4,5",,,,,
RE10042itkt,2882350,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2014,95,,146,,"9,6",,"79,7",,"95,2",,"90,8",,,,,,,
RE10042itknt,2882349,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,100,,144,,,,"80,3",,104,,"83,8",,"2,5",,2,,1,
RE11058itknt,2882352,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,102,,138,,,,"77,6",,"101,9",,"82,2",,"1,5",,"2,5",,1,
RE11058itkt,2882353,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,138,,"9,8",,"79,9",,"104,6",,"99,9",,,,,,,
RE11058itkfi,2882351,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,136,,"10,4",,"77,9",,"111,7",,"92,1",,"2,5",,,,,
RE11073itkt,2882308,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,141,,"10,3",,"83,1",,"100,9",,"96,3",,,,,,,
RE11073itknt,2882307,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,98,,140,,,,"82,8",,"107,2",,"86,4",,4,,3,,1,
RE11073itkfi,2882306,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,140,,"10,3",,"83,1",,"106,1",,"87,5",,"4,5",,,,,
RE11075itknt,2882298,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,100,,140,,,,"82,2",,"106,5",,"85,8",,4,,"2,5",,1,
RE11075itkfi,2882297,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,102,,139,,"9,9",,"81,9",,112,,"92,3",,5,,,,,
RE11075itkt,2882299,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,140,,"10,1",,"82,6",,"103,4",,"98,8",,,,,,,
RE11087itknt,2882364,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,100,,140,,,,"82,3",,105,,"84,7",,4,,"3,5",,1,
RE11087itkt,2882365,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,140,,"10,9",,"83,4",,"103,4",,"98,7",,,,,,,
RE11087itkfi,2882363,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,138,,"10,3",,"82,3",,"115,5",,"95,3",,"4,5",,,,,
RE11113itkt,2882359,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2014,108,,142,,"9,3",,"77,2",,"109,6",,"104,6",,,,,,,
RE11113itkfi,2882357,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,112,,139,,"10,6",,75,,"105,6",,"87,1",,3,,,,,
RE11113itknt,2882358,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,112,,142,,,,"74,6",,"102,4",,"82,6",,2,,"3,5",,1,
RE11116itknt,2882367,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,118,,142,,,,"81,1",,"107,8",,"86,9",,"1,5",,2,,3,
RE11116itkt,2882368,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2014,110,,142,,"8,8",,"81,4",,"107,1",,"102,3",,,,,,,
RE11116itkfi,2882366,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,115,,140,,10,,"81,5",,"120,1",,"99,1",,"2,5",,,,,
AO13027itknt,2882313,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,100,,140,,,,"81,5",,"105,7",,"85,2",,3,,3,,1,
AO13027itkfi,2882312,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,140,,"9,9",,"80,3",,106,,"87,4",,4,,,,,
AO13027itkt,2882314,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,142,,"9,8",,"82,1",,"109,6",,"104,6",,,,,,,
CF10185itkfi,2882402,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,142,,"10,7",,"80,2",,"99,3",,"81,9",,2,,,,,
Gallixeitkt,2882377,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2014,85,,140,,"9,4",,"77,3",,"107,1",,"102,3",,,,,,,
Gallixeitknt,2882376,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,90,,139,,,,"75,5",,"105,8",,"85,3",,1,,"3,5",,1,
Croustyitkt,2882356,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2014,105,,136,,"9,8",,"80,3",,"93,1",,"88,9",,,,,,,
Croustyitknt,2882355,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,102,,136,,,,"75,9",,"67,4",,"54,3",,6,,NA,,1,
Croustyitkfi,2882354,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,102,,135,,11,,"76,2",,"65,3",,"53,8",,7,,,,,
Galibieritkt,2882320,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2014,85,,115,,"13,3",,"77,2",,"67,1",,"64,1",,,,,,,
Galibieritkfi,2882318,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,102,,115,,13,,"73,6",,"64,4",,"53,1",,6,,,,,
Galibieritknt,2882319,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,100,,115,,,,"74,4",,"60,3",,"48,6",,6,,NA,,1,
Rubiskoitknt,2882391,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,92,,132,,,,"76,8",,"112,7",,"90,8",,1,,"5,5",,1,
Rubiskoitkt,2882392,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,treated,2014,88,,130,,10,,"78,8",,"108,1",,"103,2",,,,,,,
Rubiskoitkfi,2882390,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,130,,"10,4",,"76,5",,"103,8",,"85,6",,1,,,,,
AO12021itknt,2882301,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,105,,137,,,,"78,7",,"104,6",,"84,3",,1,,3,,1,
AO12021itkfi,2882300,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,138,,"10,7",,79,,"107,6",,"88,7",,1,,,,,
AO12021itkt,2882302,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,138,,"9,8",,80,,"103,7",,99,,,,,,,
EM11366itkfi,2882369,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,108,,136,,"10,3",,78,,"100,2",,"82,7",,1,,,,,
EM11366itkt,2882371,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2014,102,,138,,"9,9",,"79,8",,"100,3",,"95,7",,,,,,,
EM11366itknt,2882370,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,108,,137,,,,"74,9",,"83,8",,"67,6",,"1,5",,"4,5",,"1,5",
EM11400itknt,2882346,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,92,,136,,,,75,,"96,1",,"77,5",,"2,5",,5,,1,
EM11400itkt,2882347,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2014,88,,136,,"10,2",,"77,2",,"95,6",,"91,3",,,,,,,
