observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI06006itkfi,2815247,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,48412,gnpis_pui:holding-921_taxon-4898_accession-48412,DI06006,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,137,,"73,1",,"102,1",,2,,62,,1,
CF05081itkfi,2815220,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49178,gnpis_pui:holding-921_taxon-4898_accession-49178,CF05081,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,92,,"133,5",,"74,6",,"102,1",,2,,"61,9",,3,
CF05088itkfi,2815219,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49279,gnpis_pui:holding-921_taxon-4898_accession-49279,CF05088,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"138,5",,"72,2",,105,,1,,"63,7",,1,
CF05086itkfi,2815222,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49341,https://doi.org/10.15454/RKQK2G,CF05086,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,134,,"77,3",,"101,7",,1,,"61,7",,1,
CF05140itkfi,2815223,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49523,https://doi.org/10.15454/MMQSM6,CF05140,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,136,,"75,8",,"115,4",,1,,70,,1,
RE05076itkfi,2815239,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49734,gnpis_pui:holding-921_taxon-4898_accession-49734,RE05076,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,84,,135,,"73,1",,117,,1,,71,,3,
EM05230itkfi,2815246,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,84,,140,,"71,4",,"102,6",,1,,"62,2",,1,
EM05003itkfi,2815237,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49330,gnpis_pui:holding-921_taxon-4898_accession-49330,EM05003,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,86,,"137,5",,"75,2",,"102,5",,1,,"62,2",,1,
EM05007itkfi,2815244,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49434,gnpis_pui:holding-921_taxon-4898_accession-49434,EM05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"137,5",,"76,2",,"90,2",,1,,"54,8",,1,
DI06002itkfi,2815251,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49724,gnpis_pui:holding-921_taxon-4898_accession-49724,DI06002,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,86,,138,,"73,1",,"111,3",,1,,"67,5",,1,
DI06005itkfi,2815250,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,48997,gnpis_pui:holding-921_taxon-4898_accession-48997,DI06005,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,137,,"73,8",,"108,9",,1,,"66,1",,2,
DI06001itkfi,2815253,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49467,gnpis_pui:holding-921_taxon-4898_accession-49467,DI06001,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,86,,143,,"70,4",,"96,9",,1,,"58,8",,3,
RE05147itkfi,2815218,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49548,gnpis_pui:holding-921_taxon-4898_accession-49548,RE05147,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,136,,"73,8",,"97,7",,1,,"59,3",,1,
EM05178itkfi,2815230,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,26987,https://doi.org/10.15454/KGPOGY,EM05178,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,140,,"71,7",,"104,5",,1,,"63,4",,1,
EM05029itkfi,2815242,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,48605,gnpis_pui:holding-921_taxon-4898_accession-48605,EM05029,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,76,,"138,5",,"76,6",,94,,1,,57,,1,
CF05087itkfi,2815221,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,48444,gnpis_pui:holding-921_taxon-4898_accession-48444,CF05087,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,78,,"135,5",,"75,3",,"101,7",,1,,"61,7",,1,
