observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE09055itkfi,2856649,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,1,,132,,"8,9",,"74,1",,"113,7",,1,,"90,3",,,,2,,1,
Barokitkfi,2856538,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,1,,134,,"9,67",,"78,1",,"101,7",,"1,5",,"80,8",,,,2,,1,
Barokitkt,2856540,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,,,136,,"10,36",,"74,9",,"107,3",,,,"89,6",,,,,,,
Barokitknt,2856539,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,"1,5",,138,,,,"76,2",,"101,5",,5,,"91,1",,1,,2,,1,
CF09182itknt,2856575,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,1,,136,,,,"75,7",,96,,3,,"86,2",,1,,2,,1,
CF09182itkfi,2856574,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,2,,137,,"9,09",,"77,4",,"107,6",,1,,"85,5",,,,"1,5",,1,
CF09182itkt,2856576,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,,,138,,"9,86",,75,,"97,8",,,,"81,8",,,,,,,
CF09117itkt,2856645,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,,,136,,"10,7",,75,,"98,5",,,,"82,3",,,,,,,
CF09117itkfi,2856643,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,1,,132,,"10,38",,"77,7",,92,,"1,5",,"73,1",,,,2,,1,
CF09117itknt,2856644,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,82,,2,,136,,,,"76,6",,"93,1",,4,,"83,5",,1,,"2,5",,2,
CF09225itknt,2856653,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,90,,"2,5",,139,,,,"76,5",,"97,6",,"4,5",,"87,5",,1,,2,,1,
CF09225itkt,2856654,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,139,,"10,62",,"76,4",,"106,9",,,,"89,3",,,,,,,
CF09225itkfi,2856652,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,2,,136,,"9,87",,"78,7",,"100,3",,1,,"79,7",,,,"1,5",,1,
CF09227itkt,2856657,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,134,,"9,41",,"76,4",,"102,8",,,,"85,9",,,,,,,
CF09227itknt,2856656,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,88,,"1,5",,138,,,,78,,"101,4",,"4,5",,"90,9",,1,,2,,1,
CF09227itkfi,2856655,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,1,,132,,"9,6",,"79,7",,"100,5",,1,,"79,8",,,,1,,1,
CF09176itknt,2856614,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,78,,2,,137,,,,74,,"96,2",,"2,5",,"86,2",,1,,"1,5",,1,
CF09176itkt,2856615,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,,,139,,"9,64",,"73,7",,"105,3",,,,88,,,,,,,
CF09176itkfi,2856613,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,3,,139,,"9,38",,"76,6",,"104,1",,1,,"82,7",,,,2,,1,
CF09276itkt,2856573,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,treated,2011,68,,,,132,,"9,52",,"73,9",,"94,5",,,,"78,9",,,,,,,
CF09276itknt,2856572,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,95,,"1,5",,134,,,,"76,2",,"92,3",,2,,"82,8",,1,,2,,4,
CF09276itkfi,2856571,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,1,,130,,"10,26",,"77,8",,"93,5",,1,,"74,3",,,,2,,2,
EM08231itkt,2856603,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2011,58,,,,136,,"10,37",,"66,9",,"93,4",,,,"78,1",,,,,,,
EM08231itkfi,2856601,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,75,,1,,134,,"9,7",,"71,2",,"103,1",,1,,"81,9",,,,"1,5",,1,
EM08231itknt,2856602,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,1,,137,,,,"70,6",,"101,8",,3,,"91,3",,1,,"2,5",,1,
RE09063itkt,2856579,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,,,141,,"10,34",,"73,9",,"109,6",,,,"91,6",,,,,,,
RE09063itknt,2856578,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,78,,"1,5",,140,,,,76,,"103,2",,3,,"92,6",,"1,5",,2,,1,
RE09063itkfi,2856577,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,1,,140,,"9,7",,"76,2",,"108,6",,1,,"86,3",,,,2,,1,
RE09079itkt,2856543,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,,,141,,"10,56",,"72,3",,"102,6",,,,"85,7",,,,,,,
RE09079itknt,2856542,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,82,,"1,5",,138,,,,"73,5",,"102,9",,"3,5",,"92,3",,1,,"2,5",,1,
RE09079itkfi,2856541,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,"1,5",,138,,"9,86",,"74,4",,"105,6",,1,,"83,9",,,,"1,5",,1,
Premioitkt,2856552,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2011,68,,,,132,,"10,48",,75,,"97,4",,,,"81,4",,,,,,,
Premioitknt,2856551,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,"1,5",,134,,,,"76,1",,"101,8",,"2,5",,"91,3",,1,,2,,1,
Premioitkfi,2856550,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,2,,132,,"10,27",,78,,100,,1,,"79,4",,,,"2,5",,1,
RE09009itkt,2856597,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,,,136,,"9,96",,"72,8",,"93,3",,,,78,,,,,,,
RE09009itknt,2856596,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,82,,"1,5",,139,,,,"75,4",,"102,5",,"2,5",,92,,1,,"1,5",,1,
RE09009itkfi,2856595,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,1,,134,,"10,56",,"77,1",,"99,6",,1,,"79,1",,,,"1,5",,1,
EM09003itknt,2856560,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,2,,138,,,,76,,"93,2",,4,,"83,6",,1,,"1,5",,2,
EM09003itkt,2856561,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,136,,"9,61",,"75,4",,"93,8",,,,"78,4",,,,,,,
EM09003itkfi,2856559,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,2,,134,,"9,08",,78,,"95,3",,"1,5",,"75,7",,,,2,,1,
RE09073itknt,2856590,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,78,,1,,140,,,,"72,2",,"98,6",,2,,"88,5",,1,,"2,5",,1,
RE09073itkt,2856591,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,,,134,,"9,76",,"70,5",,88,,,,"73,5",,,,,,,
RE09073itkfi,2856589,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,"1,5",,134,,"9,22",,"73,1",,"97,4",,1,,"77,4",,,,2,,1,
DI10001itknt,2856608,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,90,,"2,5",,140,,,,"78,9",,108,,2,,"96,9",,1,,"1,5",,1,
DI10001itkfi,2856607,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,1,,138,,"9,59",,"80,4",,"112,2",,1,,"89,2",,,,1,,1,
DI10001itkt,2856609,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,,,140,,"10,62",,"76,7",,"108,9",,,,91,,,,,,,
EM09015itkt,2856594,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,treated,2011,62,,,,138,,"10,34",,"75,6",,"98,8",,,,"82,6",,,,,,,
Apacheitknt,2856581,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,"2,5",,134,,,,76,,"100,1",,3,,"89,8",,1,,"2,5",,"2,5",
Apacheitkfi,2856580,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,2,,130,,"9,25",,"77,3",,"101,7",,1,,"80,8",,,,2,,1,
Attlassitknt,2856623,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,"2,5",,139,,,,"77,7",,"98,5",,3,,"88,3",,1,,2,,1,
Attlassitkfi,2856622,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,"1,5",,135,,"9,94",,"78,5",,"99,6",,1,,"79,1",,,,"1,5",,1,
Attlassitkt,2856624,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,137,,"10,14",,"75,4",,"97,9",,,,"81,8",,,,,,,
Gallixeitkfi,2856640,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,2,,134,,"9,3",,"76,1",,104,,1,,"82,6",,,,2,,1,
Gallixeitknt,2856641,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,82,,2,,134,,,,"73,2",,"100,5",,4,,"90,1",,1,,2,,1,
Gallixeitkt,2856642,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2011,62,,,,134,,"9,34",,"72,1",,"93,1",,,,"77,8",,,,,,,
Croustyitkt,2856606,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,,,137,,"11,45",,"75,7",,"101,8",,,,"85,1",,,,,,,
Croustyitkfi,2856604,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,1,,136,,"10,48",,"78,9",,"101,2",,"1,5",,"80,4",,,,2,,1,
Croustyitknt,2856605,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,92,,"1,5",,138,,,,"77,5",,"92,8",,"4,5",,"83,2",,2,,"2,5",,1,
AO10011itknt,2856548,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,"1,5",,138,,,,"77,9",,"103,1",,"3,5",,"92,5",,1,,2,,"2,5",
AO10011itkfi,2856547,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,1,,137,,"9,43",,"80,2",,"97,7",,1,,"77,6",,,,"2,5",,2,
AO10011itkt,2856549,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,,,138,,"9,53",,"76,1",,"103,7",,,,"86,6",,,,,,,
CF09027itkfi,2856628,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,"1,5",,136,,"9,8",,"78,7",,"103,8",,"1,5",,"82,4",,,,2,,1,
CF09027itkt,2856630,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,treated,2011,68,,,,134,,"9,81",,"74,9",,"100,1",,,,"83,6",,,,,,,
CF09027itknt,2856629,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,82,,2,,134,,,,"76,6",,"97,3",,"2,5",,"87,3",,1,,"1,5",,1,
DI10001-2itkfi,2856637,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,1,,138,,"9,74",,"78,5",,"106,9",,1,,"84,9",,,,"1,5",,1,
DI10001-2itkt,2856639,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,,,139,,"10,44",,"76,3",,"108,3",,,,"90,5",,,,,,,
DI10001-2itknt,2856638,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,90,,1,,140,,,,"77,9",,"108,1",,"1,5",,"96,9",,1,,2,,2,
EM09080itkt,2856633,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,,,141,,"9,12",,"76,3",,"93,6",,,,"78,2",,,,,,,
EM09080itkfi,2856631,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,2,,140,,"8,73",,"78,6",,100,,1,,"79,4",,,,2,,1,
EM09080itknt,2856632,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,90,,"1,5",,141,,,,76,,"80,8",,3,,"72,5",,1,,2,,1,
EM09189itkfi,2856646,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,1,,134,,"9,8",,"76,2",,"104,8",,1,,"83,3",,,,3,,1,
