observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI07007itkfi,2823814,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"127,5",,"81,7",,"2,5",,"54,8",,1,,1,
DI07006itkfi,2823815,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,126,,"95,5",,3,,64,,1,,1,
Mendelitkfi,2823826,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,122,,97,,6,,65,,1,,1,
CF06016itkfi,2823839,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,129,,"101,9",,"2,5",,"68,3",,1,,1,
AO07210itkfi,2823842,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"118,5",,"128,5",,"3,5",,"86,1",,1,,6,
DI07003itkfi,2823810,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,126,,"91,6",,2,,"61,4",,1,,1,
RE06025itkfi,2823835,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,124,,"111,6",,"3,5",,"74,8",,1,,1,
RE06060itkfi,2823841,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,120,,"139,5",,2,,"93,5",,1,,1,
Sankaraitkfi,2823829,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,128,,"83,9",,4,,"56,3",,1,,1,
Toisondoritkfi,2823804,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,122,,"127,6",,1,,"85,5",,5,,1,
CF06003itkfi,2823821,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,49241,gnpis_pui:holding-921_taxon-4898_accession-49241,CF06003,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,125,,101,,"2,5",,"67,7",,1,,1,
EM06035itkfi,2823845,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,126,,"100,1",,5,,"67,1",,1,,1,
RE06058itkfi,2823828,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,"130,5",,"105,8",,1,,"70,9",,1,,1,
Karillonitkfi,2823843,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"122,5",,"124,9",,1,,"83,7",,1,,1,
DI07005itkfi,2823812,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,49455,gnpis_pui:holding-921_taxon-4898_accession-49455,DI07005,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,126,,"99,9",,2,,"66,9",,1,,1,
CF06153itkfi,2823846,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"130,5",,"99,9",,2,,67,,1,,1,
EM06010itkfi,2823805,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,126,,"98,7",,"3,5",,"66,2",,2,,1,
EM06064itkfi,2823832,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,129,,"113,3",,2,,76,,"2,5",,1,
Koreliitkfi,2823820,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,"127,5",,"116,9",,"2,5",,"78,4",,1,,1,
Caphornitkfi,2823831,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,122,,"108,3",,"2,5",,"72,6",,1,,1,
RE06007itkfi,2823808,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,"126,5",,"95,1",,2,,"63,7",,1,,7,
EM06062itkfi,2823830,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,"126,5",,"106,9",,3,,"71,6",,2,,1,
CF06123itkfi,2823825,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,127,,"84,2",,"4,5",,"56,5",,1,,1,
CF06001itkfi,2823819,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,126,,"96,5",,"3,5",,"64,7",,1,,1,
RE06057itkfi,2823816,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"117,5",,132,,5,,"88,5",,1,,1,
DI07002itkfi,2823811,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,"126,5",,"113,2",,"1,5",,"75,9",,1,,1,
AO07102itkfi,2823823,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,"124,5",,"108,3",,"2,5",,"72,6",,1,,3,
DI07001itkfi,2823809,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,117,,"121,8",,2,,"81,6",,1,,1,
EM06017itkfi,2823807,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,123,,"120,5",,6,,"80,8",,1,,1,
AO07116itkfi,2823844,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,"123,5",,"116,1",,"2,5",,"77,8",,1,,6,
Apacheitkfi,2823834,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,121,,"110,8",,5,,"74,2",,1,,1,
RE06008itkfi,2823836,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,129,,"96,8",,2,,"64,9",,1,,1,
CF06111itkfi,2823837,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"131,5",,"85,3",,5,,"57,2",,1,,1,
CF06013itkfi,2823840,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,117,,106,,"3,5",,"71,1",,1,,1,
