observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Apacheitkfi,2787177,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,9",,"103,3",,"75,6",
RE01015itknt,2787136,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"105,6",,80,
RE01015itkfi,2787135,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,3",,"111,8",,"81,9",
EM01023itkfi,2787204,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,3",,"110,2",,"80,7",
EM01352itknt,2787181,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"99,8",,"75,7",
Apacheitknt,2787178,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"102,7",,"77,9",
Isengrainitkfi,2787222,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,2",,"100,4",,"73,5",
Apacheitkt,2787179,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,"140,5",,"12,4",,"103,5",,"87,8",
EM01352itkt,2787182,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,treated,2003,"145,5",,"12,3",,"101,4",,"85,9",
CF00060itknt,2787148,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"95,5",,"72,4",
CF01216itknt,2787154,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"103,4",,"78,4",
EM01023itkt,2787206,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,treated,2003,145,,"12,1",,"113,1",,"95,8",
EM01352itkfi,2787180,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,3",,"113,7",,"83,2",
EM01328itkt,2787185,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,treated,2003,149,,"12,5",,"105,8",,"89,7",
CF01085itkt,2787197,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2003,"141,5",,"12,8",,"110,2",,"93,4",
CF01196itkt,2787152,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,treated,2003,147,,"12,3",,"111,7",,"94,7",
CF01196itknt,2787151,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"110,3",,"83,6",
EM01216itkfi,2787186,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,3",,"108,7",,"79,6",
CF01196itkfi,2787150,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,8",,"109,6",,"80,2",
EM01216itkt,2787188,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,treated,2003,142,,"11,9",,102,,"86,5",
EM01216itknt,2787187,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"113,1",,"85,7",
DI02008itkt,2787203,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2003,146,,"11,7",,"118,6",,"100,6",
Isengrainitknt,2787223,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"101,4",,"76,9",
DI02006itkt,2787194,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2003,143,,"12,2",,"114,6",,"97,1",
DI02006itknt,2787193,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"120,5",,"91,4",
DI02006itkfi,2787192,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,2",,"125,3",,"91,7",
CF01085itkfi,2787195,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,4",,"115,6",,"84,6",
EM01062itkfi,2787162,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,8",,"107,5",,"78,7",
CF01085itknt,2787196,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"117,6",,"89,2",
CF00060itkt,2787149,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,treated,2003,143,,14,,"101,2",,"85,8",
Isengrainitkt,2787224,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2003,"140,5",,"12,1",,"97,4",,"82,5",
EM01150itkfi,2787228,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,7",,"110,5",,"80,9",
EM01328itkfi,2787183,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,8",,"104,9",,"76,8",
EM01062itkt,2787164,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,treated,2003,141,,13,,"104,9",,"88,9",
EM01062itknt,2787163,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"105,9",,"80,3",
RE01037itkt,2787146,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,treated,2003,142,,"13,4",,"105,1",,"89,1",
RE01037itknt,2787145,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"101,5",,77,
EM01214itkfi,2787138,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,7",,97,,71,
EM01150itkt,2787230,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,treated,2003,147,,13,,"107,1",,"90,8",
EM01150itknt,2787229,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"111,1",,"84,3",
EM01214itkt,2787140,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"13,1",,91,,"77,1",
CF01216itkt,2787155,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,treated,2003,142,,"12,3",,"97,7",,"82,8",
RE01037itkfi,2787144,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"12,2",,"105,8",,"77,4",
DI02001itknt,2787190,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"116,5",,"88,3",
EM01288itknt,2787235,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,106,,"80,4",
DI02001itkt,2787191,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2003,143,,"11,6",,115,,"97,4",
EM01288itkt,2787236,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,treated,2003,146,,"13,1",,"101,1",,"85,7",
EM01288itkfi,2787234,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,12,,110,,"80,5",
CF01216itkfi,2787153,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,6",,"106,2",,"77,8",
EM01214itknt,2787139,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"96,2",,"72,9",
DI02021itkfi,2787210,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,6",,"110,4",,"80,8",
EM01325itknt,2787172,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"101,8",,"77,2",
CF01184itknt,2787217,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"112,5",,"85,3",
CF01184itkfi,2787216,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,6",,"115,2",,"84,4",
DI02001itkfi,2787189,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,1",,"119,5",,"87,5",
DI02032itkfi,2787141,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,9",,"110,9",,"81,2",
CF01184itkt,2787218,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,treated,2003,"142,5",,"12,5",,"112,5",,"95,4",
EM01328itknt,2787184,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,102,,"77,4",
RE01086itkfi,2787225,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,8",,"102,5",,"75,1",
EM01325itkfi,2787171,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,12,,"99,5",,"72,8",
RE01086itkt,2787227,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,treated,2003,142,,"12,3",,"104,5",,"88,6",
RE01086itknt,2787226,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"101,3",,"76,8",
RE02101itknt,2787214,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"111,8",,"84,8",
EM01271itkt,2787170,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,treated,2003,143,,"11,5",,"112,6",,"95,4",
EM01271itknt,2787169,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"115,8",,"87,8",
EM01271itkfi,2787168,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"10,2",,"109,9",,"80,5",
Chargeritknt,2787199,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"100,7",,"76,3",
CF01043itknt,2787220,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"97,8",,"74,1",
Chargeritkfi,2787198,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,4",,"99,5",,"72,8",
DI02021itknt,2787211,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"108,6",,"82,4",
DI02032itkt,2787143,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,treated,2003,143,,"12,8",,"103,8",,88,
DI02032itknt,2787142,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"109,8",,"83,3",
CF01043itkfi,2787219,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"13,1",,"97,2",,"71,2",
EM01325itkt,2787173,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,treated,2003,141,,"12,3",,"104,1",,"88,3",
CF01043itkt,2787221,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,treated,2003,"140,5",,14,,"94,5",,"80,1",
Chargeritkt,2787200,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2003,143,,"12,1",,"103,9",,"88,1",
EM01063itknt,2787166,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"98,3",,"74,5",
EM01024itkfi,2787159,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,7",,"114,4",,"83,8",
EM01063itkt,2787167,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,treated,2003,143,,"13,2",,"98,5",,"83,5",
RE02101itkt,2787215,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,treated,2003,148,,"12,5",,"104,9",,"88,9",
