observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM02024itknt,2796439,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"101,5",,"100,2",,1,
EM02024itkt,2796440,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,treated,2004,"78,2",,"96,3",,"110,4",,1,
EM02096itkt,2796396,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,treated,2004,"76,8",,"92,1",,"105,6",,1,
EM02096itknt,2796395,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"92,3",,"91,1",,1,
Chargeritkt,2796416,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,6",,"102,2",,"117,2",,1,
Chargeritknt,2796415,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"104,5",,"103,1",,1,
Caphornitkt,2796412,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,4",,"93,9",,"107,6",,1,
Caphornitknt,2796411,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"103,8",,"102,4",,1,
CF02170itknt,2796407,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26421,https://doi.org/10.15454/LV5TNC,CF02170,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"97,5",,"96,3",,1,
CF02170itkt,2796408,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26421,https://doi.org/10.15454/LV5TNC,CF02170,VIRTUAL_TRIAL,,,,,,,,treated,2004,"76,4",,"94,7",,"108,6",,1,
CF02252itkt,2796424,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26422,https://doi.org/10.15454/9B1QCJ,CF02252,VIRTUAL_TRIAL,,,,,,,,treated,2004,"74,4",,"96,3",,"110,4",,1,
CF02252itknt,2796423,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26422,https://doi.org/10.15454/9B1QCJ,CF02252,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"103,2",,"101,8",,1,
CF02266itkt,2796392,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26423,https://doi.org/10.15454/ETPIWK,CF02266,VIRTUAL_TRIAL,,,,,,,,treated,2004,73,,"98,4",,"112,8",,1,
CF02266itknt,2796391,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26423,https://doi.org/10.15454/ETPIWK,CF02266,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"107,6",,"106,2",,1,
CF02283itkt,2796450,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26424,https://doi.org/10.15454/EQGEJX,CF02283,VIRTUAL_TRIAL,,,,,,,,treated,2004,"67,7",,"96,8",,111,,1,
CF02283itknt,2796449,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26424,https://doi.org/10.15454/EQGEJX,CF02283,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"100,5",,"99,1",,1,
DI03011itkt,2796388,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26428,https://doi.org/10.15454/QSCEEU,DI03011,VIRTUAL_TRIAL,,,,,,,,treated,2004,"79,4",,"98,8",,"113,3",,1,
DI03011itknt,2796387,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26428,https://doi.org/10.15454/QSCEEU,DI03011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"106,2",,"104,8",,1,
DI03008itkt,2796398,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26427,https://doi.org/10.15454/KWRP2T,DI03008,VIRTUAL_TRIAL,,,,,,,,treated,2004,"79,6",,101,,"115,8",,1,
DI03008itknt,2796397,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26427,https://doi.org/10.15454/KWRP2T,DI03008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"95,8",,"94,5",,1,
EM02209itknt,2796433,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26414,https://doi.org/10.15454/CCL96G,EM02209,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"99,6",,"98,3",,2,
EM02209itkt,2796434,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26414,https://doi.org/10.15454/CCL96G,EM02209,VIRTUAL_TRIAL,,,,,,,,treated,2004,"77,7",,"92,2",,"105,8",,1,
EM02231itkt,2796400,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26415,https://doi.org/10.15454/J3I5NY,EM02231,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,2",,"89,6",,"102,8",,1,
EM02231itknt,2796399,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26415,https://doi.org/10.15454/J3I5NY,EM02231,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"96,7",,"95,4",,2,
EM02065itknt,2796419,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26412,https://doi.org/10.15454/8UNSOD,EM02065,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,97,,"95,8",,1,
EM02065itkt,2796420,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26412,https://doi.org/10.15454/8UNSOD,EM02065,VIRTUAL_TRIAL,,,,,,,,treated,2004,"78,4",,"86,5",,"99,2",,1,
EM02233itkt,2796402,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26416,https://doi.org/10.15454/HJAB4N,EM02233,VIRTUAL_TRIAL,,,,,,,,treated,2004,"74,8",,"93,6",,"107,3",,"3,5",
EM02233itknt,2796401,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26416,https://doi.org/10.15454/HJAB4N,EM02233,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"90,1",,89,,"7,5",
CF02093itkt,2796428,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26417,https://doi.org/10.15454/YM7WOU,CF02093,VIRTUAL_TRIAL,,,,,,,,treated,2004,"76,4",,"98,4",,"112,9",,1,
CF02093itknt,2796427,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26417,https://doi.org/10.15454/YM7WOU,CF02093,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"109,2",,"107,7",,1,
EM02026itkt,2796448,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26411,https://doi.org/10.15454/CYWIQW,EM02026,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,8",,"97,5",,"111,8",,1,
EM02026itknt,2796447,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26411,https://doi.org/10.15454/CYWIQW,EM02026,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"103,1",,"101,8",,1,
DI03003itknt,2796417,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"110,6",,"109,1",,2,
DI03012itknt,2796385,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26429,https://doi.org/10.15454/FOQIZY,DI03012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"98,9",,"97,6",,1,
CF01046itkt,2796442,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,treated,2004,"71,4",,"99,7",,"114,3",,1,
CF01046itknt,2796441,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"103,9",,"102,5",,1,
CF02143itknt,2796451,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26420,https://doi.org/10.15454/UMTUQX,CF02143,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"101,9",,"100,6",,2,
CF02143itkt,2796452,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26420,https://doi.org/10.15454/UMTUQX,CF02143,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,2",,"94,9",,"108,8",,1,
CF01014itknt,2796393,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26418,https://doi.org/10.15454/QCJETR,CF01014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"96,9",,"95,6",,1,
CF01014itkt,2796394,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26418,https://doi.org/10.15454/QCJETR,CF01014,VIRTUAL_TRIAL,,,,,,,,treated,2004,"78,6",,"96,5",,"110,6",,1,
CF02092itkt,2796430,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26419,https://doi.org/10.15454/KRA5IT,CF02092,VIRTUAL_TRIAL,,,,,,,,treated,2004,"74,4",,"99,4",,114,,3,
CF02092itknt,2796429,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26419,https://doi.org/10.15454/KRA5IT,CF02092,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"103,3",,102,,1,
Isengrainitkt,2796444,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"78,6",,101,,"115,8",,1,
Isengrainitknt,2796443,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"98,5",,"97,3",,1,
Orvantisitkt,2796438,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,4",,"103,3",,"118,5",,1,
Orvantisitknt,2796437,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"97,7",,"96,4",,2,
EM02207itkt,2796422,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,treated,2004,76,,"98,8",,"113,3",,2,
EM02207itknt,2796421,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"106,3",,"104,9",,2,
Stru001588.1itknt,2796405,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,49585,gnpis_pui:holding-921_taxon-4898_accession-49585,Stru001588.1,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"105,2",,"103,9",,1,
Stru001588.1itkt,2796406,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,49585,gnpis_pui:holding-921_taxon-4898_accession-49585,Stru001588.1,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,8",,"97,6",,112,,1,
Stru001590itknt,2796425,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,49361,gnpis_pui:holding-921_taxon-4898_accession-49361,Stru001590,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"103,9",,"102,5",,1,
Stru001590itkt,2796426,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,49361,gnpis_pui:holding-921_taxon-4898_accession-49361,Stru001590,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,6",,"97,6",,"111,9",,1,
DI03015itkt,2796390,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,treated,2004,"78,6",,"101,6",,"116,5",,1,
DI03015itknt,2796389,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"104,9",,"103,5",,1,
Oratorioitkt,2796432,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"79,6",,"93,7",,"107,5",,1,
Oratorioitknt,2796431,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"102,8",,"101,5",,1,
Farandoleitkt,2796414,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,8",,"100,4",,"115,1",,1,
Farandoleitknt,2796413,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"109,8",,"108,4",,2,
