observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Caphornitkt,2798170,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"96,3",,"103,9",,1,
Caphornitknt,2798169,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,3,,"101,3",,"102,2",,1,
LM03002itknt,2798139,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49261,gnpis_pui:holding-921_taxon-4898_accession-49261,LM03002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"85,5",,"86,3",,1,
CF03444itknt,2798133,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49239,gnpis_pui:holding-921_taxon-4898_accession-49239,CF03444,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"89,4",,"90,2",,2,
Isengrainitkt,2798214,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"101,8",,"109,8",,1,
CF03444itkt,2798134,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49239,gnpis_pui:holding-921_taxon-4898_accession-49239,CF03444,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"94,7",,"102,2",,2,
CF03120itknt,2798137,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49695,gnpis_pui:holding-921_taxon-4898_accession-49695,CF03120,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"108,2",,"109,2",,1,
EM01068itkt,2798160,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"101,4",,"109,4",,1,
EM02429itkt,2798150,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48367,gnpis_pui:holding-921_taxon-4898_accession-48367,EM02429,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"104,8",,"113,1",,1,
LM03004itknt,2798143,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"98,1",,99,,1,
EM01068itknt,2798159,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"104,7",,"105,6",,1,
EM02429itknt,2798149,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48367,gnpis_pui:holding-921_taxon-4898_accession-48367,EM02429,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"104,4",,"105,4",,3,
DI04003itknt,2798215,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49560,gnpis_pui:holding-921_taxon-4898_accession-49560,DI04003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"99,5",,"100,4",,1,
EM01104.4itkt,2798208,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49267,gnpis_pui:holding-921_taxon-4898_accession-49267,EM01104.4,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"90,1",,"97,2",,1,
LM03004itkt,2798144,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"98,2",,106,,1,
EM02414itknt,2798129,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48533,gnpis_pui:holding-921_taxon-4898_accession-48533,EM02414,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"93,3",,"94,1",,1,
DI04004itkt,2798202,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49220,gnpis_pui:holding-921_taxon-4898_accession-49220,DI04004,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"88,9",,"95,9",,1,
DI04006itkt,2798206,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48441,gnpis_pui:holding-921_taxon-4898_accession-48441,DI04006,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"94,3",,"101,8",,1,
EM02414itkt,2798130,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48533,gnpis_pui:holding-921_taxon-4898_accession-48533,EM02414,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"91,6",,"98,9",,1,
DI04006itknt,2798205,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48441,gnpis_pui:holding-921_taxon-4898_accession-48441,DI04006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"105,4",,"106,3",,3,
EM01104.4itknt,2798207,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49267,gnpis_pui:holding-921_taxon-4898_accession-49267,EM01104.4,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"101,6",,"102,5",,1,
LM03001itkt,2798136,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"100,4",,"108,3",,1,
LM03001itknt,2798135,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"102,3",,"103,2",,2,
RE03108itkt,2798152,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48423,https://doi.org/10.15454/5BUDKG,RE03108,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"97,3",,105,,1,
RE03108itknt,2798151,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48423,https://doi.org/10.15454/5BUDKG,RE03108,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"109,3",,"110,3",,1,
EM01308itkt,2798158,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48674,gnpis_pui:holding-921_taxon-4898_accession-48674,EM01308,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"103,6",,"111,8",,"2,5",
DI04005itknt,2798203,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48460,gnpis_pui:holding-921_taxon-4898_accession-48460,DI04005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"99,7",,"100,6",,1,
DI04001itkt,2798210,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48999,gnpis_pui:holding-921_taxon-4898_accession-48999,DI04001,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"103,5",,"111,7",,1,
DI04004itknt,2798201,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49220,gnpis_pui:holding-921_taxon-4898_accession-49220,DI04004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,91,,"91,8",,"2,5",
RE02099itknt,2798189,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26395,https://doi.org/10.15454/3KYGFX,RE02099,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"113,4",,"114,4",,"4,5",
DI04007itkt,2798162,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49591,gnpis_pui:holding-921_taxon-4898_accession-49591,DI04007,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"101,7",,"109,7",,1,
DI04007itknt,2798161,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49591,gnpis_pui:holding-921_taxon-4898_accession-49591,DI04007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,101,,"101,9",,1,
EM01308itknt,2798157,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48674,gnpis_pui:holding-921_taxon-4898_accession-48674,EM01308,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"100,7",,"101,6",,9,
RE03126itknt,2798155,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49627,gnpis_pui:holding-921_taxon-4898_accession-49627,RE03126,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"97,2",,98,,1,
Farandoleitknt,2798171,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"113,5",,"114,5",,3,
RE02099itkt,2798190,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26395,https://doi.org/10.15454/3KYGFX,RE02099,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"109,6",,"118,3",,1,
RE03126itkt,2798156,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49627,gnpis_pui:holding-921_taxon-4898_accession-49627,RE03126,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"93,4",,"100,7",,1,
EM03017itkt,2798192,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48881,gnpis_pui:holding-921_taxon-4898_accession-48881,EM03017,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"99,5",,"107,4",,1,
EM03017itknt,2798191,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48881,gnpis_pui:holding-921_taxon-4898_accession-48881,EM03017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"106,1",,"107,1",,2,
CF03104itkt,2798174,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"101,6",,"109,6",,1,
EM01058.3itkt,2798186,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49582,gnpis_pui:holding-921_taxon-4898_accession-49582,EM01058.3,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"85,2",,"91,9",,1,
Oratorioitkt,2798198,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"97,9",,"105,6",,1,
CF03104itknt,2798173,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"106,7",,"107,6",,1,
Apacheitkt,2798184,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"103,5",,"111,7",,1,
Apacheitknt,2798183,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,3,,"92,3",,"93,2",,1,
EM01058.3itknt,2798185,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49582,gnpis_pui:holding-921_taxon-4898_accession-49582,EM01058.3,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"90,8",,"91,7",,1,
DI04003itkt,2798216,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49560,gnpis_pui:holding-921_taxon-4898_accession-49560,DI04003,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"99,9",,"107,8",,1,
RE03101itkt,2798148,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,105,,"113,3",,1,
RE02093itknt,2798199,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48606,gnpis_pui:holding-921_taxon-4898_accession-48606,RE02093,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"110,6",,"111,6",,1,
RE03101itknt,2798147,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"102,9",,"103,8",,3,
RE02093itkt,2798200,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48606,gnpis_pui:holding-921_taxon-4898_accession-48606,RE02093,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"104,3",,"112,5",,1,
DI04002itkt,2798212,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48882,gnpis_pui:holding-921_taxon-4898_accession-48882,DI04002,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"102,1",,"110,1",,1,
DI04001itknt,2798209,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48999,gnpis_pui:holding-921_taxon-4898_accession-48999,DI04001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"111,3",,"112,3",,1,
Oratorioitknt,2798197,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"106,5",,"107,5",,1,
