observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
EM01023itkt,2787930,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,treated,2003,100,,,,141,,"102,6",,,,"104,3",,,,,
Apacheitkt,2787912,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,,,133,,"97,1",,,,"98,8",,,,,
EM01023itknt,2787929,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"119,3",,1,,"96,9",,1,,1,
CF00060itkt,2787892,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,138,,"94,8",,,,"96,4",,,,,
RE01015itknt,2787883,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"103,4",,1,,84,,1,,1,
EM01352itkt,2787914,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,,,140,,"93,9",,,,"95,5",,,,,
Isengrainitkt,2787942,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,,,133,,"100,2",,,,"101,8",,,,,
EM01352itknt,2787913,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,2,,,,"112,9",,NA,,"91,6",,NA,,NA,
Apacheitknt,2787911,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"89,5",,3,,"72,7",,1,,1,
CF00060itknt,2787891,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"103,8",,1,,"84,2",,1,,1,
CF01196itknt,2787893,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"106,8",,1,,"86,7",,1,,1,
EM01216itknt,2787917,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,4,,,,"103,9",,1,,"84,4",,1,,1,
EM01024itknt,2787899,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,2,,,,"112,4",,1,,"91,2",,1,,1,
CF01196itkt,2787894,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,treated,2003,100,,,,143,,"101,3",,,,103,,,,,
CF01085itknt,2787923,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"118,2",,1,,96,,1,,1,
CF01085itkt,2787924,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,140,,"106,7",,,,"108,5",,,,,
EM01216itkt,2787918,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,,,139,,"94,8",,,,"96,4",,,,,
Isengrainitknt,2787941,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,2,,,,"106,3",,2,,"86,3",,1,,1,
DI02008itknt,2787927,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"118,9",,1,,"96,5",,1,,2,
DI02006itkt,2787922,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,141,,"101,9",,,,"103,6",,,,,
CF01216itkt,2787896,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,136,,"107,1",,,,"108,9",,,,,
DI02021itknt,2787933,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"114,1",,1,,"92,6",,1,,1,
DI02006itknt,2787921,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,2,,,,"111,8",,1,,"90,7",,1,,1,
EM01150itkt,2787946,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,143,,"95,4",,,,97,,,,,
EM01150itknt,2787945,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"108,9",,1,,"88,4",,1,,1,
EM01062itkt,2787902,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,132,,"90,7",,,,"92,2",,,,,
EM01325itknt,2787907,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,2,,,,"94,5",,NA,,"76,7",,NA,,NA,
EM01062itknt,2787901,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"101,8",,2,,"82,6",,1,,1,
EM01214itkt,2787886,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,,,129,,"95,3",,,,"96,9",,,,,
CF01216itknt,2787895,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"115,8",,1,,94,,1,,1,
EM01288itkt,2787950,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,treated,2003,105,,,,141,,"95,5",,,,"97,1",,,,,
EM01288itknt,2787949,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"113,3",,1,,92,,1,,1,
EM01214itknt,2787885,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,2,,,,"98,5",,1,,80,,1,,2,
DI02001itkt,2787920,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2003,100,,,,138,,"109,4",,,,"111,2",,,,,
EM01024itkt,2787900,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,,,139,,"98,6",,,,"100,2",,,,,
DI02001itknt,2787919,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,2,,,,"127,4",,1,,"103,4",,1,,1,
RE01037itkt,2787890,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,138,,"98,9",,,,"100,6",,,,,
CF01184itkt,2787938,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,,,139,,"99,6",,,,"101,3",,,,,
DI02032itknt,2787887,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"111,7",,1,,"90,6",,1,,1,
CF01184itknt,2787937,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"100,1",,3,,"81,3",,1,,1,
EM01271itkt,2787906,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,treated,2003,100,,,,141,,"95,2",,,,"96,8",,,,,
RE01037itknt,2787889,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,104,,1,,"84,4",,1,,3,
EM01271itknt,2787905,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,3,,,,"106,5",,1,,"86,4",,1,,1,
RE01086itknt,2787943,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"102,2",,3,,"82,9",,1,,1,
RE02101itkt,2787936,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,,,144,,"96,8",,,,"98,4",,,,,
RE01086itkt,2787944,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,,,133,,"92,7",,,,"94,3",,,,,
RE02101itknt,2787935,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"109,3",,1,,"88,8",,1,,1,
Chargeritkt,2787926,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,,,139,,"106,2",,,,"107,9",,,,,
CF01043itkt,2787940,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,,,138,,"98,2",,,,"99,8",,,,,
CF01043itknt,2787939,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,3,,,,"108,2",,1,,"87,8",,1,,1,
Chargeritknt,2787925,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"102,1",,1,,"82,9",,1,,1,
DI02032itkt,2787888,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,140,,"99,2",,,,"100,9",,,,,
EM01325itkt,2787908,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,138,,"96,8",,,,"98,4",,,,,
EM01063itkt,2787904,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,138,,90,,,,"91,5",,,,,
Soissonsitknt,2787947,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,102,,5,,"82,8",,1,,1,
EM01063itknt,2787903,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"103,7",,1,,"84,2",,1,,1,
EM01324itkt,2787910,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,,,143,,87,,,,"88,4",,,,,
Soissonsitkt,2787948,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,,,132,,"96,5",,,,"98,1",,,,,
