observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO11014itkfi,2860423,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,100,,1,,130,,"75,7",,"98,9",,NA,,"92,2",,7,,1,
CF10140itkfi,2860430,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,105,,2,,135,,"74,2",,"96,2",,1,,"89,6",,1,,1,
Apacheitkfi,2860436,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,"4,5",,120,,"74,8",,"102,5",,"1,5",,"95,5",,1,,1,
RE10057itkfi,2860422,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,48915,https://doi.org/10.15454/QZGDLK,RE10057,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,108,,1,,131,,"70,9",,"98,3",,3,,"91,5",,1,,1,
CF10180itkfi,2860455,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,62021,https://doi.org/10.15454/OKKASS,CF10180,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,102,,3,,130,,"76,8",,"96,2",,"1,5",,"89,6",,1,,1,
AO11008itkfi,2860440,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,49376,https://doi.org/10.15454/DLSQIN,AO11008,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,"3,5",,120,,"74,6",,"103,1",,"8,5",,"96,1",,1,,1,
RE10060itkfi,2860445,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,48417,https://doi.org/10.15454/FWPPIV,RE10060,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,108,,2,,132,,"75,7",,"102,4",,"2,5",,"95,4",,1,,1,
CF10186itkfi,2860456,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,62066,https://doi.org/10.15454/DDMJZQ,CF10186,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,108,,2,,128,,"74,9",,"104,2",,2,,"97,1",,1,,1,
DI11010itkfi,2860449,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,60932,https://doi.org/10.15454/FGQ2LJ,DI11010,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,1,,130,,"77,8",,"105,8",,1,,"98,5",,1,,1,
EM10317itkfi,2860424,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61542,https://doi.org/10.15454/GSBZL4,EM10317,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,100,,2,,135,,"71,4",,"83,9",,"4,5",,"78,2",,1,,1,
RE10050itkfi,2860425,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61869,https://doi.org/10.15454/ZWYREX,RE10050,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,2,,134,,70,,"81,9",,"0,5",,"76,3",,7,,1,
DI11009itkfi,2860435,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,60916,https://doi.org/10.15454/SLLOAU,DI11009,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,1,,130,,"79,2",,102,,1,,95,,"1,5",,1,
DI11011itkfi,2860448,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,60948,https://doi.org/10.15454/MPMTXE,DI11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,1,,132,,"77,7",,"103,8",,1,,"96,7",,1,,1,
RE10063itkfi,2860446,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61927,https://doi.org/10.15454/SHFTXF,RE10063,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,110,,1,,131,,72,,"97,5",,"2,5",,"90,8",,1,,1,
Altigoitkfi,2860441,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,3,,126,,"71,4",,93,,"2,5",,"86,6",,4,,1,
RE10081itkfi,2860453,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61975,https://doi.org/10.15454/WIBYI7,RE10081,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,1,,132,,"78,7",,"99,9",,1,,"93,1",,1,,1,
RE10085itkfi,2860432,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,48649,https://doi.org/10.15454/KBZ1TN,RE10085,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,112,,3,,132,,"75,9",,"98,9",,"1,5",,"92,2",,1,,1,
Attlassitkfi,2860447,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,4,,126,,"75,1",,"103,4",,2,,"96,3",,1,,1,
DI11014itkfi,2860452,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,105,,3,,130,,"76,3",,"108,8",,1,,"101,3",,"1,5",,1,
AO11011itkfi,2860438,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,1,,132,,"75,8",,"103,3",,2,,"96,3",,1,,1,
