observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Soissonsitknt,2787743,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,90,,125,,"98,2",,"74,2",,1,
Isengrainitknt,2787737,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,96,,125,,"110,6",,"83,5",,1,
EM01023itkt,2787726,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,treated,2003,91,,134,,"99,4",,"75,8",,1,
RE01015itkt,2787680,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2003,92,,134,,"99,2",,"75,8",,1,
EM01023itknt,2787725,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,94,,135,,"95,2",,"71,9",,1,
Apacheitknt,2787707,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,86,,128,,"102,7",,"77,6",,1,
DI02008itkt,2787724,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,136,,"100,6",,"76,8",,1,
Apacheitkt,2787708,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,128,,"98,1",,"74,8",,1,
EM01352itknt,2787709,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,85,,132,,"89,4",,"67,5",,1,
EM01352itkt,2787710,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,132,,"99,1",,"75,6",,1,
EM01024itkt,2787696,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,treated,2003,91,,134,,"95,1",,"72,6",,1,
CF01196itkt,2787690,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,treated,2003,96,,134,,"95,8",,"73,2",,1,
EM01216itkt,2787714,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,132,,96,,"73,3",,1,
EM01216itknt,2787713,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,88,,132,,"95,7",,"72,3",,1,
CF01196itknt,2787689,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,96,,136,,"92,5",,"69,8",,1,
CF01085itknt,2787719,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,92,,132,,"113,2",,"85,5",,1,
Isengrainitkt,2787738,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2003,91,,126,,"102,9",,"78,6",,1,
DI02006itknt,2787717,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,94,,136,,"97,5",,"73,6",,1,
DI02006itkt,2787718,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2003,92,,135,,"102,1",,"77,9",,1,
CF00060itknt,2787687,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,88,,130,,"88,8",,"67,1",,1,
CF01216itknt,2787691,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,90,,129,,"104,3",,"78,8",,1,
CF01085itkt,2787720,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,132,,"106,3",,"81,1",,1,
CF01216itkt,2787692,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,treated,2003,87,,129,,"105,5",,"80,6",,1,
EM01062itkt,2787698,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,treated,2003,92,,128,,97,,74,,1,
EM01062itknt,2787697,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,96,,126,,"103,8",,"78,4",,1,
EM01150itknt,2787741,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,92,,135,,"92,9",,"70,2",,1,
RE01037itkt,2787686,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,131,,"97,5",,"74,4",,1,
RE01037itknt,2787685,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,90,,132,,"93,7",,"70,8",,1,
EM01150itkt,2787742,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,treated,2003,92,,136,,"93,5",,"71,4",,1,
DI02001itknt,2787715,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,94,,132,,"107,4",,"81,2",,1,
EM01288itkt,2787746,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,treated,2003,100,,134,,"94,5",,"72,1",,1,
DI02001itkt,2787716,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2003,96,,132,,"106,3",,"81,2",,1,
EM01214itkt,2787682,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,treated,2003,86,,120,,"99,4",,"75,9",,1,
EM01288itknt,2787745,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,98,,135,,"92,7",,70,,1,
EM01214itknt,2787681,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,85,,120,,"106,1",,"80,1",,1,
CF01184itkt,2787734,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,treated,2003,86,,134,,"92,4",,"70,6",,1,
CF01184itknt,2787733,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,88,,134,,"93,1",,"70,3",,1,
DI02021itkt,2787730,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,treated,2003,94,,134,,"107,8",,"82,3",,1,
EM01325itkt,2787704,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,132,,"88,6",,"67,6",,1,
EM01271itkt,2787702,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,treated,2003,102,,135,,"103,3",,"78,8",,1,
EM01271itknt,2787701,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,100,,134,,99,,"74,8",,1,
EM01024itknt,2787695,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,90,,133,,"95,7",,"72,2",,1,
RE01086itkt,2787740,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,treated,2003,92,,127,,"99,4",,"75,9",,1,
RE01086itknt,2787739,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,89,,127,,"99,7",,"75,3",,1,
RE02101itkt,2787732,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,treated,2003,92,,138,,"100,6",,"76,8",,1,
DI02032itknt,2787683,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,89,,135,,"94,5",,"71,4",,1,
Chargeritknt,2787721,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,80,,132,,"88,5",,"66,8",,1,
CF01043itknt,2787735,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,84,,132,,"103,9",,"78,4",,1,
CF01043itkt,2787736,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,132,,"97,5",,"74,4",,1,
EM01328itkt,2787712,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,138,,"84,6",,"64,6",,1,
DI02032itkt,2787684,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,134,,"90,9",,"69,4",,1,
EM01328itknt,2787711,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,84,,138,,"90,1",,68,,1,
RE02101itknt,2787731,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,90,,136,,"92,8",,"70,1",,1,
EM01063itknt,2787699,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,90,,134,,"86,4",,"65,2",,1,
Chargeritkt,2787722,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,133,,"101,3",,"77,4",,1,
EM01324itkt,2787706,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,treated,2003,86,,137,,"88,6",,"67,6",,1,
EM01063itkt,2787700,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,treated,2003,94,,133,,"91,5",,"69,8",,1,
EM01324itknt,2787705,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,82,,136,,"87,7",,"66,2",,1,
