observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
EM14072itknt,2975013,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76131,https://doi.org/10.15454/65J2ZZ,EM14072,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,102,,2,,76.8,,1,,2,
EM14072itkt,2975014,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76131,https://doi.org/10.15454/65J2ZZ,EM14072,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,150,,11.4,,73.6,,92.5,,,,77.2,,,,,
CF14324itkt,2975016,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76132,https://doi.org/10.15454/EV7GLW,CF14324,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,141,,10.7,,73.4,,99.3,,,,82.9,,,,,
CF14324itknt,2975015,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76132,https://doi.org/10.15454/EV7GLW,CF14324,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,100.2,,5,,75.5,,1,,2.5,
RE14109itkt,2975018,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76133,https://doi.org/10.15454/CATQUC,RE14109,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,150,,11.7,,70.8,,88.4,,,,73.8,,,,,
RE14109itknt,2975017,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76133,https://doi.org/10.15454/CATQUC,RE14109,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,99.2,,1,,74.7,,1,,1,
CF14322itkt,2975020,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76134,https://doi.org/10.15454/PLAU7T,CF14322,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,144,,11.2,,75.5,,92.9,,,,77.6,,,,,
CF14322itknt,2975019,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76134,https://doi.org/10.15454/PLAU7T,CF14322,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,103.5,,2,,78,,1,,3,
RE14126itkt,2975022,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76135,https://doi.org/10.15454/94U6BB,RE14126,VIRTUAL_TRIAL,,,,,,,,traite,2015,108,,150,,11.9,,74.6,,88.7,,,,74.1,,,,,
RE14126itknt,2975021,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76135,https://doi.org/10.15454/94U6BB,RE14126,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,92.2,,2,,69.5,,1,,2,
RE14102itkt,2975026,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76136,https://doi.org/10.15454/K21FCC,RE14102,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,144,,12.2,,78.5,,94.9,,,,79.2,,,,,
RE14102itknt,2975025,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76136,https://doi.org/10.15454/K21FCC,RE14102,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,105.3,,2.5,,79.4,,1,,2,
RE14106itkt,2975028,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76137,https://doi.org/10.15454/WGTO7X,RE14106,VIRTUAL_TRIAL,,,,,,,,traite,2015,110,,150,,12.1,,72.8,,89.8,,,,74.9,,,,,
RE14106itknt,2975027,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76137,https://doi.org/10.15454/WGTO7X,RE14106,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,99.1,,1,,74.7,,1,,1.5,
CF14188itknt,2975029,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76138,https://doi.org/10.15454/KYFEDO,CF14188,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,97,,1.5,,73.1,,1,,2,
CF14188itkt,2975030,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76138,https://doi.org/10.15454/KYFEDO,CF14188,VIRTUAL_TRIAL,,,,,,,,traite,2015,80,,150,,11.6,,58.3,,91.9,,,,76.7,,,,,
EM14097itknt,2975031,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76139,https://doi.org/10.15454/OELY3F,EM14097,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,102.8,,1.5,,77.5,,1,,2,
EM14097itkt,2975032,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76139,https://doi.org/10.15454/OELY3F,EM14097,VIRTUAL_TRIAL,,,,,,,,traite,2015,80,,148,,11.2,,70.8,,99.2,,,,82.8,,,,,
DI15009itknt,2975041,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76144,https://doi.org/10.15454/F5OZ5D,DI15009,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,99.4,,3.5,,74.9,,1,,2.5,
DI15009itkt,2975042,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76144,https://doi.org/10.15454/F5OZ5D,DI15009,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,144,,10.4,,67.2,,103.1,,,,86.1,,,,,
DI15011itkt,2975044,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76145,https://doi.org/10.15454/VFM9BQ,DI15011,VIRTUAL_TRIAL,,,,,,,,traite,2015,82,,146,,10.8,,75.2,,96.3,,,,80.4,,,,,
DI15011itknt,2975043,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76145,https://doi.org/10.15454/VFM9BQ,DI15011,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,95.8,,4,,72.2,,1.5,,2,
EM14102itkt,2975050,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76147,https://doi.org/10.15454/17R4EG,EM14102,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,144,,12,,75.8,,97.6,,,,81.5,,,,,
EM14102itknt,2975049,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76147,https://doi.org/10.15454/17R4EG,EM14102,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,93.2,,1,,70.3,,1,,2,
RE14115itknt,2975051,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76148,https://doi.org/10.15454/TYWGF0,RE14115,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,110.8,,4,,83.5,,1,,3,
RE14115itkt,2975052,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76148,https://doi.org/10.15454/TYWGF0,RE14115,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,142,,10.4,,73.6,,104.7,,,,87.4,,,,,
RE14114itkt,2975054,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76149,https://doi.org/10.15454/19X6JL,RE14114,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,150,,11,,75.1,,98.6,,,,82.3,,,,,
RE14114itknt,2975053,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76149,https://doi.org/10.15454/19X6JL,RE14114,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,110.5,,3,,83.3,,1,,1,
RE14111itkt,2975058,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76150,https://doi.org/10.15454/RKUHGF,RE14111,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,150,,10.7,,68.3,,98.1,,,,81.9,,,,,
RE14111itknt,2975057,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76150,https://doi.org/10.15454/RKUHGF,RE14111,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,110.8,,1,,83.5,,1,,1,
RE14110itkt,2975060,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76151,https://doi.org/10.15454/CLOCOE,RE14110,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,149,,11.3,,72.4,,88.7,,,,74,,,,,
RE14110itknt,2975059,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76151,https://doi.org/10.15454/CLOCOE,RE14110,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,105.9,,1,,79.8,,1,,1,
EM14142itkt,2975062,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76152,https://doi.org/10.15454/5IZLRI,EM14142,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,138,,9.6,,67.6,,100.5,,,,83.9,,,,,
EM14142itknt,2975061,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76152,https://doi.org/10.15454/5IZLRI,EM14142,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,112,,3,,84.4,,1,,3,
CF14312itknt,2975063,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76153,https://doi.org/10.15454/JHIZDA,CF14312,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,95.1,,6.5,,71.7,,1,,2.5,
CF14312itkt,2975064,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76153,https://doi.org/10.15454/JHIZDA,CF14312,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,141,,10.8,,75.6,,99.2,,,,82.8,,,,,
CF14270itknt,2975067,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76154,https://doi.org/10.15454/0TV1JD,CF14270,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,86.5,,4,,65.2,,1,,3,
CF14270itkt,2975068,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76154,https://doi.org/10.15454/0TV1JD,CF14270,VIRTUAL_TRIAL,,,,,,,,traite,2015,80,,146,,11.4,,69.2,,87.7,,,,73.2,,,,,
RE14090itknt,2975071,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76155,https://doi.org/10.15454/5S69DY,RE14090,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,104.4,,1,,78.7,,1,,2,
RE14090itkt,2975072,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76155,https://doi.org/10.15454/5S69DY,RE14090,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,142,,10.7,,71.2,,98.4,,,,82.1,,,,,
DI15007itkt,2975004,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76126,https://doi.org/10.15454/MP2YBX,DI15007,VIRTUAL_TRIAL,,,,,,,,traite,2015,78,,146,,11.6,,75.3,,101.2,,,,84.4,,,,,
Barokitknt,2975001,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,91.3,,5.5,,68.8,,1,,2.5,
DI15010itkt,2975046,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76146,https://doi.org/10.15454/9AZDI3,DI15010,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,144,,11.1,,69.3,,98.8,,,,82.4,,,,,
DI15010itknt,2975045,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76146,https://doi.org/10.15454/9AZDI3,DI15010,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,97.7,,4.5,,73.7,,1,,3,
Bermudeitkt,2975024,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,148,,10.8,,60.8,,99.2,,,,82.8,,,,,
Bermudeitknt,2975023,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,97.2,,4.5,,73.3,,1,,2.5,
CF14254itkt,2975074,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76156,https://doi.org/10.15454/IKBWDI,CF14254,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,140,,10.8,,70.8,,93.3,,,,77.9,,,,,
CF14254itknt,2975073,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76156,https://doi.org/10.15454/IKBWDI,CF14254,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,91.7,,3.5,,69.1,,1,,3,
CF14255itkt,2975076,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76157,https://doi.org/10.15454/LD0O5U,CF14255,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,138,,10.6,,78.7,,99.8,,,,83.3,,,,,
CF14255itknt,2975075,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76157,https://doi.org/10.15454/LD0O5U,CF14255,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,111.6,,1.5,,84.1,,1,,2,
RE14095itkt,2975078,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76158,https://doi.org/10.15454/GKHYBL,RE14095,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,144,,12.2,,77,,85.4,,,,71.3,,,,,
RE14095itknt,2975077,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76158,https://doi.org/10.15454/GKHYBL,RE14095,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,94.2,,2,,71,,1,,2,
CF14300itkt,2975034,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76140,https://doi.org/10.15454/0GLUIJ,CF14300,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,146,,10.8,,75.4,,95.3,,,,79.5,,,,,
CF14300itknt,2975033,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76140,https://doi.org/10.15454/0GLUIJ,CF14300,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,96.9,,3,,73,,1,,3,
CF14302itkt,2975036,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76141,https://doi.org/10.15454/MD2TW0,CF14302,VIRTUAL_TRIAL,,,,,,,,traite,2015,105,,146,,10.6,,77.9,,95.3,,,,79.6,,,,,
CF14302itknt,2975035,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76141,https://doi.org/10.15454/MD2TW0,CF14302,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,104.5,,2.5,,78.8,,1,,2.5,
RE14089itkt,2975038,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76142,https://doi.org/10.15454/H8G0Q7,RE14089,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,138,,10.3,,72.9,,97.8,,,,81.7,,,,,
RE14089itknt,2975037,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76142,https://doi.org/10.15454/H8G0Q7,RE14089,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,95.4,,4,,71.9,,1,,3,
CF14220itkt,2975040,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76143,https://doi.org/10.15454/BMXICK,CF14220,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,148,,11.5,,72.3,,94,,,,78.5,,,,,
CF14220itknt,2975039,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76143,https://doi.org/10.15454/BMXICK,CF14220,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,95.3,,3,,71.9,,1,,2,
CELLULEitkt,2975048,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,145,,11.5,,73,,94.6,,,,79,,,,,
CELLULEitknt,2975047,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,96.1,,5,,72.4,,1,,2.5,
Gotikitkt,2975056,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,148,,11.1,,60.3,,98.6,,,,82.3,,,,,
Gotikitknt,2975055,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,109.6,,4,,82.6,,1,,2,
RUBISKOitkt,2975070,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,144,,10.1,,75.8,,108.2,,,,90.3,,,,,
RUBISKOitknt,2975069,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,109.2,,1.5,,82.3,,1,,3,
Soissonsitkt,2975066,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,140,,10.4,,72.1,,89.9,,,,75,,,,,
Soissonsitknt,2975065,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,87,,7,,65.5,,1,,3,
AREZZOitkt,2975080,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,142,,10.8,,72.3,,98,,,,81.8,,,,,
AREZZOitknt,2975079,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,97.5,,6,,73.5,,1,,3,
