observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO14015itkt,2885598,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,62064,https://doi.org/10.15454/1MJ4QE,AO14015,VIRTUAL_TRIAL,,,,,,,,treated,2014,134,,81,,"96,2",,4,,"96,3",,1,,1,
AO14019itkt,2885610,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,62128,https://doi.org/10.15454/8LK3JI,AO14019,VIRTUAL_TRIAL,,,,,,,,treated,2014,140,,78,,"100,3",,2,,"100,4",,1,,1,
AO14020itkt,2885615,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,treated,2014,134,,77,,"108,8",,2,,"108,9",,1,,1,
EM12375itkt,2885608,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61352,https://doi.org/10.15454/0JONWQ,EM12375,VIRTUAL_TRIAL,,,,,,,,treated,2014,130,,"78,5",,"97,7",,1,,"97,8",,1,,2,
CF13012itkt,2885586,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,60977,https://doi.org/10.15454/Q94XV8,CF13012,VIRTUAL_TRIAL,,,,,,,,treated,2014,133,,76,,105,,3,,105,,2,,1,
AO14016itkt,2885601,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,62080,https://doi.org/10.15454/ZHXGRT,AO14016,VIRTUAL_TRIAL,,,,,,,,treated,2014,135,,"78,5",,"97,6",,2,,"97,7",,1,,1,
RE13091itkt,2885589,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61648,https://doi.org/10.15454/RB7AM4,RE13091,VIRTUAL_TRIAL,,,,,,,,treated,2014,132,,79,,101,,2,,"101,1",,1,,1,
RE13074itkt,2885604,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61604,https://doi.org/10.15454/DDCHHB,RE13074,VIRTUAL_TRIAL,,,,,,,,treated,2014,136,,"80,5",,"94,2",,1,,"94,3",,1,,3,
AO14009itkt,2885618,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61940,https://doi.org/10.15454/SOX3JM,AO14009,VIRTUAL_TRIAL,,,,,,,,treated,2014,134,,"78,5",,"94,5",,1,,"94,6",,1,,1,
AO14008itkt,2885607,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,treated,2014,135,,"81,5",,"102,4",,1,,"102,5",,1,,1,
Koreliitkt,2885593,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2014,136,,"81,5",,"97,5",,3,,"97,6",,1,,2,
RE13084itkt,2885611,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,treated,2014,133,,"78,5",,"97,1",,2,,"97,2",,1,,1,
RE13086itkt,2885609,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,treated,2014,134,,77,,99,,1,,"99,1",,1,,2,
RE13106itkt,2885614,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,treated,2014,128,,78,,"115,1",,1,,"115,2",,1,,4,
CF13045itkt,2885605,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,48911,gnpis_pui:holding-921_taxon-4898_accession-48911,CF13045,VIRTUAL_TRIAL,,,,,,,,treated,2014,133,,"77,5",,"99,1",,3,,"99,2",,1,,2,
Apacheitkt,2885602,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2014,126,,78,,"102,6",,3,,"102,7",,1,,1,
Lyrikitkt,2885619,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2014,139,,79,,"100,4",,2,,"100,5",,2,,1,
Rubiskoitkt,2885617,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,treated,2014,129,,"76,5",,"100,1",,1,,"100,2",,1,,2,
AO14021itkt,2885616,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,60871,https://doi.org/10.15454/OYOSWH,AO14021,VIRTUAL_TRIAL,,,,,,,,treated,2014,134,,"75,5",,"101,4",,2,,"101,5",,2,,1,
AO14022itkt,2885612,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,treated,2014,140,,"76,5",,"106,3",,1,,"106,4",,1,,1,
Bermudeitkt,2885587,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2014,137,,"77,5",,104,,2,,"104,1",,1,,1,
Arezzoitkt,2885620,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,treated,2014,126,,79,,"93,3",,4,,"93,3",,1,,4,
AO14012itkt,2885597,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61987,https://doi.org/10.15454/FDBTWR,AO14012,VIRTUAL_TRIAL,,,,,,,,treated,2014,131,,"80,5",,98,,3,,"98,1",,2,,1,
