observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
BermudeitkfiRep0,2973563,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,89,,133,,93.4,,65.82,,4.5,,1,
RE14039itkfiRep0,2973585,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76113,https://doi.org/10.15454/JJZSKL,RE14039,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,134,,72.4,,51.03,,1,,1,
RE14088itkfiRep0,2973577,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76106,https://doi.org/10.15454/5SZVGF,RE14088,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,98,,130,,108.2,,76.21,,1,,1,
GallixeitkfiRep0,2973594,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,132,,90.9,,64.04,,1,,1,
CF14171itkfiRep0,2973598,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76123,https://doi.org/10.15454/WTAG8G,CF14171,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,104,,135,,111.9,,78.87,,1,,1,
CF14054itkfiRep0,2973600,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76124,https://doi.org/10.15454/NLXLXP,CF14054,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,132,,115.4,,81.31,,1,,1,
RE14004itkfiRep0,2973567,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76096,https://doi.org/10.15454/XYII5B,RE14004,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,134,,107.7,,75.88,,1,,1,
CF14128itkfiRep0,2973578,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76107,https://doi.org/10.15454/VVTUMV,CF14128,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,106,,133,,118.1,,83.2,,1,,1,
RE14070itkfiRep0,2973586,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76114,https://doi.org/10.15454/TBQHLR,RE14070,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,132,,90.2,,63.53,,1,,1,
EM14050itkfiRep0,2973562,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76093,https://doi.org/10.15454/YFHVTM,EM14050,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,131,,88.2,,62.17,,1,,1,
CF14031itkfiRep0,2973601,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76125,https://doi.org/10.15454/6IXHZR,CF14031,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,105,,133,,85.3,,60.1,,3.5,,1,
CF14009itkfiRep0,2973579,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76108,https://doi.org/10.15454/XHZ6YQ,CF14009,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,134,,69.9,,49.25,,1,,1,
AO15027itkfiRep0,2973568,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76097,https://doi.org/10.15454/O5PGBB,AO15027,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,82,,130,,92.2,,64.96,,1,,1,
RUBISKOitkfiRep0,2973597,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,132,,85.4,,60.21,,2,,1,
AO15026itkfiRep0,2973569,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76098,https://doi.org/10.15454/G7DKZK,AO15026,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,89,,135,,86.3,,60.83,,1,,1,
EM13033itkfiRep0,2973587,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76115,https://doi.org/10.15454/0ZTAZP,EM13033,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,86,,134,,93.5,,65.89,,1,,3,
EM13013itkfiRep0,2973580,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76109,https://doi.org/10.15454/0ZCHAM,EM13013,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,134,,90,,63.39,,1,,1,
CELLULEitkfiRep0,2973583,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,128,,119.4,,84.1,,2,,1,
RE14026itkfiRep0,2973570,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76099,https://doi.org/10.15454/XHSCIT,RE14026,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,98,,126,,105.3,,74.21,,1,,1,
RE14007itkfiRep0,2973565,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76094,https://doi.org/10.15454/GMXFNX,RE14007,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,134,,101.6,,71.6,,1,,3,
RE14022itkfiRep0,2973571,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76100,https://doi.org/10.15454/MH74QS,RE14022,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,128,,87.9,,61.97,,1,,1,
AO15030itkfiRep0,2973588,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76116,https://doi.org/10.15454/BY4WPK,AO15030,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,134,,112.8,,79.49,,1,,1,
CF14034itkfiRep0,2973589,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76117,https://doi.org/10.15454/OWSYXF,CF14034,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,132,,100.7,,70.98,,1,,1,
CF14146itkfiRep0,2973572,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76101,https://doi.org/10.15454/Z9OAXX,CF14146,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,134,,69.4,,48.92,,2,,1,
EM14045itkfiRep0,2973581,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76110,https://doi.org/10.15454/TE3YF6,EM14045,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,134,,96,,67.64,,1,,1,
EM14046itkfiRep0,2973582,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76111,https://doi.org/10.15454/6OEF2E,EM14046,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,135,,74,,52.15,,1,,1,
RE14047itkfiRep0,2973573,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76102,https://doi.org/10.15454/1AMPS2,RE14047,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,98,,132,,86.3,,60.83,,1,,1,
AREZZOitkfiRep0,2973599,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,131,,101.8,,71.72,,1,,1,
ATTLASSitkfiRep0,2973591,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,93,,132,,101.8,,71.72,,1,,1,
AO15028itkfiRep0,2973584,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76112,https://doi.org/10.15454/QKZFIG,AO15028,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,99,,130,,99.1,,69.8,,1,,1,
