observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO12001itknt,2866947,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61241,https://doi.org/10.15454/TKI8XQ,AO12001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,2,,,,1,,,
RE11010itknt,2866899,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60870,https://doi.org/10.15454/RYT1LE,RE11010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,6,,,,1,,,
RE11010itkt,2866900,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60870,https://doi.org/10.15454/RYT1LE,RE11010,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,144,,81,,99,,,,"98,3",,,,8,
AO12001itkt,2866948,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61241,https://doi.org/10.15454/TKI8XQ,AO12001,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,135,,"80,5",,"98,1",,,,"97,4",,,,"1,5",
CF11051itkt,2866886,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,139,,"84,7",,"104,3",,,,"103,5",,,,"1,5",
CF11003itkt,2866942,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61253,https://doi.org/10.15454/0HUC0X,CF11003,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,136,,"82,5",,"87,9",,,,"87,2",,,,1,
EM11366itknt,2866935,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,5,,,,1,,,
CF11003itknt,2866941,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61253,https://doi.org/10.15454/0HUC0X,CF11003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,2,,,,1,,,
CF11051itknt,2866885,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,5,,,,1,,,
CF11032itknt,2866951,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61285,https://doi.org/10.15454/MAOLEE,CF11032,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,2,,,,4,,,
CF11032itkt,2866952,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61285,https://doi.org/10.15454/MAOLEE,CF11032,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,132,,78,,"93,5",,,,"92,8",,,,6,
Altigoitkt,2866930,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,133,,"79,4",,"100,3",,,,"99,5",,,,1,
CF11103itknt,2866925,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61385,https://doi.org/10.15454/99NTYT,CF11103,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,2,,,,1,,,
DI12005itkt,2866906,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,143,,"80,5",,"105,8",,,,105,,,,1,
DI12005itknt,2866905,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,3,,,,2,,,
CF11103itkt,2866926,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61385,https://doi.org/10.15454/99NTYT,CF11103,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,139,,"78,4",,"95,5",,,,"94,8",,,,"5,5",
CF11094itknt,2866889,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61366,https://doi.org/10.15454/WFSIHH,CF11094,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,7,,,,,,,,7,,,,1,,,
RE11013itknt,2866897,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60900,https://doi.org/10.15454/CKLKVS,RE11013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,7,,,,1,,,
RE11013itkt,2866898,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60900,https://doi.org/10.15454/CKLKVS,RE11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,145,,"80,1",,"100,9",,,,"100,2",,,,"7,5",
CF11094itkt,2866890,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61366,https://doi.org/10.15454/WFSIHH,CF11094,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,135,,"77,9",,84,,,,"83,4",,,,1,
AO12002itkt,2866950,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,136,,"78,7",,"105,6",,,,"104,8",,,,1,
EM11389itkt,2866876,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"80,1",,"97,5",,,,"96,8",,,,"3,5",
EM11400itknt,2866933,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,6,,,,1,,,
AO12002itknt,2866949,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,6,,,,,,,,NA,,,,9,,,
AO12003itknt,2866877,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61590,https://doi.org/10.15454/1HGYCF,AO12003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,1,,,,2,,,
AO12003itkt,2866878,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61590,https://doi.org/10.15454/1HGYCF,AO12003,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,136,,"74,4",,"81,1",,,,"80,5",,,,2,
RE11016itknt,2866893,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60933,https://doi.org/10.15454/7NVDSE,RE11016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,5,,,,1,,,
EM11389itknt,2866875,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,2,,,,1,,,
EM11400itkt,2866934,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"76,1",,"92,4",,,,"91,7",,,,2,
DI12001itkt,2866914,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61742,https://doi.org/10.15454/38GFUU,DI12001,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"79,3",,"107,2",,,,"106,4",,,,"2,5",
RE11016itkt,2866894,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60933,https://doi.org/10.15454/7NVDSE,RE11016,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"80,7",,"94,3",,,,"93,6",,,,"8,5",
DI12001itknt,2866913,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61742,https://doi.org/10.15454/38GFUU,DI12001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,NA,,,,9,,,
EM11441itkt,2866916,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,142,,73,,"78,5",,,,78,,,,3,
DI12002itkt,2866912,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61758,https://doi.org/10.15454/OKI00H,DI12002,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,142,,"77,2",,"107,6",,,,"106,8",,,,1,
EM11441itknt,2866915,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,2,,,,1,,,
DI12002itknt,2866911,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61758,https://doi.org/10.15454/OKI00H,DI12002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,1,,,,7,,,
DI12003itknt,2866909,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61774,https://doi.org/10.15454/PDTNHE,DI12003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,4,,,,1,,,
RE11007itknt,2866939,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,49642,https://doi.org/10.15454/TAMDIS,RE11007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,4,,,,1,,,
DI12003itkt,2866910,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61774,https://doi.org/10.15454/PDTNHE,DI12003,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,143,,74,,"98,6",,,,"97,8",,,,"2,5",
RE11015itkt,2866896,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60917,https://doi.org/10.15454/2YDIBV,RE11015,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,144,,"79,5",,"95,5",,,,"94,8",,,,9,
RE10091itkt,2866920,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,62038,https://doi.org/10.15454/4GF0WY,RE10091,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,133,,"79,5",,"101,9",,,,"101,1",,,,1,
Bermudeitkt,2866888,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"78,2",,"97,8",,,,"97,1",,,,2,
RE11007itkt,2866940,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,49642,https://doi.org/10.15454/TAMDIS,RE11007,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,85,,"82,6",,,,"81,9",,,,"1,5",
RE10091itknt,2866919,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,62038,https://doi.org/10.15454/4GF0WY,RE10091,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,NA,,,,8,,,
Altigoitknt,2866929,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,7,,,,1,,,
RE11015itknt,2866895,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60917,https://doi.org/10.15454/2YDIBV,RE11015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,7,,,,1,,,
EM11149itknt,2866881,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,62095,https://doi.org/10.15454/BHSE0Q,EM11149,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,4,,,,1,,,
EM11149itkt,2866882,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,62095,https://doi.org/10.15454/BHSE0Q,EM11149,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"80,7",,"85,2",,,,"84,5",,,,"4,5",
EM11359itkt,2866922,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,62111,https://doi.org/10.15454/CSGOVX,EM11359,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,139,,81,,"97,1",,,,"96,4",,,,5,
AO12008itkt,2866892,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60732,https://doi.org/10.15454/JKQ6L6,AO12008,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,139,,"77,4",,"80,3",,,,"79,7",,,,1,
EM11359itknt,2866921,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,62111,https://doi.org/10.15454/CSGOVX,EM11359,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,3,,,,1,,,
AO12008itknt,2866891,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60732,https://doi.org/10.15454/JKQ6L6,AO12008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,1,,,,1,,,
DI12007itkt,2866902,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61832,https://doi.org/10.15454/HYWSTF,DI12007,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"79,2",,"97,1",,,,"96,4",,,,2,
DI12007itknt,2866901,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61832,https://doi.org/10.15454/HYWSTF,DI12007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,2,,,,1,,,
DI12004itkt,2866908,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,143,,"82,3",,"96,7",,,,96,,,,"1,5",
RE11029itknt,2866943,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60949,https://doi.org/10.15454/2CCYP2,RE11029,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,2,,,,1,,,
DI12006itknt,2866903,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61817,https://doi.org/10.15454/3PVIBR,DI12006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,5,,,,1,,,
AO12009itknt,2866927,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60749,https://doi.org/10.15454/K6ABP7,AO12009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,3,,,,1,,,
AO12009itkt,2866928,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60749,https://doi.org/10.15454/K6ABP7,AO12009,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,138,,"78,8",,"88,8",,,,"88,1",,,,"2,5",
DI12006itkt,2866904,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61817,https://doi.org/10.15454/3PVIBR,DI12006,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"75,7",,"90,3",,,,"89,6",,,,1,
Premioitkt,2866880,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,138,,"81,2",,108,,,,"107,2",,,,1,
Premioitknt,2866879,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,5,,,,1,,,
RE11029itkt,2866944,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60949,https://doi.org/10.15454/2CCYP2,RE11029,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,146,,"79,5",,"79,7",,,,"79,1",,,,1,
AO12012itknt,2866945,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60799,https://doi.org/10.15454/H3MSSG,AO12012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,4,,,,1,,,
Apacheitkt,2866924,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,138,,"83,4",,94,,,,"93,2",,,,1,
Apacheitknt,2866923,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,6,,,,1,,,
DI12004itknt,2866907,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,2,,,,1,,,
AO12012itkt,2866946,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,60799,https://doi.org/10.15454/H3MSSG,AO12012,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,145,,"78,1",,"92,6",,,,"91,9",,,,"1,5",
