observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
CF02033itkt,2790934,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48585,gnpis_pui:holding-921_taxon-4898_accession-48585,CF02033,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,139,,"89,9",,"87,7",,2,
DI03012itkt,2790916,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,26429,https://doi.org/10.15454/FOQIZY,DI03012,VIRTUAL_TRIAL,,,,,,,,treated,2003,93,,137,,"84,4",,"82,3",,1,
DI03013itkt,2790932,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49692,gnpis_pui:holding-921_taxon-4898_accession-49692,DI03013,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,137,,"83,9",,"81,8",,3,
Apacheitkt,2790933,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,77,,128,,99,,"96,5",,2,
RE02180itkt,2790949,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48750,gnpis_pui:holding-921_taxon-4898_accession-48750,RE02180,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,135,,90,,"87,7",,1,
RE02186itkt,2790947,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49363,gnpis_pui:holding-921_taxon-4898_accession-49363,RE02186,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,136,,"91,6",,"89,3",,1,
RE02073itkt,2790942,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48792,gnpis_pui:holding-921_taxon-4898_accession-48792,RE02073,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,127,,"100,3",,"97,8",,1,
CF01046itkt,2790952,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,138,,"104,8",,"102,2",,1,
EM02120itkt,2790935,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48658,gnpis_pui:holding-921_taxon-4898_accession-48658,EM02120,VIRTUAL_TRIAL,,,,,,,,treated,2003,98,,140,,"91,6",,"89,3",,2,
EM02018itkt,2790931,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48897,gnpis_pui:holding-921_taxon-4898_accession-48897,EM02018,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,128,,"85,5",,"83,4",,1,
CF01014itkt,2790924,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,26418,https://doi.org/10.15454/QCJETR,CF01014,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,137,,"94,2",,"91,8",,1,
Isengrainitkt,2790950,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,126,,"106,7",,104,,1,
