observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF04184itkt,2807641,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,treated,2005,75,,141,,"88,5",,"70,4",
DI05018itkt,2807617,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,48575,gnpis_pui:holding-921_taxon-4898_accession-48575,DI05018,VIRTUAL_TRIAL,,,,,,,,treated,2005,76,,140,,"95,1",,"75,7",
Caphornitkt,2807630,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2005,70,,141,,"93,2",,"74,2",
CF04076itkt,2807606,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,146,,"92,3",,"73,4",
DI05016itkt,2807623,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,48795,gnpis_pui:holding-921_taxon-4898_accession-48795,DI05016,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,148,,"109,7",,"87,4",
RE04043itkt,2807615,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,treated,2005,71,,148,,91,,"72,4",
EM04343itkt,2807629,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,48611,gnpis_pui:holding-921_taxon-4898_accession-48611,EM04343,VIRTUAL_TRIAL,,,,,,,,treated,2005,75,,146,,"100,1",,"79,7",
RE04060itkt,2807610,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49071,gnpis_pui:holding-921_taxon-4898_accession-49071,RE04060,VIRTUAL_TRIAL,,,,,,,,treated,2005,69,,146,,"80,2",,"63,8",
RE04044itkt,2807635,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49479,gnpis_pui:holding-921_taxon-4898_accession-49479,RE04044,VIRTUAL_TRIAL,,,,,,,,treated,2005,82,,138,,"90,7",,"72,2",
DI05012itkt,2807626,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,48954,gnpis_pui:holding-921_taxon-4898_accession-48954,DI05012,VIRTUAL_TRIAL,,,,,,,,treated,2005,75,,146,,96,,"76,4",
EM04334itkt,2807609,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49302,gnpis_pui:holding-921_taxon-4898_accession-49302,EM04334,VIRTUAL_TRIAL,,,,,,,,treated,2005,84,,150,,"101,5",,"80,8",
DI05013itkt,2807627,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,48379,gnpis_pui:holding-921_taxon-4898_accession-48379,DI05013,VIRTUAL_TRIAL,,,,,,,,treated,2005,72,,146,,"89,8",,"71,4",
DI05011itkt,2807625,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,48754,gnpis_pui:holding-921_taxon-4898_accession-48754,DI05011,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,149,,"100,8",,"80,2",
Farandoleitkt,2807631,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2005,64,,140,,"96,9",,"77,2",
Apacheitkt,2807628,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,140,,"109,5",,"87,2",
DI05015itkt,2807622,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49357,gnpis_pui:holding-921_taxon-4898_accession-49357,DI05015,VIRTUAL_TRIAL,,,,,,,,treated,2005,61,,141,,"89,3",,71,
RE04020itkt,2807611,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49413,gnpis_pui:holding-921_taxon-4898_accession-49413,RE04020,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,149,,"89,3",,"71,1",
Orvantisitkt,2807640,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,77,,141,,"100,9",,"80,4",
RE04066itkt,2807608,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49212,gnpis_pui:holding-921_taxon-4898_accession-49212,RE04066,VIRTUAL_TRIAL,,,,,,,,treated,2005,70,,144,,"99,4",,"79,1",
RE04071itkt,2807634,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49565,gnpis_pui:holding-921_taxon-4898_accession-49565,RE04071,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,149,,"101,8",,81,
AO05002itkt,2807619,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49364,https://doi.org/10.15454/DWZO1B,AO05002,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,138,,"90,5",,72,
EM04241itkt,2807636,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,treated,2005,71,,146,,"94,2",,"74,9",
DI05017itkt,2807624,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49658,gnpis_pui:holding-921_taxon-4898_accession-49658,DI05017,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,148,,"94,8",,"75,5",
RE04035itkt,2807638,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49143,gnpis_pui:holding-921_taxon-4898_accession-49143,RE04035,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,149,,"88,3",,"70,2",
AO05004itkt,2807616,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,144,,"93,2",,"74,2",
AO05003itkt,2807620,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49730,gnpis_pui:holding-921_taxon-4898_accession-49730,AO05003,VIRTUAL_TRIAL,,,,,,,,treated,2005,71,,146,,"97,9",,"77,9",
RE04039itkt,2807633,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49389,gnpis_pui:holding-921_taxon-4898_accession-49389,RE04039,VIRTUAL_TRIAL,,,,,,,,treated,2005,65,,148,,"92,7",,"73,8",
Chargeritkt,2807632,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,66,,146,,"96,3",,"76,6",
