observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date,SeedArea(CO_321:1000144),SeedArea(CO_321:1000144).date,SeedLength(CO_321:1000146),SeedLength(CO_321:1000146).date,SeedWidth(CO_321:1000147),SeedWidth(CO_321:1000147).date
64,3292331,BS3,Barley_Spring_MTA,63729,https://doi.org/10.15454/1ICTF8,HID102,BLOCK>PLOT,,,,,18,20,"BLOCK>PLOT:64,BLOCK:4",2015,62,2015-05-12T02:00:00Z,84,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,24,2015-10-28T01:00:00Z,9.8,2015-10-28T01:00:00Z,3.2,2015-10-28T01:00:00Z
19,3292057,BS3,Barley_Spring_MTA,63732,https://doi.org/10.15454/CBJQYX,HID138,BLOCK>PLOT,,,,,5,9,"BLOCK>PLOT:19,BLOCK:2",2015,65,2015-05-15T02:00:00Z,67,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,26.8,2015-11-30T01:00:00Z,13,2015-11-30T01:00:00Z,2.7,2015-11-30T01:00:00Z
2,3292042,BS3,Barley_Spring_MTA,63734,https://doi.org/10.15454/DTJFZZ,HID144,BLOCK>PLOT,,,,,4,14,"BLOCK>PLOT:2,BLOCK:3",2015,61,2015-05-11T02:00:00Z,56,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,23,2015-11-30T01:00:00Z,9.6,2015-11-30T01:00:00Z,3.3,2015-11-30T01:00:00Z
10,3292360,BS3,Barley_Spring_MTA,63736,https://doi.org/10.15454/S835AV,HID249,BLOCK>PLOT,,,,,20,8,"BLOCK>PLOT:10,BLOCK:5",2015,70,2015-05-20T02:00:00Z,65,2015-06-16T02:00:00Z,2,2015-04-26T02:00:00Z,27.8,2015-10-28T01:00:00Z,9.2,2015-10-28T01:00:00Z,4.2,2015-10-28T01:00:00Z
51,3292257,BS3,Barley_Spring_MTA,63737,https://doi.org/10.15454/AJTGSW,HID294,BLOCK>PLOT,,,,,15,6,"BLOCK>PLOT:51,BLOCK:6",2015,69,2015-05-19T02:00:00Z,78,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,29.6,2015-10-26T01:00:00Z,9.9,2015-10-26T01:00:00Z,3.9,2015-10-26T01:00:00Z
31,3291970,BS3,Barley_Spring_MTA,63738,https://doi.org/10.15454/WFXN7P,HID295,BLOCK>PLOT,,,,,1,4,"BLOCK>PLOT:31,BLOCK:1",2015,68,2015-05-18T02:00:00Z,73,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,22.9,2015-11-19T01:00:00Z,9.2,2015-11-19T01:00:00Z,3.4,2015-11-19T01:00:00Z
8,3292246,BS3,Barley_Spring_MTA,63739,https://doi.org/10.15454/ANY083,HID357,BLOCK>PLOT,,,,,14,15,"BLOCK>PLOT:8,BLOCK:4",2015,82,2015-06-01T02:00:00Z,70,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,22.6,2015-11-20T01:00:00Z,9.2,2015-11-20T01:00:00Z,3.3,2015-11-20T01:00:00Z
57,3292094,BS3,Barley_Spring_MTA,63280,https://doi.org/10.15454/CZD0RM,HID20A,BLOCK>PLOT,,,,,7,6,"BLOCK>PLOT:57,BLOCK:1",2015,63,2015-05-13T02:00:00Z,79,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,29.1,2015-11-20T01:00:00Z,10.7,2015-11-20T01:00:00Z,3.7,2015-11-20T01:00:00Z
26,3292071,BS3,Barley_Spring_MTA,63281,https://doi.org/10.15454/T9OMFQ,HID58,BLOCK>PLOT,,,,,6,3,"BLOCK>PLOT:26,BLOCK:1",2015,74,2015-05-24T02:00:00Z,86,2015-06-16T02:00:00Z,1,2015-04-26T02:00:00Z,22.1,2015-11-19T01:00:00Z,9.4,2015-11-19T01:00:00Z,3.1,2015-11-19T01:00:00Z
11,3292551,BS3,Barley_Spring_MTA,63282,https://doi.org/10.15454/BRXMPM,HID264,BLOCK>PLOT,,,,,30,1,"BLOCK>PLOT:11,BLOCK:7",2015,74,2015-05-24T02:00:00Z,76,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,17.9,2015-10-21T02:00:00Z,6.9,2015-10-21T02:00:00Z,3.4,2015-10-21T02:00:00Z
35,3292052,BS3,Barley_Spring_MTA,63283,https://doi.org/10.15454/N9YMGG,HSI41,BLOCK>PLOT,,,,,5,4,"BLOCK>PLOT:35,BLOCK:1",2015,83,2015-06-02T02:00:00Z,76,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,27.6,2015-12-01T01:00:00Z,10.5,2015-12-01T01:00:00Z,3.7,2015-12-01T01:00:00Z
27,3292144,BS3,Barley_Spring_MTA,63401,https://doi.org/10.15454/LNOVUG,Belford,BLOCK>PLOT,,,,,9,16,"BLOCK>PLOT:27,BLOCK:3",2015,74,2015-05-24T02:00:00Z,84,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,23.2,2015-11-30T01:00:00Z,8.4,2015-11-30T01:00:00Z,3.7,2015-11-30T01:00:00Z
58,3292562,BS3,Barley_Spring_MTA,63707,https://doi.org/10.15454/5NNKY4,HOR1464,BLOCK>PLOT,,,,,30,12,"BLOCK>PLOT:58,BLOCK:8",2015,79,2015-05-29T02:00:00Z,72,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,27.5,2015-10-19T02:00:00Z,9.4,2015-10-19T02:00:00Z,4,2015-10-19T02:00:00Z
31,3292025,BS3,Barley_Spring_MTA,63708,https://doi.org/10.15454/TVCVMM,HOR7321,BLOCK>PLOT,,,,,3,17,"BLOCK>PLOT:31,BLOCK:3",2015,69,2015-05-19T02:00:00Z,51,2015-06-16T02:00:00Z,2,2015-04-26T02:00:00Z,28.8,2015-11-30T01:00:00Z,11.1,2015-11-30T01:00:00Z,3.6,2015-11-30T01:00:00Z
21,3292423,BS3,Barley_Spring_MTA,63299,https://doi.org/10.15454/VF1AIA,HOR2573,BLOCK>PLOT,,,,,23,9,"BLOCK>PLOT:21,BLOCK:8",2015,83,2015-06-02T02:00:00Z,70,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,32.2,2015-11-03T01:00:00Z,13.7,2015-11-03T01:00:00Z,3,2015-11-03T01:00:00Z
24,3292375,BS3,Barley_Spring_MTA,63317,https://doi.org/10.15454/E7TXP4,HOR6253,BLOCK>PLOT,,,,,21,3,"BLOCK>PLOT:24,BLOCK:7",2015,71,2015-05-21T02:00:00Z,75,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,18.3,2015-10-28T01:00:00Z,6.8,2015-10-28T01:00:00Z,3.4,2015-10-28T01:00:00Z
64,3292318,BS3,Barley_Spring_MTA,63319,https://doi.org/10.15454/0MQZGO,HOR3536,BLOCK>PLOT,,,,,18,7,"BLOCK>PLOT:64,BLOCK:6",2015,71,2015-05-21T02:00:00Z,75,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,23.4,2015-10-27T01:00:00Z,10.2,2015-10-27T01:00:00Z,3,2015-10-27T01:00:00Z
13,3292220,BS3,Barley_Spring_MTA,63326,https://doi.org/10.15454/QBQVDJ,HOR10761,BLOCK>PLOT,,,,,13,9,"BLOCK>PLOT:13,BLOCK:5",2015,77,2015-05-27T02:00:00Z,72,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,24.7,2015-11-20T01:00:00Z,9.6,2015-11-20T01:00:00Z,3.6,2015-11-20T01:00:00Z
62,3292447,BS3,Barley_Spring_MTA,63308,https://doi.org/10.15454/IIW81P,HOR4031,BLOCK>PLOT,,,,,24,13,"BLOCK>PLOT:62,BLOCK:8",2015,69,2015-05-19T02:00:00Z,71,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,36.7,2015-12-01T01:00:00Z,17,2015-12-01T01:00:00Z,2.7,2015-12-01T01:00:00Z
52,3292517,BS3,Barley_Spring_MTA,63323,https://doi.org/10.15454/EQF6XO,HOR8658,BLOCK>PLOT,,,,,28,5,"BLOCK>PLOT:52,BLOCK:7",2015,67,2015-05-17T02:00:00Z,65,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,29.8,2015-12-01T01:00:00Z,11.4,2015-12-01T01:00:00Z,3.5,2015-12-01T01:00:00Z
50,3292080,BS3,Barley_Spring_MTA,63355,https://doi.org/10.15454/2HVRPA,Shayir IG 32973,BLOCK>PLOT,,,,,6,12,"BLOCK>PLOT:50,BLOCK:2",2015,92,2015-06-11T02:00:00Z,59,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,23.8,2015-12-01T01:00:00Z,9.3,2015-12-01T01:00:00Z,3.5,2015-12-01T01:00:00Z
32,3292202,BS3,Barley_Spring_MTA,63254,https://doi.org/10.15454/SOSSPT,Saffron,BLOCK>PLOT,,,,,12,11,"BLOCK>PLOT:32,BLOCK:5",2015,83,2015-06-02T02:00:00Z,60,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,27.7,2015-11-19T01:00:00Z,10.8,2015-11-19T01:00:00Z,3.6,2015-11-19T01:00:00Z
35,3292315,BS3,Barley_Spring_MTA,63286,https://doi.org/10.15454/09YYMB,Istos,BLOCK>PLOT,,,,,18,4,"BLOCK>PLOT:35,BLOCK:6",2015,74,2015-05-24T02:00:00Z,60,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,31,2015-10-26T01:00:00Z,11.7,2015-10-26T01:00:00Z,3.7,2015-10-26T01:00:00Z
39,3292458,BS3,Barley_Spring_MTA,63725,https://doi.org/10.15454/VQCVOI,HID69,BLOCK>PLOT,,,,,25,4,"BLOCK>PLOT:39,BLOCK:7",2015,67,2015-05-17T02:00:00Z,63,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,37.4,2015-11-30T01:00:00Z,16.1,2015-11-30T01:00:00Z,3,2015-11-30T01:00:00Z
10,3292076,BS3,Barley_Spring_MTA,63733,https://doi.org/10.15454/IEYOAX,HID140,BLOCK>PLOT,,,,,6,8,"BLOCK>PLOT:10,BLOCK:2",2015,63,2015-05-13T02:00:00Z,86,2015-06-16T02:00:00Z,2,2015-04-26T02:00:00Z,25.6,2015-11-30T01:00:00Z,9.6,2015-11-30T01:00:00Z,3.7,2015-11-30T01:00:00Z
50,3292270,BS3,Barley_Spring_MTA,63641,https://doi.org/10.15454/YBKTZH,HOR940,BLOCK>PLOT,,,,,15,19,"BLOCK>PLOT:50,BLOCK:4",2015,79,2015-05-29T02:00:00Z,75,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,28.7,2015-10-26T01:00:00Z,10.2,2015-10-26T01:00:00Z,3.7,2015-10-26T01:00:00Z
29,3292131,BS3,Barley_Spring_MTA,63255,https://doi.org/10.15454/LPRPDX,Joy,BLOCK>PLOT,,,,,9,3,"BLOCK>PLOT:29,BLOCK:1",2015,85,2015-06-04T02:00:00Z,58,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,23.1,2015-11-20T01:00:00Z,8.1,2015-11-20T01:00:00Z,3.8,2015-11-20T01:00:00Z
15,3292103,BS3,Barley_Spring_MTA,63256,https://doi.org/10.15454/JWQWPH,Wintmalt,BLOCK>PLOT,,,,,7,15,"BLOCK>PLOT:15,BLOCK:3",2015,83,2015-06-02T02:00:00Z,65,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,26.3,2015-11-19T01:00:00Z,8.9,2015-11-19T01:00:00Z,4,2015-11-19T01:00:00Z
5,3292102,BS3,Barley_Spring_MTA,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,7,14,"BLOCK>PLOT:5,BLOCK:3",2015,79,2015-05-29T02:00:00Z,74,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,25.3,2015-11-19T01:00:00Z,8.6,2015-11-19T01:00:00Z,4,2015-11-19T01:00:00Z
25,3292051,BS3,Barley_Spring_MTA,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,5,3,"BLOCK>PLOT:25,BLOCK:1",2015,81,2015-05-31T02:00:00Z,64,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,21,2015-12-01T01:00:00Z,9,2015-12-01T01:00:00Z,3.1,2015-12-01T01:00:00Z
62,3292121,BS3,Barley_Spring_MTA,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,8,13,"BLOCK>PLOT:62,BLOCK:2",2015,83,2015-06-02T02:00:00Z,70,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,27.6,2015-11-20T01:00:00Z,11.1,2015-11-20T01:00:00Z,3.4,2015-11-20T01:00:00Z
34,3292085,BS3,Barley_Spring_MTA,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,6,17,"BLOCK>PLOT:34,BLOCK:3",2015,80,2015-05-30T02:00:00Z,68,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,23,2015-11-03T01:00:00Z,8.6,2015-11-03T01:00:00Z,3.6,2015-11-03T01:00:00Z
5,3292186,BS3,Barley_Spring_MTA,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,11,15,"BLOCK>PLOT:5,BLOCK:4",2015,82,2015-06-01T02:00:00Z,58,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,25.6,2015-11-30T01:00:00Z,9.8,2015-11-30T01:00:00Z,3.6,2015-11-30T01:00:00Z
14,3292253,BS3,Barley_Spring_MTA,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,15,2,"BLOCK>PLOT:14,BLOCK:6",2015,80,2015-05-30T02:00:00Z,67,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,26,2015-10-26T01:00:00Z,9.3,2015-10-26T01:00:00Z,3.8,2015-10-26T01:00:00Z
42,3292203,BS3,Barley_Spring_MTA,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,12,12,"BLOCK>PLOT:42,BLOCK:5",2015,83,2015-06-02T02:00:00Z,63,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,19.5,2015-11-30T01:00:00Z,8.6,2015-11-30T01:00:00Z,3,2015-11-30T01:00:00Z
51,3292498,BS3,Barley_Spring_MTA,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,27,5,"BLOCK>PLOT:51,BLOCK:7",2015,82,2015-06-01T02:00:00Z,68,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,31.2,2015-10-21T02:00:00Z,12.3,2015-10-21T02:00:00Z,3.7,2015-10-21T02:00:00Z
23,3292463,BS3,Barley_Spring_MTA,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,25,9,"BLOCK>PLOT:23,BLOCK:8",2015,80,2015-05-30T02:00:00Z,56,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,22.6,2015-11-20T01:00:00Z,8.8,2015-11-20T01:00:00Z,3.5,2015-11-20T01:00:00Z
53,3292466,BS3,Barley_Spring_MTA,63258,https://doi.org/10.15454/Q4AGLT,Escadre,BLOCK>PLOT,,,,,25,12,"BLOCK>PLOT:53,BLOCK:8",2015,76,2015-05-26T02:00:00Z,65,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,35.5,2015-10-28T01:00:00Z,12.8,2015-10-28T01:00:00Z,3.8,2015-10-28T01:00:00Z
39,3292384,BS3,Barley_Spring_MTA,63259,https://doi.org/10.15454/UAAW9V,Lomerit,BLOCK>PLOT,,,,,21,11,"BLOCK>PLOT:39,BLOCK:8",2015,78,2015-05-28T02:00:00Z,70,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,31.4,2015-10-28T01:00:00Z,12.1,2015-10-28T01:00:00Z,3.6,2015-10-28T01:00:00Z
39,3292132,BS3,Barley_Spring_MTA,63260,https://doi.org/10.15454/MMEZWL,Tenor,BLOCK>PLOT,,,,,9,4,"BLOCK>PLOT:39,BLOCK:1",2015,86,2015-06-05T02:00:00Z,61,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,24.9,2015-11-20T01:00:00Z,9.7,2015-11-20T01:00:00Z,3.5,2015-11-20T01:00:00Z
28,3292111,BS3,Barley_Spring_MTA,63261,https://doi.org/10.15454/RMF2SY,Tonic,BLOCK>PLOT,,,,,8,3,"BLOCK>PLOT:28,BLOCK:1",2015,74,2015-05-24T02:00:00Z,66,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,23.1,2015-11-19T01:00:00Z,9.2,2015-11-19T01:00:00Z,3.2,2015-11-19T01:00:00Z
54,3292317,BS3,Barley_Spring_MTA,63263,https://doi.org/10.15454/2VGO3X,Irina,BLOCK>PLOT,,,,,18,6,"BLOCK>PLOT:54,BLOCK:6",2015,81,2015-05-31T02:00:00Z,60,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,24,2015-10-27T01:00:00Z,8.9,2015-10-27T01:00:00Z,3.7,2015-10-27T01:00:00Z
40,3292152,BS3,Barley_Spring_MTA,63263,https://doi.org/10.15454/2VGO3X,Irina,BLOCK>PLOT,,,,,10,4,"BLOCK>PLOT:40,BLOCK:1",2015,76,2015-05-26T02:00:00Z,55,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,31.5,2015-11-30T01:00:00Z,11.4,2015-11-30T01:00:00Z,3.8,2015-11-30T01:00:00Z
45,3291979,BS3,Barley_Spring_MTA,63263,https://doi.org/10.15454/2VGO3X,Irina,BLOCK>PLOT,,,,,1,12,"BLOCK>PLOT:45,BLOCK:2",2015,76,2015-05-26T02:00:00Z,65,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,24.6,2015-11-20T01:00:00Z,9.2,2015-11-20T01:00:00Z,3.6,2015-11-20T01:00:00Z
50,3292007,BS3,Barley_Spring_MTA,63263,https://doi.org/10.15454/2VGO3X,Irina,BLOCK>PLOT,,,,,2,19,"BLOCK>PLOT:50,BLOCK:3",2015,74,2015-05-24T02:00:00Z,56,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,25.9,2015-11-20T01:00:00Z,9.7,2015-11-20T01:00:00Z,3.6,2015-11-20T01:00:00Z
55,3292371,BS3,Barley_Spring_MTA,63263,https://doi.org/10.15454/2VGO3X,Irina,BLOCK>PLOT,,,,,20,19,"BLOCK>PLOT:55,BLOCK:4",2015,76,2015-05-26T02:00:00Z,51,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,26.1,2015-10-28T01:00:00Z,10.8,2015-10-28T01:00:00Z,3.3,2015-10-28T01:00:00Z
65,3292338,BS3,Barley_Spring_MTA,63263,https://doi.org/10.15454/2VGO3X,Irina,BLOCK>PLOT,,,,,19,7,"BLOCK>PLOT:65,BLOCK:6",2015,76,2015-05-26T02:00:00Z,59,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,24.8,2015-11-02T01:00:00Z,10,2015-11-02T01:00:00Z,3.4,2015-11-02T01:00:00Z
60,3292365,BS3,Barley_Spring_MTA,63263,https://doi.org/10.15454/2VGO3X,Irina,BLOCK>PLOT,,,,,20,13,"BLOCK>PLOT:60,BLOCK:5",2015,76,2015-05-26T02:00:00Z,57,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,25.1,2015-10-28T01:00:00Z,9.2,2015-10-28T01:00:00Z,3.7,2015-10-28T01:00:00Z
5,3292435,BS3,Barley_Spring_MTA,63263,https://doi.org/10.15454/2VGO3X,Irina,BLOCK>PLOT,,,,,24,1,"BLOCK>PLOT:5,BLOCK:7",2015,76,2015-05-26T02:00:00Z,52,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,24.6,2015-11-20T01:00:00Z,9.6,2015-11-20T01:00:00Z,3.5,2015-11-20T01:00:00Z
10,3292402,BS3,Barley_Spring_MTA,63263,https://doi.org/10.15454/2VGO3X,Irina,BLOCK>PLOT,,,,,22,8,"BLOCK>PLOT:10,BLOCK:8",2015,78,2015-05-28T02:00:00Z,67,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,22.7,2015-11-04T01:00:00Z,9.1,2015-11-04T01:00:00Z,3.4,2015-11-04T01:00:00Z
23,3292221,BS3,Barley_Spring_MTA,63264,https://doi.org/10.15454/UWDPIV,Aurelia,BLOCK>PLOT,,,,,13,10,"BLOCK>PLOT:23,BLOCK:5",2015,76,2015-05-26T02:00:00Z,58,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,31.2,2015-11-20T01:00:00Z,12,2015-11-20T01:00:00Z,3.7,2015-11-20T01:00:00Z
