observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,Drought,season,AwnLength(WIPO:0000273),AwnLength(WIPO:0000273).date,AwnRoughness(WIPO:0000274),AwnRoughness(WIPO:0000274).date,FruitingEfficiency(WIPO:0000277),FruitingEfficiency(WIPO:0000277).date,GrainWeight(CO_321:1000177),GrainWeight(CO_321:1000177).date,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PeduncleLength(WIPO:0000278),PeduncleLength(WIPO:0000278).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date,SpikeLength(CO_321:1000079),SpikeLength(CO_321:1000079).date
ww-229BLOCK2PLOT52,3032745,WW5,Wheat_Winter_TUR,48298,https://doi.org/10.15454/URVDCC,IG 119456,VIRTUAL_TRIAL,,,,,6,17,,Rainfed,2015,,,,,,,,,42151,2015-05-29T02:00:00Z,"71,5",,18,,2,2014-11-12T01:00:00Z,,
ww-229BLOCK4PLOT56,3033651,WW5,Wheat_Winter_TUR,48298,https://doi.org/10.15454/URVDCC,IG 119456,VIRTUAL_TRIAL,,,,,2,37,,Irrigated,2015,,,,,,,,,193,2015-05-24T02:00:00Z,83,,"28,5",,1,,,
ww-056BLOCK3PLOT49,3032871,WW5,Wheat_Winter_TUR,48153,https://doi.org/10.15454/IW6V5I,WELFORD,VIRTUAL_TRIAL,,,,,6,26,,Rainfed,2015,1,,"1,184",,"0,7403846154",,"33,7450199203",,42159,2015-06-04T02:00:00Z,62,,28,,2,2014-11-12T01:00:00Z,"8,7",
ww-056BLOCK4PLOT33,3033600,WW5,Wheat_Winter_TUR,48153,https://doi.org/10.15454/IW6V5I,WELFORD,VIRTUAL_TRIAL,,,,,7,33,,Irrigated,2015,,,,,"0,7005988024",,"28,5365853659",,196,2015-05-27T02:00:00Z,61,,"13,5",,1,,"10,1",
ww-056BLOCK10PLOT33,3033743,WW5,Wheat_Winter_TUR,48153,https://doi.org/10.15454/IW6V5I,WELFORD,VIRTUAL_TRIAL,,,,,10,43,,Irrigated,2015,,,,,"0,6885135135",,"30,9726443769",,196,2015-05-27T02:00:00Z,"55,5",,14,,2,,"10,2",
ww-092BLOCK9PLOT33,3033106,WW5,Wheat_Winter_TUR,48171,https://doi.org/10.15454/KNPKBU,SALINE,VIRTUAL_TRIAL,,,,,3,43,,Rainfed,2015,"3,125",,"1,2",,"0,7354037267",,"38,6928104575",,42153,2015-05-29T02:00:00Z,"125,5",,27,,2,2014-11-12T01:00:00Z,"9,25",
ww-092BLOCK4PLOT16,3032939,WW5,Wheat_Winter_TUR,48171,https://doi.org/10.15454/KNPKBU,SALINE,VIRTUAL_TRIAL,,,,,4,31,,Rainfed,2015,"3,125",,"1,2",,"0,7080291971",,"40,756302521",,42151,2015-05-28T02:00:00Z,117,,30,,2,2014-11-12T01:00:00Z,9,
ww-092BLOCK4PLOT52,3033640,WW5,Wheat_Winter_TUR,48171,https://doi.org/10.15454/KNPKBU,SALINE,VIRTUAL_TRIAL,,,,,5,36,,Irrigated,2015,"3,15",,"1,2",,"0,6032229965",,"35,152284264",,196,2015-05-27T02:00:00Z,117,,"36,5",,1,,"11,4",
ww-094BLOCK2PLOT47,3032740,WW5,Wheat_Winter_TUR,48172,https://doi.org/10.15454/KLUTNK,SPERLINGS BUHLENDORFER,VIRTUAL_TRIAL,,,,,1,17,,Rainfed,2015,,,,,"0,7287535411",,35,,42157,2015-06-04T02:00:00Z,92,,28,,2,2014-11-12T01:00:00Z,"7,8",
ww-094BLOCK3PLOT56,3033515,WW5,Wheat_Winter_TUR,48172,https://doi.org/10.15454/KLUTNK,SPERLINGS BUHLENDORFER,VIRTUAL_TRIAL,,,,,6,27,,Irrigated,2015,,,,,"0,6650975118",,"32,3202614379",,197,2015-05-28T02:00:00Z,89,,"19,5",,1,,"7,3",
ww-095BLOCK9PLOT48,3033135,WW5,Wheat_Winter_TUR,48173,https://doi.org/10.15454/QIOOSZ,LI-CHO Nr. 3,VIRTUAL_TRIAL,,,,,4,45,,Rainfed,2015,,,,,,,,,42156,2015-06-01T02:00:00Z,"111,5",,28,,2,2014-11-12T01:00:00Z,,
ww-095BLOCK2PLOT64,3032772,WW5,Wheat_Winter_TUR,48173,https://doi.org/10.15454/QIOOSZ,LI-CHO Nr. 3,VIRTUAL_TRIAL,,,,,5,19,,Rainfed,2015,,,,,"0,6839430894",,"30,4524886878",,42151,2015-05-29T02:00:00Z,"104,5",,33,,2,2014-11-12T01:00:00Z,"11,7",
ww-095BLOCK3PLOT16,3033440,WW5,Wheat_Winter_TUR,48173,https://doi.org/10.15454/QIOOSZ,LI-CHO Nr. 3,VIRTUAL_TRIAL,,,,,1,22,,Irrigated,2015,,,,,"0,7041587902",,"31,5677966102",,197,2015-05-28T02:00:00Z,112,,"35,5",,2,,"11,6",
ww-097BLOCK5PLOT50,3032621,WW5,Wheat_Winter_TUR,48175,https://doi.org/10.15454/GALBO4,NEWSAR,VIRTUAL_TRIAL,,,,,8,8,,Rainfed,2015,,,,,"0,6737683089",,"38,6259541985",,42148,2015-05-24T02:00:00Z,"131,5",,20,,3,2014-11-12T01:00:00Z,"8,6",
ww-097BLOCK5PLOT38,3033225,WW5,Wheat_Winter_TUR,48175,https://doi.org/10.15454/GALBO4,NEWSAR,VIRTUAL_TRIAL,,,,,10,6,,Irrigated,2015,,,,,"0,7269116187",,"42,0689655172",,195,2015-05-26T02:00:00Z,"108,5",,"32,5",,2,,"10,7",
ww-102BLOCK9PLOT8,3033053,WW5,Wheat_Winter_TUR,48176,https://doi.org/10.15454/HB3SOT,CAPRIMUS,VIRTUAL_TRIAL,,,,,6,39,,Rainfed,2015,,,,,"0,8165034965",,"33,0952380952",,42156,2015-06-03T02:00:00Z,"76,5",,25,,1,2014-11-12T01:00:00Z,"9,442",
ww-102BLOCK3PLOT54,3032883,WW5,Wheat_Winter_TUR,48176,https://doi.org/10.15454/HB3SOT,CAPRIMUS,VIRTUAL_TRIAL,,,,,4,27,,Rainfed,2015,,,,,"0,7468944099",,"29,8757763975",,42159,2015-06-04T02:00:00Z,80,,32,,2,2014-11-12T01:00:00Z,"9,2",
ww-102BLOCK1PLOT30,3033203,WW5,Wheat_Winter_TUR,48176,https://doi.org/10.15454/HB3SOT,CAPRIMUS,VIRTUAL_TRIAL,,,,,2,5,,Irrigated,2015,,,,,"0,7624113475",,"39,2950391645",,197,2015-05-28T02:00:00Z,"80,5",,29,,2,,"10,1",
ww-108BLOCK5PLOT21,3032557,WW5,Wheat_Winter_TUR,48180,https://doi.org/10.15454/WRZQWJ,SMOGGER,VIRTUAL_TRIAL,,,,,14,3,,Rainfed,2015,,,,,"0,5447761194",,"33,9534883721",,204,2015-06-04T02:00:00Z,"88,5",,20,,2,2014-11-12T01:00:00Z,"10,3",
ww-108BLOCK2PLOT48,3033371,WW5,Wheat_Winter_TUR,48180,https://doi.org/10.15454/WRZQWJ,SMOGGER,VIRTUAL_TRIAL,,,,,2,17,,Irrigated,2015,,,,,"0,6319942611",,"36,7083333333",,197,2015-05-28T02:00:00Z,129,,48,,2,,"13,5",
ww-110BLOCK1PLOT53,3032617,WW5,Wheat_Winter_TUR,48182,https://doi.org/10.15454/ZRFBBR,TRI 4608,VIRTUAL_TRIAL,,,,,4,8,,Rainfed,2015,,,,,"0,4826254826",,"23,1481481481",,42160,2015-06-05T02:00:00Z,71,,23,,2,2014-11-12T01:00:00Z,"4,5",
ww-110BLOCK5PLOT9,3033168,WW5,Wheat_Winter_TUR,48182,https://doi.org/10.15454/ZRFBBR,TRI 4608,VIRTUAL_TRIAL,,,,,9,2,,Irrigated,2015,,,,,"0,6317016317",,"28,9839572193",,197,2015-05-28T02:00:00Z,"90,5",,"18,5",,2,,"4,1",
ww-110BLOCK10PLOT24,3033727,WW5,Wheat_Winter_TUR,48182,https://doi.org/10.15454/ZRFBBR,TRI 4608,VIRTUAL_TRIAL,,,,,8,42,,Irrigated,2015,,,,,"0,7275449102",,"30,375",,196,2015-05-27T02:00:00Z,"75,5",,12,,2,,"4,1",
ww-112BLOCK9PLOT34,3033107,WW5,Wheat_Winter_TUR,48183,https://doi.org/10.15454/FXFCQH,TRI 14906,VIRTUAL_TRIAL,,,,,4,43,,Rainfed,2015,"0,5",,1,,"0,5871559633",,"36,9230769231",,42158,2015-06-03T02:00:00Z,"102,5",,29,,2,2014-11-12T01:00:00Z,8,
ww-112BLOCK5PLOT30,3032580,WW5,Wheat_Winter_TUR,48183,https://doi.org/10.15454/FXFCQH,TRI 14906,VIRTUAL_TRIAL,,,,,9,5,,Rainfed,2015,1,,1,,"0,5994065282",,"39,6078431373",,203,2015-06-03T02:00:00Z,"99,5",,27,,2,2014-11-12T01:00:00Z,"8,5",
ww-112BLOCK4PLOT6,3033552,WW5,Wheat_Winter_TUR,48183,https://doi.org/10.15454/FXFCQH,TRI 14906,VIRTUAL_TRIAL,,,,,1,30,,Irrigated,2015,,,,,"0,7218419415",,"44,6153846154",,197,2015-05-28T02:00:00Z,"95,5",,"22,5",,1,,"9,9",
ww-113BLOCK6PLOT1,3032649,WW5,Wheat_Winter_TUR,48336,https://doi.org/10.15454/3Q0HLJ,JACOB CATS,VIRTUAL_TRIAL,,,,,8,10,,Rainfed,2015,,,,,"0,6113408151",,"33,75",,42156,2015-06-03T02:00:00Z,"99,5",,29,,2,2014-11-12T01:00:00Z,"7,375",
ww-113BLOCK4PLOT29,3033596,WW5,Wheat_Winter_TUR,48336,https://doi.org/10.15454/3Q0HLJ,JACOB CATS,VIRTUAL_TRIAL,,,,,3,33,,Irrigated,2015,,,,,"0,7744052502",,"45,3846153846",,197,2015-05-28T02:00:00Z,85,,"31,5",,2,,"7,1",
ww-114BLOCK8PLOT51,3033016,WW5,Wheat_Winter_TUR,48337,https://doi.org/10.15454/JYWRDE,GRIECHISCHER WEIZEN,VIRTUAL_TRIAL,,,,,11,36,,Rainfed,2015,"4,55",,"2,3",,"0,6743902439",,"34,7798742138",,42156,2015-06-03T02:00:00Z,"112,5",,25,,1,2014-11-12T01:00:00Z,"9,2",
ww-114BLOCK3PLOT32,3033470,WW5,Wheat_Winter_TUR,48337,https://doi.org/10.15454/JYWRDE,GRIECHISCHER WEIZEN,VIRTUAL_TRIAL,,,,,3,24,,Irrigated,2015,4,,"2,3",,"0,7226640159",,"37,0918367347",,197,2015-05-28T02:00:00Z,"121,5",,"33,5",,2,,"11,1",
ww-134BLOCK4PLOT3,3032910,WW5,Wheat_Winter_TUR,48199,https://doi.org/10.15454/9PWTTB,MADIF 20,VIRTUAL_TRIAL,,,,,3,29,,Rainfed,2015,"0,5",,1,,"0,7907716786",,"38,9803921569",,42147,2015-05-24T02:00:00Z,"80,5",,22,,2,2014-11-12T01:00:00Z,"6,9",
ww-134BLOCK4PLOT15,3033568,WW5,Wheat_Winter_TUR,48199,https://doi.org/10.15454/9PWTTB,MADIF 20,VIRTUAL_TRIAL,,,,,3,31,,Irrigated,2015,,,,,"0,7706766917",,"34,5117845118",,192,2015-05-23T02:00:00Z,61,,18,,1,,"7,5",
ww-134BLOCK9PLOT38,3033748,WW5,Wheat_Winter_TUR,48199,https://doi.org/10.15454/9PWTTB,MADIF 20,VIRTUAL_TRIAL,,,,,1,44,,Irrigated,2015,,,,,"0,7827868852",,"33,5929648241",,189,2015-05-20T02:00:00Z,67,,"19,5",,1,,"8,8",
ww-143BLOCK6PLOT30,3032709,WW5,Wheat_Winter_TUR,48205,https://doi.org/10.15454/GMULSW,MACKOVIKO VAHLADKA,VIRTUAL_TRIAL,,,,,12,14,,Rainfed,2015,,,,,"0,7210708117",,"41,959798995",,42148,2015-05-26T02:00:00Z,121,,36,,2,2014-11-12T01:00:00Z,"12,7",
ww-143BLOCK2PLOT19,3033314,WW5,Wheat_Winter_TUR,48205,https://doi.org/10.15454/GMULSW,MACKOVIKO VAHLADKA,VIRTUAL_TRIAL,,,,,1,13,,Irrigated,2015,,,,,"0,8286792453",,"45,75",,196,2015-05-27T02:00:00Z,"113,5",,37,,1,,"12,8",
ww-144BLOCK8PLOT64,3033045,WW5,Wheat_Winter_TUR,48206,https://doi.org/10.15454/5WMSZR,KUJAWISCHER WEIZEN,VIRTUAL_TRIAL,,,,,12,38,,Rainfed,2015,4,,"2,3",,"0,7005347594",,"21,2432432432",,42156,2015-06-03T02:00:00Z,"95,5",,33,,2,2014-11-12T01:00:00Z,"7,7",
ww-144BLOCK5PLOT59,3033267,WW5,Wheat_Winter_TUR,48206,https://doi.org/10.15454/5WMSZR,KUJAWISCHER WEIZEN,VIRTUAL_TRIAL,,,,,10,9,,Irrigated,2015,"3,9",,"2,3",,"0,670045045",,"26,8018018018",,196,2015-05-27T02:00:00Z,"111,5",,40,,1,,11,
ww-145BLOCK1PLOT29,3032572,WW5,Wheat_Winter_TUR,48207,https://doi.org/10.15454/TZAUZD,ZDZISLAWKA,VIRTUAL_TRIAL,,,,,1,5,,Rainfed,2015,"0,8333333333",,1,,"0,6374781086",,"40,8988764045",,203,2015-06-03T02:00:00Z,"114,5",,27,,2,2014-11-12T01:00:00Z,"13,1666666667",
ww-145BLOCK5PLOT25,3033198,WW5,Wheat_Winter_TUR,48207,https://doi.org/10.15454/TZAUZD,ZDZISLAWKA,VIRTUAL_TRIAL,,,,,11,4,,Irrigated,2015,,,,,"0,6833205227",,"47,7956989247",,196,2015-05-27T02:00:00Z,123,,"37,5",,1,,"15,3",
ww-149BLOCK6PLOT64,3032779,WW5,Wheat_Winter_TUR,48210,https://doi.org/10.15454/XYLQBW,FLAIR,VIRTUAL_TRIAL,,,,,12,19,,Rainfed,2015,"0,5",,1,,"0,811023622",,"42,0408163265",,42153,2015-05-31T02:00:00Z,"93,5",,20,,1,2014-11-12T01:00:00Z,"8,4",
ww-149BLOCK2PLOT66,3033404,WW5,Wheat_Winter_TUR,48210,https://doi.org/10.15454/XYLQBW,FLAIR,VIRTUAL_TRIAL,,,,,7,19,,Irrigated,2015,,,,,"0,7982142857",,"43,4824902724",,197,2015-05-28T02:00:00Z,"74,5",,"30,5",,2,,9,
ww-156BLOCK1PLOT27,3032563,WW5,Wheat_Winter_TUR,48212,https://doi.org/10.15454/Z1RA3E,TIMBER,VIRTUAL_TRIAL,,,,,6,4,,Rainfed,2015,"0,5",,1,,"0,6327759197",,"28,2388059701",,204,2015-06-04T02:00:00Z,"54,5",,15,,2,2014-11-12T01:00:00Z,"8,1",
ww-156BLOCK3PLOT61,3033527,WW5,Wheat_Winter_TUR,48212,https://doi.org/10.15454/Z1RA3E,TIMBER,VIRTUAL_TRIAL,,,,,4,28,,Irrigated,2015,,,,,"0,7709519935",,"29,609375",,196,2015-05-27T02:00:00Z,57,,17,,1,,"8,6",
ww-251BLOCK1PLOT33,3032576,WW5,Wheat_Winter_TUR,48315,https://doi.org/10.15454/J2FAPN,ID1396 EP036-EP037,VIRTUAL_TRIAL,,,,,5,5,,Rainfed,2015,,,,,,,,,190,2015-05-21T02:00:00Z,77,,18,,2,2014-11-12T01:00:00Z,,
ww-251BLOCK4PLOT4,3033541,WW5,Wheat_Winter_TUR,48315,https://doi.org/10.15454/J2FAPN,ID1396 EP036-EP037,VIRTUAL_TRIAL,,,,,4,29,,Irrigated,2015,,,,,,,,,186,2015-05-17T02:00:00Z,"114,5",,"45,5",,1,,,
ww-255BLOCK8PLOT17,3032947,WW5,Wheat_Winter_TUR,48319,https://doi.org/10.15454/9VHOKV,ID1331 EP032-3,VIRTUAL_TRIAL,,,,,12,31,,Rainfed,2015,"2,6",,"1,2",,"0,4778761062",,"19,2857142857",,,,"72,5",,18,,1,2014-11-12T01:00:00Z,5,
ww-255BLOCK4PLOT31,3033598,WW5,Wheat_Winter_TUR,48319,https://doi.org/10.15454/9VHOKV,ID1331 EP032-3,VIRTUAL_TRIAL,,,,,5,33,,Irrigated,2015,,,,,,,,,200,2015-05-31T02:00:00Z,108,,52,,2,,,
ww-128BLOCK3PLOT2,3032782,WW5,Wheat_Winter_TUR,48195,https://doi.org/10.15454/6YJFER,TRI 593,VIRTUAL_TRIAL,,,,,1,20,,Rainfed,2015,"4,4",,"2,3",,"0,7248182762",,"43,3540372671",,42142,2015-05-20T02:00:00Z,"125,5",,35,,2,2014-11-12T01:00:00Z,"10,96",
ww-128BLOCK8PLOT2,3033546,WW5,Wheat_Winter_TUR,48195,https://doi.org/10.15454/6YJFER,TRI 593,VIRTUAL_TRIAL,,,,,9,29,,Irrigated,2015,"3,65",,"1,2",,"0,7523659306",,"52,131147541",,187,2015-05-18T02:00:00Z,"116,5",,"42,5",,1,,13,
ww-129BLOCK7PLOT20,3032821,WW5,Wheat_Winter_TUR,48196,https://doi.org/10.15454/Z1T6S7,TRI 2309,VIRTUAL_TRIAL,,,,,12,22,,Rainfed,2015,"5,1",,"1,2",,,,,,42148,2015-05-26T02:00:00Z,101,,24,,2,2014-11-12T01:00:00Z,"9,6",
ww-129BLOCK3PLOT59,3033525,WW5,Wheat_Winter_TUR,48196,https://doi.org/10.15454/Z1T6S7,TRI 2309,VIRTUAL_TRIAL,,,,,2,28,,Irrigated,2015,"3,85",,"2,3",,"0,7057453416",,"56,4596273292",,197,2015-05-28T02:00:00Z,"116,5",,28,,1,,"12,2",
ww-130BLOCK6PLOT49,3032749,WW5,Wheat_Winter_TUR,48197,https://doi.org/10.15454/RYYDXJ,TRI 10807,VIRTUAL_TRIAL,,,,,10,17,,Rainfed,2015,"4,55",,"2,3",,"0,6146131805",,"47,1428571429",,42153,2015-05-31T02:00:00Z,132,,33,,2,2014-11-12T01:00:00Z,"6,9",
ww-130BLOCK8PLOT11,3033564,WW5,Wheat_Winter_TUR,48197,https://doi.org/10.15454/RYYDXJ,TRI 10807,VIRTUAL_TRIAL,,,,,13,30,,Irrigated,2015,"3,85",,"2,3",,"0,6926315789",,"33,7435897436",,193,2015-05-24T02:00:00Z,"128,5",,39,,1,,"8,9",
ww-138BLOCK10PLOT47,3033141,WW5,Wheat_Winter_TUR,48200,https://doi.org/10.15454/5K8T2A,TRI 10852,VIRTUAL_TRIAL,,,,,10,45,,Rainfed,,,,,,,,,,,,,,,,,,,
ww-138BLOCK6PLOT65,3032780,WW5,Wheat_Winter_TUR,48200,https://doi.org/10.15454/5K8T2A,TRI 10852,VIRTUAL_TRIAL,,,,,13,19,,Rainfed,,,,,,,,,,,,,,,,,,,
ww-138BLOCK5PLOT32,3033212,WW5,Wheat_Winter_TUR,48200,https://doi.org/10.15454/5K8T2A,TRI 10852,VIRTUAL_TRIAL,,,,,11,5,,Irrigated,2015,"2,5",,"2,3",,"0,7320336391",,"24,4260204082",,189,2015-05-20T02:00:00Z,"85,5",,23,,2,,"8,3",
ww-139BLOCK2PLOT39,3032718,WW5,Wheat_Winter_TUR,48201,https://doi.org/10.15454/UTGZOA,TRI 10862,VIRTUAL_TRIAL,,,,,7,15,,Rainfed,2015,"0,5",,1,,"0,7744360902",,"17,7586206897",,42145,2015-05-23T02:00:00Z,"47,5",,30,,2,2014-11-12T01:00:00Z,"5,7",
ww-139BLOCK6PLOT29,3033338,WW5,Wheat_Winter_TUR,48201,https://doi.org/10.15454/UTGZOA,TRI 10862,VIRTUAL_TRIAL,,,,,11,14,,Irrigated,2015,,,,,"0,7268643306",,"23,6549707602",,192,2015-05-23T02:00:00Z,83,,22,,1,,"8,5",
ww-140BLOCK3PLOT22,3032816,WW5,Wheat_Winter_TUR,48202,https://doi.org/10.15454/TZTGIQ,TRI 10886,VIRTUAL_TRIAL,,,,,7,22,,Rainfed,2015,1,,"1,2",,"0,5761589404",,"18,9130434783",,42151,2015-05-29T02:00:00Z,70,,28,,2,2014-11-12T01:00:00Z,"6,2",
ww-140BLOCK2PLOT63,3033401,WW5,Wheat_Winter_TUR,48202,https://doi.org/10.15454/TZTGIQ,TRI 10886,VIRTUAL_TRIAL,,,,,4,19,,Irrigated,2015,"1,4",,"1,2",,"0,7354900095",,"24,2319749216",,193,2015-05-24T02:00:00Z,76,,26,,1,,"8,2",
ww-140BLOCK9PLOT26,3033722,WW5,Wheat_Winter_TUR,48202,https://doi.org/10.15454/TZTGIQ,TRI 10886,VIRTUAL_TRIAL,,,,,3,42,,Irrigated,2015,"2,55",,"2,3",,"0,6760404949",,"22,679245283",,193,2015-05-24T02:00:00Z,97,,36,,2,,"8,6",
