observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,AwnLength(WIPO:0000273),AwnLength(WIPO:0000273).date,ColdTolerance(CO_321:1000271),ColdTolerance(CO_321:1000271).date,FruitingEfficiency(WIPO:0000277),FruitingEfficiency(WIPO:0000277).date,GrainWeight(CO_321:1000177),GrainWeight(CO_321:1000177).date,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date,PlotGrainWeight(CO_321:1000073),PlotGrainWeight(CO_321:1000073).date,SpikeLength(CO_321:1000079),SpikeLength(CO_321:1000079).date
ww-229Block1Plot58,3032074,WW3,Wheat_Winter_MTA,48298,https://doi.org/10.15454/URVDCC,IG 119456,VIRTUAL_TRIAL,,,,,8,6,,2015,11,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,212,2015-05-20T02:00:00Z,93,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,27,2015-07-17T02:00:00Z,,
ww-056Block8Plot45,3032448,WW3,Wheat_Winter_MTA,48153,https://doi.org/10.15454/IW6V5I,WELFORD,VIRTUAL_TRIAL,,,,,27,11,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,5493562232",,"21,8057921635",,219,2015-05-27T02:00:00Z,69,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,382,2015-07-17T02:00:00Z,9,
ww-092Block4Plot28,3032201,WW3,Wheat_Winter_MTA,48171,https://doi.org/10.15454/KNPKBU,SALINE,VIRTUAL_TRIAL,,,,,14,17,,2015,"4,2",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,"42,2018348624",,216,2015-05-24T02:00:00Z,127,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,514,2015-07-17T02:00:00Z,"13,3",
ww-094Block2Plot27,3031978,WW3,Wheat_Winter_MTA,48172,https://doi.org/10.15454/KLUTNK,SPERLINGS BUHLENDORFER,VIRTUAL_TRIAL,,,,,3,10,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,6996466431",,"40,7407407407",,227,2015-06-04T02:00:00Z,125,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,306,2015-07-17T02:00:00Z,"9,3",
ww-094Block9Plot35,3032377,WW3,Wheat_Winter_MTA,48172,https://doi.org/10.15454/KLUTNK,SPERLINGS BUHLENDORFER,VIRTUAL_TRIAL,,,,,23,17,,2015,0,2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,"0,7519685039",,"41,0752688172",,225,2015-06-02T02:00:00Z,120,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,322,2015-07-17T02:00:00Z,"9,6",
ww-097Block7Plot31,3032460,WW3,Wheat_Winter_MTA,48175,https://doi.org/10.15454/GALBO4,NEWSAR,VIRTUAL_TRIAL,,,,,28,3,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,5796460177",,"34,5646437995",,211,2015-05-19T02:00:00Z,119,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,632,2015-07-17T02:00:00Z,"13,2",
ww-102Block7Plot37,3032364,WW3,Wheat_Winter_MTA,48176,https://doi.org/10.15454/HB3SOT,CAPRIMUS,VIRTUAL_TRIAL,,,,,23,4,,2015,0,2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,"0,7952380952",,"31,9923371648",,221,2015-05-29T02:00:00Z,87,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,224,2015-07-17T02:00:00Z,"11,7",
ww-108Block8Plot15,3032445,WW3,Wheat_Winter_MTA,48180,https://doi.org/10.15454/WRZQWJ,SMOGGER,VIRTUAL_TRIAL,,,,,27,8,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,5244444444",,"30,0254452926",,222,2015-05-30T02:00:00Z,149,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,320,2015-07-17T02:00:00Z,15,
ww-110Block6Plot13,3032188,WW3,Wheat_Winter_MTA,48182,https://doi.org/10.15454/ZRFBBR,TRI 4608,VIRTUAL_TRIAL,,,,,14,2,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,708994709",,"30,0448430493",,222,2015-05-30T02:00:00Z,95,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,202,2015-07-17T02:00:00Z,"3,9",
ww-112Block7Plot44,3032500,WW3,Wheat_Winter_MTA,48183,https://doi.org/10.15454/FXFCQH,TRI 14906,VIRTUAL_TRIAL,,,,,30,4,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,656626506",,"44,1295546559",,226,2015-06-03T02:00:00Z,128,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,312,2015-07-17T02:00:00Z,11,
ww-113Block8Plot16,3032465,WW3,Wheat_Winter_MTA,48336,https://doi.org/10.15454/3Q0HLJ,JACOB CATS,VIRTUAL_TRIAL,,,,,28,8,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,5782608696",,"34,3669250646",,225,2015-06-02T02:00:00Z,133,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,662,2015-07-17T02:00:00Z,"8,7",
ww-114Block3Plot15,3032063,WW3,Wheat_Winter_MTA,48337,https://doi.org/10.15454/JYWRDE,GRIECHISCHER WEIZEN,VIRTUAL_TRIAL,,,,,7,15,,2015,"8,9",2015-06-15T02:00:00Z,2,2015-03-10T01:00:00Z,"0,75",,"41,935483871",,221,2015-05-29T02:00:00Z,133,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,486,2015-07-17T02:00:00Z,"10,8",
ww-134Block1Plot27,3032051,WW3,Wheat_Winter_MTA,48199,https://doi.org/10.15454/9PWTTB,MADIF 20,VIRTUAL_TRIAL,,,,,7,3,,2015,0,2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,"0,8170731707",,"42,4947145877",,205,2015-05-13T02:00:00Z,78,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,534,2015-07-17T02:00:00Z,"7,9",
ww-143Block6Plot1,3032128,WW3,Wheat_Winter_MTA,48205,https://doi.org/10.15454/GMULSW,MACKOVIKO VAHLADKA,VIRTUAL_TRIAL,,,,,11,1,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,213,2015-05-21T02:00:00Z,123,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,560,2015-07-17T02:00:00Z,,
ww-144Block1Plot34,3031992,WW3,Wheat_Winter_MTA,48206,https://doi.org/10.15454/5WMSZR,KUJAWISCHER WEIZEN,VIRTUAL_TRIAL,,,,,4,4,,2015,"6,5",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,6184210526",,"33,7320574163",,217,2015-05-25T02:00:00Z,128,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,498,2015-07-17T02:00:00Z,"12,2",
ww-145Block1Plot61,3031936,WW3,Wheat_Winter_MTA,48207,https://doi.org/10.15454/TZAUZD,ZDZISLAWKA,VIRTUAL_TRIAL,,,,,1,7,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,220,2015-05-28T02:00:00Z,135,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,594,2015-07-17T02:00:00Z,,
ww-145Block9Plot44,3032359,WW3,Wheat_Winter_MTA,48207,https://doi.org/10.15454/TZAUZD,ZDZISLAWKA,VIRTUAL_TRIAL,,,,,22,18,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,7680412371",,"51,3793103448",,220,2015-05-28T02:00:00Z,126,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,444,2015-07-17T02:00:00Z,"15,2",
ww-149Block2Plot40,3032039,WW3,Wheat_Winter_MTA,48210,https://doi.org/10.15454/XYLQBW,FLAIR,VIRTUAL_TRIAL,,,,,6,11,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,665158371",,"31,2101910828",,219,2015-05-27T02:00:00Z,92,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,524,2015-07-17T02:00:00Z,"11,2",
ww-156Block6Plot25,3032245,WW3,Wheat_Winter_MTA,48212,https://doi.org/10.15454/Z1RA3E,TIMBER,VIRTUAL_TRIAL,,,,,17,3,,2015,0,2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,"0,7232142857",,"42,1875",,218,2015-05-26T02:00:00Z,66,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,208,2015-07-17T02:00:00Z,"7,9",
ww-251Block3Plot36,3032085,WW3,Wheat_Winter_MTA,48315,https://doi.org/10.15454/J2FAPN,ID1396 EP036-EP037,VIRTUAL_TRIAL,,,,,8,17,,2015,"4,1",2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,,,,,218,2015-05-26T02:00:00Z,62,2015-06-12T02:00:00Z,1,2014-12-01T01:00:00Z,90,2015-07-17T02:00:00Z,,
ww-255Block7Plot63,3032483,WW3,Wheat_Winter_MTA,48319,https://doi.org/10.15454/9VHOKV,ID1331 EP032-3,VIRTUAL_TRIAL,,,,,29,6,,2015,"6,2",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,232,2015-06-09T02:00:00Z,88,2015-06-12T02:00:00Z,1,2014-12-01T01:00:00Z,31,2015-07-17T02:00:00Z,,
ww-128Block5Plot62,3032237,WW3,Wheat_Winter_MTA,48195,https://doi.org/10.15454/6YJFER,TRI 593,VIRTUAL_TRIAL,,,,,16,14,,2015,"7,3",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,6558441558",,"52,8795811518",,203,2015-05-11T02:00:00Z,114,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,514,2015-07-17T02:00:00Z,"9,2",
ww-128Block9Plot8,3032432,WW3,Wheat_Winter_MTA,48195,https://doi.org/10.15454/6YJFER,TRI 593,VIRTUAL_TRIAL,,,,,26,14,,2015,"7,3",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,5619047619",,"39,5973154362",,203,2015-05-11T02:00:00Z,122,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,758,2015-07-17T02:00:00Z,13,
ww-129Block6Plot66,3032309,WW3,Wheat_Winter_MTA,48196,https://doi.org/10.15454/Z1T6S7,TRI 2309,VIRTUAL_TRIAL,,,,,20,7,,2015,"4,9",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,7257142857",,"43,7931034483",,211,2015-05-19T02:00:00Z,123,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,556,2015-07-17T02:00:00Z,"13,5",
ww-129Block9Plot25,3032376,WW3,Wheat_Winter_MTA,48196,https://doi.org/10.15454/Z1T6S7,TRI 2309,VIRTUAL_TRIAL,,,,,23,16,,2015,"5,7",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,7471910112",,"42,4920127796",,211,2015-05-19T02:00:00Z,116,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,578,2015-07-17T02:00:00Z,14,
ww-130Block7Plot65,3032484,WW3,Wheat_Winter_MTA,48197,https://doi.org/10.15454/RYYDXJ,TRI 10807,VIRTUAL_TRIAL,,,,,29,7,,2015,"5,8",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,6168831169",,"39,5833333333",,211,2015-05-19T02:00:00Z,134,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,426,2015-07-17T02:00:00Z,12,
ww-130Block9Plot52,3032513,WW3,Wheat_Winter_MTA,48197,https://doi.org/10.15454/RYYDXJ,TRI 10807,VIRTUAL_TRIAL,,,,,30,18,,2015,5,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,5438596491",,"44,7653429603",,212,2015-05-20T02:00:00Z,124,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,544,2015-07-17T02:00:00Z,9,
ww-138Block8Plot52,3032391,WW3,Wheat_Winter_MTA,48200,https://doi.org/10.15454/5K8T2A,TRI 10852,VIRTUAL_TRIAL,,,,,24,12,,2015,3,2015-06-15T02:00:00Z,2,2015-03-10T01:00:00Z,"0,7089552239",,"20,16985138",,205,2015-05-13T02:00:00Z,93,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,348,2015-07-17T02:00:00Z,"8,4",
ww-139Block3Plot35,3032065,WW3,Wheat_Winter_MTA,48201,https://doi.org/10.15454/UTGZOA,TRI 10862,VIRTUAL_TRIAL,,,,,7,17,,2015,0,2015-06-15T02:00:00Z,2,2015-03-10T01:00:00Z,"0,6433121019",,"20,2",,209,2015-05-17T02:00:00Z,93,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,90,2015-07-17T02:00:00Z,"8,5",
ww-140Block5Plot21,3032137,WW3,Wheat_Winter_MTA,48202,https://doi.org/10.15454/TZTGIQ,TRI 10886,VIRTUAL_TRIAL,,,,,11,10,,2015,"2,3",2015-06-15T02:00:00Z,3,2015-03-10T01:00:00Z,"0,8255813953",,"24,8251748252",,210,2015-05-18T02:00:00Z,94,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,126,2015-07-17T02:00:00Z,"9,3",
ww-188Block3Plot49,3031947,WW3,Wheat_Winter_MTA,48225,https://doi.org/10.15454/YKZBWZ,TRI 7843,VIRTUAL_TRIAL,,,,,1,19,,2015,"8,1",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,6903553299",,"43,4504792332",,214,2015-05-22T02:00:00Z,113,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,710,2015-07-17T02:00:00Z,"11,8",
ww-197Block4Plot6,3032162,WW3,Wheat_Winter_MTA,48232,https://doi.org/10.15454/S7FOMV,TRI 6388,VIRTUAL_TRIAL,,,,,12,15,,2015,"4,9",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,7218543046",,"37,5862068966",,210,2015-05-18T02:00:00Z,91,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,298,2015-07-17T02:00:00Z,"11,6",
ww-199Block4Plot52,3032261,WW3,Wheat_Winter_MTA,48234,https://doi.org/10.15454/FWLX4K,TRI 6471,VIRTUAL_TRIAL,,,,,17,19,,2015,"6,6",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,6788990826",,"39,0501319261",,213,2015-05-21T02:00:00Z,117,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,388,2015-07-17T02:00:00Z,"10,7",
ww-243Block8Plot40,3032352,WW3,Wheat_Winter_MTA,48262,https://doi.org/10.15454/F8AKAX,ELS 6304-72,VIRTUAL_TRIAL,,,,,22,11,,2015,"4,1",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,209,2015-05-17T02:00:00Z,73,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,55,2015-07-17T02:00:00Z,,
ww-244Block1Plot9,3032089,WW3,Wheat_Winter_MTA,48263,https://doi.org/10.15454/BWQFOP,859,VIRTUAL_TRIAL,,,,,9,1,,2015,"6,9",2015-06-15T02:00:00Z,2,2015-03-10T01:00:00Z,,,,,221,2015-05-29T02:00:00Z,115,2015-06-12T02:00:00Z,1,2014-12-01T01:00:00Z,61,2015-07-17T02:00:00Z,,
ww-268Block7Plot17,3032400,WW3,Wheat_Winter_MTA,48267,https://doi.org/10.15454/BYGUFU,79TK098-511,VIRTUAL_TRIAL,,,,,25,2,,2015,"7,7",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,223,2015-05-31T02:00:00Z,103,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,39,2015-07-17T02:00:00Z,,
ww-258Block3Plot51,3031987,WW3,Wheat_Winter_MTA,48321,https://doi.org/10.15454/GL2BBJ,DIC55 TP021-TP028,VIRTUAL_TRIAL,,,,,3,19,,2015,"10,2",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,212,2015-05-20T02:00:00Z,86,2015-06-12T02:00:00Z,1,2014-12-01T01:00:00Z,56,2015-07-17T02:00:00Z,,
ww-266Block4Plot34,3032319,WW3,Wheat_Winter_MTA,48329,https://doi.org/10.15454/LGPSCW,TRI 10324,VIRTUAL_TRIAL,,,,,20,17,,2015,"8,9",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,224,2015-06-01T02:00:00Z,113,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,"79,8",2015-07-17T02:00:00Z,,
ww-330Block6Plot48,3032153,WW3,Wheat_Winter_MTA,22074,https://doi.org/10.15454/B0VYLQ,BELLYEI-590,VIRTUAL_TRIAL,,,,,12,6,,2015,"8,6",2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,"0,8810810811",,"51,4195583596",,211,2015-05-19T02:00:00Z,119,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,572,2015-07-17T02:00:00Z,"13,2",
ww-152Block2Plot45,3031940,WW3,Wheat_Winter_MTA,24059,https://doi.org/10.15454/WL6NIE,RECITAL,VIRTUAL_TRIAL,,,,,1,12,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,6796116505",,"31,6742081448",,209,2015-05-17T02:00:00Z,57,2015-06-12T02:00:00Z,1,2014-12-01T01:00:00Z,256,2015-07-17T02:00:00Z,"7,3",
ww-314Block5Plot37,3032253,WW3,Wheat_Winter_MTA,21782,https://doi.org/10.15454/CM7NHY,664-258-18,VIRTUAL_TRIAL,,,,,17,11,,2015,"6,5",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,9710144928",,"67,4496644295",,202,2015-05-10T02:00:00Z,60,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,372,2015-07-17T02:00:00Z,"5,9",
ww-395Block2Plot32,3032078,WW3,Wheat_Winter_MTA,23631,https://doi.org/10.15454/XS4HF4,MV-MA,VIRTUAL_TRIAL,,,,,8,10,,2015,"4,6",2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,"0,665480427",,"39,6186440678",,211,2015-05-19T02:00:00Z,77,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,644,2015-07-17T02:00:00Z,"9,5",
ww-401Block6Plot46,3032307,WW3,Wheat_Winter_MTA,23790,https://doi.org/10.15454/KJB0LU,ODESSA EXP.STA.20722,VIRTUAL_TRIAL,,,,,20,5,,2015,"6,9",2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,"0,6865671642",,"41,8943533698",,209,2015-05-17T02:00:00Z,106,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,514,2015-07-17T02:00:00Z,"9,6",
ww-440Block6Plot51,3032209,WW3,Wheat_Winter_MTA,25559,https://doi.org/10.15454/1JXS5T,FRUH WEIZEN,VIRTUAL_TRIAL,,,,,15,6,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,7261904762",,"50,4132231405",,212,2015-05-20T02:00:00Z,115,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,550,2015-07-17T02:00:00Z,"9,5",
ww-484Block7Plot43,3032481,WW3,Wheat_Winter_MTA,23555,https://doi.org/10.15454/R46PWA,MEXIQUE 58,VIRTUAL_TRIAL,,,,,29,4,,2015,"5,8",2015-06-15T02:00:00Z,3,2015-03-10T01:00:00Z,"0,582278481",,"38,7640449438",,205,2015-05-13T02:00:00Z,82,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,434,2015-07-17T02:00:00Z,10,
ww-001Block7Plot66,3032503,WW3,Wheat_Winter_MTA,48139,https://doi.org/10.15454/UP7CN3,LEEDS,VIRTUAL_TRIAL,,,,,30,7,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,5975232198",,"35,9404096834",,219,2015-05-27T02:00:00Z,82,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,622,2015-07-17T02:00:00Z,13,
ww-005Block2Plot43,3032099,WW3,Wheat_Winter_MTA,48140,https://doi.org/10.15454/BHYVI3,FORZOR,VIRTUAL_TRIAL,,,,,9,11,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,6475409836",,"31,983805668",,218,2015-05-26T02:00:00Z,80,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,600,2015-07-17T02:00:00Z,"11,2",
ww-006Block5Plot20,3032311,WW3,Wheat_Winter_MTA,48141,https://doi.org/10.15454/9X4ANP,TOSKANI,VIRTUAL_TRIAL,,,,,20,9,,2015,"5,5",2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,"0,7767295597",,"38,8976377953",,210,2015-05-18T02:00:00Z,71,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,462,2015-07-17T02:00:00Z,"9,5",
ww-010Block3Plot5,3032062,WW3,Wheat_Winter_MTA,48142,https://doi.org/10.15454/C5P8R1,KWS FERRUM,VIRTUAL_TRIAL,,,,,7,14,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,7923728814",,"32,1305841924",,212,2015-05-20T02:00:00Z,87,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,650,2015-07-17T02:00:00Z,"10,9",
ww-012Block1Plot25,3032011,WW3,Wheat_Winter_MTA,25820,https://doi.org/10.15454/7JVGON,DEKAN,VIRTUAL_TRIAL,,,,,5,3,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,8237885463",,"39,8720682303",,216,2015-05-24T02:00:00Z,91,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,798,2015-07-17T02:00:00Z,"10,2",
ww-013Block6Plot35,3032266,WW3,Wheat_Winter_MTA,48143,https://doi.org/10.15454/QPDUJ7,KWS MAGIC,VIRTUAL_TRIAL,,,,,18,4,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,7412790698",,"34,2741935484",,218,2015-05-26T02:00:00Z,80,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,682,2015-07-17T02:00:00Z,"10,4",
ww-014Block7Plot53,3032482,WW3,Wheat_Winter_MTA,48144,https://doi.org/10.15454/6KRVUU,KWS MILANECO,VIRTUAL_TRIAL,,,,,29,5,,2015,0,2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,"0,7873015873",,"49,0118577075",,221,2015-05-29T02:00:00Z,100,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,764,2015-07-17T02:00:00Z,12,
