id,name,class,description,entity,attribute,xref
0000191,Booting time,PhenologicalTrait,"Booting time is just prior to spike emergence, when the flag leaf sheath encloses the growing spike.",Plant,Booting time,
0000191,Booting time,PhenologicalTrait,"Booting time is just prior to spike emergence, when the flag leaf sheath encloses the growing spike.",Plant,Booting time,
0000191,Booting time,PhenologicalTrait,"Booting time is just prior to spike emergence, when the flag leaf sheath encloses the growing spike.",Plant,Booting time,
0000678,Boron tolerance,AbioticStressTrait,Plant tolerance to high levels of soil boron.,Plant,Boron tolerance,
0000065,Bread crumb structure,QualityTrait,The cellular structure of wheat bread crumb.,Bread,Structure,
0000124,Bread loaf volume,QualityTrait,Baking quality of flour describing bread loaf volume.,Bread,Loaf volume,
0000301,Canopy normalized difference vegetation index,PhysiologicalTrait,Normalized difference vegetation index is used to measure vegetative greenness and canopy photosynthetic size.,Canopy,Normalized difference vegetation index,
0000197,Canopy normalized pheophytinization index,PhysiologicalTrait,Normalized pheophytinization index can be used to detect chlorophyll degradation.,Canopy,Normalized pheophytinization index,
0000198,Canopy normalized water index 1,PhysiologicalTrait,"Normalized water index 1 is used track changes in rwc, leaf water potential, stomatal conductance, and foliage minus air temperature differences when plant water stress is well developed (rwc<0.85).",Canopy,Normalized water index 1,
0000199,Canopy normalized water index 2,PhysiologicalTrait,"Normalized water index 2 is used track changes in rwc, leaf water potential, stomatal conductance, and foliage minus air temperature differences when plant water stress is well developed (rwc<0.85).",Canopy,Normalized water index 2,
0000200,Canopy normalized water index 3,PhysiologicalTrait,"Normalized water index 3 is used track changes in rwc, leaf water potential, stomatal conductance, and foliage minus air temperature differences when plant water stress is well developed (rwc<0.85).",Canopy,Normalized water index 3,
0000201,Canopy normalized water index 4,PhysiologicalTrait,"Normalized water index 4 is used track changes in rwc, leaf water potential, stomatal conductance, and foliage minus air temperature differences when plant water stress is well developed (rwc<0.85).",Canopy,Normalized water index 4,
0000202,Canopy photochemical reflectance index,PhysiologicalTrait,"Photochemical reflectance index is correlated with the de-epoxidation stage of the xanthophylls cycle, with zeaxanthin, and with radiation-use efficiency (filella et al., 1996). higher pri values indicate greater efficiency.",Canopy,Photochemical reflectance index,
0000203,Canopy ratio analysis of reflectance spectra  carotenoid,PhysiologicalTrait,Rarsc is an estimation of carotenoid content.,Canopy,Ratio analysis of reflectance spectra carotenoid,
0000204,Canopy ratio analysis of reflectance spectra chlorophyll  a,PhysiologicalTrait,Rarsa is an estimation of chlorophyll a content.,Canopy,Ratio analysis of reflectance spectra chlorophyll a,
0000205,Canopy ratio analysis of reflectance spectra chlorophyll  b,PhysiologicalTrait,Rarsb is an estimation of chlorophyll b content.,Canopy,Ratio analysis of reflectance spectra chlorophyll b,
0000206,Canopy simple ratio,PhysiologicalTrait,"A vegetation index related with canopy structure, light absorption and photosynthetic capacity.",Canopy,Simple ratio,
0000059,Canopy stay green,PhysiologicalTrait,"Ability of the plant to remain/maintain green leaves, stems and spikes at the time of senescing.",Canopy,Stay green,
0000208,Canopy structural independent pigment index,PhysiologicalTrait,"Structural independent pigment index uses wavelengths showing the best semi-empirical estimation of the carotenoid chlorophyll a ratio (car:chla ratio), and its formulation minimizes the disrupting effects of leaf surface and mesophyll structure.",Canopy,Structural independent pigment index,
0000193,Canopy temperature,PhysiologicalTrait,The surface temperature of the canopy is related to the amount of transpiration resulting in evaporative cooling.,Canopy,Temperature,
0000006,Canopy temperature depression,PhysiologicalTrait,Difference between ambient temperature and canopy temperature.,Canopy,Temperature depression,
0000209,Canopy water index,PhysiologicalTrait,"Water index use reflectance at 970 nm as a wavelength sensitive to water content, while reflectance at 900 nm is taken as a reference which is similarly affected by canopy and leaf structures but with null absorption by water.",Canopy,Water index,
0000080,Cold tolerance,AbioticStressTrait,Plant tolerance to lower temperatures than the optimum.,Plant,Cold tolerance,
0000080,Cold tolerance,AbioticStressTrait,Plant tolerance to lower temperatures than the optimum.,Plant,Cold tolerance,
0000029,Coleoptile length,MorphologicalTrait,Length of coleoptile (a protective sheath that surrounds the shoot tip and the embryonic leaves of the young shoot of grasses).,Coleoptile,Length,
0000281,Common bunt spike incidence,BioticStressTrait,"Common bunt (stinking bunt, covered smut, hill bunt, complete bunt, low bunt, high bunt) incidence in the plants caused by the agent Tilletia species.",Spike,Common bunt spike incidence,
0000649,Common root rot incidence,BioticStressTrait,"Common root rot incidence in the plants caused by the agents Cochliobolus sativus, fusarium spp., and Pythium species.",Plant,Common root rot incidence,
0000064,Cookie spread factor,QualityTrait,The ratio between average height and width of cookies.,Cookie,Spread factor,
0000014,Crop ground cover,AgronomicalTrait,"Crop ground cover, or the percentage of soil surface covered by plant foliage.",Plant,Ground cover,
0000014,Crop ground cover,AgronomicalTrait,"Crop ground cover, or the percentage of soil surface covered by plant foliage.",Plant,Ground cover,
0000407,Crop growth rate,PhysiologicalTrait,It is the rate of dry matter production per unit area.,Plant,Biomass production,
0000111,Cyst nematode damage,BioticStressTrait,"The wheat cyst nematode damage caused by cyst nematode, Heterodera avenae.",Root,Cyst nematode damage,
0000182,Double ridge time,PhenologicalTrait,Double ridge time is just when apex changes from the vegetative to the reproductive stage.,Plant,Double ridge time,
0000182,Double ridge time,PhenologicalTrait,Double ridge time is just when apex changes from the vegetative to the reproductive stage.,Plant,Double ridge time,
0000210,Dough alveograph extensibility index,QualityTrait,"It is the extensibility index of the dough. (p200/p)*100, p200: pressure (p) at 4 cm (l= 40mm) of the curve.",Dough,Alveograph extensibility index,
0000395,Dough alveograph P/G,QualityTrait,It is the p/g ratio.,Dough,Alveograph P/G,
0000145,Dough alveograph P/L,QualityTrait,"Ratio of tenacity (p, maximum pressure required for the deformation of the sample) and extensibility (l, length of the curve) of dough.",Dough,Alveograph P/L,
0000211,Dough alveograph value G,QualityTrait,G stands for the square root of the volume of air in the bubble that was possible before the bubble burst. shows how flexible the dough was during the test.,Dough,Alveograph value G,
0000212,Dough alveograph value L,QualityTrait,L value is the extensibility of the dough before the bubble breaks. it is indicated by the length of the curve.,Dough,Alveograph value L,
0000213,Dough alveograph value P,QualityTrait,P value is the force required to blow the bubble of dough. it is indicated by the maximum height of the curve.,Dough,Alveograph value P,
0000144,Dough alveograph value W,QualityTrait,Dough strength by alveograph. W value is the area under the curve. it is a combination of dough strength (p value) and extensibility (l value).,Dough,Alveograph value W,
0000149,Dough Mixograph mixing time,QualityTrait,Time required for the dough development from beginning of mixing flour and water to the dough reaches maximum consistency (peak).,Dough,Mixograph mixing time,
0000225,Dough mixograph torque,QualityTrait,It is the torque measured during the mixograph test.,Dough,Mixograph torque,
0000228,Dough mixograph type,QualityTrait,Mixograph type (mixograph curve) is used for determining the strength of dough.,Dough,Mixograph type,
0000131,Drought tolerance,AbioticStressTrait,Plant tolerance to drought conditions.,Plant,Drought tolerance,
0000131,Drought tolerance,AbioticStressTrait,Plant tolerance to drought conditions.,Plant,Drought tolerance,
0000101,Dwarf bunt incidence,BioticStressTrait,Dwarf bunt incidence in the plants caused by the agent Tilletia controversa.,Spike,Dwarf bunt incidence,
0000021,Emergence time,PhenologicalTrait,Emergence time is when the first leaf appears above the soil surface.,Plant,Emergence time,
0000021,Emergence time,PhenologicalTrait,Emergence time is when the first leaf appears above the soil surface.,Plant,Emergence time,
0000102,Eyespot plant response,BioticStressTrait,Eye spot response in the plants caused by the fungal species Tapesia yallundae (Pseudocercosporella herpotrichoide w-type) and Tapesia acuformis (Pseudocercosporella herpotrichoides r-type). Symptoms: the eye shape elliptical lesions forms on lower base of stem and lower leaf sheath. The eyespots are straw yellow in color from the middle and are surrounded by the greenish brown to dark brown rings.,Plant,Eyespot plant response,
0000183,First node detectable time,PhenologicalTrait,"First node detectable time is when the stem starts the elongation or jointing period, first node becomes visible as it appears above the soil surface.",Plant,First node detectable time,
0000183,First node detectable time,PhenologicalTrait,"First node detectable time is when the stem starts the elongation or jointing period, first node becomes visible as it appears above the soil surface.",Plant,First node detectable time,
0000141,Flag leaf area,MorphologicalTrait,Area of the flag leaf lamina.,Flag leaf,Area,
0000194,Flag leaf senescence,PhysiologicalTrait,Flag leaf senescence.,Flag leaf,Senescence,
0000103,Flag smut plant response,BioticStressTrait,Flag smut disease response in the plants caused by the agent Urocystic agropyri causing flag smut disease.,Plant,Flag smut plant response,
0000214,Flour color,QualityTrait,Flour color.,Flour,Color,
0000214,Flour color,QualityTrait,Flour color.,Flour,Color,
0000214,Flour color,QualityTrait,Flour color.,Flour,Color,
0000066,Flour falling number,QualityTrait,The falling number is defined as the time in seconds required stirring and allowing stirrer to fall a measured distance through a hot aqueous flour or meal gel undergoing liquefaction due to a-amylase activity.,Flour,Falling number,
0000069,Flour gluten content,QualityTrait,Content of wet gluten in flour.,Flour,Gluten content,
0000070,Flour gluten type,QualityTrait,Gluten type whether weak-tenacious/tenacious/weak/medium strong/strong.,Flour,Gluten type,
0000067,Flour protein content,QualityTrait,Total protein content (corrected to 12.5% moisture basis) in refined flour.,Flour,Protein content,
0000067,Flour protein content,QualityTrait,Total protein content (corrected to 12.5% moisture basis) in refined flour.,Flour,Protein content,
0000146,Flour SDS sedimentation,QualityTrait,"Testing of refined flour quality by sds-sedimentation, a test estimating gluten-protein overall quality.",Flour,SDS sedimentation volume,
0000160,Flour SDS sedimentation index,QualityTrait,Is the result of dividing sedimentation volume by flour protein content.,Flour,Sedimentation index,
0000673,Flour yellowness,QualityTrait,Flour yellowness.,Flour,Yellowness,
0000068,Flour yield,QualityTrait,Proportion of flour recovered during milling.,Flour,Yield,
0000655,Foliar disease development,BioticStressTrait,The plant damage caused by foliar diseases.,Leaf,Foliar disease development,
0000127,Frost damage,AbioticStressTrait,Plant damage caused by frost.,Plant,Frost damage,
0000127,Frost damage,AbioticStressTrait,Plant damage caused by frost.,Plant,Frost damage,
0000127,Frost damage,AbioticStressTrait,Plant damage caused by frost.,Plant,Frost damage,
0000127,Frost damage,AbioticStressTrait,Plant damage caused by frost.,Plant,Frost damage,
0000127,Frost damage,AbioticStressTrait,Plant damage caused by frost.,Plant,Frost damage,
0000924,Fusarium graminearum incidence,BioticStressTrait,Fusarium graminearum incidence in the plants.,Spike,Fusarium graminearum incidence,
0000924,Fusarium graminearum incidence,BioticStressTrait,Fusarium graminearum incidence in the plants.,Spike,Fusarium graminearum incidence,
0000925,Fusarium graminearum plant response,BioticStressTrait,Fusarium graminearum response in the plants.,Spike,Fusarium graminearum plant response,
0000926,Fusarium graminearum severity,BioticStressTrait,Fusarium graminearum severity in the plants.,Spike,Fusarium graminearum severity,
0000926,Fusarium graminearum severity,BioticStressTrait,Fusarium graminearum severity in the plants.,Spike,Fusarium graminearum severity,
0000651,Fusarium head blight AUDPC,BioticStressTrait,Fusarium head blight (scab) incidence/severity/response in the plants caused by the agent fusarium spp.,Spike,Fusarium head blight AUDPC,
0000652,Fusarium head blight DON content,BioticStressTrait,Content of deoxynivalenol or don (vomitoxin) that is often associated with fhb (fusarium spp.) infected grains.,Grain,Fusarium head blight DON content,
0000927,Fusarium head blight grain incidence,BioticStressTrait,Fusarium head blight (scab) incidence in the plants caused by the agent fusarium spp.,Grain,Fusarium head blight grain incidence,
0000928,Fusarium head blight spike incidence,BioticStressTrait,Fusarium head blight (scab) incidence in spikes caused by the agent fusarium spp.,Spike,Fusarium head blight spike incidence,
0000928,Fusarium head blight spike incidence,BioticStressTrait,Fusarium head blight (scab) incidence in spikes caused by the agent fusarium spp.,Spike,Fusarium head blight spike incidence,
0000929,Fusarium head blight spike response,BioticStressTrait,Fusarium head blight (scab) spike response caused by the agent fusarium spp.,Spike,Fusarium head blight spike response,
0000929,Fusarium head blight spike response,BioticStressTrait,Fusarium head blight (scab) spike response caused by the agent fusarium spp.,Spike,Fusarium head blight spike response,
0000654,Fusarium head blight spike weight,BioticStressTrait,Fusarium head blight (scab) incidence/severity/response in the plants caused by the agent fusarium spp.,Spike,Fusarium head blight spike weight,
0000711,Fusarium head blight spikelet incidence,BioticStressTrait,Fusarium head blight (scab) spikelets incidence caused by the agent fusarium spp.,Spikelet,Fusarium head blight spikelet incidence,
0000711,Fusarium head blight spikelet incidence,BioticStressTrait,Fusarium head blight (scab) spikelets incidence caused by the agent fusarium spp.,Spikelet,Fusarium head blight spikelet incidence,
0000930,Fusarium leaf blotch incidence,BioticStressTrait,"Fusarium leaf blotch (pink snow mold, fusarium patch) incidence in the plants caused by the agent Calonectria nivalis (fusarium nivale).",Plant,Fusarium leaf blotch incidence,
0000930,Fusarium leaf blotch incidence,BioticStressTrait,"Fusarium leaf blotch (pink snow mold, fusarium patch) incidence in the plants caused by the agent Calonectria nivalis (fusarium nivale).",Plant,Fusarium leaf blotch incidence,
0000653,Fusarium leaf blotch severity,BioticStressTrait,"Fusarium leaf blotch (pink snow mold, fusarium patch) severity in the plants caused by the agent Calonectria nivalis (fusarium nivale).",Plant,Fusarium leaf blotch severity,
0000653,Fusarium leaf blotch severity,BioticStressTrait,"Fusarium leaf blotch (pink snow mold, fusarium patch) severity in the plants caused by the agent Calonectria nivalis (fusarium nivale).",Plant,Fusarium leaf blotch severity,
0000168,Fusarium wilt incidence,BioticStressTrait,Fusarium wilt incidence in the plants caused by the agent fusarium oxysporum.,Plant,Fusarium wilt incidence,
0000031,Glume color,MorphologicalTrait,Color observation on the outer glume at maturity.,Glume,Color,
0000035,Glume glaucousness,MorphologicalTrait,Glaucousness in glume.,Glume,Glaucousness,
0000032,Glume length,MorphologicalTrait,Length of glume.,Glume,Length,
0000033,Glume pubescence density,MorphologicalTrait,Glume hairiness density on outer side of sterile glume.,Glume,Pubescence density,
0000034,Glume pubescence length,MorphologicalTrait,Glume pubescence length on outer side of sterile glume.,Glume,Pubescence length,
0000036,Glume width,MorphologicalTrait,Width of glume.,Glume,Width,
0000152,Glutenin Glu-A1 composition,QualityTrait,High molecular weight glutenin subunits of glu-a1.,Flour,Glutenin Glu-A1 composition,
0000155,Glutenin Glu-A3 composition,QualityTrait,Low molecular weight glutenin subunits of glu-a3.,Flour,Glutenin Glu-A3 composition,
0000153,Glutenin Glu-B1 composition,QualityTrait,High molecular weight glutenin subunits of glu-b1.,Flour,Glutenin Glu-B1 composition,
0000156,Glutenin Glu-B3 composition,QualityTrait,Low molecular weight glutenin subunits of glu-b3.,Flour,Glutenin Glu-B3 composition,
0000154,Glutenin Glu-D1 composition,QualityTrait,High molecular weight glutenin subunits of glu-d1.,Flour,Glutenin Glu-D1 composition,
0000157,Glutenin Glu-D3 composition,QualityTrait,Low molecular weight glutenin subunits of glu-d3.,Flour,Glutenin Glu-D3 composition,
0000656,Grain appearance,MorphologicalTrait,Appearance of a single grain.,Grain,Appearance,
0000656,Grain appearance,MorphologicalTrait,Appearance of a single grain.,Grain,Appearance,
0000195,Grain carbon isotope discrimination,PhysiologicalTrait,Grain carbon isotope discrimination at maturity from drought trials provides genotypic effects most likely to be related to transpiration rate or an integrative measurement of stomatal conductance.,Grain,Carbon isotope discrimination,
0000037,Grain color,QualityTrait,Grain color.,Grain,Color,
0000037,Grain color,QualityTrait,Grain color.,Grain,Color,
0000037,Grain color,QualityTrait,Grain color.,Grain,Color,
0000037,Grain color,QualityTrait,Grain color.,Grain,Color,
0000037,Grain color,QualityTrait,Grain color.,Grain,Color,
0000221,Grain end use type,QualityTrait,Bread wheat end use quality is classified according several quality attributes.,Grain,End use type,
0000664,Grain filling period,PhenologicalTrait,Time period between anthesis (ds65) and maturity (ds87).,Plant,Grain filling period,
0000664,Grain filling period,PhenologicalTrait,Time period between anthesis (ds65) and maturity (ds87).,Plant,Grain filling period,
0000011,Grain germination,PhysiologicalTrait,Proportion of seed that germinate under proper condition.,Grain,Germination,
0000072,Grain hardness,QualityTrait,Grain hardness is used as a grading factor to determine the type of wheat. It is a key determinant for classification of wheat and end product quality.,Grain,Hardness,
0000072,Grain hardness,QualityTrait,Grain hardness is used as a grading factor to determine the type of wheat. It is a key determinant for classification of wheat and end product quality.,Grain,Hardness,
0000072,Grain hardness,QualityTrait,Grain hardness is used as a grading factor to determine the type of wheat. It is a key determinant for classification of wheat and end product quality.,Grain,Hardness,
0000072,Grain hardness,QualityTrait,Grain hardness is used as a grading factor to determine the type of wheat. It is a key determinant for classification of wheat and end product quality.,Grain,Hardness,
0000222,Grain Iron content,QualityTrait,Content of iron in grain.,Grain,Iron content,
0000222,Grain Iron content,QualityTrait,Content of iron in grain.,Grain,Iron content,
0000012,Grain moisture content,AgronomicalTrait,Moisture content of grain.,Grain,Moisture content,
0000017,Grain number,AgronomicalTrait,Number of grains expressed as per unit area or sample.,Grain,Number,
0000038,Grain number per spike,AgronomicalTrait,Number of grains per spike.,Spike,Grain number,
0000041,Grain number per spikelet,AgronomicalTrait,Number of grains per spikelet.,Spikelet,Grain number,
0000223,Grain phosphorous content,QualityTrait,Content of phosphorus in grain.,Grain,Phosphorous content,
0000223,Grain phosphorous content,QualityTrait,Content of phosphorus in grain.,Grain,Phosphorous content,
0000039,Grain plumpness,AgronomicalTrait,The degree of endosperm filling.,Grain,Plumpness,
0000073,Grain protein content,QualityTrait,Content of protein (corrected to 12.5% moisture basis) in the whole wheat grain samples.,Grain,Protein content,
0000073,Grain protein content,QualityTrait,Content of protein (corrected to 12.5% moisture basis) in the whole wheat grain samples.,Grain,Protein content,
0000642,Grain retention,AgronomicalTrait,Proportion of big grain remaining above the sieve.,Grain,Retention proportion,
0000643,Grain screenings,AgronomicalTrait,Proportion of small grain passing through a sieve.,Grain,Screenings proportion,
0000040,Grain size,MorphologicalTrait,Grain size.,Grain,Size,
0000159,Grain test weight,QualityTrait,Test weight or specific weight is the weight of a fixed volume of clean grains.,Grain,Test weight,
0000159,Grain test weight,QualityTrait,Test weight or specific weight is the weight of a fixed volume of clean grains.,Grain,Test weight,
0000042,Grain vitreousness,QualityTrait,One of the key quality parameters in the determination of durum quality referring to translucent or glass-like appearance when seeds are transversely sectioned and observed whether not vitreous/partly vitreous/vitreous. it is associated with high protein and hard grain.,Grain,Vitreousness,
0000025,Grain weight,AgronomicalTrait,"Grain weight usually expressed as weight of single, one hundred, two hundred or thousand grains.",Grain,Weight,
0000025,Grain weight,AgronomicalTrait,"Grain weight usually expressed as weight of single, one hundred, two hundred or thousand grains.",Grain,Weight,
0000025,Grain weight,AgronomicalTrait,"Grain weight usually expressed as weight of single, one hundred, two hundred or thousand grains.",Grain,Weight,
0000174,Grain yellow berry incidence,QualityTrait,Refers to grains showing chalky or starchy endosperm areas.,Grain,Yellow berry incidence,
0000013,Grain yield,AgronomicalTrait,Amount (weight) of grains that was harvested.,Grain,Yield,
0000013,Grain yield,AgronomicalTrait,Amount (weight) of grains that was harvested.,Grain,Yield,
0000013,Grain yield,AgronomicalTrait,Amount (weight) of grains that was harvested.,Grain,Yield,
0000013,Grain yield,AgronomicalTrait,Amount (weight) of grains that was harvested.,Grain,Yield,
0000013,Grain yield,AgronomicalTrait,Amount (weight) of grains that was harvested.,Grain,Yield,
0000013,Grain yield,AgronomicalTrait,Amount (weight) of grains that was harvested.,Grain,Yield,
0000013,Grain yield,AgronomicalTrait,Amount (weight) of grains that was harvested.,Grain,Yield,
0000645,Grain yield factor,AgronomicalTrait,Yield factor.,Grain,Yield factor,
0000224,Grain Zinc content,QualityTrait,Content of zinc in grain.,Grain,Zinc content,
0000224,Grain Zinc content,QualityTrait,Content of zinc in grain.,Grain,Zinc content,
0000665,Growth class,PhenologicalTrait,"Classification of vernalization responsive growth habit as winter, facultative or spring wheat.",Plant,Growth class,
0000016,Growth stage,PhenologicalTrait,Growth/developmental stages based on Zadoks decimal code.,Plant,Growth stage,
0000126,Hail damage,AbioticStressTrait,Plant damage caused by hail.,Plant,Hail damage,
0000126,Hail damage,AbioticStressTrait,Plant damage caused by hail.,Plant,Hail damage,
0000123,Harvest index,AgronomicalTrait,A ratio of grain yield to total above ground biomass.,Plant,Biomass partitioning to grain,
0000123,Harvest index,AgronomicalTrait,A ratio of grain yield to total above ground biomass.,Plant,Biomass partitioning to grain,
0000007,Heading time,PhenologicalTrait,Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.,Plant,Heading time,
0000007,Heading time,PhenologicalTrait,Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.,Plant,Heading time,
0000007,Heading time,PhenologicalTrait,Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.,Plant,Heading time,
0000007,Heading time,PhenologicalTrait,Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.,Plant,Heading time,
0000176,Heat tolerance,AbioticStressTrait,Plant tolerance to heat conditions.,Plant,Heat tolerance,
0000922,Helminthosporium species incidence,BioticStressTrait,The disease incidence in the plants caused by the agent helminthosporium species.,Plant,Helminthosporium species incidence,
0000923,Helminthosporium species legacy,BioticStressTrait,The disease incidence/severity/response in the plants caused by the agent helminthosporium species.,Plant,Helminthosporium species legacy,
0000686,Helminthosporium species severity,BioticStressTrait,The disease severity in the plants caused by the agent Helminthosporium species.,Plant,Helminthosporium species severity,
0000686,Helminthosporium species severity,BioticStressTrait,The disease severity in the plants caused by the agent Helminthosporium species.,Plant,Helminthosporium species severity,
0000679,Herbicide damage,AbioticStressTrait,Plant damage caused by herbicide.,Plant,Herbicide damage,
0000088,Hessian fly damage,BioticStressTrait,"The plant damage caused by hessian fly, Maytiola destructor.",Plant,Hessian fly damage,
0000644,Infertile tiller number,AgronomicalTrait,"Number of infertile tillers  per unit area, sample or plant.",Infertile tiller,Number,
0000644,Infertile tiller number,AgronomicalTrait,"Number of infertile tillers  per unit area, sample or plant.",Infertile tiller,Number,
