id,name,class,description,formula,reference
0000305,AntDmg Estimation,EstimationMethod,Standard method for ant damage.,,
0000832,Ant DS65 date Estimation,EstimationMethod,Record date of anthesis (DS65) when 50% of spikes have flowered (i.e. at least 1 anther dehisced).,,"Zadoks et al., 1974,  Pask et al., 2012"
0000336,Ant DS65 DT Computation,ComputationMethod,"Number of days required from sowing to when 50% of spikes have flowered (DS65). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",xxxx,"Zadoks et al., 1974,  Pask et al., 2012"
0000306,AphDmg Estimation,EstimationMethod,Standard method for aphid damage.,,"Duveiller et al., 2012"
0000306,AphDmg Estimation,EstimationMethod,Standard method for aphid damage.,,"Duveiller et al., 2012"
0000307,ArmyWDmg Estimation,EstimationMethod,Standard method for armyworm damage.,,"Duveiller et al., 2012"
0000247,AwnLng  Measurement,MeasurementMethod,Standard method for awn length.,,
0000346,BLBInc Estimation,EstimationMethod,Standard method for Bacterial leaf blight incidence.,,"Duveiller et al., 1997 (Chapter 3)"
0000690,Double digit Estimation,EstimationMethod,"The method was improved by using two digits, representing the vertical disease progress and an estimate of severity. The first digit gives the relative height of the disease using the original 0-9 Saari-Prescott scale as a measure. The second digit shows the disease severity as a percentage but in terms of 0-9. Because it is difficult to evaluate diseases on dead leaves, disease notes should be taken when at least four leaves are still alive and green (soft to mid-dough growth stage). Then visually evaluate the average percentage severity on only those leaves of the uppermost four that are infected. In practice, the percent severity is estimated on an overall score. The following format is used for scoring severity: 10% coverage = 1, 20% coverage = 2, 30% coverage = 3, 40% coverage = 4, 50% coverage = 5, 60% coverage = 6, 70% coverage = 7, 80% coverage = 8, 90% coverage = 9. The score of 10 is not used.",,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
0000690,Double digit Estimation,EstimationMethod,"The method was improved by using two digits, representing the vertical disease progress and an estimate of severity. The first digit gives the relative height of the disease using the original 0-9 Saari-Prescott scale as a measure. The second digit shows the disease severity as a percentage but in terms of 0-9. Because it is difficult to evaluate diseases on dead leaves, disease notes should be taken when at least four leaves are still alive and green (soft to mid-dough growth stage). Then visually evaluate the average percentage severity on only those leaves of the uppermost four that are infected. In practice, the percent severity is estimated on an overall score. The following format is used for scoring severity: 10% coverage = 1, 20% coverage = 2, 30% coverage = 3, 40% coverage = 4, 50% coverage = 5, 60% coverage = 6, 70% coverage = 7, 80% coverage = 8, 90% coverage = 9. The score of 10 is not used.",,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
0000691,HgramInc Estimation,EstimationMethod,Standard method for Barley Helminthosporium leaf stripe incidence.,,
0000691,HgramInc Estimation,EstimationMethod,Standard method for Barley Helminthosporium leaf stripe incidence.,,
0000691,HgramInc Estimation,EstimationMethod,Standard method for Barley Helminthosporium leaf stripe incidence.,,
0001026,Rust Coefficient of infection Computation,ComputationMethod,"Coefficient of infection (CI) calculated by multiplying the severity times a constant for host response: where immune = 0.0, R=0.2, MR =0.4, MS =0.8, and S=1.0.",xxxx,"Roelfs et al., 1992"
0000648,PhordInc Estimation,EstimationMethod,Standard method for Barley leaf rust incidence.,,"Roelfs, A.P., R.P. Singh, and E.E. Saari. 1992. Rust Diseases of Wheat: Concepts and methods of disease management. Mexico, D.F.: CIMMYT."
0000693,Rust severity Estimation,EstimationMethod,"Severity of rust is recorded as a percentage, according to the modified Cobb scale. As this relies upon observation it cannot be absolutely accurate. Thus it is common to use the following intervals: 0, 5, 10, 20, 40, 60, and 100 percent infection.",,"Peterson et al., 1948, Roelfs et al., 1992, McIntosh et al., 1995"
0000324,Modified cobb scale for severity,EstimationMethod,"Severity of leaf/stem/stripe rust is recorded as a percentage, according to the modified Cobb scale. As this relies upon observation it cannot be absolutely accurate. Thus it is common to use the following intervals: 0, 5, 10, 20, 40, 60, and 100 percent infection.",,"Peterson et al., 1948, Roelfs et al., 1992, McIntosh et al., 1995"
0000372,RsecaInc Estimation,EstimationMethod,Standard method for barley scald incidence.,,"Saari and Prescott, 1975, Eyal et al., 1987"
0000690,Double digit Estimation,EstimationMethod,"The method was improved by using two digits, representing the vertical disease progress and an estimate of severity. The first digit gives the relative height of the disease using the original 0-9 Saari-Prescott scale as a measure. The second digit shows the disease severity as a percentage but in terms of 0-9. Because it is difficult to evaluate diseases on dead leaves, disease notes should be taken when at least four leaves are still alive and green (soft to mid-dough growth stage). Then visually evaluate the average percentage severity on only those leaves of the uppermost four that are infected. In practice, the percent severity is estimated on an overall score. The following format is used for scoring severity: 10% coverage = 1, 20% coverage = 2, 30% coverage = 3, 40% coverage = 4, 50% coverage = 5, 60% coverage = 6, 70% coverage = 7, 80% coverage = 8, 90% coverage = 9. The score of 10 is not used.",,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
0000690,Double digit Estimation,EstimationMethod,"The method was improved by using two digits, representing the vertical disease progress and an estimate of severity. The first digit gives the relative height of the disease using the original 0-9 Saari-Prescott scale as a measure. The second digit shows the disease severity as a percentage but in terms of 0-9. Because it is difficult to evaluate diseases on dead leaves, disease notes should be taken when at least four leaves are still alive and green (soft to mid-dough growth stage). Then visually evaluate the average percentage severity on only those leaves of the uppermost four that are infected. In practice, the percent severity is estimated on an overall score. The following format is used for scoring severity: 10% coverage = 1, 20% coverage = 2, 30% coverage = 3, 40% coverage = 4, 50% coverage = 5, 60% coverage = 6, 70% coverage = 7, 80% coverage = 8, 90% coverage = 9. The score of 10 is not used.",,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
0000315,BSMV Estimation,EstimationMethod,Standard method for barley stripe mosaic virus incidence.,,"Duveiller et al., 2012"
0000316,BYDInc Estimation,EstimationMethod,Standard method for barley yellow dwarf incidence.,,"Duveiller et al., 2012"
0000316,BYDInc Estimation,EstimationMethod,Standard method for barley yellow dwarf incidence.,,"Duveiller et al., 2012"
0000316,BYDInc Estimation,EstimationMethod,Standard method for barley yellow dwarf incidence.,,"Duveiller et al., 2012"
0000308,BirdDmg Estimation,EstimationMethod,Standard method for bird damage.,,
0000308,BirdDmg Estimation,EstimationMethod,Standard method for bird damage.,,
0000694,BlkPtInc Estimation,EstimationMethod,Black point incidence is usually expressed as the percentage of grain with black point symptoms.,,
0000694,BlkPtInc Estimation,EstimationMethod,Black point incidence is usually expressed as the percentage of grain with black point symptoms.,,
0000833,Boot DS45 date Estimation,EstimationMethod,Record booting stage (DS45) when 50% of culms present boot swollen.,,"Zadoks et al., 1974,  Pask et al., 2012"
0000841,Boot DS39 date Estimation,EstimationMethod,Record date of initiation of booting stage when 50% of the culms expected to produce spikes are between DS39 (Flag leaf ligule/collar just visible) and DS41 (Flag leaf sheath extending).,,"Zadoks et al., 1974,  Pask et al., 2012"
0000376,Boot DS45 DT Computation,ComputationMethod,"Number of days from sowing to booting stage (DS45). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",xxxx,"Zadoks et al., 1974,  Pask et al., 2012"
0000379,Boot DS39 DT Computation,ComputationMethod,"Number of days from sowing to initiation of booting (DS39-DS41). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",xxxx,"Zadoks et al., 1974,  Pask et al., 2012"
0000792,BTol Estimation,EstimationMethod,"The response of a cultivar or genotype is expressed on a score 1-9, where 1= highly susceptible and 9 = highly tolerant, based on the extent of bronze colored necrosis of leaf tips extending down the leaf margins",,
0000287,CrmStr Estimation,EstimationMethod,Standard method for crumb structure.,,
0000338,LofVol Measurement,MeasurementMethod,Standard method for loaf volume.,,
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000280,StayGreen Estimation,EstimationMethod,"Stay-green assessment is conducted through the growing season, starting with the onset of the senescence of the specific organ to be evaluated.",,
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000381,CT Measurement,MeasurementMethod,"Take measurements at least two times from full ground cover to the end of booting ('pre-heading'), and at least two times from the end of anthesis to late grainfilling ('grain-filling') -with 5-7 days between each measurement to give a reasonably heritable estimate of trait expression.",,"Pask et al., 2012 (Ch. 1)"
0000230,CTD Computation,ComputationMethod,Standard method for canopy temperature depression.,xxxx,"Pask et al., 2012 (Ch. 1)"
0000364,Canopy spectral reflectance Measurement,MeasurementMethod,Standard method for spectral reflectance.,,"Pask et al., 2012 (Ch. 7), Reynolds et al., 2001 (Ch. 5)"
0000302,ColdTol Estimation,EstimationMethod,Observe the growth of plants per plot/entry at temperature lower than the optimum temperature and rate the tolerance.,,"Reynolds et al., 2001 (Ch. 9)"
0000302,ColdTol Estimation,EstimationMethod,Observe the growth of plants per plot/entry at temperature lower than the optimum temperature and rate the tolerance.,,"Reynolds et al., 2001 (Ch. 9)"
0000250,ColeopLng  Measurement,MeasurementMethod,Standard method for coleoptile length.,,
0000363,TilSpSpkInc Estimation,EstimationMethod,Common bunt incidence is usually expressed as the percentage of bunted spikes within a row.,,"Wilcoxson and Saari, 1996"
0000695,RootRot Estimation,EstimationMethod,Standard method for common root rot incidence.,,
0000286,CookSdF Measurement,MeasurementMethod,Standard method for cookie spread factor.,,
0000237,GrndCov Measurement (GS15),MeasurementMethod,Standard method for ground cover at 5 leaves stage.,,
0000405,GrndCov Measurement,MeasurementMethod,High throughput approaches to measuring ground cover are: visual assessment or digital analysis of photographs,,"Pask et al., 2012 (Ch. 10)"
0000408,CropGrwRate Computation,ComputationMethod,Standard method for crop growth rate.,xxxx,"Karimi and Siddique, 1991"
0000327,HavenDmg Estimation,EstimationMethod,Cereal cyst nematodes are more readily detected on seedlings than on adult plants. The roots of infested plants develop frequent branches and swellings (cysts).,,"Riley et al., 2009, Duveiller et al., 2012"
0000834,DR date Estimation,EstimationMethod,"Record date of double ridge stage (DS14-15 approx.). Double ridge signifies that the plant?s main growing point will produce no more primordial leaves, and instead will produce primordial spikelets of the young spike. The dissection and observation of the main tiller apex on an optic magnifier is required.",,"Kirby and Appleyard, 1984"
0000377,DR DT Computation,ComputationMethod,"Number of days from sowing to double ridge (DS14-15 approx.). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",xxxx,"Kirby and Appleyard, 1984"
0000385,ALVEOGRAPH determination AACC 54-30 A,MeasurementMethod,"1. A sample of 60 grams or 250 grams of flour is mixed with a salt solution to form a dough.  2. The dough is sheeted, rested and inflated in the Chopin Alveograph, 2. Five 4.5 centimeter circular dough patties are formed and then rested in the alveograph in a temperature-regulated compartment at 25 degrees Celsius for approximately 20 minutes, 3. Each dough patty is tested individually. The alveograph blows air into a dough patty, which expands into a bubble that eventually breaks, 4. The pressure inside the bubble is recorded as a curve on graph paper. The alveograph determines the gluten strength of a dough by measuring the force required to blow and break a bubble of dough. The results include P Value, L Value, and W Value.",xxxx,
0000385,ALVEOGRAPH determination AACC 54-30 A,MeasurementMethod,"1. A sample of 60 grams or 250 grams of flour is mixed with a salt solution to form a dough.  2. The dough is sheeted, rested and inflated in the Chopin Alveograph, 2. Five 4.5 centimeter circular dough patties are formed and then rested in the alveograph in a temperature-regulated compartment at 25 degrees Celsius for approximately 20 minutes, 3. Each dough patty is tested individually. The alveograph blows air into a dough patty, which expands into a bubble that eventually breaks, 4. The pressure inside the bubble is recorded as a curve on graph paper. The alveograph determines the gluten strength of a dough by measuring the force required to blow and break a bubble of dough. The results include P Value, L Value, and W Value.",xxxx,
0000385,ALVEOGRAPH determination AACC 54-30 A,MeasurementMethod,"1. A sample of 60 grams or 250 grams of flour is mixed with a salt solution to form a dough.  2. The dough is sheeted, rested and inflated in the Chopin Alveograph, 2. Five 4.5 centimeter circular dough patties are formed and then rested in the alveograph in a temperature-regulated compartment at 25 degrees Celsius for approximately 20 minutes, 3. Each dough patty is tested individually. The alveograph blows air into a dough patty, which expands into a bubble that eventually breaks, 4. The pressure inside the bubble is recorded as a curve on graph paper. The alveograph determines the gluten strength of a dough by measuring the force required to blow and break a bubble of dough. The results include P Value, L Value, and W Value.",xxxx,
0000385,ALVEOGRAPH determination AACC 54-30 A,MeasurementMethod,"1. A sample of 60 grams or 250 grams of flour is mixed with a salt solution to form a dough.  2. The dough is sheeted, rested and inflated in the Chopin Alveograph, 2. Five 4.5 centimeter circular dough patties are formed and then rested in the alveograph in a temperature-regulated compartment at 25 degrees Celsius for approximately 20 minutes, 3. Each dough patty is tested individually. The alveograph blows air into a dough patty, which expands into a bubble that eventually breaks, 4. The pressure inside the bubble is recorded as a curve on graph paper. The alveograph determines the gluten strength of a dough by measuring the force required to blow and break a bubble of dough. The results include P Value, L Value, and W Value.",xxxx,
0000385,ALVEOGRAPH determination AACC 54-30 A,MeasurementMethod,"1. A sample of 60 grams or 250 grams of flour is mixed with a salt solution to form a dough.  2. The dough is sheeted, rested and inflated in the Chopin Alveograph, 2. Five 4.5 centimeter circular dough patties are formed and then rested in the alveograph in a temperature-regulated compartment at 25 degrees Celsius for approximately 20 minutes, 3. Each dough patty is tested individually. The alveograph blows air into a dough patty, which expands into a bubble that eventually breaks, 4. The pressure inside the bubble is recorded as a curve on graph paper. The alveograph determines the gluten strength of a dough by measuring the force required to blow and break a bubble of dough. The results include P Value, L Value, and W Value.",xxxx,
0000385,ALVEOGRAPH determination AACC 54-30 A,MeasurementMethod,"1. A sample of 60 grams or 250 grams of flour is mixed with a salt solution to form a dough.  2. The dough is sheeted, rested and inflated in the Chopin Alveograph, 2. Five 4.5 centimeter circular dough patties are formed and then rested in the alveograph in a temperature-regulated compartment at 25 degrees Celsius for approximately 20 minutes, 3. Each dough patty is tested individually. The alveograph blows air into a dough patty, which expands into a bubble that eventually breaks, 4. The pressure inside the bubble is recorded as a curve on graph paper. The alveograph determines the gluten strength of a dough by measuring the force required to blow and break a bubble of dough. The results include P Value, L Value, and W Value.",xxxx,
0000385,ALVEOGRAPH determination AACC 54-30 A,MeasurementMethod,"1. A sample of 60 grams or 250 grams of flour is mixed with a salt solution to form a dough.  2. The dough is sheeted, rested and inflated in the Chopin Alveograph, 2. Five 4.5 centimeter circular dough patties are formed and then rested in the alveograph in a temperature-regulated compartment at 25 degrees Celsius for approximately 20 minutes, 3. Each dough patty is tested individually. The alveograph blows air into a dough patty, which expands into a bubble that eventually breaks, 4. The pressure inside the bubble is recorded as a curve on graph paper. The alveograph determines the gluten strength of a dough by measuring the force required to blow and break a bubble of dough. The results include P Value, L Value, and W Value.",xxxx,
0000389,MIXOGRAPH determination AACC 54-40 A,EstimationMethod,"1. A sample of 35 grams of flour on a 14 percent moisture basis is weighed and placed in a mixograph bowl, 2. Water is added to the flour from a buret and the bowl is inserted into the mixograph, 3. The flour and water are mixed together to form a dough, 4. As the dough is mixed, the mixograph records a curve on graph paper.",,
0000389,MIXOGRAPH determination AACC 54-40 A,EstimationMethod,"1. A sample of 35 grams of flour on a 14 percent moisture basis is weighed and placed in a mixograph bowl, 2. Water is added to the flour from a buret and the bowl is inserted into the mixograph, 3. The flour and water are mixed together to form a dough, 4. As the dough is mixed, the mixograph records a curve on graph paper.",,
0000389,MIXOGRAPH determination AACC 54-40 A,EstimationMethod,"1. A sample of 35 grams of flour on a 14 percent moisture basis is weighed and placed in a mixograph bowl, 2. Water is added to the flour from a buret and the bowl is inserted into the mixograph, 3. The flour and water are mixed together to form a dough, 4. As the dough is mixed, the mixograph records a curve on graph paper.",,
0000275,DroughtTol Estimation,EstimationMethod,Observe the growth of plants per plot/entry under droughted condition and rate the tolerance.,,"Reynolds et al., 2001"
0000275,DroughtTol Estimation,EstimationMethod,Observe the growth of plants per plot/entry under droughted condition and rate the tolerance.,,"Reynolds et al., 2001"
0000319,TcontInc Estimation,EstimationMethod,Standard method for dwarf bunt incidence.,,"Wilcoxson and Saari, 1996"
0000835,Emer DS10 date Estimation,EstimationMethod,Record date of when 50% of seedlings have emerged (DS10).,,"Zadoks et al., 1974,  Pask et al., 2012"
0000242,Emer DS10 days Computation,ComputationMethod,Number of days from sowing to the seedling emergence (DS10).,xxxx,"Zadoks et al., 1974,  Pask et al., 2012"
0000320,PherpResp Estimation,EstimationMethod,Standard method for eye spot field response.,,"Duveiller et al., 2012"
0000837,FND DS31 date Estimation,EstimationMethod,Record date of first node detectable (DS31). It is easier to determine in the field than DS30. It is estimated in-field as the day at which the first node can be detected at approximately 1 cm above the tillering node. The observation is performed in the main tiller.,,"Zadoks et al., 1974,  Pask et al., 2012"
0000378,FND DS31 DT Computation,ComputationMethod,"Number of days from sowing to first node detectable. However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",xxxx,"Zadoks et al., 1974,  Pask et al., 2012"
0000347,FLeafA  Measurement,MeasurementMethod,Standard method for flag leaf area.,,
0000382,FLeafSen Estimation,EstimationMethod,"Rate using a scale from 0 (0% senescence) to 10 (100% senescence) using the guide, in increments of 10%.",,"Pask et al., 2012 (Ch. 12)"
0000321,UagroResp Estimation,EstimationMethod,Standard method for flag smut field response.,,"Wilcoxson and Saari, 1996"
0000400,Minolta Chroma Meter Test,MeasurementMethod,"Measurement of flour/whole meal/grain color with the Minolta chromameter, L value represents whiteness, a* value (reddishness) represents red and green colors and b* value (yellowness) represents yellow and blue colors. Using the Minolta Chroma Meter Test: 1. A sample of flour/whole meal/grain is placed on the granular materials attachment and compacted, 2. The Minolta Chroma Meter is inserted into the granular materials attachment, 3. Measurements are taken and recorded, 4.Color results are reported in terms of 3-dimensional color values based on the following rating scale: L* value whiteness: 100 white, 0 black, a* value positive +60 red color, negative values -60 green color, b* value positive +60 yellow color, negative values -60 blue color.",,
0000400,Minolta Chroma Meter Test,MeasurementMethod,"Measurement of flour/whole meal/grain color with the Minolta chromameter, L value represents whiteness, a* value (reddishness) represents red and green colors and b* value (yellowness) represents yellow and blue colors. Using the Minolta Chroma Meter Test: 1. A sample of flour/whole meal/grain is placed on the granular materials attachment and compacted, 2. The Minolta Chroma Meter is inserted into the granular materials attachment, 3. Measurements are taken and recorded, 4.Color results are reported in terms of 3-dimensional color values based on the following rating scale: L* value whiteness: 100 white, 0 black, a* value positive +60 red color, negative values -60 green color, b* value positive +60 yellow color, negative values -60 blue color.",,
0000400,Minolta Chroma Meter Test,MeasurementMethod,"Measurement of flour/whole meal/grain color with the Minolta chromameter, L value represents whiteness, a* value (reddishness) represents red and green colors and b* value (yellowness) represents yellow and blue colors. Using the Minolta Chroma Meter Test: 1. A sample of flour/whole meal/grain is placed on the granular materials attachment and compacted, 2. The Minolta Chroma Meter is inserted into the granular materials attachment, 3. Measurements are taken and recorded, 4.Color results are reported in terms of 3-dimensional color values based on the following rating scale: L* value whiteness: 100 white, 0 black, a* value positive +60 red color, negative values -60 green color, b* value positive +60 yellow color, negative values -60 blue color.",,
0000288,FlrFN  Measurement,MeasurementMethod,"1. A 7-gram sample of ground wheat or flour is weighed and combined with 25 milliliter of distilled water in a glass falling number tube with a stirrer and shaken to form a slurry.  When grinding a wheat sample to perform a falling number test, it should be at least 300 grams to assure a representative sample, 2. As the slurry is heated in a boiling water bath at 100° Centigrade and stirred constantly, the starch gelatinizes and forms a thick paste, 3. The time it takes the stirrer to drop through the paste is recorded as the falling number value.",,
0000291,FLRGluCon Measurement,MeasurementMethod,"1. A 10-gram sample of flour or ground wheat is weighed and placed into the glutomatic washing chamber on top of the polyester screen, 2. The sample is mixed and washed with a 2 percent salt solution for 5 minutes, 3. The wet gluten is removed from the washing chamber, placed in the centrifuge holder, and centrifuged, 4. The residue retained on top of the screen and through the screen is weighed.",,
0000292,GluTyp Estimation,EstimationMethod,"Gluten type is determined based on gluten properties data (flour protein content, Alveograph W, Alveograph P/L) following Peña 2011: Wheat End-use Quality types.",,"Peña, 2011"
0000289,Kjeldahl AACC 56-81B,MeasurementMethod,Kjeldahl AACC 56-81B.,,
0000944,NIRS Measurement,MeasurementMethod,NIR calibrated based on Kjeldahl results.,,
0000386,SDS-sedimentation determination,MeasurementMethod,"A small sample of flour or ground wheat (1.0 grams) is weighed and placed in 25-milliliter glass-stoppered graduated cylinder. This is mixed with different solutions for some minutes and then rested. Finally, the volume of the sediment is recorded after 21 minutes.",,
0000398,SedIdx Measurement,MeasurementMethod,Standard method for sedimentation index.,,
0000847,FlrYellCls Measurement,MeasurementMethod,"Using the Minolta Chroma Meter Test: 1. A sample of flour/whole meal/grain is placed on the granular materials attachment and compacted, 2. The Minolta Chroma Meter is inserted into the granular materials attachment, 3. Measurements are taken and recorded, 4.Color results are reported in terms of 3-dimensional color values based on the following rating scale: L* value whiteness: 100 white, 0 black, a* value positive +60 red color, negative values -60 green color, b* value positive +60 yellow color, negative values -60 blue color, 5. Flour yellowness classification in classes according the b value (Minolta chromameter) as white (b<12.5), light-yellow (b=12.5-15) or yellow (b>15).",,
0000290,FlrYld Measurement,MeasurementMethod,Standard method for flour yield.,,
0000701,FolDis Estimation,EstimationMethod,Standard method for foliar disease development.,,
0000341,FrostDmg Estimation,EstimationMethod,Score the spike damage caused by frost.,,"Reynolds et al., 2001 (Ch. 9)"
0000341,FrostDmg Estimation,EstimationMethod,Score the spike damage caused by frost.,,"Reynolds et al., 2001 (Ch. 9)"
0000341,FrostDmg Estimation,EstimationMethod,Score the spike damage caused by frost.,,"Reynolds et al., 2001 (Ch. 9)"
0000341,FrostDmg Estimation,EstimationMethod,Score the spike damage caused by frost.,,"Reynolds et al., 2001 (Ch. 9)"
0000341,FrostDmg Estimation,EstimationMethod,Score the spike damage caused by frost.,,"Reynolds et al., 2001 (Ch. 9)"
0000702,FgramInc Estimation,EstimationMethod,Standard method for Fusarium graminearum incidence.,,
0000702,FgramInc Estimation,EstimationMethod,Standard method for Fusarium graminearum incidence.,,
0000703,FgramResp Estimation,EstimationMethod,Standard method for Fusarium graminearum response.,,
0000690,Double digit Estimation,EstimationMethod,"The method was improved by using two digits, representing the vertical disease progress and an estimate of severity. The first digit gives the relative height of the disease using the original 0-9 Saari-Prescott scale as a measure. The second digit shows the disease severity as a percentage but in terms of 0-9. Because it is difficult to evaluate diseases on dead leaves, disease notes should be taken when at least four leaves are still alive and green (soft to mid-dough growth stage). Then visually evaluate the average percentage severity on only those leaves of the uppermost four that are infected. In practice, the percent severity is estimated on an overall score. The following format is used for scoring severity: 10% coverage = 1, 20% coverage = 2, 30% coverage = 3, 40% coverage = 4, 50% coverage = 5, 60% coverage = 6, 70% coverage = 7, 80% coverage = 8, 90% coverage = 9. The score of 10 is not used.",,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
