id,value,description
0000470,45,"40% plant height affected, 50% coverage"
0000470,13,"10% plant height affected, 30% coverage"
0000470,44,"40% plant height affected, 40% coverage"
0000470,10,10
0000470,43,"40% plant height affected, 30% coverage"
0000470,11,"10% plant height affected, 10% coverage"
0000470,42,"40% plant height affected, 20% coverage"
0000470,16,"10% plant height affected, 60% coverage"
0000470,41,"40% plant height affected, 10% coverage"
0000470,17,"10% plant height affected, 70% coverage"
0000470,40,40
0000470,14,"10% plant height affected, 40% coverage"
0000470,39,"30% plant height affected, 90% coverage"
0000470,15,"10% plant height affected, 50% coverage"
0000470,47,"40% plant height affected, 70% coverage"
0000470,38,"30% plant height affected, 80% coverage"
0000470,33,"30% plant height affected, 30% coverage"
0000470,32,"30% plant height affected, 20% coverage"
0000470,35,"30% plant height affected, 50% coverage"
0000470,34,"30% plant height affected, 40% coverage"
0000470,29,"20% plant height affected, 90% coverage"
0000470,28,"20% plant height affected, 80% coverage"
0000470,31,"30% plant height affected, 10% coverage"
0000470,30,30
0000470,37,"30% plant height affected, 70% coverage"
0000470,36,"30% plant height affected, 60% coverage"
0000470,27,"20% plant height affected, 70% coverage"
0000470,25,"20% plant height affected, 50% coverage"
0000470,26,"20% plant height affected, 60% coverage"
0000470,19,"10% plant height affected, 90% coverage"
0000470,20,20
0000470,18,"10% plant height affected, 80% coverage"
0000470,23,"20% plant height affected, 30% coverage"
0000470,24,"20% plant height affected, 40% coverage"
0000470,21,"20% plant height affected, 10% coverage"
0000470,22,"20% plant height affected, 20% coverage"
0000470,96,"90% plant height affected, 60% coverage"
0000470,97,"90% plant height affected, 70% coverage"
0000470,94,"90% plant height affected, 40% coverage"
0000470,95,"90% plant height affected, 50% coverage"
0000470,99,"90% plant height affected, 90% coverage"
0000470,98,"90% plant height affected, 80% coverage"
0000470,87,"80% plant height affected, 70% coverage"
0000470,83,"80% plant height affected, 30% coverage"
0000470,84,"80% plant height affected, 40% coverage"
0000470,85,"80% plant height affected, 50% coverage"
0000470,86,"80% plant height affected, 60% coverage"
0000470,91,"90% plant height affected, 10% coverage"
0000470,90,90
0000470,93,"90% plant height affected, 30% coverage"
0000470,92,"90% plant height affected, 20% coverage"
0000470,89,"80% plant height affected, 90% coverage"
0000470,88,"80% plant height affected, 80% coverage"
0000470,76,"70% plant height affected, 60% coverage"
0000470,77,"70% plant height affected, 70% coverage"
0000470,74,"70% plant height affected, 40% coverage"
0000470,75,"70% plant height affected, 50% coverage"
0000470,72,"70% plant height affected, 20% coverage"
0000470,73,"70% plant height affected, 30% coverage"
0000470,82,"80% plant height affected, 20% coverage"
0000470,81,"80% plant height affected, 10% coverage"
0000470,80,80
0000470,79,"70% plant height affected, 90% coverage"
0000470,78,"70% plant height affected, 80% coverage"
0000470,70,70
0000470,71,"70% plant height affected, 10% coverage"
0000470,68,"60% plant height affected, 80% coverage"
0000470,69,"60% plant height affected, 90% coverage"
0000470,64,"60% plant height affected, 40% coverage"
0000470,63,"60% plant height affected, 30% coverage"
0000470,62,"60% plant height affected, 20% coverage"
0000470,61,"60% plant height affected, 10% coverage"
0000470,67,"60% plant height affected, 70% coverage"
0000470,66,"60% plant height affected, 60% coverage"
0000470,65,"60% plant height affected, 50% coverage"
0000470,58,"50% plant height affected, 80% coverage"
0000470,59,"50% plant height affected, 90% coverage"
0000470,60,60
0000470,51,"50% plant height affected, 10% coverage"
0000470,50,50
0000470,53,"50% plant height affected, 30% coverage"
0000470,52,"50% plant height affected, 20% coverage"
0000470,55,"50% plant height affected, 50% coverage"
0000470,54,"50% plant height affected, 40% coverage"
0000470,57,"50% plant height affected, 70% coverage"
0000470,56,"50% plant height affected, 60% coverage"
0000470,48,"40% plant height affected, 80% coverage"
0000470,49,"40% plant height affected, 90% coverage"
0000470,00,no disease
0000470,46,"40% plant height affected, 60% coverage"
0000470,12,"10% plant height affected, 20% coverage"
0000470,45,"40% plant height affected, 50% coverage"
0000470,13,"10% plant height affected, 30% coverage"
0000470,44,"40% plant height affected, 40% coverage"
0000470,10,10
0000470,43,"40% plant height affected, 30% coverage"
0000470,11,"10% plant height affected, 10% coverage"
0000470,42,"40% plant height affected, 20% coverage"
0000470,16,"10% plant height affected, 60% coverage"
0000470,41,"40% plant height affected, 10% coverage"
0000470,17,"10% plant height affected, 70% coverage"
0000470,40,40
0000470,14,"10% plant height affected, 40% coverage"
0000470,39,"30% plant height affected, 90% coverage"
0000470,15,"10% plant height affected, 50% coverage"
0000470,47,"40% plant height affected, 70% coverage"
0000470,38,"30% plant height affected, 80% coverage"
0000470,33,"30% plant height affected, 30% coverage"
0000470,32,"30% plant height affected, 20% coverage"
0000470,35,"30% plant height affected, 50% coverage"
0000470,34,"30% plant height affected, 40% coverage"
0000470,29,"20% plant height affected, 90% coverage"
0000470,28,"20% plant height affected, 80% coverage"
0000470,31,"30% plant height affected, 10% coverage"
0000470,30,30
0000470,37,"30% plant height affected, 70% coverage"
0000470,36,"30% plant height affected, 60% coverage"
0000446,0,No visible affection
0000446,3,30% coverage
0000446,4,40% coverage
0000446,1,10% coverage
0000446,2,20% coverage
0000446,7,70% coverage
0000446,8,80% coverage
0000446,5,50% coverage
0000446,6,60% coverage
0000446,9,90% coverage
0000465,1,none
0000465,4,low to medium
0000465,5,medium
0000465,2,very low
0000465,3,low
0000465,8,very high
0000465,9,severe
0000465,6,medium to high
0000465,7,high
0000753,0,0% (no uredia)
0000753,10,10% (3.7% occupied by uredia)
0000753,20,20% (7.4% occupied by uredia)
0000753,1,1% (0.37% occupied by uredia)
0000753,5,5% (1.85% occupied by uredia)
0000753,50,50% (18.5% occupied by uredia)
0000753,60,60% (22.2% occupied by uredia)
0000753,30,30% (11.1% occupied by uredia)
0000753,40,40% (14.8% occupied by uredia)
0000753,80,80% (29.6% occupied by uredia)
0000753,90,90% (33.3% occupied by uredia)
0000753,70,70% (25.9% occupied by uredia)
0000753,100,100% (37% occupied by uredia)
0000470,27,"20% plant height affected, 70% coverage"
0000470,25,"20% plant height affected, 50% coverage"
0000470,26,"20% plant height affected, 60% coverage"
0000470,19,"10% plant height affected, 90% coverage"
0000470,20,20
0000470,18,"10% plant height affected, 80% coverage"
0000470,23,"20% plant height affected, 30% coverage"
0000470,24,"20% plant height affected, 40% coverage"
0000470,21,"20% plant height affected, 10% coverage"
0000470,22,"20% plant height affected, 20% coverage"
0000470,96,"90% plant height affected, 60% coverage"
0000470,97,"90% plant height affected, 70% coverage"
0000470,94,"90% plant height affected, 40% coverage"
0000470,95,"90% plant height affected, 50% coverage"
0000470,99,"90% plant height affected, 90% coverage"
0000470,98,"90% plant height affected, 80% coverage"
0000470,87,"80% plant height affected, 70% coverage"
0000470,83,"80% plant height affected, 30% coverage"
0000470,84,"80% plant height affected, 40% coverage"
0000470,85,"80% plant height affected, 50% coverage"
0000470,86,"80% plant height affected, 60% coverage"
0000470,91,"90% plant height affected, 10% coverage"
0000470,90,90
0000470,93,"90% plant height affected, 30% coverage"
0000470,92,"90% plant height affected, 20% coverage"
0000470,89,"80% plant height affected, 90% coverage"
0000470,88,"80% plant height affected, 80% coverage"
0000470,76,"70% plant height affected, 60% coverage"
0000470,77,"70% plant height affected, 70% coverage"
0000470,74,"70% plant height affected, 40% coverage"
0000470,75,"70% plant height affected, 50% coverage"
0000470,72,"70% plant height affected, 20% coverage"
0000470,73,"70% plant height affected, 30% coverage"
0000470,82,"80% plant height affected, 20% coverage"
0000470,81,"80% plant height affected, 10% coverage"
0000470,80,80
0000470,79,"70% plant height affected, 90% coverage"
0000470,78,"70% plant height affected, 80% coverage"
0000470,70,70
0000470,71,"70% plant height affected, 10% coverage"
0000470,68,"60% plant height affected, 80% coverage"
0000470,69,"60% plant height affected, 90% coverage"
0000470,64,"60% plant height affected, 40% coverage"
0000470,63,"60% plant height affected, 30% coverage"
0000470,62,"60% plant height affected, 20% coverage"
0000470,61,"60% plant height affected, 10% coverage"
0000470,67,"60% plant height affected, 70% coverage"
0000470,66,"60% plant height affected, 60% coverage"
0000470,65,"60% plant height affected, 50% coverage"
0000470,58,"50% plant height affected, 80% coverage"
0000470,59,"50% plant height affected, 90% coverage"
0000470,60,60
0000470,51,"50% plant height affected, 10% coverage"
0000470,50,50
0000470,53,"50% plant height affected, 30% coverage"
0000470,52,"50% plant height affected, 20% coverage"
0000470,55,"50% plant height affected, 50% coverage"
0000470,54,"50% plant height affected, 40% coverage"
0000470,57,"50% plant height affected, 70% coverage"
0000470,56,"50% plant height affected, 60% coverage"
0000470,48,"40% plant height affected, 80% coverage"
0000470,49,"40% plant height affected, 90% coverage"
0000470,00,no disease
0000470,46,"40% plant height affected, 60% coverage"
0000470,12,"10% plant height affected, 20% coverage"
0000470,45,"40% plant height affected, 50% coverage"
0000470,13,"10% plant height affected, 30% coverage"
0000470,44,"40% plant height affected, 40% coverage"
0000470,10,10
0000470,43,"40% plant height affected, 30% coverage"
0000470,11,"10% plant height affected, 10% coverage"
0000470,42,"40% plant height affected, 20% coverage"
0000470,16,"10% plant height affected, 60% coverage"
0000470,41,"40% plant height affected, 10% coverage"
0000470,17,"10% plant height affected, 70% coverage"
0000470,40,40
0000470,14,"10% plant height affected, 40% coverage"
0000470,39,"30% plant height affected, 90% coverage"
0000470,15,"10% plant height affected, 50% coverage"
0000470,47,"40% plant height affected, 70% coverage"
0000470,38,"30% plant height affected, 80% coverage"
0000470,33,"30% plant height affected, 30% coverage"
0000470,32,"30% plant height affected, 20% coverage"
0000470,35,"30% plant height affected, 50% coverage"
0000470,34,"30% plant height affected, 40% coverage"
0000470,29,"20% plant height affected, 90% coverage"
0000470,28,"20% plant height affected, 80% coverage"
0000470,31,"30% plant height affected, 10% coverage"
0000470,30,30
0000470,37,"30% plant height affected, 70% coverage"
0000470,36,"30% plant height affected, 60% coverage"
0000446,0,No visible affection
0000446,3,30% coverage
0000446,4,40% coverage
0000446,1,10% coverage
0000446,2,20% coverage
0000446,7,70% coverage
0000446,8,80% coverage
0000446,5,50% coverage
0000446,6,60% coverage
0000446,9,90% coverage
0000446,0,No visible affection
0000446,3,30% coverage
0000446,4,40% coverage
0000446,1,10% coverage
0000446,2,20% coverage
0000446,7,70% coverage
0000446,8,80% coverage
0000446,5,50% coverage
0000446,6,60% coverage
0000446,9,90% coverage
0000457,1,none (N)
0000457,4,moderate (M)
0000457,5,very severe (V)
0000457,2,trace (T)
0000457,3,slight (S)
0000446,0,No visible affection
0000446,3,30% coverage
0000446,4,40% coverage
0000446,1,10% coverage
0000446,2,20% coverage
0000446,7,70% coverage
0000446,8,80% coverage
0000446,5,50% coverage
0000446,6,60% coverage
0000446,9,90% coverage
0000468,1,highly susceptible
0000468,4,susceptible to moderately susceptible
0000468,5,moderately susceptible
0000468,2,highly susceptible to susceptible
0000468,3,susceptible
0000468,8,tolerant
0000468,9,highly tolerant
0000468,6,moderately susceptible to moderately tolerant
0000468,7,moderately tolerant
0000462,1,very poor (VP)
0000462,4,good (G)
0000462,5,very good (VG)
0000462,2,poor (P)
0000462,3,fair (F)
0000462,1,very poor (VP)
0000462,4,good (G)
0000462,5,very good (VG)
0000462,2,poor (P)
0000462,3,fair (F)
0000464,1,highly susceptible
0000464,4,tolerant
0000464,5,highly tolerant
0000464,2,susceptible
0000464,3,intermediate
0000446,0,No visible affection
0000446,3,30% coverage
0000446,4,40% coverage
0000446,1,10% coverage
0000446,2,20% coverage
0000446,7,70% coverage
0000446,8,80% coverage
0000446,5,50% coverage
0000446,6,60% coverage
0000446,9,90% coverage
0000866,1,No Description
0000866,4,No Description
0000866,5,No Description
0000866,2,No Description
0000866,3,No Description
0000866,6,No Description
0000464,1,highly susceptible
0000464,4,tolerant
0000464,5,highly tolerant
0000464,2,susceptible
0000464,3,intermediate
0000471,0,no visible infection (0)
0000471,MR,"moderately resistant (MR), small lesions surrounded by necrotic areas"
0000471,I,"intermediate (M), lesions of variable size, some necrosis and/or chlorosis"
0000471,R,"resistant (R), necrotic areas with or without small lesions"
0000471,R-MR,resistant to moderately resistance (R-MR)
0000471,S,"susceptible (S), large lesions, no necrosis or chlorosis"
0000471,MS,"moderately Susceptible (MS), medium-sized lesions, no necrosis, but some chlorosis possible"
0000471,MS-S,moderately susceptible to susceptible (MS-S)
0000471,0,no visible infection (0)
0000471,MR,"moderately resistant (MR), small lesions surrounded by necrotic areas"
0000471,I,"intermediate (M), lesions of variable size, some necrosis and/or chlorosis"
0000471,R,"resistant (R), necrotic areas with or without small lesions"
0000471,R-MR,resistant to moderately resistance (R-MR)
0000471,S,"susceptible (S), large lesions, no necrosis or chlorosis"
0000471,MS,"moderately Susceptible (MS), medium-sized lesions, no necrosis, but some chlorosis possible"
0000471,MS-S,moderately susceptible to susceptible (MS-S)
0000472,S,Strong (S)
0000472,T,tenacious (T)
0000472,WT,weak-tenacious (WT)
0000472,MS,medium strong (MS)
0000472,W,weak (W)
0000858,1,white (b<12.5)
0000858,2,light-yellow (b=12.5-15)
0000858,3,yellow (b>15)
0000457,1,none (N)
0000457,4,moderate (M)
0000457,5,very severe (V)
0000457,2,trace (T)
0000457,3,slight (S)
0000449,0,no damage
0000449,3,low damage
0000449,4,low to intermediate damage
0000449,1,trace
0000449,2,very low damage
0000449,7,high damage
0000449,8,high to very high damage
0000449,5,intermediate damage
0000449,6,intermediate to high damage
0000449,9,very high damage
0000457,1,none (N)
0000457,4,moderate (M)
0000457,5,very severe (V)
0000457,2,trace (T)
0000457,3,slight (S)
0000465,1,none
0000465,4,low to medium
0000465,5,medium
0000465,2,very low
0000465,3,low
0000465,8,very high
0000465,9,severe
0000465,6,medium to high
0000465,7,high
0000774,I,"immune (I), 0 % of infection"
0000774,MS,"moderately susceptible (MS), 12 to 20 % of infection"
0000774,S,"susceptible (S), 21 to 50 % of infection"
0000774,R,"resistant (R), 1 to 8 % of infection"
0000774,MR,"moderately resistant (MR), 9 to 11 % of infection"
0000774,VS,"very susceptible (VS), > 50 % of infection"
0000470,27,"20% plant height affected, 70% coverage"
0000470,25,"20% plant height affected, 50% coverage"
0000470,26,"20% plant height affected, 60% coverage"
0000470,19,"10% plant height affected, 90% coverage"
0000470,20,20
0000470,18,"10% plant height affected, 80% coverage"
0000470,23,"20% plant height affected, 30% coverage"
0000470,24,"20% plant height affected, 40% coverage"
0000470,21,"20% plant height affected, 10% coverage"
0000470,22,"20% plant height affected, 20% coverage"
0000470,96,"90% plant height affected, 60% coverage"
0000470,97,"90% plant height affected, 70% coverage"
0000470,94,"90% plant height affected, 40% coverage"
0000470,95,"90% plant height affected, 50% coverage"
0000470,99,"90% plant height affected, 90% coverage"
0000470,98,"90% plant height affected, 80% coverage"
0000470,87,"80% plant height affected, 70% coverage"
0000470,83,"80% plant height affected, 30% coverage"
0000470,84,"80% plant height affected, 40% coverage"
0000470,85,"80% plant height affected, 50% coverage"
0000470,86,"80% plant height affected, 60% coverage"
0000470,91,"90% plant height affected, 10% coverage"
0000470,90,90
0000470,93,"90% plant height affected, 30% coverage"
0000470,92,"90% plant height affected, 20% coverage"
0000470,89,"80% plant height affected, 90% coverage"
0000470,88,"80% plant height affected, 80% coverage"
0000470,76,"70% plant height affected, 60% coverage"
0000470,77,"70% plant height affected, 70% coverage"
0000470,74,"70% plant height affected, 40% coverage"
0000470,75,"70% plant height affected, 50% coverage"
0000470,72,"70% plant height affected, 20% coverage"
0000470,73,"70% plant height affected, 30% coverage"
0000470,82,"80% plant height affected, 20% coverage"
0000470,81,"80% plant height affected, 10% coverage"
0000470,80,80
0000470,79,"70% plant height affected, 90% coverage"
0000470,78,"70% plant height affected, 80% coverage"
0000470,70,70
0000470,71,"70% plant height affected, 10% coverage"
0000470,68,"60% plant height affected, 80% coverage"
0000470,69,"60% plant height affected, 90% coverage"
0000470,64,"60% plant height affected, 40% coverage"
0000470,63,"60% plant height affected, 30% coverage"
0000470,62,"60% plant height affected, 20% coverage"
0000470,61,"60% plant height affected, 10% coverage"
0000470,67,"60% plant height affected, 70% coverage"
0000470,66,"60% plant height affected, 60% coverage"
0000470,65,"60% plant height affected, 50% coverage"
0000470,58,"50% plant height affected, 80% coverage"
0000470,59,"50% plant height affected, 90% coverage"
0000470,60,60
0000470,51,"50% plant height affected, 10% coverage"
0000470,50,50
0000470,53,"50% plant height affected, 30% coverage"
0000470,52,"50% plant height affected, 20% coverage"
0000470,55,"50% plant height affected, 50% coverage"
0000470,54,"50% plant height affected, 40% coverage"
0000470,57,"50% plant height affected, 70% coverage"
0000470,56,"50% plant height affected, 60% coverage"
0000470,48,"40% plant height affected, 80% coverage"
0000470,49,"40% plant height affected, 90% coverage"
0000470,00,no disease
0000470,46,"40% plant height affected, 60% coverage"
0000470,12,"10% plant height affected, 20% coverage"
0000470,45,"40% plant height affected, 50% coverage"
0000470,13,"10% plant height affected, 30% coverage"
0000470,44,"40% plant height affected, 40% coverage"
0000470,10,10
0000470,43,"40% plant height affected, 30% coverage"
0000470,11,"10% plant height affected, 10% coverage"
0000470,42,"40% plant height affected, 20% coverage"
0000470,16,"10% plant height affected, 60% coverage"
0000470,41,"40% plant height affected, 10% coverage"
0000470,17,"10% plant height affected, 70% coverage"
0000470,40,40
0000470,14,"10% plant height affected, 40% coverage"
0000470,39,"30% plant height affected, 90% coverage"
0000470,15,"10% plant height affected, 50% coverage"
0000470,47,"40% plant height affected, 70% coverage"
0000470,38,"30% plant height affected, 80% coverage"
0000470,33,"30% plant height affected, 30% coverage"
0000470,32,"30% plant height affected, 20% coverage"
0000470,35,"30% plant height affected, 50% coverage"
0000470,34,"30% plant height affected, 40% coverage"
0000470,29,"20% plant height affected, 90% coverage"
0000470,28,"20% plant height affected, 80% coverage"
0000470,31,"30% plant height affected, 10% coverage"
0000470,30,30
0000470,37,"30% plant height affected, 70% coverage"
0000470,36,"30% plant height affected, 60% coverage"
0000774,I,"immune (I), 0 % of infection"
0000774,MS,"moderately susceptible (MS), 12 to 20 % of infection"
0000774,S,"susceptible (S), 21 to 50 % of infection"
0000774,R,"resistant (R), 1 to 8 % of infection"
0000774,MR,"moderately resistant (MR), 9 to 11 % of infection"
0000774,VS,"very susceptible (VS), > 50 % of infection"
0000471,0,no visible infection (0)
0000471,MR,"moderately resistant (MR), small lesions surrounded by necrotic areas"
0000471,I,"intermediate (M), lesions of variable size, some necrosis and/or chlorosis"
0000471,R,"resistant (R), necrotic areas with or without small lesions"
0000471,R-MR,resistant to moderately resistance (R-MR)
0000471,S,"susceptible (S), large lesions, no necrosis or chlorosis"
0000471,MS,"moderately Susceptible (MS), medium-sized lesions, no necrosis, but some chlorosis possible"
0000471,MS-S,moderately susceptible to susceptible (MS-S)
0000470,27,"20% plant height affected, 70% coverage"
0000470,25,"20% plant height affected, 50% coverage"
0000470,26,"20% plant height affected, 60% coverage"
0000470,19,"10% plant height affected, 90% coverage"
0000470,20,20
0000470,18,"10% plant height affected, 80% coverage"
0000470,23,"20% plant height affected, 30% coverage"
0000470,24,"20% plant height affected, 40% coverage"
0000470,21,"20% plant height affected, 10% coverage"
0000470,22,"20% plant height affected, 20% coverage"
0000470,96,"90% plant height affected, 60% coverage"
0000470,97,"90% plant height affected, 70% coverage"
0000470,94,"90% plant height affected, 40% coverage"
0000470,95,"90% plant height affected, 50% coverage"
0000470,99,"90% plant height affected, 90% coverage"
0000470,98,"90% plant height affected, 80% coverage"
0000470,87,"80% plant height affected, 70% coverage"
0000470,83,"80% plant height affected, 30% coverage"
0000470,84,"80% plant height affected, 40% coverage"
0000470,85,"80% plant height affected, 50% coverage"
0000470,86,"80% plant height affected, 60% coverage"
0000470,91,"90% plant height affected, 10% coverage"
0000470,90,90
0000470,93,"90% plant height affected, 30% coverage"
0000470,92,"90% plant height affected, 20% coverage"
0000470,89,"80% plant height affected, 90% coverage"
0000470,88,"80% plant height affected, 80% coverage"
0000470,76,"70% plant height affected, 60% coverage"
0000470,77,"70% plant height affected, 70% coverage"
0000470,74,"70% plant height affected, 40% coverage"
0000470,75,"70% plant height affected, 50% coverage"
0000470,72,"70% plant height affected, 20% coverage"
0000470,73,"70% plant height affected, 30% coverage"
0000470,82,"80% plant height affected, 20% coverage"
0000470,81,"80% plant height affected, 10% coverage"
0000470,80,80
0000470,79,"70% plant height affected, 90% coverage"
0000470,78,"70% plant height affected, 80% coverage"
0000470,70,70
0000470,71,"70% plant height affected, 10% coverage"
0000470,68,"60% plant height affected, 80% coverage"
0000470,69,"60% plant height affected, 90% coverage"
0000470,64,"60% plant height affected, 40% coverage"
0000470,63,"60% plant height affected, 30% coverage"
0000470,62,"60% plant height affected, 20% coverage"
0000470,61,"60% plant height affected, 10% coverage"
0000470,67,"60% plant height affected, 70% coverage"
0000470,66,"60% plant height affected, 60% coverage"
0000470,65,"60% plant height affected, 50% coverage"
0000470,58,"50% plant height affected, 80% coverage"
0000470,59,"50% plant height affected, 90% coverage"
0000470,60,60
0000470,51,"50% plant height affected, 10% coverage"
0000470,50,50
0000470,53,"50% plant height affected, 30% coverage"
0000470,52,"50% plant height affected, 20% coverage"
0000470,55,"50% plant height affected, 50% coverage"
0000470,54,"50% plant height affected, 40% coverage"
0000470,57,"50% plant height affected, 70% coverage"
0000470,56,"50% plant height affected, 60% coverage"
0000470,48,"40% plant height affected, 80% coverage"
0000470,49,"40% plant height affected, 90% coverage"
0000470,00,no disease
0000470,46,"40% plant height affected, 60% coverage"
0000470,12,"10% plant height affected, 20% coverage"
0000470,45,"40% plant height affected, 50% coverage"
0000470,13,"10% plant height affected, 30% coverage"
0000470,44,"40% plant height affected, 40% coverage"
0000470,10,10
0000470,43,"40% plant height affected, 30% coverage"
0000470,11,"10% plant height affected, 10% coverage"
0000470,42,"40% plant height affected, 20% coverage"
0000470,16,"10% plant height affected, 60% coverage"
0000470,41,"40% plant height affected, 10% coverage"
0000470,17,"10% plant height affected, 70% coverage"
0000470,40,40
0000470,14,"10% plant height affected, 40% coverage"
0000470,39,"30% plant height affected, 90% coverage"
0000470,15,"10% plant height affected, 50% coverage"
0000470,47,"40% plant height affected, 70% coverage"
0000470,38,"30% plant height affected, 80% coverage"
0000470,33,"30% plant height affected, 30% coverage"
0000470,32,"30% plant height affected, 20% coverage"
0000470,35,"30% plant height affected, 50% coverage"
0000470,34,"30% plant height affected, 40% coverage"
0000470,29,"20% plant height affected, 90% coverage"
0000470,28,"20% plant height affected, 80% coverage"
0000470,31,"30% plant height affected, 10% coverage"
0000470,30,30
0000470,37,"30% plant height affected, 70% coverage"
0000470,36,"30% plant height affected, 60% coverage"
0000451,1,white
0000451,2,red to brown
0000451,3,purple to black
0000450,0,absent
0000450,3,sparse
0000450,4,sparse to intermediate
0000450,1,very sparse
0000450,2,very sparse to sparse
0000450,7,dense
0000450,8,dense to very dense
0000450,5,intermediate
0000450,6,intermadiate to dense
0000450,9,very dense
0000450,0,absent
0000450,3,sparse
0000450,4,sparse to intermediate
0000450,1,very sparse
0000450,2,very sparse to sparse
0000450,7,dense
0000450,8,dense to very dense
0000450,5,intermediate
0000450,6,intermadiate to dense
0000450,9,very dense
0000824,0,No Description
0000824,3,No Description
0000824,4,No Description
0000824,1,No Description
0000824,2,No Description
0000824,7,No Description
0000824,8,No Description
0000824,5,No Description
0000824,6,No Description
0000824,9,No Description
0000452,W,white
0000452,R,red
0000452,P,purple
0000826,W,white
0000826,R,red
0000826,P,purple
0000826,W/R,white/red
0000826,R/W,red/white
0000469,1,1a
