observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,pvp(CO_321:1000251),pvp(CO_321:1000251).date
CF99071,2764837,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,49603,gnpis_pui:holding-921_taxon-4898_accession-49603,CF99071,VIRTUAL_TRIAL,,,,,,,,2000,2,
EM00003,2764825,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48755,gnpis_pui:holding-921_taxon-4898_accession-48755,EM00003,VIRTUAL_TRIAL,,,,,,,,2000,2,
EM00005,2764827,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48762,gnpis_pui:holding-921_taxon-4898_accession-48762,EM00005,VIRTUAL_TRIAL,,,,,,,,2000,5,
Soissons,2764857,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2000,NA,
Isengrain,2764854,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,2000,NA,
Alberic,2764821,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,59586,https://doi.org/10.15454/HZTT8F,ALBERIC,VIRTUAL_TRIAL,,,,,,,,2000,NA,
DI00004,2764822,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,2000,2,
EM00006,2764830,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,2000,5,
EM00004,2764828,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,2000,2,
RE99106,2764856,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48902,gnpis_pui:holding-921_taxon-4898_accession-48902,RE99106,VIRTUAL_TRIAL,,,,,,,,2000,2,
LM00001,2764831,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48906,gnpis_pui:holding-921_taxon-4898_accession-48906,LM00001,VIRTUAL_TRIAL,,,,,,,,2000,5,
DI00006,2764843,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,49378,gnpis_pui:holding-921_taxon-4898_accession-49378,DI00006,VIRTUAL_TRIAL,,,,,,,,2000,2,
CF99075,2764841,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,2000,2,
RE00001,2764850,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48511,gnpis_pui:holding-921_taxon-4898_accession-48511,RE00001,VIRTUAL_TRIAL,,,,,,,,2000,2,
RE00003,2764849,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,49141,gnpis_pui:holding-921_taxon-4898_accession-49141,RE00003,VIRTUAL_TRIAL,,,,,,,,2000,2,
