observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Tamaroitkt,2802155,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2005,94,,147,,"71,5",,"61,2",,3,
Tremieitkt,2802146,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,140,,"93,5",,80,,5,
Caphornitkt,2802136,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2005,"72,5",,142,,"100,2",,"85,8",,5,
RE03014itkt,2802151,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,treated,2005,84,,146,,"92,3",,79,,4,
CF03167itkt,2802143,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,treated,2005,"74,5",,145,,"92,4",,"79,1",,5,
CF03104itkt,2802138,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,144,,"93,1",,"79,7",,6,
CF03163itkt,2802145,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26796,https://doi.org/10.15454/FR99SD,CF03163,VIRTUAL_TRIAL,,,,,,,,treated,2005,68,,146,,"89,7",,"76,8",,6,
CF03102itkt,2802134,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,treated,2005,83,,146,,"91,8",,"78,6",,3,
CF01046itkt,2802150,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,145,,"92,2",,79,,2,
Rytmicitkt,2802132,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2005,"83,5",,148,,"94,7",,81,,4,
CF01085itkt,2802139,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2005,"80,5",,144,,"91,2",,"78,1",,4,
RE03111itkt,2802148,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,treated,2005,"72,5",,146,,99,,"84,7",,3,
RE03101itkt,2802126,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,treated,2005,73,,144,,"102,6",,"87,8",,5,
RE03094itkt,2802153,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,treated,2005,"79,5",,144,,99,,"84,8",,1,
DI02001itkt,2802135,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2005,"83,5",,146,,"97,7",,"83,6",,2,
Soissonsitkt,2802154,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2005,"77,5",,139,,"92,2",,"78,9",,6,
Orvantisitkt,2802149,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,143,,"102,3",,"87,6",,4,
DI02008itkt,2802141,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2005,73,,146,,"92,8",,"79,4",,4,
LM03005itkt,2802124,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,treated,2005,71,,143,,"88,7",,"75,9",,3,
EM00074itkt,2802147,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,147,,"93,6",,"80,1",,3,
DI03015itkt,2802123,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,treated,2005,"76,5",,147,,"92,1",,"78,8",,4,
Farandoleitkt,2802137,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2005,"75,5",,143,,"100,3",,"85,8",,4,
