observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI9812itkfi,2768013,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,100,,,,"80,3",,,,,
CF99105itkt,2768003,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,102,,,,"108,9",,,,1,
CF99105itkfi,2768001,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"112,9",,,,"90,7",,,,,
RE99004itknt,2767960,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"96,9",,1,,"81,2",,5,,,
EM99006itknt,2767975,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"95,5",,1,,80,,2,,,
CF99031itknt,2767951,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"90,1",,1,,"75,5",,4,,,
CF99031itkfi,2767950,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"104,3",,,,"83,8",,,,,
EM99006itkt,2767976,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2001,148,,"96,7",,,,"103,2",,,,1,
DI9812itkt,2768015,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"92,1",,,,"98,3",,,,1,
RE99017itkfi,2768007,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,123,,,,"98,8",,,,,
DI9812itknt,2768014,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"95,6",,1,,"80,2",,3,,,
CF99031itkt,2767952,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,treated,2001,152,,"102,8",,,,"109,7",,,,1,
EM99006itkfi,2767974,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"108,3",,,,87,,,,,
Pulsaritknt,2768017,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,59714,https://doi.org/10.15454/C1H1E0,PULSAR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"108,9",,2,,"91,3",,2,,,
RE99017itkt,2768009,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"104,7",,,,"111,8",,,,3,
RE99017itknt,2768008,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"105,6",,1,,"88,6",,1,,,
Soissonsitknt,2768011,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"93,5",,7,,"78,4",,1,,,
DI9714itkfi,2767947,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"104,5",,,,"83,9",,,,,
RE9819itkfi,2767944,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"102,6",,,,"82,4",,,,,
Pulsaritkfi,2768016,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,59714,https://doi.org/10.15454/C1H1E0,PULSAR,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"119,3",,,,"95,8",,,,,
DI9714itkt,2767949,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2001,150,,"105,9",,,,113,,,,1,
DI9714itknt,2767948,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"98,2",,1,,"82,3",,7,,,
EM99003itkfi,2767965,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"99,1",,,,"79,6",,,,,
AO01001itknt,2767999,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,48414,gnpis_pui:holding-921_taxon-4898_accession-48414,AO01001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"93,7",,2,,"78,5",,2,,,
AO01001itkfi,2767998,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,48414,gnpis_pui:holding-921_taxon-4898_accession-48414,AO01001,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"96,9",,,,"77,8",,,,,
RE99123itknt,2767990,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"97,9",,2,,"82,1",,1,,,
Soissonsitkfi,2768010,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"90,8",,,,"72,9",,,,,
RE9819itkt,2767946,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,treated,2001,146,,"99,7",,,,"106,4",,,,1,
Soissonsitkt,2768012,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,144,,"96,5",,,,103,,,,"1,5",
AO01001itkt,2768000,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,48414,gnpis_pui:holding-921_taxon-4898_accession-48414,AO01001,VIRTUAL_TRIAL,,,,,,,,treated,2001,150,,"90,6",,,,"96,8",,,,2,
RE99123itkt,2767991,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,treated,2001,150,,"100,4",,,,"107,1",,,,1,
RE99123itkfi,2767989,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"108,3",,,,"86,9",,,,,
Chargeritkfi,2767977,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"107,5",,,,"86,3",,,,,
RE9819itknt,2767945,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"100,6",,2,,"84,4",,3,,,
Chargeritkt,2767979,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2001,150,,"102,6",,,,"109,5",,,,1,
CF99075itkt,2767955,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,treated,2001,146,,"103,6",,,,"110,6",,,,1,
Pulsaritkt,2768018,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,59714,https://doi.org/10.15454/C1H1E0,PULSAR,VIRTUAL_TRIAL,,,,,,,,treated,2001,151,,109,,,,"116,3",,,,1,
EM99002itkt,2767970,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,treated,2001,150,,"93,2",,,,"99,5",,,,1,
EM99002itknt,2767969,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"92,6",,1,,"77,7",,2,,,
EM99002itkfi,2767968,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"99,7",,,,"80,1",,,,,
Chargeritknt,2767978,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"100,2",,2,,84,,1,,,
Tremieitkt,2767988,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2001,144,,"103,9",,,,"110,9",,,,1,
RE99003itkt,2767964,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,treated,2001,145,,"99,8",,,,"106,6",,,,1,
RE99003itkfi,2767962,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"110,5",,,,"88,7",,,,,
Isengrainitknt,2767996,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"103,9",,4,,"87,1",,4,,,
Isengrainitkfi,2767995,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"102,2",,,,"82,1",,,,,
Orvantisitkfi,2767992,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"108,8",,,,"87,4",,,,,
CF99075itkfi,2767953,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"114,5",,,,92,,,,,
Tremieitknt,2767987,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"102,5",,1,,"85,9",,5,,,
Tremieitkfi,2767986,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"99,5",,,,"79,9",,,,,
Voltigeitkt,2767958,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"103,8",,,,"110,8",,,,1,
Voltigeitknt,2767957,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"110,4",,1,,"92,6",,2,,,
Isengrainitkt,2767997,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2001,145,,97,,,,"103,6",,,,1,
RE99003itknt,2767963,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"104,7",,1,,"87,8",,5,,,
CF9825itkt,2767943,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"94,6",,,,101,,,,"1,5",
