observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Sankaraitkfi,2825236,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,128,,"74,4",,"4,5",,"47,8",,1,,1,
DI07011itkfi,2825241,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49661,gnpis_pui:holding-921_taxon-4898_accession-49661,DI07011,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"127,5",,"88,5",,6,,"56,9",,1,,4,
DI07014itkfi,2825216,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49677,gnpis_pui:holding-921_taxon-4898_accession-49677,DI07014,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,129,,"100,8",,3,,"64,7",,1,,1,
Toisondoritkfi,2825213,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,122,,"142,5",,1,,"91,5",,5,,1,
DI07012itkfi,2825219,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,126,,104,,3,,"66,8",,1,,1,
DI07008itkfi,2825218,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,48548,gnpis_pui:holding-921_taxon-4898_accession-48548,DI07008,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,131,,"76,8",,3,,"49,3",,1,,1,
EM06091itkfi,2825245,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,"129,5",,"97,4",,4,,"62,6",,1,,1,
Ghaytaitkfi,2825250,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,129,,"99,1",,"4,5",,"63,7",,1,,1,
DI07009itkfi,2825217,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,126,,"104,5",,"2,5",,"67,1",,1,,1,
RE06085itkfi,2825221,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49128,gnpis_pui:holding-921_taxon-4898_accession-49128,RE06085,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"126,5",,"108,6",,"2,5",,"69,8",,1,,1,
EM06090itkfi,2825244,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"125,5",,"116,7",,"4,5",,75,,1,,1,
Caphornitkfi,2825238,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,122,,124,,"2,5",,"79,7",,1,,1,
CF06154itkfi,2825255,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49465,gnpis_pui:holding-921_taxon-4898_accession-49465,CF06154,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,129,,"108,6",,2,,"69,7",,1,,1,
RE06094itkfi,2825228,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49599,gnpis_pui:holding-921_taxon-4898_accession-49599,RE06094,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,123,,"105,3",,"3,5",,"67,7",,1,,"2,5",
DI07013itkfi,2825239,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,119,,"134,5",,3,,"86,4",,3,,1,
RE06078itkfi,2825226,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49672,gnpis_pui:holding-921_taxon-4898_accession-49672,RE06078,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,115,,"124,5",,"119,8",,2,,"76,9",,1,,1,
CF06204itkfi,2825234,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49620,gnpis_pui:holding-921_taxon-4898_accession-49620,CF06204,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"128,5",,"81,3",,"4,5",,"52,2",,1,,1,
RE06079itkfi,2825225,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,115,,"129,5",,"108,3",,1,,"69,6",,1,,3,
EM06170itkfi,2825214,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,48712,gnpis_pui:holding-921_taxon-4898_accession-48712,EM06170,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,117,,"115,2",,5,,74,,1,,1,
