observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF11159itknt,2868261,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61494,https://doi.org/10.15454/BNMVC6,CF11159,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,2,,,,1,,,
CF11159itkt,2868262,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61494,https://doi.org/10.15454/BNMVC6,CF11159,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,132,,"79,5",,94,,,,"94,8",,,,"1,5",
Altigoitknt,2868235,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,7,,,,1,,,
RE11059itkt,2868214,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"83,4",,"88,4",,,,"89,2",,,,1,
CF11164itknt,2868229,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61509,https://doi.org/10.15454/HGNUZP,CF11164,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,6,,,,1,,,
CF11164itkt,2868230,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61509,https://doi.org/10.15454/HGNUZP,CF11164,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,143,,"82,3",,"101,6",,,,"102,4",,,,"6,5",
RE11059itknt,2868213,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,4,,,,1,,,
EM11552itknt,2868271,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61547,https://doi.org/10.15454/WWS1CM,EM11552,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,4,,,,1,,,
AO12020itknt,2868203,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60945,https://doi.org/10.15454/VXRK5Y,AO12020,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,2,,,,1,,,
AO12020itkt,2868204,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60945,https://doi.org/10.15454/VXRK5Y,AO12020,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,144,,"78,4",,"90,4",,,,"91,2",,,,7,
EM11552itkt,2868272,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61547,https://doi.org/10.15454/WWS1CM,EM11552,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,145,,"78,9",,"85,5",,,,"86,2",,,,"4,5",
CF11192itknt,2868211,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61539,https://doi.org/10.15454/9F9U9Z,CF11192,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,6,,,,1,,,
Premioitknt,2868193,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,5,,,,1,,,
RE11075itkt,2868202,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"82,6",,"102,6",,,,"103,5",,,,"6,5",
CF11192itkt,2868212,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61539,https://doi.org/10.15454/9F9U9Z,CF11192,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,139,,80,,"96,3",,,,"97,1",,,,1,
Premioitkt,2868194,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,139,,"79,8",,"105,4",,,,"106,2",,,,1,
EM11565itknt,2868227,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61705,https://doi.org/10.15454/LUSDY2,EM11565,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,3,,,,4,,,
RE11075itknt,2868201,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,2,,,,1,,,
EM11565itkt,2868228,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61705,https://doi.org/10.15454/LUSDY2,EM11565,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,135,,"78,5",,"99,5",,,,"100,3",,,,"6,5",
AO12014itknt,2868209,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,NA,,,,8,,,
DI12013itkt,2868258,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61938,https://doi.org/10.15454/LRDMJQ,DI12013,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"73,2",,"89,9",,,,"90,7",,,,1,
Apacheitkt,2868232,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,138,,"83,6",,"95,1",,,,"95,9",,,,1,
DI12013itknt,2868257,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61938,https://doi.org/10.15454/LRDMJQ,DI12013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,6,,,,1,,,
Apacheitknt,2868231,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,6,,,,1,,,
EM11582itknt,2868243,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,62041,https://doi.org/10.15454/YY8ALS,EM11582,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,5,,,,1,,,
Bermudeitkt,2868208,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"78,7",,"100,9",,,,"101,7",,,,1,
EM11582itkt,2868244,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,62041,https://doi.org/10.15454/YY8ALS,EM11582,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"78,3",,"91,3",,,,"92,1",,,,"5,5",
AO12025itknt,2868197,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61019,https://doi.org/10.15454/VSFGLN,AO12025,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,3,,,,8,,,
Lyrikitkt,2868270,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,142,,"82,2",,"104,1",,,,105,,,,2,
AO12025itkt,2868198,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61019,https://doi.org/10.15454/VSFGLN,AO12025,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,138,,"77,1",,"97,2",,,,98,,,,1,
Lyrikitknt,2868269,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,3,,,,1,,,
DI12009itkt,2868220,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61863,https://doi.org/10.15454/SSBKER,DI12009,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,136,,75,,"93,7",,,,"94,5",,,,"1,5",
RE11087itkt,2868242,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,142,,84,,"94,2",,,,95,,,,4,
RE11087itknt,2868241,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,2,,,,1,,,
DI12009itknt,2868219,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61863,https://doi.org/10.15454/SSBKER,DI12009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,6,,,,1,,,
CF11177itkt,2868266,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"81,1",,"98,2",,,,99,,,,"1,5",
DI12008itknt,2868221,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61847,https://doi.org/10.15454/ERHVKW,DI12008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,2,,,,1,,,
DI12008itkt,2868222,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61847,https://doi.org/10.15454/ERHVKW,DI12008,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,141,,"79,7",,"92,7",,,,"93,5",,,,6,
CF11177itknt,2868265,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,3,,,,1,,,
RE11060itkt,2868238,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61023,https://doi.org/10.15454/NQSOJJ,RE11060,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,144,,"78,8",,"89,3",,,,90,,,,"7,5",
RE11060itknt,2868237,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61023,https://doi.org/10.15454/NQSOJJ,RE11060,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,2,,,,1,,,
DI12012itkt,2868256,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61923,https://doi.org/10.15454/DNQAJZ,DI12012,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,145,,"74,3",,"79,4",,,,"80,1",,,,"2,5",
DI12012itknt,2868255,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61923,https://doi.org/10.15454/DNQAJZ,DI12012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,2,,,,1,,,
AO12019itknt,2868247,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60929,https://doi.org/10.15454/2XDPMU,AO12019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,2,,,,1,,,
EM11579itkt,2868246,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"75,6",,"85,6",,,,"86,3",,,,1,
DI12010itknt,2868251,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61882,https://doi.org/10.15454/IS30KY,DI12010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,4,,,,1,,,
DI12010itkt,2868252,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61882,https://doi.org/10.15454/IS30KY,DI12010,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,138,,"75,1",,"93,1",,,,"93,9",,,,"1,5",
AO12019itkt,2868248,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60929,https://doi.org/10.15454/2XDPMU,AO12019,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,144,,"79,1",,"94,7",,,,"95,5",,,,"4,5",
EM11579itknt,2868245,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,5,,,,1,,,
DI12011itknt,2868253,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,3,,,,1,,,
DI12011itkt,2868254,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,135,,"70,5",,"83,5",,,,"84,1",,,,1,
RE11045itknt,2868199,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48831,https://doi.org/10.15454/IFODWI,RE11045,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,6,,,,5,,,
AO12018itknt,2868249,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60912,https://doi.org/10.15454/5FEVH3,AO12018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,3,,,,1,,,
EM11537itkt,2868196,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,144,,"80,3",,"94,5",,,,"95,3",,,,1,
EM11537itknt,2868195,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,3,,,,1,,,
RE11045itkt,2868200,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48831,https://doi.org/10.15454/IFODWI,RE11045,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,139,,"81,1",,"94,3",,,,95,,,,6,
AO12018itkt,2868250,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60912,https://doi.org/10.15454/5FEVH3,AO12018,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,146,,"77,4",,"78,2",,,,"78,9",,,,5,
CF11158itkt,2868260,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61478,https://doi.org/10.15454/OKDYWQ,CF11158,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,145,,80,,"95,6",,,,"96,4",,,,1,
CF11158itknt,2868259,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61478,https://doi.org/10.15454/OKDYWQ,CF11158,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,4,,,,4,,,
AO12016itknt,2868223,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,6,,,,4,,,
RE11058itkt,2868216,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,134,,"81,9",,"105,7",,,,"106,5",,,,"4,5",
Bermudeitknt,2868207,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,5,,,,1,,,
AO12016itkt,2868224,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"82,5",,"110,3",,,,"111,2",,,,1,
CF11115itkt,2868226,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61427,https://doi.org/10.15454/ZA57QR,CF11115,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,134,,"77,3",,"74,4",,,,"75,1",,,,8,
CF11115itknt,2868225,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61427,https://doi.org/10.15454/ZA57QR,CF11115,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,2,,,,1,,,
RE11058itknt,2868215,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,4,,,,1,,,
AO12014itkt,2868210,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"81,3",,"108,8",,,,"109,7",,,,"8,5",
