observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO14019itkfi,2886598,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,62128,https://doi.org/10.15454/8LK3JI,AO14019,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,146,,"79,8",,"96,7",,"78,8",,1,
AO14008itkfi,2886595,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,140,,"82,2",,"104,9",,"85,5",,3,
EM13073itkfi,2886601,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,140,,"76,1",,"103,8",,"84,6",,"1,5",
EM12595itkfi,2886571,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61370,https://doi.org/10.15454/IO8K98,EM12595,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,139,,74,,"100,3",,"81,7",,1,
CF13016itkfi,2886572,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,60991,https://doi.org/10.15454/ODX7BB,CF13016,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,108,,139,,"78,3",,"111,4",,"90,8",,1,
CF13045itkfi,2886593,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,48911,gnpis_pui:holding-921_taxon-4898_accession-48911,CF13045,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,139,,"77,2",,104,,"84,8",,1,
AO14020itkfi,2886603,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,139,,"77,8",,102,,"83,2",,3,
RE13093itkfi,2886578,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,140,,"79,8",,"123,9",,101,,1,
EM12375itkfi,2886596,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61352,https://doi.org/10.15454/0JONWQ,EM12375,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,102,,132,,"80,4",,"106,8",,"87,1",,4,
Rubiskoitkfi,2886605,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,132,,"76,2",,"108,2",,"88,2",,1,
Koreliitkfi,2886581,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,102,,143,,"79,2",,"98,5",,"80,3",,5,
RE13094itkfi,2886580,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,110,,127,,"79,3",,"132,4",,"107,9",,1,
Apacheitkfi,2886590,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,131,,"74,6",,86,,"70,1",,1,
CF13012itkfi,2886574,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,60977,https://doi.org/10.15454/Q94XV8,CF13012,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,138,,"76,7",,102,,"83,1",,3,
RE13095itkfi,2886579,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61691,https://doi.org/10.15454/MEO27U,RE13095,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,112,,139,,"80,2",,"111,2",,"90,7",,2,
AO14010itkfi,2886583,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61955,https://doi.org/10.15454/FQDNVS,AO14010,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,144,,"77,4",,"81,2",,"66,2",,7,
RE13084itkfi,2886599,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,139,,"79,7",,"119,4",,"97,3",,1,
AO14021itkfi,2886604,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,60871,https://doi.org/10.15454/OYOSWH,AO14021,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,138,,"77,4",,"92,5",,"75,4",,4,
AO14016itkfi,2886589,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,62080,https://doi.org/10.15454/ZHXGRT,AO14016,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,139,,"79,7",,"97,2",,"79,2",,"1,5",
AO14022itkfi,2886600,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,144,,"80,2",,"122,8",,"100,1",,2,
AO14013itkfi,2886584,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,140,,"78,2",,"89,3",,"72,7",,7,
Lyrikitkfi,2886607,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,102,,139,,"79,2",,"114,7",,"93,4",,"4,5",
AO14012itkfi,2886585,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61987,https://doi.org/10.15454/FDBTWR,AO14012,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,136,,"80,4",,"113,9",,"92,8",,1,
AO14014itkfi,2886587,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,140,,77,,"103,6",,"84,4",,1,
RE13091itkfi,2886577,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,61648,https://doi.org/10.15454/RB7AM4,RE13091,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,110,,139,,"79,8",,"114,6",,"93,4",,2,
AO14018itkfi,2886591,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,62112,https://doi.org/10.15454/CYS1KY,AO14018,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,140,,78,,"99,7",,"81,3",,1,
RE13086itkfi,2886597,BTH_Rennes_2014_SetB2,BTH_Rennes_2014_SetB2,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,108,,138,,"81,5",,"118,1",,"96,3",,1,
