observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Grapeliitkfi,2885174,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,143,,"76,4",,"119,5",,1,,"68,3",,2,,3,
AO14002itkfi,2885200,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61818,https://doi.org/10.15454/ALLHPZ,AO14002,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,70,,143,,"71,1",,"98,7",,5,,"56,4",,"2,5",,"4,5",
CF13085itkfi,2885189,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,138,,"76,2",,"114,5",,1,,"65,4",,1,,4,
DI14001itkfi,2885167,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,141,,"72,7",,134,,"2,5",,"76,6",,1,,2,
CF13129itkfi,2885182,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61123,https://doi.org/10.15454/O7VNE2,CF13129,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,138,,"72,3",,"107,5",,"7,5",,"61,4",,1,,4,
AO14003itkfi,2885194,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61833,https://doi.org/10.15454/XVTEGI,AO14003,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,142,,"76,9",,"118,4",,"4,5",,"67,6",,2,,"3,5",
DI14002itkfi,2885168,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61270,https://doi.org/10.15454/3B26GW,DI14002,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,139,,73,,"115,8",,"2,5",,"66,2",,1,,"3,8",
RE13004itkfi,2885198,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,49568,https://doi.org/10.15454/LO7ZR2,RE13004,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,102,,142,,"75,3",,128,,"2,5",,"73,1",,1,,3,
Bermudeitkfi,2885170,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,142,,71,,"98,1",,"6,5",,56,,1,,4,
Arezzoitkfi,2885202,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,136,,"77,6",,"99,7",,"7,5",,"56,9",,1,,4,
AO13042itkfi,2885177,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,142,,"73,5",,118,,6,,"67,4",,1,,"4,5",
AO14004itkfi,2885191,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61848,https://doi.org/10.15454/IRJFMZ,AO14004,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,146,,"78,9",,"132,7",,1,,"75,8",,1,,2,
RE13003itkfi,2885201,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,146,,"72,2",,"135,5",,1,,"77,4",,1,,2,
EM12040itkfi,2885179,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,134,,"80,9",,"125,8",,"3,5",,"71,9",,1,,"2,5",
EM12370itkfi,2885184,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61336,https://doi.org/10.15454/CHLSIA,EM12370,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,75,,140,,"69,8",,"99,3",,"6,5",,"56,7",,1,,3,
AO13045itkfi,2885175,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,80,,142,,"69,1",,"93,4",,"6,5",,"53,4",,1,,"3,5",
Apacheitkfi,2885180,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,138,,"74,8",,"87,6",,1,,50,,1,,5,
EM12088itkfi,2885185,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61319,https://doi.org/10.15454/LLRB0D,EM12088,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,75,,148,,"70,5",,"97,7",,"6,5",,"55,8",,"4,5",,3,
AO13022itkfi,2885172,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,142,,"76,4",,"121,6",,6,,"69,5",,"3,5",,"3,8",
AO14007itkfi,2885165,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61908,https://doi.org/10.15454/JVDPDP,AO14007,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,78,,141,,"76,7",,"110,6",,"6,5",,"63,2",,1,,"5,5",
RE13006itkfi,2885196,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,140,,"76,1",,"121,9",,"3,5",,"69,6",,1,,3,
AO14005itkfi,2885193,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,72,,142,,"77,4",,"115,2",,7,,"65,8",,1,,4,
RE13007itkfi,2885197,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,139,,"76,3",,"120,2",,1,,"68,7",,1,,"3,5",
Attlassitkfi,2885192,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,142,,"74,8",,"138,6",,1,,"79,2",,1,,"2,5",
CF13043itkfi,2885183,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61021,https://doi.org/10.15454/PXQDDZ,CF13043,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,137,,"74,6",,"101,7",,1,,"58,1",,1,,5,
RE13014itkfi,2885178,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,142,,"76,4",,"125,6",,1,,"71,8",,1,,4,
RE13054itkfi,2885173,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61573,https://doi.org/10.15454/WE57LI,RE13054,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,142,,76,,"111,2",,1,,"63,5",,1,,"4,2",
CF13080itkfi,2885187,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,80,,136,,75,,108,,1,,"61,7",,1,,"3,8",
