observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE04022itkfi,2814198,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,140,,"8,39",,"103,9",,3,,84,,1,,,
CF04022itknt,2814253,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,3,,140,,,,"111,3",,4,,"85,2",,1,,8,
CF04022itkfi,2814252,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,139,,"9,17",,"112,8",,4,,"91,2",,1,,,
CF04022itkt,2814254,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,,,140,,"10,07",,"104,8",,,,"106,9",,,,,
CF04184itknt,2814259,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,1,,140,,,,"110,4",,4,,"84,5",,1,,6,
CF04184itkt,2814260,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,,,140,,"12,13",,"93,4",,,,"95,2",,,,,
CF04184itkfi,2814258,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,1,,139,,"10,79",,"103,4",,4,,"83,6",,1,,,
Apacheitkt,2814215,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,,,138,,"11,05",,"93,5",,,,"95,3",,,,,
Apacheitknt,2814214,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,80,,4,,138,,,,"89,3",,6,,"68,3",,1,,8,
Apacheitkfi,2814213,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,4,,138,,"8,3",,"102,4",,6,,"82,8",,1,,,
Chargeritknt,2814238,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,1,,142,,,,"96,4",,8,,"73,8",,1,,6,
Chargeritkfi,2814237,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,1,,141,,"8,84",,"93,2",,6,,"75,3",,1,,,
Chargeritkt,2814239,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,,,142,,"9,98",,"99,9",,,,"101,9",,,,,
Caphornitkt,2814233,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,,,138,,"10,45",,"102,1",,,,"104,1",,,,,
Caphornitkfi,2814231,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,1,,138,,"8,88",,"106,4",,3,,86,,1,,,
Caphornitknt,2814232,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,1,,138,,,,"113,1",,3,,"86,6",,1,,6,
EM04181itkfi,2814246,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,142,,"8,62",,"100,3",,4,,"81,1",,1,,,
EM04181itkt,2814248,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,143,,"10,02",,"103,3",,,,"105,3",,,,,
EM04181itknt,2814247,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,1,,143,,,,108,,3,,"82,7",,1,,6,
DI05001itkt,2814278,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,,,143,,"10,6",,"98,1",,,,"100,1",,,,,
DI05001itknt,2814277,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,75,,1,,143,,,,106,,4,,"81,1",,1,,4,
DI05001itkfi,2814276,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,1,,143,,"9,49",,"101,4",,4,,82,,1,,,
RE03019itknt,2814262,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,95,,1,,142,,,,116,,3,,"88,8",,1,,7,
RE03019itkfi,2814261,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,1,,139,,"11,23",,"105,5",,3,,"85,2",,1,,,
RE03019itkt,2814263,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,treated,2006,95,,,,142,,"12,42",,"99,2",,,,"101,1",,,,,
DI05020-2itkfi,2814240,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,138,,"8,83",,"106,2",,6,,"85,8",,1,,,
RE04009itkt,2814194,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,140,,"9,83",,"103,1",,,,"105,1",,,,,
RE04009itkfi,2814192,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,1,,141,,"9,08",,"108,8",,4,,"87,9",,1,,,
RE04043itkt,2814203,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,143,,"11,73",,"91,1",,,,"92,8",,,,,
RE04043itkfi,2814201,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,6,,140,,"10,45",,"103,6",,2,,"83,7",,1,,,
RE04043itknt,2814202,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,6,,143,,,,"108,8",,2,,"83,2",,1,,6,
Orvantisitknt,2814256,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,4,,138,,,,"101,2",,8,,"77,5",,1,,NA,
Orvantisitkt,2814257,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,138,,"9,79",,"104,5",,,,"106,5",,,,,
Orvantisitkfi,2814255,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,136,,"8,62",,98,,8,,"79,2",,1,,,
DI05025itkt,2814191,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,142,,"11,92",,"94,8",,,,"96,7",,,,,
DI05025itkfi,2814189,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,1,,139,,"10,86",,"104,1",,4,,"84,1",,1,,,
DI05025itknt,2814190,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,1,,142,,,,113,,4,,"86,5",,1,,6,
CF04048itkt,2814230,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,treated,2006,96,,,,140,,"9,82",,"100,7",,,,"102,6",,,,,
CF04048itknt,2814229,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,95,,4,,140,,,,"114,3",,3,,"87,5",,1,,6,
CF04048itkfi,2814228,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,4,,140,,"9,1",,"110,5",,4,,"89,3",,1,,,
EM03234itkt,2814245,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,,,145,,"9,23",,"95,8",,,,"97,7",,,,,
EM03234itknt,2814244,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,80,,1,,145,,,,"100,2",,4,,"76,6",,1,,6,
EM03234itkfi,2814243,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,1,,146,,"9,41",,"97,2",,3,,"78,6",,1,,,
EM04081itknt,2814220,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,1,,146,,,,"101,3",,3,,"77,6",,1,,6,
EM04081itkt,2814221,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,,,146,,"11,06",,"95,8",,,,"97,7",,,,,
EM04081itkfi,2814219,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,1,,146,,"9,98",,"93,1",,6,,"75,3",,1,,,
CF04076itkt,2814188,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,140,,"9,69",,"103,2",,,,"105,2",,,,,
CF04076itknt,2814187,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,1,,140,,,,"108,7",,6,,"83,2",,1,,4,
CF04076itkfi,2814186,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,140,,"10,15",,"95,6",,8,,"77,2",,1,,,
EM04241itkt,2814251,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,,,143,,"10,05",,"98,7",,,,"100,6",,,,,
EM04241itkfi,2814249,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,1,,140,,"9,45",,"95,5",,6,,"77,2",,1,,,
EM04241itknt,2814250,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,80,,1,,143,,,,105,,6,,"80,3",,1,,6,
DI05003itknt,2814274,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,80,,1,,143,,,,"100,5",,8,,"76,9",,1,,4,
DI05003itkfi,2814273,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,141,,"9,54",,"92,7",,7,,"74,9",,1,,,
DI05003itkt,2814275,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,143,,"10,82",,"95,9",,,,"97,8",,,,,
Farandoleitkfi,2814234,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,1,,138,,"9,88",,"102,1",,6,,"82,5",,1,,,
Farandoleitkt,2814236,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,139,,"10,04",,"99,8",,,,"101,8",,,,,
Farandoleitknt,2814235,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,3,,139,,,,"120,2",,3,,92,,1,,4,
EM04145itknt,2814208,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,75,,1,,142,,,,"106,6",,6,,"81,6",,1,,6,
EM04145itkfi,2814207,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,1,,139,,"9,62",,"100,8",,4,,"81,5",,1,,,
EM04145itkt,2814209,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,treated,2006,73,,,,142,,"10,36",,"92,2",,,,94,,,,,
