observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM02231itknt,2795965,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26415,https://doi.org/10.15454/J3I5NY,EM02231,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"102,5",,"98,4",,,
Chargeritkt,2795990,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,38",,77,,96,,"102,5",,1,
Chargeritkfi,2795988,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,8",,"74,6",,"101,5",,"90,4",,,
EM02231itkfi,2795964,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26415,https://doi.org/10.15454/J3I5NY,EM02231,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,64",,"77,2",,"101,5",,"90,4",,,
CF01046itknt,2796028,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"103,4",,"99,2",,,
EM02207itkt,2795999,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,treated,2004,"8,98",,78,,"101,8",,"108,7",,1,
Chargeritknt,2795989,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,101,,"96,9",,,
EM02207itknt,2795998,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"109,9",,"105,5",,,
Oratorioitknt,2796013,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"104,8",,"100,6",,,
EM02231itkt,2795966,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26415,https://doi.org/10.15454/J3I5NY,EM02231,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,85",,"79,6",,95,,"101,4",,2,
Caphornitkfi,2795982,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,18",,"75,6",,"92,3",,"82,2",,,
CF01046itkfi,2796027,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,7",,"73,8",,"100,4",,"89,4",,,
CF01046itkt,2796029,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,41",,"75,2",,"102,1",,109,,1,
Caphornitkt,2795984,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,19",,"76,8",,"94,9",,"101,3",,1,
DI03003itkt,2795993,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,8",,78,,"105,1",,"112,2",,1,
EM02065itknt,2795995,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26412,https://doi.org/10.15454/8UNSOD,EM02065,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"95,3",,"91,5",,,
DI03015itkt,2795951,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,78",,"81,4",,"101,1",,108,,1,
Isengrainitkfi,2796030,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,69",,"78,6",,"109,8",,"97,7",,,
Caphornitknt,2795983,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"96,6",,"92,7",,,
Stru001590itkt,2796005,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,49361,gnpis_pui:holding-921_taxon-4898_accession-49361,Stru001590,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,62",,"73,1",,"97,6",,"104,2",,1,
CF02170itkt,2795978,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26421,https://doi.org/10.15454/LV5TNC,CF02170,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,46",,"77,8",,"89,1",,"95,1",,1,
CF02170itkfi,2795976,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26421,https://doi.org/10.15454/LV5TNC,CF02170,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,27",,"75,2",,"96,3",,"85,8",,,
EM02065itkt,2795996,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26412,https://doi.org/10.15454/8UNSOD,EM02065,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,88",,"80,6",,"91,9",,"98,1",,1,
EM02065itkfi,2795994,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26412,https://doi.org/10.15454/8UNSOD,EM02065,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,34",,"77,5",,"95,3",,"84,9",,,
CF02170itknt,2795977,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26421,https://doi.org/10.15454/LV5TNC,CF02170,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"94,1",,"90,4",,,
CF02143itkt,2796044,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26420,https://doi.org/10.15454/UMTUQX,CF02143,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,03",,"76,5",,"102,6",,"109,5",,1,
Isengrainitkt,2796032,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,57",,"81,2",,"106,7",,114,,1,
DI03015itkfi,2795949,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,05",,"78,4",,"102,4",,"91,1",,,
CF02252itknt,2796001,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26422,https://doi.org/10.15454/9B1QCJ,CF02252,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"98,5",,"94,6",,,
CF02252itkt,2796002,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26422,https://doi.org/10.15454/9B1QCJ,CF02252,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,58",,"73,6",,"91,6",,"97,8",,1,
EM02233itknt,2795968,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26416,https://doi.org/10.15454/HJAB4N,EM02233,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"104,3",,"100,1",,,
CF02143itknt,2796043,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26420,https://doi.org/10.15454/UMTUQX,CF02143,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"100,1",,"96,1",,,
CF02143itkfi,2796042,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26420,https://doi.org/10.15454/UMTUQX,CF02143,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,33",,"72,4",,"97,7",,"86,9",,,
CF02252itkfi,2796000,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26422,https://doi.org/10.15454/9B1QCJ,CF02252,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,56",,"72,2",,94,,"83,7",,,
Isengrainitknt,2796031,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"106,2",,"101,9",,,
Oratorioitkt,2796014,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,76",,"81,8",,"96,4",,"102,9",,1,
Stru001588.1itknt,2795974,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,49585,gnpis_pui:holding-921_taxon-4898_accession-49585,Stru001588.1,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"102,8",,"98,7",,,
EM02233itkt,2795969,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26416,https://doi.org/10.15454/HJAB4N,EM02233,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,32",,"78,9",,"98,8",,"105,4",,3,
CF02266itkt,2795954,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26423,https://doi.org/10.15454/ETPIWK,CF02266,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,6",,"73,7",,"94,7",,"101,1",,1,
CF02266itkfi,2795952,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26423,https://doi.org/10.15454/ETPIWK,CF02266,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,84",,"72,9",,"89,8",,"79,9",,,
