observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM00015itknt,2769881,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"98,4",,"104,5",,,
Chargeritkt,2769867,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2001,148,,"98,3",,"127,7",,1,
RE00010itkt,2769849,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26869,https://doi.org/10.15454/46HA0A,RE00010,VIRTUAL_TRIAL,,,,,,,,treated,2001,150,,"97,4",,"126,4",,1,
RE00010itknt,2769848,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26869,https://doi.org/10.15454/46HA0A,RE00010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"111,8",,"118,8",,,
DI00024itknt,2769830,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"117,5",,"124,9",,,
DI00024itkfi,2769829,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"105,6",,"122,2",,,
Chargeritknt,2769866,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"110,3",,"117,2",,,
EM00006itkfi,2769820,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"95,5",,"110,6",,,
Tremieitkt,2769879,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2001,142,,"102,1",,"132,6",,3,
EM00015itkfi,2769880,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"93,9",,"108,6",,,
DI00024itkt,2769831,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,treated,2001,146,,"107,4",,"139,4",,1,
RE00014itkt,2769900,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26870,https://doi.org/10.15454/SUO7RH,RE00014,VIRTUAL_TRIAL,,,,,,,,treated,2001,148,,"98,5",,"127,9",,6,
Tremieitknt,2769878,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"100,1",,"106,4",,,
EM00006itknt,2769821,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"100,9",,"107,2",,,
Tremieitkfi,2769877,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"103,1",,"119,3",,,
RE00010itkfi,2769847,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26869,https://doi.org/10.15454/46HA0A,RE00010,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"94,4",,"109,3",,,
RE00014itknt,2769899,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26870,https://doi.org/10.15454/SUO7RH,RE00014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"107,1",,"113,7",,,
DI00008itkt,2769840,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"100,3",,"130,2",,3,
DI00008itknt,2769839,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"109,3",,"116,1",,,
EM00006itkt,2769822,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,treated,2001,150,,"91,9",,"119,3",,7,
RE00014itkfi,2769898,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26870,https://doi.org/10.15454/SUO7RH,RE00014,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"97,3",,"112,6",,,
Soissonsitknt,2769896,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"93,1",,"98,9",,,
EM00301itknt,2769869,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"75,9",,"80,7",,,
DI00008itkfi,2769838,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"103,3",,"119,5",,,
EM00019itknt,2769875,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"102,3",,"108,7",,,
RE00009itknt,2769860,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"107,2",,"113,9",,,
EM00018itkt,2769873,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"98,2",,"127,5",,8,
Soissonsitkfi,2769895,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"94,8",,"109,7",,,
RE00008itkt,2769858,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,treated,2001,148,,"88,3",,"114,6",,9,
Soissonsitkt,2769897,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,140,,"99,3",,"128,9",,1,
Isengrainitknt,2769884,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"96,5",,"102,5",,,
EM00018itknt,2769872,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"112,5",,"119,6",,,
EM00018itkfi,2769871,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"105,8",,"122,5",,,
RE00009itkfi,2769859,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"98,4",,"113,9",,,
Isengrainitkt,2769885,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2001,140,,"100,2",,"130,1",,1,
EM00020itknt,2769833,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26863,https://doi.org/10.15454/CM80JS,EM00020,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"103,1",,"109,5",,,
Oratorioitkt,2769846,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2001,145,,99,,"128,6",,1,
EM00019itkfi,2769874,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"103,2",,"119,4",,,
RE00008itkfi,2769856,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"100,7",,"116,5",,,
Isengrainitkfi,2769883,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"104,4",,"120,8",,,
