observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM07117itknt,2864175,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,100,,,,,,,,"71,4",,"117,6",,"5,5",,"78,9",,1,,4,,1,
Soissonsitknt,2864223,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,88,,,,,,,,"69,6",,"92,6",,"8,5",,"62,1",,1,,4,,1,
Soissonsitkt,2864224,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,88,,"38,8",,140,,"10,34",,"74,6",,"97,7",,,,"82,9",,,,,,1,
CF09169itknt,2864181,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,95,,,,,,,,"74,7",,"114,8",,"4,5",,77,,1,,5,,1,
AO11012itknt,2864159,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,82,,,,,,,,"61,8",,"100,7",,4,,"67,5",,1,,7,,1,
Koreliitkt,2864184,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,98,,"48,2",,145,,"10,66",,"75,6",,"105,9",,,,"89,9",,,,,,1,
Koreliitknt,2864183,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,95,,,,,,,,"70,8",,"116,4",,5,,78,,1,,"3,5",,1,
CF09117itkt,2864222,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,92,,"51,3",,142,,"11,66",,"72,6",,"109,1",,,,"92,6",,,,,,1,
AO11012itkt,2864160,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,78,,"41,6",,145,,"9,62",,"73,3",,"93,6",,,,"79,5",,,,,,1,
CF09117itknt,2864221,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"2,5",,98,,,,,,,,67,,"114,7",,"6,5",,"76,9",,1,,"4,5",,1,
Ghaytaitkt,2864216,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,95,,"55,8",,146,,"12,05",,"75,4",,"103,8",,,,"88,1",,,,,,1,
Ghaytaitknt,2864215,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,95,,,,,,,,"65,2",,"108,2",,4,,"72,6",,1,,"4,5",,1,
AO11005itkt,2864186,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,75,,"43,5",,144,,"10,9",,"67,4",,"100,6",,,,"85,4",,,,,,1,
CF09227itkt,2864230,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,95,,"41,3",,143,,"9,41",,"72,6",,"114,8",,,,"97,5",,,,,,"2,5",
CF09227itknt,2864229,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,95,,,,,,,,63,,113,,1,,"75,8",,1,,"5,5",,"2,5",
Grapeliitknt,2864177,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,100,,,,,,,,68,,"121,3",,1,,"81,4",,1,,4,,1,
AO11013itknt,2864161,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,92,,,,,,,,"61,7",,"123,4",,4,,"82,8",,1,,5,,1,
AO11001itknt,2864199,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48474,https://doi.org/10.15454/72RLFQ,AO11001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,92,,,,,,,,"61,8",,"110,7",,7,,"74,3",,1,,"6,5",,1,
AO11013itkt,2864162,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,92,,"54,5",,142,,"9,82",,"71,8",,"118,9",,,,101,,,,,,1,
EM08231itkt,2864210,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,80,,"44,7",,144,,"10,39",,"65,2",,"95,6",,,,"81,2",,,,,,1,
Grapeliitkt,2864178,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,95,,"46,8",,146,,"10,79",,"73,8",,"111,3",,,,"94,5",,,,,,1,
AO11001itkt,2864200,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48474,https://doi.org/10.15454/72RLFQ,AO11001,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,95,,"49,1",,143,,"10,41",,"72,3",,"107,6",,,,"91,4",,,,,,1,
CF09169itkt,2864182,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,95,,"47,2",,142,,"9,7",,"76,1",,"112,6",,,,"95,6",,,,,,1,
EM08231itknt,2864209,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,80,,,,,,,,"60,4",,"103,4",,1,,"69,4",,1,,"3,5",,1,
Altigoitkt,2864198,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,88,,"46,3",,140,,"9,78",,"74,4",,"103,6",,,,88,,,,,,1,
Folkloritkt,2864170,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,98,,"52,2",,145,,"10,05",,"70,9",,108,,,,"91,7",,,,,,1,
AO11014itknt,2864203,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,100,,,,,,,,"56,4",,"97,1",,"7,5",,"65,1",,3,,6,,"1,5",
Altigoitknt,2864197,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"2,5",,90,,,,,,,,"65,6",,"104,3",,1,,"69,9",,1,,8,,1,
Folkloritknt,2864169,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,95,,,,,,,,"56,8",,"112,8",,"2,5",,"75,6",,1,,4,,1,
CF08027itkt,2864232,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,92,,"44,8",,146,,"9,88",,"73,8",,105,,,,"89,2",,,,,,1,
CF08027itknt,2864231,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,92,,,,,,,,"60,8",,"110,3",,2,,74,,1,,4,,"1,5",
Granamaxitkt,2864192,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,88,,"52,3",,144,,"9,75",,"72,1",,"118,4",,,,"100,5",,,,,,1,
RE09055-2itkt,2864166,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49670,https://doi.org/10.15454/FDCSIL,RE09055-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,85,,"48,2",,147,,"10,22",,"65,1",,"98,2",,,,"83,4",,,,,,1,
EM09221itkt,2864214,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,80,,"34,8",,141,,"9,5",,"73,2",,106,,,,90,,,,,,1,
RE09055-2itknt,2864165,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49670,https://doi.org/10.15454/FDCSIL,RE09055-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,88,,,,,,,,"60,8",,"104,1",,1,,"69,8",,1,,"4,5",,1,
AO11005itknt,2864185,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,78,,,,,,,,"64,8",,"103,9",,7,,"69,6",,"1,5",,"5,5",,1,
AO11014itkt,2864204,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,100,,47,,146,,"9,5",,"71,9",,"107,7",,,,"91,5",,,,,,1,
DI10011itknt,2864157,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"2,5",,90,,,,,,,,57,,"100,7",,"1,5",,"67,5",,1,,9,,"1,5",
Granamaxitknt,2864191,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"2,5",,92,,,,,,,,"61,4",,"129,1",,"2,5",,"86,6",,1,,4,,1,
RE09063itkt,2864196,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,90,,"43,4",,149,,"10,93",,"67,1",,"90,5",,,,"76,9",,,,,,1,
RE09063itknt,2864195,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,90,,,,,,,,"61,5",,"92,8",,"3,5",,"62,2",,1,,"3,5",,1,
DI10011itkt,2864158,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,90,,"41,2",,140,,"10,86",,"70,3",,"96,6",,,,82,,,,,,"1,5",
DI10001-2itknt,2864217,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,92,,,,,,,,"63,3",,"96,4",,3,,"64,6",,1,,5,,1,
AO11011itkt,2864194,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,82,,"46,3",,146,,"10,17",,"73,8",,"106,6",,,,"90,5",,,,,,1,
RE09079itkt,2864154,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,100,,"47,7",,147,,"11,29",,"65,9",,"94,8",,,,"80,5",,,,,,1,
AO11011itknt,2864193,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,82,,,,,,,,"69,6",,119,,2,,"79,8",,1,,"3,5",,1,
EM09221itknt,2864213,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,78,,,,,,,,"68,2",,"115,3",,"3,5",,"77,3",,1,,"5,5",,1,
EM09222itkt,2864212,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,95,,"49,6",,141,,"10,51",,"72,5",,"111,3",,,,"94,5",,,,,,2,
RE09079itknt,2864153,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,102,,,,,,,,"58,9",,"102,8",,1,,69,,1,,4,,1,
Gotikitkt,2864208,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,98,,"51,8",,146,,"10,51",,71,,"103,6",,,,88,,,,,,1,
DI10001-2itkt,2864218,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,88,,"46,6",,146,,"10,72",,"67,2",,"91,6",,,,"77,8",,,,,,1,
EM09318itkt,2864190,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,85,,"47,7",,145,,"10,48",,"71,5",,"105,9",,,,"89,9",,,,,,1,
EM09320itkt,2864164,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,92,,"40,3",,143,,"9,75",,"74,4",,"116,2",,,,"98,6",,,,,,1,
Premioitknt,2864155,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,88,,,,,,,,"66,6",,"106,2",,2,,"71,2",,1,,7,,1,
Premioitkt,2864156,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,85,,48,,143,,"10,36",,"73,4",,"104,8",,,,89,,,,,,1,
Gotikitknt,2864207,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,102,,,,,,,,"71,8",,"115,5",,"3,5",,"77,5",,1,,5,,1,
EM09003itknt,2864167,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,92,,,,,,,,"64,4",,"104,3",,7,,"69,9",,3,,6,,1,
EM09222itknt,2864211,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,95,,,,,,,,65,,"110,8",,4,,"74,3",,1,,6,,1,
EM09003itkt,2864168,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,95,,"51,7",,146,,"10,55",,"69,4",,"101,8",,,,"86,4",,,,,,"1,5",
Bermudeitkt,2864174,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,85,,"48,6",,146,,"10,13",,"73,1",,"100,6",,,,"85,4",,,,,,1,
EM09320itknt,2864163,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,88,,,,,,,,"61,2",,"101,8",,8,,"68,3",,1,,"3,5",,1,
DI10001itknt,2864205,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,100,,,,,,,,"62,8",,"103,7",,2,,"69,6",,1,,5,,1,
Gallixeitkt,2864220,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,88,,"39,8",,142,,"9,89",,"74,7",,"111,4",,,,"94,6",,,,,,1,
Gallixeitknt,2864219,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,85,,,,,,,,"69,4",,"122,4",,"4,5",,"82,1",,1,,"4,5",,1,
EM09318itknt,2864189,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,82,,,,,,,,"65,8",,"105,1",,5,,"70,5",,1,,4,,1,
DI10001itkt,2864206,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,92,,"51,8",,146,,"10,53",,"68,2",,"93,5",,,,"79,3",,,,,,1,
Bermudeitknt,2864173,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,85,,,,,,,,"56,2",,"102,9",,"2,5",,69,,1,,"6,5",,1,
Apacheitknt,2864187,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,80,,,,,,,,"62,2",,"86,6",,"1,5",,"58,1",,1,,9,,1,
AO10013itkt,2864180,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,85,,51,,142,,"10,16",,"71,6",,"110,1",,,,"93,5",,,,,,2,
Apacheitkt,2864188,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,85,,"41,4",,139,,"10,54",,"71,2",,"90,9",,,,"77,2",,,,,,1,
