observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI05014itkt,2819225,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,traité,2007,128,,"11,22",,"73,4",,"104,1",,,,"70,8",
DI05014itkfi,2819224,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,127,,"10,74",,"72,1",,"77,4",,2,,"41,7",
CF03201itkfi,2819246,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"121,5",,"11,88",,"76,7",,"99,4",,"2,5",,"53,6",
CF03201itkt,2819247,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,traité,2007,124,,"13,6",,"77,3",,111,,,,"75,4",
AO06313itkt,2819219,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,traité,2007,"119,5",,"12,61",,78,,105,,,,"71,3",
AO06313itkfi,2819218,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"118,5",,10,,76,,"123,1",,3,,"66,4",
CF04043itkt,2819249,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,traité,2007,122,,"12,48",,"74,9",,106,,,,72,
CF04043itkfi,2819248,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"121,5",,"10,12",,"74,2",,"110,6",,"2,5",,"59,6",
Hendrixitkt,2819213,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,traité,2007,125,,"13,82",,"77,1",,"90,1",,,,"61,2",
Hendrixitkfi,2819212,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"123,5",,"11,13",,"77,5",,"115,6",,2,,"62,3",
RE05091itkt,2819233,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,traité,2007,120,,"12,52",,"74,6",,"109,9",,,,"74,7",
RE05091itkfi,2819232,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,120,,"10,88",,"72,7",,"77,3",,"3,5",,"41,7",
Apacheitkfi,2819236,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,119,,"10,52",,"75,4",,"99,4",,"3,5",,"53,6",
Apacheitkt,2819237,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,traité,2007,120,,"12,82",,"77,2",,"97,8",,,,"66,5",
Sankaraitkfi,2819242,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"125,5",,"11,18",,"72,4",,"93,7",,6,,"50,5",
Sankaraitkt,2819243,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,traité,2007,"125,5",,"14,25",,"74,3",,"91,2",,,,62,
Toisondoritkt,2819217,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,traité,2007,"121,5",,12,,"74,7",,"123,3",,,,"83,8",
Toisondoritkfi,2819216,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"120,5",,"10,88",,"73,3",,"115,4",,"1,5",,"62,2",
Flamenkoitkt,2819253,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,traité,2007,"119,5",,"12,4",,"72,6",,"107,1",,,,"72,8",
Flamenkoitkfi,2819252,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,119,,"10,46",,"72,7",,"112,2",,2,,"60,5",
AO05004itkt,2819221,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,traité,2007,123,,"13,12",,"75,8",,"114,1",,,,"77,5",
AO05004itkfi,2819220,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"121,5",,"11,03",,"74,8",,"111,2",,2,,"59,9",
Croustyitkfi,2819254,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"120,5",,"11,38",,"73,7",,"96,2",,"2,5",,"51,8",
Croustyitkt,2819255,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,traité,2007,121,,"14,74",,"75,7",,"72,2",,,,"49,1",
Caphornitkt,2819245,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,traité,2007,"121,5",,"12,9",,"73,5",,104,,,,"70,7",
Caphornitkfi,2819244,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,121,,"10,32",,"72,6",,"112,8",,"3,5",,"60,8",
DI04018itkt,2819229,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,traité,2007,125,,"13,03",,"72,1",,"103,9",,,,"70,6",
DI04018itkfi,2819228,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,124,,"10,51",,"71,5",,"104,9",,3,,"56,5",
CF03287itkt,2819259,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,traité,2007,"124,5",,"13,78",,76,,"106,2",,,,"72,2",
CF03287itkfi,2819258,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"122,5",,"11,1",,"75,3",,"97,1",,"3,5",,"52,3",
CF04214itkt,2819277,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,traité,2007,128,,"13,04",,"76,5",,"88,4",,,,"60,1",
CF04214itkfi,2819276,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,126,,"10,34",,"74,9",,"93,4",,4,,"50,4",
EM04181itkfi,2819256,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,122,,"10,35",,"72,9",,"98,4",,3,,53,
EM04181itkt,2819257,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,traité,2007,"123,5",,"12,28",,"72,8",,"101,2",,,,"68,8",
RE05108itkt,2819265,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,traité,2007,126,,"13,02",,"73,1",,"85,5",,,,"58,1",
RE05108itkfi,2819264,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"124,5",,"11,2",,"73,8",,"92,9",,2,,"50,1",
RE03111itkt,2819267,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,traité,2007,"123,5",,"12,66",,"71,2",,"101,5",,,,69,
RE03111itkfi,2819266,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"122,5",,"10,38",,"69,6",,"109,8",,"3,5",,"59,2",
Soissonsitkfi,2819274,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"118,5",,"11,04",,"75,7",,"92,4",,"2,5",,"49,8",
Soissonsitkt,2819275,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,traité,2007,119,,"13,48",,"76,5",,"88,2",,,,60,
Mendelitkfi,2819238,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,119,,"11,21",,"71,1",,"94,1",,"3,5",,"50,7",
Mendelitkt,2819239,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,traité,2007,120,,"12,64",,73,,"107,1",,,,"72,8",
DI04017itkt,2819241,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,traité,2007,"125,5",,"12,2",,"72,4",,"105,5",,,,"71,7",
DI04017itkfi,2819240,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,125,,"9,78",,"72,1",,"120,2",,3,,"64,8",
DI04024itkfi,2819268,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,124,,"9,99",,72,,"88,1",,"2,5",,"47,5",
DI04024itkt,2819269,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,traité,2007,"126,5",,"12,9",,"72,1",,"75,5",,,,"51,3",
EM03193itkfi,2819234,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,125,,"9,46",,"71,1",,"101,4",,"4,5",,"54,6",
EM03193itkt,2819235,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,traité,2007,128,,"12,73",,73,,"92,4",,,,"62,8",
CF04076itkfi,2819214,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,125,,"9,89",,"70,2",,"90,5",,4,,"48,8",
DI05020-2itkt,2819251,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,traité,2007,126,,"13,23",,"74,5",,"87,4",,,,"59,4",
EM04241itkfi,2819262,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,125,,"10,18",,"75,7",,"106,3",,2,,"57,3",
EM04241itkt,2819263,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,traité,2007,127,,"12,34",,"76,6",,"98,8",,,,"67,2",
AO05001itkt,2819223,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,traité,2007,118,,"13,5",,"76,1",,"101,8",,,,"69,2",
AO05001itkfi,2819222,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"117,5",,"10,98",,"74,3",,117,,"3,5",,"63,1",
RE05074itkfi,2819260,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,120,,"11,46",,"73,2",,"127,2",,1,,"68,6",
RE05074itkt,2819261,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,traité,2007,120,,"11,72",,"73,2",,136,,,,"92,4",
EM04145itkt,2819231,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,traité,2007,"124,5",,"12,48",,"73,8",,"98,2",,,,"66,7",
EM04145itkfi,2819230,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,123,,"11,88",,"73,2",,"76,2",,"2,5",,"41,1",
