observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM08231itkfi,2863969,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,"36,9",,137,,"9,88",,"73,2",,"127,8",,1,,"79,8",,1,,2,,1,
Altigoitkt,2863958,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2012,101,,"49,2",,132,,"10,53",,"78,1",,"104,8",,,,"91,1",,,,,,1,
CF09169itkfi,2863941,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,111,,"36,6",,136,,"10,79",,"77,2",,115,,2,,"71,8",,1,,3,,1,
AO11005itkfi,2863945,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,"31,1",,138,,"11,39",,"73,6",,"100,7",,5,,"62,9",,1,,"3,5",,1,
Folkloritkt,2863930,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2012,105,,48,,138,,"10,19",,78,,"116,6",,,,"101,4",,,,,,1,
Folkloritkfi,2863929,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,"43,8",,138,,"9,61",,"76,4",,"120,5",,1,,"75,2",,1,,3,,1,
CF08027itkfi,2863991,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,102,,"39,7",,141,,"9,66",,"79,9",,"124,6",,1,,"77,8",,1,,"2,5",,1,
AO11001itkt,2863960,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48474,https://doi.org/10.15454/72RLFQ,AO11001,VIRTUAL_TRIAL,,,,,,,,treated,2012,97,,"45,6",,139,,"10,85",,"77,6",,107,,,,93,,,,,,1,
CF08027itkt,2863992,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2012,105,,"40,9",,140,,"10,52",,"80,1",,"114,5",,,,"99,5",,,,,,1,
AO11014itkt,2863964,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,treated,2012,108,,"43,7",,138,,"9,62",,"79,9",,"110,2",,,,"95,8",,,,,,1,
RE09055-2itkt,2863926,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49670,https://doi.org/10.15454/FDCSIL,RE09055-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,44,,142,,"10,45",,"74,3",,"108,1",,,,"93,9",,,,,,1,
Granamaxitkt,2863952,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,"46,9",,138,,"10,09",,"78,2",,"116,2",,,,101,,,,,,1,
RE09055-2itkfi,2863925,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49670,https://doi.org/10.15454/FDCSIL,RE09055-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,105,,41,,142,,"11,04",,"73,3",,117,,1,,73,,1,,3,,1,
AO11014itkfi,2863963,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,105,,35,,138,,"9,64",,"76,8",,"102,3",,7,,"63,8",,1,,2,,1,
DI10011itkt,2863918,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2012,109,,"40,8",,133,,"12,07",,"76,6",,"103,7",,,,"90,2",,,,,,1,
DI10011itkfi,2863917,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,108,,"35,6",,134,,"11,27",,"74,7",,104,,1,,"64,9",,1,,"4,2",,1,
Altigoitkfi,2863957,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,96,,"42,4",,133,,"9,96",,"76,6",,"99,9",,1,,"62,4",,1,,"4,8",,1,
RE09063itkt,2863956,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2012,101,,"48,4",,144,,"11,55",,"75,6",,"106,1",,,,"92,3",,,,,,1,
RE09063itkfi,2863955,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,96,,"41,2",,144,,"10,02",,"76,6",,"111,4",,1,,"69,5",,1,,3,,1,
Granamaxitkfi,2863951,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,102,,"40,7",,138,,"9,73",,"75,7",,"115,2",,"1,5",,"71,9",,1,,3,,1,
AO11011itkfi,2863953,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,"38,7",,141,,"9,51",,"77,5",,"120,6",,1,,"75,3",,1,,3,,1,
DI10001-2itkt,2863978,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,"43,2",,142,,"11,73",,"77,6",,"98,6",,,,"85,7",,,,,,1,
RE09079itkfi,2863913,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,105,,"43,2",,144,,"11,74",,"73,9",,"110,2",,1,,"68,8",,1,,3,,1,
EM09222itkt,2863972,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2012,105,,"39,7",,136,,"10,5",,77,,"113,3",,,,"98,5",,,,,,1,
AO11011itkt,2863954,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2012,95,,"42,9",,141,,"9,97",,"79,6",,"110,5",,,,"96,1",,,,,,1,
EM09221itkfi,2863973,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,89,,"30,2",,136,,"9,32",,"73,3",,"118,1",,"1,5",,"73,7",,1,,3,,1,
RE09079itkt,2863914,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2012,105,,"46,6",,144,,"12,45",,"74,6",,"101,1",,,,"87,9",,,,,,1,
DI10001-2itkfi,2863977,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,102,,41,,142,,"10,84",,"76,1",,"106,6",,1,,"66,5",,1,,"3,2",,1,
Premioitkt,2863916,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,91,,"39,8",,138,,"11,3",,"77,2",,"102,5",,,,"89,1",,,,,,1,
Bermudeitkt,2863934,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,"40,9",,140,,"10,09",,78,,"98,4",,,,"85,5",,,,,,1,
EM09318itkfi,2863949,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,"36,8",,139,,"9,65",,"76,4",,"110,6",,"2,5",,"69,1",,1,,3,,1,
Gotikitkt,2863968,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,106,,"47,3",,140,,"10,66",,"79,4",,"111,8",,,,"97,2",,,,,,1,
Premioitkfi,2863915,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,89,,"33,4",,138,,"11,77",,"74,6",,"109,5",,1,,"68,3",,1,,3,,1,
Gotikitkfi,2863967,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,111,,"44,2",,142,,"10,36",,"79,2",,"122,4",,1,,"76,4",,1,,3,,1,
EM09003itkfi,2863927,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,105,,39,,140,,"9,89",,"77,3",,"108,6",,"4,5",,"67,8",,1,,2,,1,
Bermudeitkfi,2863933,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,"36,4",,140,,"10,23",,"76,9",,"104,4",,"2,5",,"65,2",,1,,3,,1,
EM09320itkfi,2863923,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,"40,5",,136,,"8,98",,"76,5",,124,,4,,"77,4",,1,,2,,1,
EM09003itkt,2863928,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2012,105,,"44,6",,139,,"9,98",,"79,4",,"109,8",,,,"95,5",,,,,,1,
Gallixeitkt,2863980,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2012,95,,"36,6",,138,,"10,21",,"77,4",,"117,1",,,,"101,8",,,,,,1,
EM09318itkt,2863950,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2012,90,,"41,6",,140,,"11,27",,"78,2",,"116,1",,,,"100,9",,,,,,1,
DI10001itkt,2863966,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2012,105,,"43,5",,140,,"11,21",,"76,8",,"98,2",,,,"85,4",,,,,,1,
DI10001itkfi,2863965,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,"40,2",,142,,"11,36",,"75,8",,"104,8",,1,,"65,4",,1,,"2,5",,1,
AO11002itkt,2863962,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,"51,8",,138,,"11,02",,"80,3",,"107,6",,,,"93,6",,,,,,1,
Gallixeitkfi,2863979,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,"31,5",,138,,"9,8",,75,,"120,9",,1,,"75,5",,1,,"2,5",,1,
EM09320itkt,2863924,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2012,105,,"36,7",,138,,"10,39",,"78,3",,"122,9",,,,"106,8",,,,,,1,
AO11002itkfi,2863961,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,101,,"43,8",,138,,"10,96",,"77,8",,"106,7",,2,,"66,6",,1,,"3,5",,1,
Apacheitkfi,2863947,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,91,,"34,2",,136,,"11,36",,"73,6",,"86,3",,1,,"53,9",,1,,"5,5",,1,
AO10013itkt,2863940,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2012,100,,"47,2",,136,,"10,34",,"77,5",,"117,8",,,,"102,4",,,,,,1,
Apacheitkt,2863948,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,"35,5",,136,,"11,56",,"77,6",,"94,3",,,,82,,,,,,1,
EM09221itkt,2863974,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2012,89,,"33,6",,136,,"9,54",,"76,4",,"113,4",,,,"98,6",,,,,,1,
EM09222itkfi,2863971,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,109,,"37,1",,136,,"10,06",,"75,7",,"121,7",,"1,5",,76,,1,,"2,5",,1,
EM07117itkfi,2863935,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,112,,"31,8",,140,,"9,86",,"79,4",,"133,4",,1,,"83,3",,1,,3,,1,
