observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE06125itkfi,2826211,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48374,gnpis_pui:holding-921_taxon-4898_accession-48374,RE06125,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,137,,"113,5",,2,,"51,9",,1,
CF06269itkfi,2826188,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49569,gnpis_pui:holding-921_taxon-4898_accession-49569,CF06269,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,135,,"96,1",,8,,"43,9",,1,
CF06296itkfi,2826217,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48530,gnpis_pui:holding-921_taxon-4898_accession-48530,CF06296,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"131,5",,"110,7",,"5,2",,"50,6",,1,
CF06273itkfi,2826221,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49135,gnpis_pui:holding-921_taxon-4898_accession-49135,CF06273,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"134,5",,"92,1",,7,,"42,1",,1,
CF06235itkfi,2826219,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49598,gnpis_pui:holding-921_taxon-4898_accession-49598,CF06235,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,136,,"95,9",,4,,"43,8",,1,
Apacheitkfi,2826194,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"126,5",,"109,2",,9,,"49,9",,1,
EM06303itkfi,2826185,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48387,gnpis_pui:holding-921_taxon-4898_accession-48387,EM06303,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"124,5",,"106,7",,"7,5",,"48,7",,1,
Sankaraitkfi,2826199,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,134,,"91,6",,"6,8",,"41,8",,1,
Caphornitkfi,2826201,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"127,5",,"107,6",,7,,"49,2",,1,
EM06307itkfi,2826215,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,133,,"116,8",,"6,5",,"53,4",,1,
DI07015itkfi,2826200,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,"136,5",,"112,1",,"1,5",,"51,2",,1,
CF06227itkfi,2826192,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,132,,"113,1",,"6,8",,"51,7",,1,
CF06230itkfi,2826220,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27069,https://doi.org/10.15454/PBD8PO,CF06230,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"132,5",,"107,2",,"6,2",,49,,1,
RE06139itkfi,2826189,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49134,https://doi.org/10.15454/CCJCNN,RE06139,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"127,5",,123,,"4,2",,"56,2",,1,
AO07001itkfi,2826196,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48615,gnpis_pui:holding-921_taxon-4898_accession-48615,AO07001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,132,,"108,1",,"7,5",,"49,4",,1,
Mendelitkfi,2826195,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,128,,"91,6",,8,,"41,8",,1,
Goreckiitkfi,2826209,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,125,,"118,1",,8,,54,,1,
CF06250itkfi,2826212,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49022,gnpis_pui:holding-921_taxon-4898_accession-49022,CF06250,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"136,5",,105,,"6,5",,48,,1,
CF06210itkfi,2826218,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,131,,"124,4",,5,,"56,8",,1,
CF06294itkfi,2826216,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48834,gnpis_pui:holding-921_taxon-4898_accession-48834,CF06294,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,127,,"88,1",,9,,"40,3",,1,
DI07017itkfi,2826198,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49010,gnpis_pui:holding-921_taxon-4898_accession-49010,DI07017,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,131,,"108,7",,6,,"49,6",,1,
EM06233itkfi,2826223,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,122,,"117,8",,"6,5",,"53,8",,1,
EM06229itkfi,2826193,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,"124,5",,"120,2",,"7,5",,"54,9",,1,
RE06097itkfi,2826180,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27832,https://doi.org/10.15454/X0FSJ6,RE06097,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,129,,"114,8",,"2,5",,"52,5",,1,
RE06130itkfi,2826186,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,121,,"126,5",,"8,5",,"57,8",,1,
CF06225itkfi,2826191,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49095,gnpis_pui:holding-921_taxon-4898_accession-49095,CF06225,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,135,,"92,8",,"4,2",,"42,4",,1,
EM06195itkfi,2826214,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48434,gnpis_pui:holding-921_taxon-4898_accession-48434,EM06195,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"129,5",,"108,3",,"6,5",,"49,5",,1,
DI07020itkfi,2826183,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48780,gnpis_pui:holding-921_taxon-4898_accession-48780,DI07020,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,133,,"120,5",,"1,5",,"55,1",,1,
EM06305itkfi,2826187,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49088,gnpis_pui:holding-921_taxon-4898_accession-49088,EM06305,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"126,5",,"101,2",,"7,5",,"46,2",,1,
DI07018itkfi,2826204,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49701,gnpis_pui:holding-921_taxon-4898_accession-49701,DI07018,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,132,,125,,1,,"57,1",,1,
RE06119itkfi,2826203,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49704,gnpis_pui:holding-921_taxon-4898_accession-49704,RE06119,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,131,,105,,7,,48,,1,
RE06106itkfi,2826213,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48380,gnpis_pui:holding-921_taxon-4898_accession-48380,RE06106,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"125,5",,"115,9",,"6,8",,53,,1,
