observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO07803itkfi,2826048,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"126,5",,"9,78",,"73,4",,"115,5",,"2,5",,"87,2",,"1,5",,1,
EM06303itkfi,2826014,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48387,gnpis_pui:holding-921_taxon-4898_accession-48387,EM06303,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"120,5",,"10,04",,"77,2",,102,,"4,5",,77,,1,,1,
DI07017itkt,2826041,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49010,gnpis_pui:holding-921_taxon-4898_accession-49010,DI07017,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"127,5",,"11,38",,"74,8",,"92,9",,,,"92,6",,,,1,
AO07001itkt,2826037,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48615,gnpis_pui:holding-921_taxon-4898_accession-48615,AO07001,VIRTUAL_TRIAL,,,,,,,,treated,2007,"97,5",,"128,5",,"11,56",,"76,5",,"98,8",,,,"98,4",,,,1,
EM06195itkt,2826073,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48434,gnpis_pui:holding-921_taxon-4898_accession-48434,EM06195,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,126,,"10,62",,"71,1",,"96,5",,,,"96,1",,,,1,
EM06303itkt,2826015,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48387,gnpis_pui:holding-921_taxon-4898_accession-48387,EM06303,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,"122,5",,"11,85",,"73,3",,"97,5",,,,"97,1",,,,1,
DI07016itkt,2826039,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,"133,5",,"11,2",,"74,7",,"101,2",,,,"100,9",,,,1,
DI07016itkfi,2826038,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,131,,"9,7",,"75,6",,"114,2",,1,,"86,2",,1,,1,
AO07001itkfi,2826036,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48615,gnpis_pui:holding-921_taxon-4898_accession-48615,AO07001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,115,,"126,5",,"10,57",,74,,"103,2",,2,,"77,9",,"1,5",,"1,5",
DI07021itkt,2826009,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,"129,5",,"10,66",,"71,8",,"104,2",,,,"103,8",,,,1,
Sankaraitkfi,2826042,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"128,5",,"10,24",,"76,4",,92,,1,,"69,5",,1,,"2,5",
RE06130itkt,2826017,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,118,,"11,48",,"72,6",,"97,7",,,,"97,3",,,,"1,5",
RE06130itkfi,2826016,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,118,,"10,07",,"72,2",,"100,6",,1,,"75,9",,1,,1,
DI07021itkfi,2826008,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"127,5",,"9,66",,"73,6",,"103,3",,2,,"77,9",,1,,1,
Sankaraitkt,2826043,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,130,,"11,18",,"72,6",,"100,2",,,,"99,8",,,,1,
AO07438itkt,2826061,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,130,,"9,98",,71,,"110,6",,,,"110,2",,,,1,
Mendelitkt,2826035,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,"124,5",,"10,96",,"70,9",,"97,9",,,,"97,5",,,,1,
AO07438itkfi,2826060,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"126,5",,"8,76",,"69,9",,"106,6",,"1,5",,"80,5",,"5,5",,1,
DI07017itkfi,2826040,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49010,gnpis_pui:holding-921_taxon-4898_accession-49010,DI07017,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,"126,5",,"10,56",,"73,6",,"98,7",,"1,5",,"74,5",,1,,4,
Caphornitkt,2826047,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,124,,"11,31",,"71,6",,"100,9",,,,"100,5",,,,1,
Caphornitkfi,2826046,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,123,,"10,14",,"71,5",,"109,3",,1,,"82,5",,1,,1,
DI07018itkfi,2826052,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49701,gnpis_pui:holding-921_taxon-4898_accession-49701,DI07018,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,"128,5",,"11,14",,"76,5",,"112,1",,1,,"84,6",,1,,1,
EM06233itkt,2826091,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,119,,"11,32",,74,,"109,3",,,,"108,9",,,,1,
AO07403itkt,2826007,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"121,5",,"10,06",,"71,8",,107,,,,"106,6",,,,"2,5",
AO07403itkfi,2826006,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,121,,"9,7",,"74,1",,"107,3",,2,,81,,1,,4,
Mendelitkfi,2826034,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,124,,"9,53",,"72,2",,"100,9",,3,,"76,2",,1,,1,
EM06305itkt,2826019,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49088,gnpis_pui:holding-921_taxon-4898_accession-49088,EM06305,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,123,,"10,42",,73,,98,,,,"97,7",,,,"1,5",
Goreckiitkt,2826063,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,122,,"10,2",,69,,"104,5",,,,"104,1",,,,1,
RE06134itkfi,2826012,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,119,,"9,53",,"74,2",,"118,4",,"2,5",,"89,4",,"1,5",,1,
EM06307itkt,2826075,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"127,5",,"10,76",,72,,"100,3",,,,100,,,,"1,5",
EM06307itkfi,2826074,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,126,,"9,25",,"75,6",,"104,6",,2,,"78,9",,1,,1,
RE06134itkt,2826013,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,119,,"11,26",,"71,2",,"102,4",,,,"102,1",,,,1,
Goreckiitkfi,2826062,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,121,,"9,07",,"69,8",,"109,7",,1,,"82,8",,5,,1,
RE06127itkt,2826065,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2007,75,,"118,5",,"12,04",,"72,4",,"102,5",,,,"102,1",,,,1,
RE06127itkfi,2826064,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"72,5",,"117,5",,"10,88",,73,,"115,2",,1,,87,,"1,5",,2,
EM06233itkfi,2826090,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,119,,"10,01",,"74,4",,"99,2",,"2,5",,"74,9",,1,,2,
RE06119itkt,2826051,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49704,gnpis_pui:holding-921_taxon-4898_accession-49704,RE06119,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,128,,"11,61",,"69,4",,"87,9",,,,"87,6",,,,3,
DI07020itkt,2826011,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48780,gnpis_pui:holding-921_taxon-4898_accession-48780,DI07020,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,128,,"11,7",,"68,9",,"100,2",,,,"99,9",,,,1,
DI07020itkfi,2826010,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48780,gnpis_pui:holding-921_taxon-4898_accession-48780,DI07020,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"126,5",,"9,9",,"70,8",,"100,3",,1,,"75,7",,5,,1,
RE06109itkt,2826059,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49314,gnpis_pui:holding-921_taxon-4898_accession-49314,RE06109,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,"130,5",,"11,12",,"70,4",,98,,,,"97,6",,,,1,
CF06250itkt,2826069,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49022,gnpis_pui:holding-921_taxon-4898_accession-49022,CF06250,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,"131,5",,"9,63",,"72,1",,"104,1",,,,"103,7",,,,1,
RE06109itkfi,2826058,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49314,gnpis_pui:holding-921_taxon-4898_accession-49314,RE06109,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,128,,"10,11",,"72,8",,"109,1",,"1,5",,"82,3",,1,,1,
EM06229itkt,2826031,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,122,,"10,9",,"71,5",,"105,1",,,,"104,8",,,,1,
DI07015itkt,2826045,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,133,,"10,96",,"74,2",,"98,4",,,,98,,,,1,
DI07015itkfi,2826044,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"130,5",,"10,02",,"73,8",,"110,8",,1,,"83,6",,1,,1,
RE06125itkfi,2826066,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48374,gnpis_pui:holding-921_taxon-4898_accession-48374,RE06125,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"131,5",,"9,7",,"69,4",,"112,6",,1,,85,,1,,1,
CF06277itkt,2826089,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,135,,"10,86",,"75,2",,"104,8",,,,"104,4",,,,1,
CF06250itkfi,2826068,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49022,gnpis_pui:holding-921_taxon-4898_accession-49022,CF06250,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,"130,5",,"9,28",,"75,4",,"113,5",,"1,5",,"85,7",,1,,1,
RE06125itkt,2826067,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48374,gnpis_pui:holding-921_taxon-4898_accession-48374,RE06125,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,"133,5",,"10,48",,"71,2",,"106,3",,,,"105,9",,,,1,
CF06225itkt,2826027,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49095,gnpis_pui:holding-921_taxon-4898_accession-49095,CF06225,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,132,,"10,86",,"73,1",,"86,5",,,,"86,2",,,,1,
CF06225itkfi,2826026,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49095,gnpis_pui:holding-921_taxon-4898_accession-49095,CF06225,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"131,5",,"10,01",,"73,6",,"93,8",,"1,5",,"70,8",,1,,"1,5",
CF06277itkfi,2826088,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,133,,"9,7",,"71,6",,"88,6",,3,,"66,9",,3,,1,
DI07018itkt,2826053,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49701,gnpis_pui:holding-921_taxon-4898_accession-49701,DI07018,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,131,,"11,87",,"73,2",,"97,4",,,,97,,,,1,
CF06269itkfi,2826020,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49569,gnpis_pui:holding-921_taxon-4898_accession-49569,CF06269,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,128,,"8,83",,"75,5",,"110,3",,"1,5",,"83,2",,1,,2,
EM06229itkfi,2826030,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,120,,"9,11",,"75,1",,110,,2,,83,,2,,1,
CF06269itkt,2826021,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49569,gnpis_pui:holding-921_taxon-4898_accession-49569,CF06269,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,"130,5",,"9,56",,"73,6",,"108,9",,,,"108,5",,,,"1,5",
CF06227itkt,2826029,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,130,,"10,21",,70,,"104,9",,,,"104,5",,,,1,
CF06296itkt,2826079,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48530,gnpis_pui:holding-921_taxon-4898_accession-48530,CF06296,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,"129,5",,"10,82",,"74,8",,"97,8",,,,"97,5",,,,1,
CF06296itkfi,2826078,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48530,gnpis_pui:holding-921_taxon-4898_accession-48530,CF06296,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,"126,5",,"10,39",,"73,6",,97,,3,,"73,2",,1,,1,
CF06210itkt,2826081,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,"126,5",,"11,34",,71,,"98,7",,,,"98,3",,,,"1,5",
CF06210itkfi,2826080,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"124,5",,"10,48",,"74,5",,"106,5",,"1,5",,"80,4",,2,,1,
CF06227itkfi,2826028,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,128,,"10,24",,"73,2",,106,,1,,80,,"1,5",,1,
RE06119itkfi,2826050,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49704,gnpis_pui:holding-921_taxon-4898_accession-49704,RE06119,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"97,5",,"125,5",,"10,4",,68,,"99,8",,1,,"75,3",,1,,1,
CF06273itkt,2826087,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49135,gnpis_pui:holding-921_taxon-4898_accession-49135,CF06273,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"130,5",,"10,88",,"70,8",,93,,,,"92,7",,,,1,
CF06230itkt,2826085,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27069,https://doi.org/10.15454/PBD8PO,CF06230,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,130,,"9,9",,"71,6",,"105,1",,,,"104,8",,,,1,
RE06097itkfi,2826004,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27832,https://doi.org/10.15454/X0FSJ6,RE06097,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"123,5",,"9,97",,"76,4",,"108,9",,1,,"82,2",,1,,1,
RE06106itkt,2826071,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48380,gnpis_pui:holding-921_taxon-4898_accession-48380,RE06106,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,121,,"12,14",,"70,2",,"98,6",,,,"98,2",,,,1,
RE06097itkt,2826005,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27832,https://doi.org/10.15454/X0FSJ6,RE06097,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,124,,"10,91",,"72,7",,"104,3",,,,"103,9",,,,1,
CF06273itkfi,2826086,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49135,gnpis_pui:holding-921_taxon-4898_accession-49135,CF06273,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,128,,"9,68",,"71,2",,"97,7",,2,,"73,8",,1,,1,
