observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM01068itkt,2805060,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,treated,2005,153,,"10,66",,"100,1",,"96,6",,2,
CF03287itkt,2805087,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2005,149,,12,,"101,9",,"98,4",,1,
CF03287itknt,2805086,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"113,4",,"89,2",,1,
LM03017itkt,2805090,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,treated,2005,147,,"10,68",,"95,3",,92,,1,
LM03017itkfi,2805088,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,147,,"9,44",,"97,3",,"78,9",,,
EM01068itkfi,2805058,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,150,,"9,78",,"98,5",,"79,9",,,
DI04019itkt,2805051,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,treated,2005,148,,"10,89",,106,,"102,3",,1,
EM03028itkt,2805021,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,treated,2005,153,,"12,18",,"88,2",,"85,2",,"1,5",
LM03017itknt,2805089,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"97,9",,77,,1,
DI04019itkfi,2805049,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"148,5",,"9,57",,"101,1",,82,,,
CF03287itkfi,2805085,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"148,5",,"10,48",,"105,6",,"85,6",,,
EM00264itknt,2805098,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"104,7",,"82,3",,1,
EM03149itkt,2805045,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,treated,2005,148,,"10,31",,"101,4",,"97,9",,"1,5",
EM03149itknt,2805044,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"104,9",,"82,5",,1,
CF03226itknt,2805047,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"102,4",,"80,5",,"1,5",
EM03149itkfi,2805043,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,147,,"9,28",,"106,5",,"86,4",,,
EM00264itkt,2805099,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2005,148,,"10,28",,"98,5",,"95,1",,2,
EM03028itknt,2805020,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"96,4",,"75,8",,1,
EM00264itkfi,2805097,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,148,,"9,77",,"105,8",,"85,8",,,
EM03028itkfi,2805019,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,150,,"10,56",,"99,1",,"80,4",,,
Farandoleitkt,2805069,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2005,147,,"10,82",,"102,3",,"98,8",,2,
LM03001itkt,2805024,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,treated,2005,154,,"10,8",,"85,9",,"82,9",,1,
LM03001itkfi,2805022,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,153,,"9,62",,"90,7",,"73,6",,,
LM03001itknt,2805023,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"83,1",,"65,3",,1,
CF03226itkfi,2805046,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,149,,"9,8",,"93,1",,"75,5",,,
LM03051itkfi,2805061,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48773,gnpis_pui:holding-921_taxon-4898_accession-48773,LM03051,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"152,5",,"9,88",,"91,9",,"74,5",,,
CF03226itkt,2805048,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,treated,2005,149,,"10,73",,"100,5",,97,,"1,5",
EM00107itkt,2805036,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2005,150,,"10,36",,"104,2",,"100,6",,1,
CF03341itkt,2805078,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,treated,2005,153,,"11,44",,"97,6",,"94,2",,"4,5",
CF03342itknt,2805080,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"102,7",,"80,8",,1,
CF03341itknt,2805077,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,111,,"87,2",,2,
CF03341itkfi,2805076,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"150,5",,"9,8",,96,,"77,9",,,
Apacheitkt,2805084,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,145,,"11,69",,"100,6",,"97,1",,1,
Apacheitknt,2805083,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"98,1",,"77,1",,1,
EM03041itkt,2805018,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,treated,2005,"153,5",,"11,36",,"97,7",,"94,3",,1,
Apacheitkfi,2805082,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,145,,"10,03",,"101,5",,"82,3",,,
CF03342itkfi,2805079,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"148,5",,"10,06",,"100,7",,"81,7",,,
EM03193itkt,2805057,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,treated,2005,150,,"11,02",,"106,1",,"102,4",,1,
LM03022itkfi,2805025,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48608,gnpis_pui:holding-921_taxon-4898_accession-48608,LM03022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,150,,"10,49",,"85,3",,"69,2",,,
CF03342itkt,2805081,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,treated,2005,150,,"10,27",,"100,1",,"96,6",,1,
EM03041itknt,2805017,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"107,3",,"84,4",,1,
EM03041itkfi,2805016,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"151,5",,"9,66",,"95,5",,"77,5",,,
Farandoleitkfi,2805067,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,147,,"9,69",,"106,3",,"86,2",,,
LM03022itkt,2805027,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48608,gnpis_pui:holding-921_taxon-4898_accession-48608,LM03022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"152,5",,"11,74",,"94,6",,"91,3",,"1,5",
LM03022itknt,2805026,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48608,gnpis_pui:holding-921_taxon-4898_accession-48608,LM03022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"93,1",,"73,1",,"2,5",
DI04015itkfi,2805040,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"146,5",,"9,64",,"105,7",,"85,7",,,
EM00107itknt,2805035,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"108,9",,"85,6",,1,
DI04015itkt,2805042,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,treated,2005,147,,"10,78",,"100,2",,"96,7",,"1,5",
DI04015itknt,2805041,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,105,,"82,5",,"1,5",
LM03015itknt,2805095,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"100,5",,79,,2,
Skerzzoitknt,2805104,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"117,9",,"92,6",,1,
LM03015itkfi,2805094,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,148,,"10,34",,"103,1",,"83,6",,,
EM03193itknt,2805056,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,112,,88,,1,
DI04022itkfi,2805109,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26802,https://doi.org/10.15454/KBHSGY,DI04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,150,,"10,92",,"96,6",,"78,3",,,
Skerzzoitkfi,2805103,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"149,5",,"10,12",,"100,5",,"81,5",,,
Skerzzoitkt,2805105,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2005,149,,"11,74",,"103,5",,"99,9",,1,
Chargeritknt,2805071,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"96,1",,"75,5",,1,
Chargeritkt,2805072,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,"150,5",,"9,82",,"91,9",,"88,7",,1,
DI04017itkt,2805039,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,treated,2005,148,,"10,54",,"109,4",,"105,6",,1,
DI04022itkt,2805111,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26802,https://doi.org/10.15454/KBHSGY,DI04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"151,5",,"11,73",,89,,"85,9",,"2,5",
LM03051itknt,2805062,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48773,gnpis_pui:holding-921_taxon-4898_accession-48773,LM03051,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"85,9",,"67,6",,"2,5",
EM03193itkfi,2805055,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"150,5",,"8,84",,"103,4",,"83,8",,,
Chargeritkfi,2805070,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,148,,"9,12",,"93,8",,"76,1",,,
LM03015itkt,2805096,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,treated,2005,150,,"11,04",,"100,5",,97,,"2,5",
DI04022itknt,2805110,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26802,https://doi.org/10.15454/KBHSGY,DI04022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,105,,"82,5",,2,
Barokitkfi,2805013,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"147,5",,"10,01",,"114,9",,"93,2",,,
LM03014itknt,2805092,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"109,5",,"86,1",,3,
