observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI07017itkt,2825777,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49010,gnpis_pui:holding-921_taxon-4898_accession-49010,DI07017,VIRTUAL_TRIAL,,,,,,,,treated,2007,"102,5",,1,,131,,"14,24",,"67,3",,"86,6",,1,,"63,2",,,,"2,5",,"7,5",
EM06303itkfi,2825750,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48387,gnpis_pui:holding-921_taxon-4898_accession-48387,EM06303,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,1,,125,,"11,93",,"72,8",,"104,3",,"8,5",,"60,7",,1,,"2,5",,"3,5",
DI07016itkfi,2825774,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,1,,135,,"12,6",,"76,8",,"119,1",,1,,"69,3",,1,,2,,"5,5",
AO07001itkfi,2825772,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48615,gnpis_pui:holding-921_taxon-4898_accession-48615,AO07001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,1,,131,,"12,56",,"75,2",,"88,2",,6,,"51,3",,1,,4,,"5,5",
EM06303itkt,2825751,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48387,gnpis_pui:holding-921_taxon-4898_accession-48387,EM06303,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,1,,125,,"12,53",,"72,5",,"101,6",,"1,5",,"74,1",,,,"4,5",,6,
DI07016itkt,2825775,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,1,,136,,"12,12",,76,,"108,1",,1,,"78,9",,,,2,,5,
RE06130itkfi,2825752,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,1,,"124,5",,"11,4",,"76,5",,"134,5",,5,,"78,2",,"1,5",,4,,4,
EM06195itkt,2825809,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48434,gnpis_pui:holding-921_taxon-4898_accession-48434,EM06195,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,1,,131,,"13,1",,"68,3",,"105,1",,1,,"76,7",,,,3,,4,
DI07021itkt,2825745,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,1,,133,,"12,48",,"70,8",,"103,3",,1,,"75,4",,,,"3,5",,"4,5",
DI07021itkfi,2825744,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,1,,"130,5",,"13,16",,"67,9",,"107,9",,4,,"62,7",,1,,5,,"5,5",
Sankaraitkt,2825779,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,1,,"135,5",,"13,66",,"69,9",,"97,2",,"1,5",,"70,9",,,,4,,6,
Sankaraitkfi,2825778,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,1,,133,,"15,34",,"64,9",,"77,5",,"2,5",,"45,1",,1,,6,,7,
AO07001itkt,2825773,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48615,gnpis_pui:holding-921_taxon-4898_accession-48615,AO07001,VIRTUAL_TRIAL,,,,,,,,treated,2007,115,,1,,131,,"14,41",,76,,"84,3",,1,,"61,5",,,,3,,6,
DI07017itkfi,2825776,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49010,gnpis_pui:holding-921_taxon-4898_accession-49010,DI07017,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,1,,131,,"13,84",,"70,4",,"107,6",,5,,"62,6",,1,,3,,7,
AO07438itkt,2825797,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,1,,131,,"11,54",,"67,2",,"102,4",,1,,"74,7",,,,4,,7,
Mendelitkfi,2825770,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,1,,127,,"12,22",,"64,8",,"105,8",,7,,"61,5",,4,,4,,"2,5",
RE06119itkt,2825787,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49704,gnpis_pui:holding-921_taxon-4898_accession-49704,RE06119,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,1,,131,,"12,39",,"66,9",,"88,6",,1,,"64,6",,,,"3,5",,7,
RE06106itkfi,2825806,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48380,gnpis_pui:holding-921_taxon-4898_accession-48380,RE06106,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,1,,125,,"13,04",,69,,111,,3,,"64,6",,1,,4,,6,
Mendelitkt,2825771,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,1,,128,,"13,07",,"66,8",,97,,"2,5",,"70,8",,,,"5,5",,"2,5",
AO07438itkfi,2825796,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,1,,131,,"12,01",,"65,4",,"100,5",,1,,"58,4",,7,,1,,"6,5",
AO07403itkt,2825743,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,1,,125,,"13,58",,69,,"85,8",,2,,"62,6",,,,4,,8,
EM06233itkt,2825827,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,1,,"124,5",,"13,2",,"71,6",,"101,4",,1,,"73,9",,,,"4,5",,6,
Caphornitkt,2825783,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,1,,128,,"13,33",,"69,4",,"110,5",,"1,5",,"80,6",,,,3,,"5,5",
Caphornitkfi,2825782,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,1,,128,,"12,9",,69,,"116,5",,2,,"67,8",,1,,6,,"4,5",
AO07403itkfi,2825742,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,1,,"126,5",,"12,38",,"70,7",,"105,5",,"4,5",,"61,4",,1,,4,,"7,5",
RE06130itkt,2825753,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,1,,124,,"11,9",,"73,8",,"126,5",,1,,"92,3",,,,2,,7,
EM06307itkfi,2825810,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,1,,131,,"11,95",,"71,9",,"116,4",,7,,"67,7",,1,,3,,"7,5",
EM06233itkfi,2825826,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,1,,"124,5",,"12,22",,"73,9",,"112,4",,"5,5",,"65,4",,1,,5,,4,
RE06134itkt,2825749,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,1,,124,,"12,98",,"72,6",,"117,5",,1,,"85,7",,,,2,,"6,5",
RE06134itkfi,2825748,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,1,,124,,"12,12",,"72,2",,"135,5",,4,,"78,8",,"2,5",,3,,3,
Goreckiitkt,2825799,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,1,,125,,"12,61",,"70,6",,110,,1,,"80,3",,,,4,,6,
Goreckiitkfi,2825798,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,1,,125,,"12,32",,"68,6",,"108,9",,1,,"63,3",,"7,5",,7,,"4,5",
DI07018itkfi,2825788,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49701,gnpis_pui:holding-921_taxon-4898_accession-49701,DI07018,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,1,,131,,"13,6",,"70,6",,"110,4",,1,,"64,2",,1,,"2,5",,7,
RE06127itkt,2825801,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,1,,124,,"13,26",,"74,9",,"124,6",,1,,"90,9",,,,"2,5",,7,
RE06127itkfi,2825800,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,1,,"123,5",,"13,12",,"75,1",,"139,7",,1,,"81,3",,5,,3,,5,
EM06307itkt,2825811,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,1,,131,,"12,22",,"69,7",,"104,2",,1,,76,,,,3,,7,
DI07015itkt,2825781,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,1,,136,,"11,78",,"76,2",,"112,6",,1,,"82,1",,,,2,,3,
DI07020itkt,2825747,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48780,gnpis_pui:holding-921_taxon-4898_accession-48780,DI07020,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,1,,131,,"13,9",,"67,8",,"91,5",,1,,"66,8",,,,2,,7,
RE06109itkfi,2825794,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49314,gnpis_pui:holding-921_taxon-4898_accession-49314,RE06109,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,1,,131,,"12,03",,"69,6",,"117,3",,1,,"68,2",,"1,5",,4,,5,
CF06225itkfi,2825762,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49095,gnpis_pui:holding-921_taxon-4898_accession-49095,CF06225,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,1,,135,,"12,84",,"66,6",,"87,2",,"4,5",,"50,7",,1,,"5,5",,6,
DI07015itkfi,2825780,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,1,,"134,5",,"11,61",,"78,2",,"133,8",,1,,"77,8",,1,,2,,"3,5",
EM06229itkt,2825767,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,1,,125,,"12,82",,"70,4",,"109,2",,1,,"79,7",,,,4,,"5,5",
DI07020itkfi,2825746,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48780,gnpis_pui:holding-921_taxon-4898_accession-48780,DI07020,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"97,5",,1,,131,,"13,11",,"67,4",,"100,5",,1,,"58,4",,8,,1,,"7,5",
RE06109itkt,2825795,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49314,gnpis_pui:holding-921_taxon-4898_accession-49314,RE06109,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,1,,131,,"13,39",,"64,2",,"79,6",,1,,"58,1",,,,3,,"3,5",
DI07018itkt,2825789,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49701,gnpis_pui:holding-921_taxon-4898_accession-49701,DI07018,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,1,,135,,"13,98",,"67,5",,"86,1",,1,,"62,8",,,,2,,8,
CF06250itkfi,2825804,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49022,gnpis_pui:holding-921_taxon-4898_accession-49022,CF06250,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,1,,133,,"11,25",,"75,8",,112,,"2,5",,"65,2",,"1,5",,4,,7,
CF06277itkt,2825825,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,VIRTUAL_TRIAL,,,,,,,,treated,2007,100,,1,,136,,"13,72",,"76,2",,"86,9",,1,,"63,4",,,,4,,"4,5",
CF06250itkt,2825805,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49022,gnpis_pui:holding-921_taxon-4898_accession-49022,CF06250,VIRTUAL_TRIAL,,,,,,,,treated,2007,"97,5",,1,,136,,"11,62",,"71,9",,"93,2",,1,,68,,,,3,,"7,5",
RE06125itkt,2825803,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48374,gnpis_pui:holding-921_taxon-4898_accession-48374,RE06125,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,1,,136,,"11,91",,"72,9",,"116,8",,1,,"85,2",,,,2,,"3,5",
RE06125itkfi,2825802,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48374,gnpis_pui:holding-921_taxon-4898_accession-48374,RE06125,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,1,,135,,"11,8",,"73,9",,"140,9",,1,,82,,2,,"2,5",,"3,5",
CF06277itkfi,2825824,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,1,,135,,"14,16",,70,,"74,6",,6,,"43,4",,5,,3,,"3,5",
EM06229itkfi,2825766,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,1,,125,,"12,22",,"72,3",,"124,9",,6,,"72,7",,1,,5,,"3,5",
CF06269itkfi,2825756,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49569,gnpis_pui:holding-921_taxon-4898_accession-49569,CF06269,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"102,5",,1,,131,,"11,5",,"71,2",,"101,1",,"3,5",,"58,8",,3,,5,,"7,5",
CF06227itkt,2825765,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,1,,131,,"12,92",,74,,"104,2",,1,,76,,,,"2,5",,7,
CF06269itkt,2825757,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49569,gnpis_pui:holding-921_taxon-4898_accession-49569,CF06269,VIRTUAL_TRIAL,,,,,,,,treated,2007,"97,5",,1,,135,,"11,58",,"72,9",,"95,1",,1,,"69,4",,,,4,,"7,5",
CF06225itkt,2825763,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49095,gnpis_pui:holding-921_taxon-4898_accession-49095,CF06225,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,1,,"135,5",,"13,14",,69,,"89,4",,1,,"65,2",,,,3,,"5,5",
CF06296itkt,2825815,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48530,gnpis_pui:holding-921_taxon-4898_accession-48530,CF06296,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,1,,133,,"11,43",,"72,6",,"90,9",,1,,"66,3",,,,"3,5",,6,
RE06119itkfi,2825786,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49704,gnpis_pui:holding-921_taxon-4898_accession-49704,RE06119,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"97,5",,1,,"129,5",,"11,69",,"68,8",,"98,1",,1,,57,,1,,4,,7,
CF06227itkfi,2825764,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,1,,"130,5",,"12,04",,"73,1",,"111,3",,3,,"64,7",,1,,4,,6,
RE06106itkt,2825807,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48380,gnpis_pui:holding-921_taxon-4898_accession-48380,RE06106,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,1,,125,,"13,43",,"68,4",,"105,7",,1,,"77,1",,,,"2,5",,7,
CF06210itkt,2825817,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,treated,2007,100,,1,,"130,5",,"12,67",,"65,4",,"93,9",,1,,"68,5",,,,3,,7,
CF06296itkfi,2825814,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48530,gnpis_pui:holding-921_taxon-4898_accession-48530,CF06296,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"97,5",,1,,131,,"11,51",,"74,2",,"114,7",,2,,"66,7",,1,,4,,"4,5",
CF06210itkfi,2825816,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"102,5",,1,,"130,5",,"13,14",,"68,4",,"101,3",,1,,"58,9",,6,,4,,7,
