observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO12002itkfi,2867711,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,137,,"75,8",,"112,3",,"2,8",,70,,1,,4,,1,
RE11007itkfi,2867706,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,49642,https://doi.org/10.15454/TAMDIS,RE11007,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,142,,"82,4",,"106,4",,1,,"66,3",,1,,3,,1,
AO12003itkfi,2867675,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61590,https://doi.org/10.15454/1HGYCF,AO12003,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,105,,138,,"76,8",,"106,1",,1,,"66,1",,1,,"3,8",,1,
CF11079itkfi,2867673,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61349,https://doi.org/10.15454/78QONX,CF11079,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,140,,"73,2",,"88,6",,1,,"55,2",,1,,"4,8",,1,
DI12001itkfi,2867693,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61742,https://doi.org/10.15454/38GFUU,DI12001,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,124,,137,,"72,8",,"84,1",,1,,"52,4",,7,,1,,1,
Attlassitkfi,2867705,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,140,,80,,"123,9",,1,,"77,2",,1,,"3,2",,1,
AO12008itkfi,2867682,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,60732,https://doi.org/10.15454/JKQ6L6,AO12008,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,137,,"79,2",,"116,7",,1,,"72,7",,1,,"3,8",,1,
DI12002itkfi,2867692,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61758,https://doi.org/10.15454/OKI00H,DI12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,144,,"75,3",,"102,6",,1,,"63,9",,"4,8",,"4,2",,1,
RE11016itkfi,2867683,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,60933,https://doi.org/10.15454/7NVDSE,RE11016,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,140,,"80,6",,"109,8",,1,,"68,4",,1,,3,,1,
CF11029itkfi,2867695,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,101,,144,,"77,6",,"104,6",,1,,"65,2",,"5,5",,"2,5",,1,
EM11366itkfi,2867704,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,142,,"75,4",,102,,1,,"63,5",,1,,4,,1,
CF11051itkfi,2867679,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,138,,"80,9",,"121,1",,1,,"75,5",,1,,"3,2",,1,
DI12003itkfi,2867691,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61774,https://doi.org/10.15454/PDTNHE,DI12003,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,101,,140,,"68,8",,"90,7",,1,,"56,5",,1,,"3,5",,1,
AO12009itkfi,2867700,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,60749,https://doi.org/10.15454/K6ABP7,AO12009,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,136,,"79,4",,"130,5",,1,,"81,3",,1,,2,,1,
RE10091itkfi,2867696,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,62038,https://doi.org/10.15454/4GF0WY,RE10091,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,138,,78,,107,,1,,"66,7",,1,,"4,5",,1,
Bermudeitkfi,2867680,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,89,,140,,77,,"102,6",,1,,"63,9",,1,,4,,1,
DI12005itkfi,2867689,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,138,,"77,6",,"128,1",,1,,"79,8",,1,,"3,5",,1,
Altigoitkfi,2867701,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,101,,132,,"77,2",,"102,8",,1,,64,,1,,"4,5",,1,
