observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO12021-2itkt,2880144,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48626,https://doi.org/10.15454/QXYFWH,AO12021-2,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"10,9",,"74,5",,"95,8",,"95,7",
AO12021itkt,2880130,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"10,97",,"74,7",,"97,4",,"97,3",
DI12005itkt,2880138,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2014,139,,"10,63",,"77,8",,"101,4",,"101,3",
EM11441itkt,2880140,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2014,135,,"10,5",,"76,9",,"105,8",,"105,7",
Lyrikitkt,2880163,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2014,136,,"10,07",,"77,4",,"105,3",,"105,2",
RE11087itkt,2880151,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"10,53",,"80,1",,109,,"108,9",
Croustyitkt,2880148,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"11,27",,"77,8",,"87,7",,"87,6",
CF08027itkt,2880162,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"10,6",,"77,7",,"104,7",,"104,6",
Arezzoitkt,2880125,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,treated,2014,132,,"11,47",,"79,8",,"92,9",,"92,8",
RE11113itkt,2880149,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2014,137,,"10,4",,77,,"101,7",,"101,6",
Bermudeitkt,2880133,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2014,137,,"10,17",,"79,7",,"107,1",,107,
EM11604itkt,2880143,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2014,132,,"10,7",,"78,5",,"101,8",,"101,7",
AO11011itkt,2880127,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"10,3",,"75,9",,"107,1",,107,
EM11366itkt,2880153,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2014,133,,"10,77",,"78,1",,"101,7",,"101,7",
DI11014itkt,2880159,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2014,137,,"10,4",,"78,8",,"100,7",,"100,6",
Galibieritkt,2880136,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2014,124,,"14,17",,"76,4",,68,,"67,9",
Gotikitkt,2880154,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"10,63",,"79,6",,"104,8",,"104,7",
RE10042itkt,2880146,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"9,97",,77,,98,,"97,9",
AO13030itkt,2880150,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,treated,2014,135,,"10,07",,"76,6",,"110,4",,"110,3",
CF11029itkt,2880141,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2014,140,,"9,07",,"77,5",,"112,1",,112,
