observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Farandoleitkfi,2804103,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,138,,"11,4",,"121,7",,"2,5",,"87,3",,1,,,,,
DI03015itkt,2804063,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,145,,"11,66",,"98,2",,,,"105,1",,,,,,1,
CF03201itknt,2804086,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"102,5",,141,,,,"128,4",,2,,"93,6",,1,,"4,5",,3,
Tamaroitkfi,2804157,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"122,5",,145,,"15,11",,73,,6,,"52,3",,1,,,,,
Soissonsitkfi,2804154,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,128,,"11,25",,"96,1",,"3,5",,"68,9",,1,,,,,
RE03101itkt,2804072,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,treated,2005,"88,5",,138,,"11,35",,"97,5",,,,"104,3",,,,,,1,
CF03201itkt,2804087,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2005,100,,141,,"13,34",,"97,5",,,,"104,3",,,,,,3,
Tremieitkfi,2804130,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,129,,"11,47",,"92,6",,"1,5",,"66,4",,1,,,,,
CF01046itkt,2804144,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,treated,2005,95,,141,,"11,82",,"99,5",,,,"106,4",,,,,,1,
CF03201itkfi,2804085,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,110,,138,,"12,77",,"132,6",,2,,95,,1,,,,,
Soissonsitknt,2804155,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,90,,128,,,,101,,"3,5",,"73,6",,1,,9,,1,
Tremieitknt,2804131,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,90,,129,,,,"90,7",,2,,"66,1",,1,,9,,1,
CF01046itkfi,2804142,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,105,,140,,"12,22",,"101,1",,6,,"72,5",,1,,,,,
Tremieitkt,2804132,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,129,,"10,29",,107,,,,"114,5",,,,,,3,
RE03101itknt,2804071,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,138,,,,"97,7",,"2,5",,"71,2",,1,,9,,1,
RE03101itkfi,2804070,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,138,,"10,98",,"93,1",,"1,5",,"66,8",,1,,,,,
EM02224itknt,2804149,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,100,,141,,,,"124,8",,"1,5",,"90,9",,1,,4,,1,
EM02224itkfi,2804148,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,105,,140,,"11,98",,"128,6",,2,,"92,2",,1,,,,,
EM02224itkt,2804150,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,treated,2005,105,,141,,"11,64",,"98,6",,,,"105,5",,,,,,1,
RE03094itknt,2804152,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"97,5",,141,,,,"140,3",,1,,"102,3",,1,,"2,5",,1,
CF01046itknt,2804143,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"97,5",,141,,,,"104,1",,"3,5",,"75,9",,1,,8,,1,
DI03015itkfi,2804061,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"97,5",,142,,"11,28",,"115,9",,2,,"83,1",,1,,,,,
EM00074itknt,2804134,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,95,,144,,,,"104,8",,4,,"76,4",,1,,"6,5",,1,
EM02054itknt,2804080,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,95,,144,,,,"112,1",,3,,"81,7",,1,,"7,5",,1,
LM03005itkt,2804066,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,131,,NA,,"96,1",,,,"102,8",,,,,,1,
Caphornitkt,2804102,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,136,,"11,94",,"105,8",,,,"113,2",,,,,,1,
EM02054itkt,2804081,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2005,"92,5",,144,,"11,92",,"90,1",,,,"96,4",,,,,,1,
EM02054itkfi,2804079,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,105,,138,,"11,98",,"108,2",,6,,"77,6",,1,,,,,
Caphornitknt,2804101,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,136,,,,"118,1",,1,,"86,1",,1,,9,,1,
DI02006itknt,2804074,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,91,,144,,,,"110,3",,1,,"80,4",,1,,8,,1,
Caphornitkfi,2804100,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,133,,"11,4",,"113,8",,"2,5",,"81,6",,1,,,,,
Rytmicitkt,2804090,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2005,100,,145,,"12,64",,"94,9",,,,"101,5",,,,,,1,
RE03094itkt,2804153,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,treated,2005,"97,5",,141,,"12,48",,"99,3",,,,"106,2",,,,,,1,
DI02006itkt,2804075,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2005,"92,5",,144,,"11,16",,"95,6",,,,"102,3",,,,,,1,
DI02006itkfi,2804073,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,141,,"11,8",,"109,9",,"1,5",,"78,8",,1,,,,,
RE03014itkfi,2804145,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"102,5",,141,,"12,08",,"119,1",,2,,"85,4",,1,,,,,
RE03094itkfi,2804151,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,136,,"12,13",,"130,2",,1,,"93,4",,1,,,,,
Rytmicitknt,2804089,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,95,,145,,,,"114,9",,"2,5",,"83,7",,1,,7,,1,
AO04001itkfi,2804067,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48667,gnpis_pui:holding-921_taxon-4898_accession-48667,AO04001,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"117,5",,147,,"11,88",,"75,6",,9,,"54,2",,2,,,,,
Rytmicitkfi,2804088,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"102,5",,144,,"11,56",,"112,6",,5,,"80,8",,1,,,,,
LM03005itknt,2804065,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,131,,,,"97,3",,"1,5",,"70,9",,1,,9,,1,
AO04001itkt,2804069,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48667,gnpis_pui:holding-921_taxon-4898_accession-48667,AO04001,VIRTUAL_TRIAL,,,,,,,,treated,2005,110,,147,,"12,18",,"85,3",,,,"91,3",,,,,,1,
AO04001itknt,2804068,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48667,gnpis_pui:holding-921_taxon-4898_accession-48667,AO04001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,110,,147,,,,"62,7",,9,,"45,7",,1,,"3,5",,1,
RE03014itknt,2804146,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,100,,142,,,,"115,7",,"1,5",,"84,4",,1,,6,,1,
LM03005itkfi,2804064,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,130,,"12,08",,"96,7",,2,,"69,3",,1,,,,,
RE03014itkt,2804147,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,treated,2005,100,,142,,"12,49",,"94,1",,,,"100,7",,,,,,1,
Orvantisitknt,2804140,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"92,5",,133,,,,101,,"4,5",,"73,6",,1,,9,,1,
DI01022itknt,2804077,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,95,,136,,,,126,,2,,"91,8",,1,,6,,1,
CF03167itkt,2804123,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,treated,2005,"92,5",,144,,"12,05",,"99,6",,,,"106,6",,,,,,1,
DI02001itkfi,2804097,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,141,,"11,23",,"124,7",,2,,"89,4",,1,,,,,
EM00074itkfi,2804133,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,145,,"11,6",,"112,8",,6,,"80,9",,1,,,,,
DI01022itkt,2804078,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2005,96,,136,,"11,32",,"107,8",,,,"115,3",,,,,,1,
DI01022itkfi,2804076,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"102,5",,133,,"11,95",,"129,3",,"3,5",,"92,7",,1,,,,,
CF01085itkfi,2804109,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,139,,"11,44",,"125,6",,"3,5",,90,,1,,,,,
CF03167itknt,2804122,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"92,5",,144,,,,"115,1",,"1,5",,"83,9",,1,,9,,1,
Orvantisitkt,2804141,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,"92,5",,133,,"11,68",,"99,2",,,,"106,1",,,,,,1,
LM03004itkt,2804162,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,treated,2005,95,,138,,"11,53",,"96,3",,,,103,,,,,,1,
CF03167itkfi,2804121,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,105,,139,,"11,64",,"119,8",,6,,"85,9",,2,,,,,
CF01085itkt,2804111,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2005,100,,142,,"11,94",,100,,,,107,,,,,,1,
LM03004itkfi,2804160,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,136,,"11,67",,"110,6",,"2,5",,"79,3",,1,,,,,
DI02001itknt,2804098,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,95,,145,,,,"133,4",,2,,"97,3",,2,,"4,5",,1,
LM03004itknt,2804161,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,90,,138,,,,107,,"1,5",,78,,1,,7,,1,
CF03104itknt,2804107,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,100,,140,,,,"116,3",,3,,"84,8",,1,,8,,1,
Orvantisitkfi,2804139,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,133,,"11,81",,"98,6",,4,,"70,7",,1,,,,,
CF01085itknt,2804110,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,95,,142,,,,130,,"3,5",,"94,8",,1,,5,,1,
Apacheitknt,2804092,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,130,,,,"80,6",,"2,5",,"58,7",,1,,9,,1,
CF03104itkfi,2804106,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,105,,139,,"11,21",,"118,5",,"3,5",,85,,1,,,,,
Apacheitkt,2804093,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,130,,"11,87",,"98,5",,,,"105,4",,,,,,1,
EM02207itkt,2804120,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,treated,2005,100,,142,,"12,12",,"101,7",,,,"108,8",,,,,,1,
EM02207itknt,2804119,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,100,,142,,,,"130,5",,2,,"95,2",,1,,"4,5",,1,
DI02001itkt,2804099,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2005,95,,145,,"12,04",,"95,7",,,,"102,4",,,,,,1,
Apacheitkfi,2804091,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,130,,"11,96",,"91,5",,3,,"65,6",,1,,,,,
EM02207itkfi,2804118,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,105,,141,,"10,75",,"125,3",,3,,"89,8",,1,,,,,
CF03104itkt,2804108,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,treated,2005,"102,5",,140,,"11,84",,"96,2",,,,"102,9",,,,,,1,
DI03015itknt,2804062,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,90,,145,,,,"114,6",,1,,"83,5",,1,,8,,1,
CF03163itkt,2804129,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26796,https://doi.org/10.15454/FR99SD,CF03163,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,145,,"12,18",,"102,9",,,,"110,1",,,,,,1,
Chargeritkt,2804114,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,141,,"11,46",,"96,5",,,,"103,2",,,,,,1,
Chargeritknt,2804113,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,141,,,,"100,4",,4,,"73,2",,1,,8,,1,
Chargeritkfi,2804112,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,139,,"11,74",,"96,1",,"4,5",,"68,9",,1,,,,,
RE03111itkfi,2804136,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,139,,"11,46",,"104,1",,4,,"74,6",,1,,,,,
CF03163itkfi,2804127,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26796,https://doi.org/10.15454/FR99SD,CF03163,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"97,5",,142,,"12,22",,"92,7",,8,,"66,5",,1,,,,,
