observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE14102itkt,2974094,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76136,https://doi.org/10.15454/K21FCC,RE14102,VIRTUAL_TRIAL,,,,,,,,traite,2015,131,,81.5,,101.5,,90.3,
RE14106itkt,2974095,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76137,https://doi.org/10.15454/WGTO7X,RE14106,VIRTUAL_TRIAL,,,,,,,,traite,2015,141,,80.5,,86.7,,77.1,
CF14188itkt,2974096,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76138,https://doi.org/10.15454/KYFEDO,CF14188,VIRTUAL_TRIAL,,,,,,,,traite,2015,142,,75,,92.3,,82,
EM14097itkt,2974097,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76139,https://doi.org/10.15454/OELY3F,EM14097,VIRTUAL_TRIAL,,,,,,,,traite,2015,138,,79.5,,98.7,,87.8,
DI15009itkt,2974102,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76144,https://doi.org/10.15454/F5OZ5D,DI15009,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,81,,97.1,,86.3,
DI15011itkt,2974103,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76145,https://doi.org/10.15454/VFM9BQ,DI15011,VIRTUAL_TRIAL,,,,,,,,traite,2015,135,,81.5,,100.1,,89,
EM14102itkt,2974106,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76147,https://doi.org/10.15454/17R4EG,EM14102,VIRTUAL_TRIAL,,,,,,,,traite,2015,132,,83,,95.6,,85,
RE14115itkt,2974107,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76148,https://doi.org/10.15454/TYWGF0,RE14115,VIRTUAL_TRIAL,,,,,,,,traite,2015,129,,82.5,,97.9,,87,
RE14114itkt,2974108,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76149,https://doi.org/10.15454/19X6JL,RE14114,VIRTUAL_TRIAL,,,,,,,,traite,2015,136,,82,,97.8,,86.9,
RE14111itkt,2974110,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76150,https://doi.org/10.15454/RKUHGF,RE14111,VIRTUAL_TRIAL,,,,,,,,traite,2015,141,,78.5,,90.7,,80.7,
RE14110itkt,2974111,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76151,https://doi.org/10.15454/CLOCOE,RE14110,VIRTUAL_TRIAL,,,,,,,,traite,2015,136,,78.5,,90.5,,80.5,
EM14142itkt,2974112,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76152,https://doi.org/10.15454/5IZLRI,EM14142,VIRTUAL_TRIAL,,,,,,,,traite,2015,124,,82,,102.9,,91.5,
CF14312itkt,2974113,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76153,https://doi.org/10.15454/JHIZDA,CF14312,VIRTUAL_TRIAL,,,,,,,,traite,2015,131,,83,,96,,85.4,
CF14270itkt,2974115,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76154,https://doi.org/10.15454/0TV1JD,CF14270,VIRTUAL_TRIAL,,,,,,,,traite,2015,134,,82,,93.3,,82.9,
RE14090itkt,2974117,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76155,https://doi.org/10.15454/5S69DY,RE14090,VIRTUAL_TRIAL,,,,,,,,traite,2015,129,,78.5,,91.2,,81.1,
DI15007itkt,2974083,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76126,https://doi.org/10.15454/MP2YBX,DI15007,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,77.5,,97.7,,86.9,
DI15010itkt,2974104,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76146,https://doi.org/10.15454/9AZDI3,DI15010,VIRTUAL_TRIAL,,,,,,,,traite,2015,135,,79.5,,100.9,,89.7,
Bermudeitkt,2974093,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,traite,2015,136,,81,,102.5,,91.1,
CF14254itkt,2974118,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76156,https://doi.org/10.15454/IKBWDI,CF14254,VIRTUAL_TRIAL,,,,,,,,traite,2015,129,,82,,100.4,,89.3,
CF14255itkt,2974119,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76157,https://doi.org/10.15454/LD0O5U,CF14255,VIRTUAL_TRIAL,,,,,,,,traite,2015,125,,82.5,,100.2,,89.1,
RE14095itkt,2974120,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76158,https://doi.org/10.15454/GKHYBL,RE14095,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,80,,102.8,,91.4,
CF14300itkt,2974098,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76140,https://doi.org/10.15454/0GLUIJ,CF14300,VIRTUAL_TRIAL,,,,,,,,traite,2015,132,,80,,95,,84.5,
CF14302itkt,2974099,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76141,https://doi.org/10.15454/MD2TW0,CF14302,VIRTUAL_TRIAL,,,,,,,,traite,2015,134,,81.5,,103.7,,92.2,
RE14089itkt,2974100,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76142,https://doi.org/10.15454/H8G0Q7,RE14089,VIRTUAL_TRIAL,,,,,,,,traite,2015,128,,80,,95.1,,84.6,
CF14220itkt,2974101,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,76143,https://doi.org/10.15454/BMXICK,CF14220,VIRTUAL_TRIAL,,,,,,,,traite,2015,139,,80.5,,93,,82.7,
CELLULEitkt,2974105,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,traite,2015,132,,83.5,,100.4,,89.3,
Gotikitkt,2974109,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,traite,2015,135,,84,,98.8,,87.9,
RUBISKOitkt,2974116,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,traite,2015,132,,81,,98,,87.2,
Soissonsitkt,2974114,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,traite,2015,128,,79,,94.2,,83.8,
AREZZOitkt,2974121,BTH_Clermont-Ferrand_2015_SetB2,BTH_Clermont-Ferrand_2015_SetB2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2015,131,,83.5,,99.1,,88.1,
