observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE99004itkt,2768829,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,,,144,,"100,6",,1,,"98,8",,,,,
CF99105itkfi,2768869,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,4,,,,"108,4",,3,,"73,8",,1,,,
EM99001itkt,2768841,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,148,,"92,4",,1,,"90,8",,,,,
EM99001itknt,2768840,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"91,6",,3,,"78,9",,4,,2,
DI9812itknt,2768882,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,2,,,,"94,5",,3,,"81,4",,1,,6,
CF99105itkt,2768871,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,146,,"107,3",,1,,"105,5",,,,,
CF99105itknt,2768870,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,2,,,,"103,6",,3,,"89,2",,1,,3,
Pulsaritkfi,2768884,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,59714,https://doi.org/10.15454/C1H1E0,PULSAR,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"116,8",,6,,"79,5",,3,,,
EM99006itkfi,2768842,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"113,5",,3,,"77,2",,6,,,
CF99031itkfi,2768818,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"101,2",,7,,"68,9",,3,,,
EM99006itkt,2768844,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,145,,"96,1",,1,,"94,5",,,,,
CF99075itkt,2768823,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,141,,"100,3",,1,,"98,6",,,,,
DI9812itkt,2768883,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,,,146,,"97,5",,1,,"95,9",,,,,
CF99031itknt,2768819,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"92,4",,8,,"79,6",,7,,3,
DI9812itkfi,2768881,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,104,,2,,"70,8",,1,,,
RE99017itkt,2768877,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,146,,"109,6",,1,,"107,8",,,,,
RE99017itknt,2768876,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"115,2",,2,,"99,2",,2,,2,
CF99031itkt,2768820,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,148,,"99,7",,2,,98,,,,,
RE99017itkfi,2768875,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"127,1",,1,,"86,5",,2,,,
EM99006itknt,2768843,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"107,5",,3,,"92,6",,4,,4,
Pulsaritknt,2768885,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,59714,https://doi.org/10.15454/C1H1E0,PULSAR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"111,8",,4,,"96,3",,1,,3,
DI9714itkt,2768817,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,147,,"98,4",,1,,"96,7",,,,,
DI9714itknt,2768816,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"99,4",,2,,"85,6",,6,,3,
RE99123itknt,2768858,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,3,,,,"95,2",,6,,82,,6,,3,
DI9714itkfi,2768815,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"110,6",,2,,"75,3",,6,,,
RE99123itkfi,2768857,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"107,7",,4,,"73,3",,3,,,
Pulsaritkt,2768886,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,59714,https://doi.org/10.15454/C1H1E0,PULSAR,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,148,,"102,6",,1,,"100,8",,,,,
AO01001itkt,2768868,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,48414,gnpis_pui:holding-921_taxon-4898_accession-48414,AO01001,VIRTUAL_TRIAL,,,,,,,,treated,2001,120,,,,146,,"98,6",,3,,"96,9",,,,,
RE9819itkt,2768814,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,,,144,,"97,4",,1,,"95,8",,,,,
RE9819itknt,2768813,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"103,1",,4,,"88,8",,1,,5,
AO01001itknt,2768867,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,48414,gnpis_pui:holding-921_taxon-4898_accession-48414,AO01001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"97,9",,6,,"84,3",,1,,4,
AO01001itkfi,2768866,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,48414,gnpis_pui:holding-921_taxon-4898_accession-48414,AO01001,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"103,2",,7,,"70,2",,3,,,
RE9819itkfi,2768812,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,4,,,,"117,3",,6,,"79,8",,1,,,
RE99123itkt,2768859,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,,,148,,"96,1",,1,,"94,5",,,,,
Soissonsitknt,2768879,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"90,8",,9,,"78,2",,3,,6,
Soissonsitkt,2768880,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,,,136,,"94,3",,4,,"92,7",,,,,
EM99002itknt,2768837,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,3,,,,"92,1",,2,,"79,4",,3,,3,
EM99003itkfi,2768833,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"104,4",,3,,71,,3,,,
Soissonsitkfi,2768878,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"89,8",,9,,"61,1",,1,,,
Chargeritkt,2768847,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2001,77,,,,148,,"96,6",,1,,95,,,,,
Chargeritkfi,2768845,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"109,8",,7,,"74,7",,1,,,
EM99002itkt,2768838,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,,,147,,"93,7",,1,,"92,1",,,,,
Chargeritknt,2768846,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"103,5",,7,,"89,1",,1,,6,
EM99002itkfi,2768836,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,2,,,,"96,9",,4,,"65,9",,6,,,
EM99003itkt,2768835,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,145,,"96,1",,1,,"94,5",,,,,
RE99003itknt,2768831,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"108,2",,2,,"93,2",,3,,4,
RE99003itkfi,2768830,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"119,1",,2,,81,,3,,,
Orvantisitknt,2768861,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"107,9",,3,,"92,9",,6,,6,
Tremieitkfi,2768854,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,2,,,,"95,5",,6,,65,,3,,,
CF9825itkt,2768811,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,,,146,,"104,2",,3,,"102,4",,,,,
Tremieitkt,2768856,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,,,137,,"94,5",,2,,"92,9",,,,,
Tremieitknt,2768855,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,2,,,,"99,7",,6,,"85,9",,3,,6,
CF9825itknt,2768810,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"99,2",,7,,"85,4",,1,,3,
Isengrainitkt,2768865,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,,,136,,"114,6",,4,,"112,6",,,,,
Isengrainitknt,2768864,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"106,1",,8,,"91,4",,4,,3,
RE99003itkt,2768832,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,,,145,,"99,5",,1,,"97,9",,,,,
Voltigeitknt,2768825,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"109,5",,3,,"94,3",,4,,4,
Voltigeitkfi,2768824,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"125,4",,3,,"85,3",,6,,,
CF99075itkfi,2768821,BTH_Rennes_2001_SetA1,BTH_Rennes_2001_SetA1,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"113,5",,3,,"77,2",,1,,,
