observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM99012itknt,2768272,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"111,6",,"113,3",,1,,,
CF99005itkfi,2768235,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"100,9",,"124,6",,,,,
CF99005itknt,2768236,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"101,3",,"102,8",,7,,,
EM99012itkfi,2768271,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"97,5",,"120,5",,,,,
RE99004itkfi,2768211,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"101,9",,"125,8",,,,,
RE99009itknt,2768257,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"108,3",,110,,1,,,
RE99009itkfi,2768256,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"104,8",,"129,5",,,,,
EM99017itkt,2768276,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,145,,"103,7",,"137,2",,,,9,
EM99001itkt,2768225,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"91,4",,"120,9",,,,1,
EM99001itkfi,2768223,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"96,4",,"119,1",,,,,
EM99017itkfi,2768274,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"103,3",,"127,6",,,,,
RE99009itkt,2768258,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2001,148,,"100,5",,"132,9",,,,1,
Isengrainitknt,2768248,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"98,4",,100,,3,,,
CF99105itkt,2768255,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"99,9",,"132,2",,,,4,
CF99105itkfi,2768253,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"103,6",,"127,9",,,,,
RE99004itkt,2768213,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,treated,2001,145,,95,,"125,6",,,,2,
EM99001itknt,2768224,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"108,9",,"110,6",,1,,,
EM99003itknt,2768218,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"104,9",,"106,5",,1,,,
CF99105itknt,2768254,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"119,9",,"121,8",,1,,,
Pulsaritkfi,2768268,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,59714,https://doi.org/10.15454/C1H1E0,PULSAR,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"105,6",,"130,4",,,,,
DI9812itkfi,2768265,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"99,1",,"122,4",,,,,
RE99017itkfi,2768259,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,99,,"122,3",,,,,
CF99075itkfi,2768205,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"99,3",,"122,6",,,,,
RE99017itknt,2768260,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"101,5",,"103,1",,1,,,
Soissonsitknt,2768263,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"81,9",,"83,2",,2,,,
CF99031itkfi,2768202,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"100,4",,124,,,,,
DI9812itkt,2768267,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"101,3",,134,,,,1,
CF99031itkt,2768204,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"96,3",,"127,3",,,,9,
CF99031itknt,2768203,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"91,3",,"92,7",,4,,,
RE99017itkt,2768261,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"95,2",,"125,9",,,,9,
DI9812itknt,2768266,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"105,8",,"107,5",,1,,,
DI9714itknt,2768200,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"109,2",,"110,9",,1,,,
Soissonsitkt,2768264,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,140,,"91,1",,"120,5",,,,1,
CF99075itkt,2768207,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,treated,2001,143,,"98,8",,"130,7",,,,9,
DI9714itkt,2768201,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2001,148,,"86,1",,"113,8",,,,9,
DI9714itkfi,2768199,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"99,3",,"122,6",,,,,
RE99123itkt,2768243,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,treated,2001,148,,"100,2",,"132,5",,,,7,
RE99123itknt,2768242,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"111,2",,113,,1,,,
RE9819itknt,2768197,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"113,4",,"115,1",,1,,,
RE99123itkfi,2768241,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"98,5",,"121,7",,,,,
RE9819itkfi,2768196,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"98,4",,"121,5",,,,,
AO01001itknt,2768251,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,48414,gnpis_pui:holding-921_taxon-4898_accession-48414,AO01001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"99,7",,"101,3",,1,,,
EM99006itkt,2768228,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2001,145,,"99,9",,"132,2",,,,2,
AO01001itkfi,2768250,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,48414,gnpis_pui:holding-921_taxon-4898_accession-48414,AO01001,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"93,8",,"115,8",,,,,
EM99006itknt,2768227,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"104,8",,"106,5",,1,,,
AO01001itkt,2768252,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,48414,gnpis_pui:holding-921_taxon-4898_accession-48414,AO01001,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"94,2",,"124,6",,,,8,
RE9819itkt,2768198,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,treated,2001,143,,"98,6",,"130,3",,,,1,
Pulsaritknt,2768269,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,59714,https://doi.org/10.15454/C1H1E0,PULSAR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"118,9",,"120,7",,1,,,
Ressoritkt,2768234,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2001,144,,89,,"117,7",,,,9,
Chargeritkfi,2768229,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"95,9",,"118,5",,,,,
Pulsaritkt,2768270,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,59714,https://doi.org/10.15454/C1H1E0,PULSAR,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"102,1",,135,,,,1,
Soissonsitkfi,2768262,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"93,3",,"115,3",,,,,
EM99002itkfi,2768220,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"99,6",,123,,,,,
EM99003itkt,2768219,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"91,7",,"121,3",,,,9,
Chargeritkt,2768231,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2001,148,,"99,3",,"131,4",,,,3,
EM99002itkt,2768222,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"98,8",,"130,7",,,,1,
Chargeritknt,2768230,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"110,9",,"112,7",,1,,,
RE99003itkt,2768216,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,treated,2001,143,,"92,6",,"122,4",,,,9,
Tremieitknt,2768239,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"108,7",,"110,4",,1,,,
RE99003itknt,2768215,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"120,3",,"122,1",,1,,,
EM99002itknt,2768221,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"100,2",,"101,8",,1,,,
Tremieitkfi,2768238,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"103,4",,"127,7",,,,,
RE99003itkfi,2768214,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"98,1",,"121,1",,,,,
Orvantisitknt,2768245,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"106,7",,"108,4",,1,,,
Isengrainitkt,2768249,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2001,140,,"105,3",,"139,3",,,,1,
Isengrainitkfi,2768247,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"107,3",,"132,6",,,,,
Tremieitkt,2768240,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2001,139,,"104,3",,"137,9",,,,7,
Voltigeitkt,2768210,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2001,148,,"98,6",,"130,4",,,,6,
EM99003itkfi,2768217,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"96,5",,"119,2",,,,,
CF9825itknt,2768194,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"99,6",,"101,2",,7,,,
Voltigeitknt,2768209,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"109,7",,"111,4",,1,,,
Voltigeitkfi,2768208,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"100,8",,"124,5",,,,,
EM99006itkfi,2768226,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"97,2",,"120,1",,,,,
CF9825itkt,2768195,BTH_Le_Moulon_2001_SetA1,BTH_Le_Moulon_2001_SetA1,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,treated,2001,146,,"95,6",,"126,5",,,,9,
