observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM03332itkt,2812548,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2006,144,,"11,4",,103,,,,"104,7",,1,
EM03332itkfi,2812547,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,146,,"10,84",,"97,4",,1,,"95,8",,1,
DI05014itkt,2812534,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2006,144,,"11,66",,"93,8",,,,"95,4",,1,
DI05014itkfi,2812533,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,148,,"10,43",,"93,3",,2,,"91,8",,1,
CF04043itkt,2812538,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2006,140,,"11,51",,"107,2",,,,109,,1,
CF04043itkfi,2812537,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,141,,"10,92",,"107,6",,1,,"105,9",,1,
Hendrixitkt,2812528,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2006,142,,"12,2",,"97,2",,,,"98,9",,2,
Hendrixitkfi,2812527,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,143,,"11,95",,"98,5",,1,,"96,9",,4,
RE04022itkt,2812530,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,treated,2006,143,,"10,65",,"102,4",,,,"104,1",,1,
RE04022itkfi,2812529,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,144,,"10,01",,"100,3",,1,,"98,7",,1,
CF04022itkt,2812566,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,treated,2006,144,,"11,22",,"99,2",,,,"100,8",,1,
CF04022itkfi,2812565,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,143,,"11,06",,"98,4",,1,,"96,8",,1,
CF04184itkt,2812570,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,treated,2006,142,,"12,78",,"93,1",,,,"94,6",,1,
CF04184itkfi,2812569,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,142,,"11,46",,"88,1",,2,,"86,6",,1,
Apacheitkfi,2812539,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,141,,"11,42",,"99,3",,1,,"97,7",,1,
Apacheitkt,2812540,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2006,140,,11,,"100,8",,,,"102,5",,1,
Chargeritkfi,2812555,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,144,,"10,72",,"92,1",,1,,"90,6",,1,
Chargeritkt,2812556,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2006,144,,"11,58",,"93,4",,,,"94,9",,1,
Caphornitkt,2812552,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2006,141,,"11,88",,"99,8",,,,"101,5",,1,
Caphornitkfi,2812551,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,142,,"11,75",,"100,4",,1,,"98,7",,1,
EM04181itkt,2812562,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,treated,2006,144,,"11,3",,"95,1",,,,"96,7",,1,
EM04181itkfi,2812561,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,149,,"10,24",,"90,5",,1,,89,,1,
DI05001itkt,2812582,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,treated,2006,146,,"11,78",,"88,7",,,,"90,2",,1,
DI05001itkfi,2812581,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,149,,"11,34",,"88,7",,1,,"87,3",,1,
RE03019itkt,2812572,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,treated,2006,144,,"12,97",,"95,1",,,,"96,7",,2,
RE03019itkfi,2812571,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,143,,"12,08",,"95,3",,3,,"93,8",,1,
DI05020-2itkfi,2812557,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,142,,"10,75",,"110,7",,3,,"108,9",,1,
RE04009itkfi,2812525,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,144,,"10,89",,"92,9",,3,,"91,4",,1,
RE04043itkfi,2812531,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,144,,"12,2",,"96,7",,2,,"95,2",,1,
RE04043itkt,2812532,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,treated,2006,144,,"12,19",,"96,6",,,,"98,2",,1,
Orvantisitkt,2812568,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2006,142,,"11,1",,106,,,,"107,8",,1,
Orvantisitkfi,2812567,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,142,,"10,93",,"108,2",,1,,"106,4",,1,
DI05025itkt,2812524,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,treated,2006,143,,"12,54",,"105,5",,,,"107,2",,1,
DI05025itkfi,2812523,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,145,,"10,8",,"101,7",,2,,"100,1",,1,
CF04048itkfi,2812549,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,143,,"10,82",,"98,2",,1,,"96,6",,1,
CF04048itkt,2812550,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,treated,2006,143,,"11,25",,"102,3",,,,104,,1,
EM03234itkfi,2812559,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,147,,"11,9",,81,,1,,"79,6",,1,
EM03234itkt,2812560,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,treated,2006,149,,"11,78",,"84,1",,,,"85,5",,1,
EM04081itkt,2812544,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,treated,2006,149,,"12,28",,"98,1",,,,"99,8",,1,
EM04081itkfi,2812543,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,148,,"10,92",,92,,1,,"90,5",,1,
CF04076itkt,2812522,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,treated,2006,144,,"11,16",,"94,9",,,,"96,5",,1,
CF04076itkfi,2812521,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,144,,"10,6",,"96,8",,1,,"95,2",,1,
EM04241itkfi,2812563,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,145,,"11,63",,"95,9",,1,,"94,4",,1,
EM04241itkt,2812564,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,treated,2006,148,,"12,04",,"93,4",,,,"94,9",,1,
DI05003itkfi,2812579,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,147,,"11,42",,"105,6",,1,,"103,9",,1,
DI05003itkt,2812580,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,treated,2006,144,,"11,84",,"108,6",,,,"110,4",,1,
Farandoleitkfi,2812553,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,142,,"10,68",,"103,2",,1,,"101,6",,1,
Farandoleitkt,2812554,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2006,141,,"12,12",,"104,8",,,,"106,6",,1,
EM04145itkt,2812536,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,treated,2006,143,,"11,35",,"93,4",,,,"94,9",,1,
EM04145itkfi,2812535,BTH_Clermont-Ferrand_2006_SetA2,BTH_Clermont-Ferrand_2006_SetA2,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,144,,"11,01",,"98,9",,1,,"97,3",,1,
