observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO07302itkt,2835536,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO08107itkt,2835534,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07018itkt,2835520,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07114itkt,2835503,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06134itkt,2835508,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07019itkt,2835505,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07093itkt,2835519,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Hendrixitkt,2835497,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Folkloritkt,2835500,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2008,"24,4",,121,,100,,82,,90,,272,,58,,"0,48",,190,,60,,386,,"12,2",,"76,1",,1623,,38,
RE07012itkt,2835502,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06060itkt,2835539,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07040itkt,2835540,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06127itkt,2835529,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Apacheitkt,2835518,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2008,"26,5",,142,,94,,70,,71,,235,,53,,"0,37",,186,,52,,330,,"12,4",,"79,1",,1673,,38,
CF07022itkt,2835544,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Toisondoritkt,2835499,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Flamenkoitkt,2835525,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2008,"21,9",,97,,100,,79,,95,,274,,82,,"0,85",,263,,54,,342,,"12,1",,"74,4",,1660,,46,
Lyrikitkt,2835548,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Musikitkt,2835507,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,2008,"21,7",,96,,100,,75,,97,,272,,73,,"0,77",,225,,50,,365,,"11,9",,"77,9",,1653,,43,
Karillonitkt,2835528,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2008,"19,1",,74,,97,,52,,88,,237,,76,,"1,03",,186,,64,,320,,"11,1",,79,,1483,,32,
Ghaytaitkt,2835535,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Grapeliitkt,2835510,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM06307itkt,2835515,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07311itkt,2835516,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06048itkt,2835537,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07095itkt,2835521,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07143itkt,2835530,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07089itkt,2835543,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,48646,https://doi.org/10.15454/TXCHAY,RE07089,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Soissonsitkt,2835542,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO07127itkt,2835517,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07193itkt,2835512,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07267itkt,2835509,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI07001itkt,2835504,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM06017itkt,2835501,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM06233itkt,2835547,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM06229itkt,2835523,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM06110itkt,2835522,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM06094itkt,2835533,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07141itkt,2835532,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27903,https://doi.org/10.15454/EWNN9Q,CF07141,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
