observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2823537,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"51,15",,5,
1,2823472,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"54,36",,1,
2,2823539,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"71,8",,"90,49",,,
1,2823538,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"71,2",,"86,65",,,
2,2823415,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,74,,"82,82",,,
1,2823490,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"73,2",,"92,74",,,
1,2823488,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"72,61",,1,
2,2823413,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"46,31",,1,
2,2823489,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"63,86",,1,
2,2823491,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"75,9",,"95,27",,,
2,2823535,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"68,6",,"83,93",,,
2,2823533,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"46,44",,1,
1,2823466,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"68,7",,"96,49",,,
1,2823426,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"65,8",,"63,37",,,
1,2823534,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"66,3",,"78,73",,,
1,2823532,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"52,58",,1,
2,2823429,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"43,55",,"2,5",
2,2823425,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"47,42",,5,
1,2823424,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"51,75",,"7,5",
1,2823430,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"69,1",,"91,04",,,
2,2823431,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"69,8",,"98,09",,,
1,2823428,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"44,33",,1,
1,2823422,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"75,7",,"110,94",,,
2,2823465,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"52,2",,1,
2,2823423,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"75,8",,"109,61",,,
2,2823421,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"45,36",,1,
1,2823420,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"56,96",,1,
2,2823427,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"70,9",,"74,74",,,
2,2823527,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"72,5",,"83,09",,,
1,2823574,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"75,8",,"94,76",,,
2,2823469,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"42,74",,3,
2,2823573,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"33,32",,1,
1,2823572,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"34,48",,1,
2,2823575,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"75,2",,"96,83",,,
1,2823506,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"72,7",,"84,8",,,
1,2823468,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"42,46",,1,
2,2823505,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"61,64",,1,
1,2823504,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"66,19",,1,
2,2823583,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"74,8",,"93,18",,,
2,2823507,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"72,3",,"88,37",,,
2,2823471,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"70,9",,"97,54",,,
1,2823500,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"50,48",,1,
1,2823470,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"69,5",,"86,43",,,
2,2823503,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,74,,"92,73",,,
1,2823502,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"71,6",,"87,89",,,
2,2823501,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"51,62",,"1,5",
2,2823581,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"49,52",,2,
2,2823435,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"70,5",,"80,77",,,
2,2823433,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"37,62",,"3,5",
1,2823432,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"42,55",,2,
1,2823438,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,73,,"81,58",,,
1,2823434,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"68,4",,"73,02",,,
2,2823555,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"74,9",,"99,42",,,
1,2823554,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"74,8",,"96,92",,,
1,2823552,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"57,16",,1,
2,2823437,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"48,14",,"3,5",
2,2823553,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"49,7",,2,
1,2823436,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"50,44",,"3,5",
1,2823494,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"70,3",,"91,47",,,
2,2823439,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"73,4",,"76,5",,,
2,2823495,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"70,5",,"91,89",,,
2,2823525,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"63,82",,1,
2,2823493,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"30,21",,"3,5",
1,2823492,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"32,13",,1,
1,2823454,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"68,9",,"85,05",,,
2,2823453,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"37,05",,1,
1,2823452,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"42,14",,1,
2,2823531,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"74,8",,"86,83",,,
1,2823530,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"72,5",,"85,28",,,
2,2823455,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"69,5",,"85,05",,,
1,2823528,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"43,38",,1,
1,2823514,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"74,9",,"85,55",,,
1,2823512,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"40,01",,1,
1,2823582,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"72,9",,"95,87",,,
2,2823515,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"75,1",,"84,57",,,
2,2823513,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"34,15",,2,
1,2823580,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"58,42",,2,
2,2823529,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"37,13",,1,
1,2823542,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"70,6",,"83,73",,,
1,2823550,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,71,,"95,92",,,
1,2823540,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"36,68",,1,
2,2823541,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"26,86",,1,
1,2823548,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"51,32",,1,
2,2823543,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"68,1",,"78,65",,,
1,2823524,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"67,11",,1,
2,2823447,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"69,6",,"81,77",,,
1,2823526,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"72,1",,"85,68",,,
1,2823446,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,70,,"79,32",,,
2,2823445,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"32,11",,"1,5",
1,2823444,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"34,35",,1,
1,2823482,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"76,1",,"98,68",,,
1,2823480,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"40,87",,1,
2,2823551,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"70,6",,"84,97",,,
2,2823483,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"75,5",,96,,,
2,2823549,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"46,18",,2,
2,2823481,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"31,68",,"1,5",
1,2823450,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"69,5",,"68,65",,,
1,2823448,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"24,4",,1,
2,2823563,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27757,https://doi.org/10.15454/YPTSA5,AO07210,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"70,1",,"98,96",,,
2,2823451,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"67,4",,"75,95",,,
2,2823449,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"36,03",,9,
2,2823561,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27757,https://doi.org/10.15454/YPTSA5,AO07210,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"41,63",,"6,5",
