observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI08011itknt,2845197,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,86,,,,"71,8",,99,,2,,"79,59",,7,
Musikitknt,2845205,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,86,,,,"73,6",,"102,2",,2,,"82,19",,6,
Musikitkt,2845206,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,139,,"74,2",,"110,9",,,,"102,1",,,
RE07040itkt,2845252,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,141,,"77,6",,"99,6",,,,"91,7",,,
AO10004itkt,2845236,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,146,,"77,7",,107,,,,"98,5",,,
Bermudeitkt,2845202,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,143,,"76,7",,"96,9",,,,"89,2",,,
RE07040itknt,2845251,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,98,,,,"76,3",,"104,1",,NA,,"83,65",,4,
AO10003itknt,2845229,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,94,,,,"73,4",,"94,7",,3,,"76,16",,5,
Soissonsitknt,2845255,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,89,,,,"77,8",,"98,4",,5,,"79,1",,6,
Hadm01221-04itknt,2845187,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"69,1",,"78,2",,NA,,"62,87",,9,
Hadm01221-04itkt,2845188,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,144,,"73,2",,"101,2",,,,"93,2",,,
Premioitkt,2845192,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,140,,"75,1",,103,,,,"94,9",,,
Karillonitkt,2845242,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,141,,"78,1",,"102,8",,,,"94,7",,,
Premioitknt,2845191,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"73,8",,"124,5",,NA,,"100,07",,7,
CF07143itkt,2845244,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,142,,"77,1",,"106,2",,,,"97,7",,,
HadmF276itknt,2845245,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,75,,"107,6",,4,,"86,46",,6,
HadmF276itkt,2845246,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,139,,"76,2",,"104,9",,,,"96,6",,,
Koreliitknt,2845219,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,104,,,,"78,9",,"106,2",,1,,"85,39",,2,
AO10005itkt,2845238,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,138,,"77,9",,"95,2",,,,"87,7",,,
Karillonitknt,2845241,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,101,,,,"78,1",,"101,3",,NA,,"81,43",,6,
Apacheitknt,2845221,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,95,,,,"76,8",,"102,6",,1,,"82,47",,6,
Koreliitkt,2845220,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,144,,"78,6",,"104,1",,,,"95,9",,,
AO10005itknt,2845237,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,96,,,,74,,"97,6",,NA,,"78,44",,4,
Apacheitkt,2845222,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,138,,"78,3",,"102,9",,,,"94,8",,,
CF07143itknt,2845243,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,114,,,,"76,7",,"116,9",,NA,,"93,97",,1,
CF07022itkt,2845258,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,142,,"76,1",,"101,3",,,,"93,3",,,
CF07097itkt,2845216,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,143,,75,,"99,2",,,,"91,4",,,
Ghaytaitknt,2845247,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,100,,,,"72,7",,"92,6",,NA,,"74,44",,7,
CF07097itknt,2845215,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,101,,,,"73,2",,95,,3,,"76,37",,5,
CF07002itknt,2845259,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,98,,,,"76,4",,NA,,NA,,NA,,4,
Ghaytaitkt,2845248,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,143,,"76,4",,"101,7",,,,"93,6",,,
CF07002itkt,2845260,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,142,,"77,3",,"97,7",,,,"89,9",,,
CF07022itknt,2845257,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,104,,,,"74,9",,"102,2",,3,,"82,19",,4,
EM06017itkt,2845196,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,139,,"79,5",,"108,9",,,,"100,3",,,
Soissonsitkt,2845256,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,138,,"78,5",,"101,9",,,,"93,8",,,
CF05162itknt,2845217,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,87,,,,"73,1",,"94,7",,3,,"76,14",,6,
CF07267itkt,2845254,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,139,,"75,8",,"101,7",,,,"93,7",,,
CF05162itkt,2845218,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,140,,"75,2",,"103,2",,,,95,,,
EM06017itknt,2845195,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,112,,,,79,,114,,5,,"91,6",,2,
Toisondoritknt,2845213,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,81,,,,"73,1",,"97,9",,6,,"78,69",,3,
EM07117itkt,2845208,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,143,,"76,6",,107,,,,"98,5",,,
CF07018itknt,2845225,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,97,,,,"74,2",,"92,6",,1,,"74,44",,6,
Toisondoritkt,2845214,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,142,,"77,1",,"104,6",,,,"96,3",,,
Strub061859-1itknt,2845211,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,117,,,,"77,2",,"105,6",,NA,,"84,89",,3,
Flamenkoitkt,2845240,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,139,,"72,3",,107,,,,"98,5",,,
EM07117itknt,2845207,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,107,,,,75,,"103,5",,4,,"83,23",,5,
CF07018itkt,2845226,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,144,,"75,9",,"101,5",,,,"93,4",,,
RE07019itknt,2845203,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,94,,,,"75,5",,"105,8",,NA,,"85,06",,3,
RE07019itkt,2845204,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,141,,"76,4",,"108,8",,,,"100,2",,,
Granamaxitkt,2845250,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,140,,"75,8",,"109,4",,,,"100,7",,,
Flamenkoitknt,2845239,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,100,,,,"70,6",,"104,7",,NA,,"84,16",,5,
Strub061859-1itkt,2845212,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,145,,76,,"99,4",,,,"91,5",,,
Granamaxitknt,2845249,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,101,,,,"73,6",,"112,7",,1,,"90,62",,4,
RE07093itkt,2845224,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,139,,"76,8",,"105,9",,,,"97,5",,,
CF07267itknt,2845253,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,100,,,,75,,"103,6",,2,,"83,3",,4,
RE07093itknt,2845223,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,99,,,,"76,3",,"106,9",,2,,"85,91",,4,
Caphornitknt,2845233,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"72,2",,"94,2",,NA,,"75,69",,8,
AO10001itkt,2845232,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,49021,https://doi.org/10.15454/JP7IQ2,AO10001,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,143,,"78,2",,"97,5",,,,"89,8",,,
RE07095itkt,2845228,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,141,,"76,5",,"101,3",,,,"93,2",,,
Bermudeitknt,2845201,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,93,,,,"73,1",,"78,8",,NA,,"63,31",,9,
AO10001itknt,2845231,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,49021,https://doi.org/10.15454/JP7IQ2,AO10001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,100,,,,"76,9",,"93,8",,NA,,"75,43",,6,
Hendrixitkt,2845190,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,142,,"79,9",,"90,4",,,,"83,2",,,
Caphornitkt,2845234,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,140,,"75,1",,"97,1",,,,"89,4",,,
Hendrixitknt,2845189,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,102,,,,80,,"95,7",,NA,,"76,92",,3,
AO10003itkt,2845230,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,144,,"76,1",,"105,3",,,,"96,9",,,
