observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM99017itkt,2762270,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,,,136,,13,,"110,9",,,,"102,5",,8,
RE99009itkfi,2762257,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,80,,4,,145,,"11,9",,"94,4",,1,,86,,,
EM99017itkfi,2762269,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,110,,7,,136,,13,,"106,3",,5,,"96,8",,,
RE99009itkt,2762258,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2000,80,,,,145,,"12,3",,"96,4",,,,89,,1,
CF99002itkt,2762240,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26853,https://doi.org/10.15454/XX9UWD,CF99002,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,,,134,,"12,2",,"93,8",,,,"86,7",,6,
EM99001itkfi,2762227,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,1,,140,,13,,"108,8",,1,,"99,1",,,
RE99018itkfi,2762267,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28769,https://doi.org/10.15454/4XEWEU,RE99018,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,95,,2,,134,,"13,5",,"98,6",,1,,"89,9",,,
RE99006itkt,2762216,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26013,https://doi.org/10.15454/U6CDMK,RE99006,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,,,139,,"12,3",,"103,5",,,,"95,6",,1,
RE99006itkfi,2762215,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26013,https://doi.org/10.15454/U6CDMK,RE99006,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,1,,138,,"12,1",,"102,3",,6,,"93,2",,,
RE99018itkt,2762268,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28769,https://doi.org/10.15454/4XEWEU,RE99018,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,,,134,,"13,2",,"99,9",,,,"92,3",,2,
CF99002itkfi,2762239,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26853,https://doi.org/10.15454/XX9UWD,CF99002,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,1,,134,,"12,1",,"95,7",,1,,"87,2",,,
CF99003itkt,2762242,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26854,https://doi.org/10.15454/PMWJQG,CF99003,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,,,134,,"12,2",,"100,6",,,,"92,9",,"2,5",
CF99003itkfi,2762241,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26854,https://doi.org/10.15454/PMWJQG,CF99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,7,,134,,"11,1",,"104,8",,7,,"95,5",,,
CF99009itkt,2762250,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25944,https://doi.org/10.15454/ADC7UQ,CF99009,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,,,139,,"12,5",,"103,4",,,,"95,5",,1,
CF99009itkfi,2762249,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25944,https://doi.org/10.15454/ADC7UQ,CF99009,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,100,,6,,138,,"12,5",,"102,6",,9,,"93,5",,,
EM99021itkfi,2762205,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28765,https://doi.org/10.15454/KZAYH5,EM99021,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,95,,3,,137,,"11,9",,106,,3,,"96,6",,,
HA1070.50itkt,2762190,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,48987,gnpis_pui:holding-921_taxon-4898_accession-48987,HA1070.50,VIRTUAL_TRIAL,,,,,,,,treated,2000,115,,,,143,,"12,2",,"109,2",,,,"100,9",,6,
HA1066.146itkt,2762188,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,48543,gnpis_pui:holding-921_taxon-4898_accession-48543,HA1066.146,VIRTUAL_TRIAL,,,,,,,,treated,2000,105,,,,140,,12,,"103,8",,,,"95,9",,3,
CF99016itkt,2762198,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26855,https://doi.org/10.15454/ZNHLL2,CF99016,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,,,138,,"12,6",,"107,3",,,,"99,1",,1,
CF99027itkfi,2762251,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25943,https://doi.org/10.15454/B8ORWB,CF99027,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,95,,5,,136,,12,,"105,9",,3,,"96,5",,,
EM99021itkt,2762206,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28765,https://doi.org/10.15454/KZAYH5,EM99021,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,,,137,,"12,8",,"105,1",,,,97,,1,
CF99031itkt,2762202,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,treated,2000,105,,,,145,,12,,"105,4",,,,"97,3",,1,
CF99031itkfi,2762201,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,105,,5,,144,,"12,4",,"108,7",,5,,"99,1",,,
CF99016itkfi,2762197,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26855,https://doi.org/10.15454/ZNHLL2,CF99016,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,7,,138,,"11,7",,"110,6",,1,,"100,8",,,
HA1070.50itkfi,2762189,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,48987,gnpis_pui:holding-921_taxon-4898_accession-48987,HA1070.50,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,110,,5,,142,,"12,2",,"109,4",,2,,"99,7",,,
CF9804itkt,2762192,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25942,https://doi.org/10.15454/J28WOV,CF9804,VIRTUAL_TRIAL,,,,,,,,treated,2000,80,,,,136,,"11,2",,"108,8",,,,"100,6",,1,
HA1066.146itkfi,2762187,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,48543,gnpis_pui:holding-921_taxon-4898_accession-48543,HA1066.146,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,105,,4,,140,,"11,8",,"112,2",,7,,"102,2",,,
DI9714itkfi,2762199,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,100,,3,,144,,"13,6",,"105,2",,2,,"95,8",,,
CF99027itkt,2762252,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25943,https://doi.org/10.15454/B8ORWB,CF99027,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,,,136,,12,,"112,6",,,,"104,1",,1,
DI9812itkt,2762232,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,,,139,,"12,5",,"108,7",,,,"100,4",,1,
DI9714itkt,2762200,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2000,110,,,,144,,"14,1",,"107,2",,,,99,,1,
CF9804itkfi,2762191,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25942,https://doi.org/10.15454/J28WOV,CF9804,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,80,,4,,136,,11,,"105,2",,1,,"95,8",,,
RE99002itkfi,2762219,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26872,https://doi.org/10.15454/WHVEKL,RE99002,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,1,,139,,"11,5",,"97,8",,1,,"89,1",,,
RE99002itkt,2762220,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26872,https://doi.org/10.15454/WHVEKL,RE99002,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,,,138,,"11,5",,"94,4",,,,"87,2",,1,
EM99003itkfi,2762223,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,2,,138,,13,,"112,7",,1,,"102,7",,,
RE99017itkt,2762260,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,,,139,,"11,4",,"98,8",,,,"91,3",,"5,5",
EM99003itkt,2762224,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,,,138,,"13,2",,"105,5",,,,"97,5",,1,
RE99017itkfi,2762259,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,95,,1,,139,,"11,7",,95,,1,,"86,5",,,
DI9812itkfi,2762231,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,2,,139,,13,,"106,6",,1,,"97,2",,,
RE99007itkt,2762218,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26014,https://doi.org/10.15454/B7I9IU,RE99007,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,,,140,,"12,6",,"97,7",,,,"90,3",,1,
RE99007itkfi,2762217,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26014,https://doi.org/10.15454/B7I9IU,RE99007,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,3,,139,,"12,3",,"99,8",,1,,91,,,
EM99006itkt,2762230,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2000,80,,,,139,,"12,6",,"107,8",,,,"99,6",,1,
RE9819itkfi,2762195,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,1,,136,,"12,3",,"100,2",,2,,"91,3",,,
HA1541.134itkfi,2762237,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,48807,gnpis_pui:holding-921_taxon-4898_accession-48807,HA1541.134,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,100,,7,,139,,"11,6",,"106,1",,8,,"96,7",,,
Soissonsitkt,2762262,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,,,135,,"12,3",,"99,6",,,,92,,1,
HA1541.134itkt,2762238,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,48807,gnpis_pui:holding-921_taxon-4898_accession-48807,HA1541.134,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,,,141,,"11,1",,"112,1",,,,"103,6",,1,
RE99014itkt,2762264,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26873,https://doi.org/10.15454/NVM4UC,RE99014,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,,,140,,"12,7",,"93,7",,,,"86,5",,5,
RE99014itkfi,2762263,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26873,https://doi.org/10.15454/NVM4UC,RE99014,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,4,,140,,"11,9",,"107,5",,3,,98,,,
RE9819itkt,2762196,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,,,138,,"11,8",,"94,7",,,,"87,5",,1,
AO99001itkfi,2762209,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,48603,gnpis_pui:holding-921_taxon-4898_accession-48603,AO99001,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,95,,5,,143,,"11,3",,"99,7",,6,,"90,8",,,
EM99006itkfi,2762229,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,80,,4,,139,,"13,5",,"115,9",,1,,"105,6",,,
AO00001itkt,2762256,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28760,https://doi.org/10.15454/8LYCUU,AO00001,VIRTUAL_TRIAL,,,,,,,,treated,2000,110,,,,144,,"13,7",,"95,9",,,,"88,6",,1,
AO00001itkfi,2762255,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28760,https://doi.org/10.15454/8LYCUU,AO00001,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,110,,2,,142,,"12,8",,111,,2,,"101,1",,,
RE99016itkt,2762208,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26874,https://doi.org/10.15454/M7F6IJ,RE99016,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,,,140,,"12,1",,"96,3",,,,89,,1,
RE99016itkfi,2762207,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26874,https://doi.org/10.15454/M7F6IJ,RE99016,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,1,,140,,"12,1",,"100,8",,1,,"91,9",,,
Chargeritkfi,2762221,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,80,,1,,140,,"12,8",,"97,9",,2,,"89,2",,,
Chargeritkt,2762222,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,,,140,,"12,6",,"94,1",,,,"86,9",,1,
RE99003itkt,2762234,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,,,136,,NA,,"95,2",,,,88,,1,
AO99001itkt,2762210,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,48603,gnpis_pui:holding-921_taxon-4898_accession-48603,AO99001,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,,,144,,"11,9",,"106,6",,,,"98,5",,1,
Soissonsitkfi,2762261,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,3,,135,,"11,6",,"92,9",,8,,"84,6",,,
EM99027itkfi,2762203,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26866,https://doi.org/10.15454/OANUO1,EM99027,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,NA,,6,,134,,"11,6",,"94,1",,6,,"85,7",,,
RE99003itkfi,2762233,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,1,,136,,"11,1",,97,,1,,"88,4",,,
Tremieitkfi,2762247,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,7,,135,,11,,"104,2",,4,,95,,,
Isengrainitkfi,2762253,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,4,,135,,"10,9",,105,,6,,"95,7",,,
RE99004itkfi,2762213,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,3,,138,,"11,3",,"99,5",,1,,"90,7",,,
Tremieitkt,2762248,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,,,135,,"12,2",,96,,,,"88,7",,4,
EM99002itkfi,2762225,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,2,,142,,"11,9",,"108,6",,1,,"98,9",,,
EM99002itkt,2762226,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,,,142,,"12,4",,"100,9",,,,"93,2",,1,
CF99007itkt,2762246,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28758,https://doi.org/10.15454/XSWWAH,CF99007,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,,,136,,"11,8",,"103,7",,,,"95,8",,2,
Voltigeitkt,2762212,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,,,141,,12,,"103,7",,,,"95,8",,1,
Voltigeitkfi,2762211,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,4,,141,,"11,6",,"99,8",,2,,"90,9",,,
CF9825itkt,2762194,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,,,138,,"12,1",,"113,4",,,,"104,7",,1,
RE99004itkt,2762214,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,,,139,,"10,7",,95,,,,"87,8",,1,
CF9825itkfi,2762193,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,5,,136,,"11,2",,"112,2",,7,,"102,2",,,
