observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF06016itkt,2823655,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,,,"132,5",,"70,8",,"103,4",,,,"90,4",,,,1,
CF06016itknt,2823654,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"82,5",,"1,5",,133,,,,"114,2",,5,,"48,8",,"4,5",,2,
AO07210itkt,2823661,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,,,"123,5",,"68,6",,107,,,,"93,6",,,,"5,5",
AO07210itknt,2823660,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"82,5",,1,,121,,,,"107,4",,"4,5",,"45,8",,5,,"6,5",
RE06060itkt,2823659,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,,,124,,"70,8",,102,,,,"89,2",,,,1,
RE06060itknt,2823658,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"82,5",,"1,5",,"123,5",,,,"140,1",,8,,"59,8",,1,,"2,5",
CF06003itkt,2823619,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49241,gnpis_pui:holding-921_taxon-4898_accession-49241,CF06003,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,,,131,,"73,4",,"100,5",,,,"87,9",,,,1,
CF06003itknt,2823618,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49241,gnpis_pui:holding-921_taxon-4898_accession-49241,CF06003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"87,5",,1,,"130,5",,,,"88,7",,"8,5",,"37,9",,3,,"2,5",
DI07005itkt,2823601,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49455,gnpis_pui:holding-921_taxon-4898_accession-49455,DI07005,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,,,130,,68,,"90,5",,,,"79,1",,,,1,
DI07005itknt,2823600,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49455,gnpis_pui:holding-921_taxon-4898_accession-49455,DI07005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,80,,1,,"129,5",,,,"92,5",,"6,5",,"39,5",,3,,2,
EM06010itknt,2823586,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,85,,1,,"131,5",,,,"120,1",,"7,5",,"51,3",,2,,1,
EM06010itkt,2823587,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,,,"131,5",,72,,"96,1",,,,84,,,,1,
RE06007itknt,2823592,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"92,5",,1,,132,,,,"116,1",,3,,"49,6",,2,,"7,5",
RE06007itkt,2823593,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,"132,5",,"68,4",,79,,,,"69,1",,,,"8,5",
CF06001itknt,2823614,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"82,5",,1,,"130,5",,,,"99,8",,"1,5",,"42,6",,"8,5",,3,
CF06001itkt,2823615,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,,,"130,5",,"70,2",,"105,2",,,,92,,,,1,
DI07002itkt,2823599,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,132,,"73,2",,"90,4",,,,79,,,,"1,5",
DI07002itknt,2823598,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"82,5",,"1,5",,130,,,,"115,5",,5,,"49,3",,1,,"3,5",
Apacheitkt,2823645,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,,,124,,"73,6",,"98,4",,,,"86,1",,,,1,
Apacheitknt,2823644,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,75,,"1,5",,"123,5",,,,"94,3",,9,,"40,3",,1,,1,
CF06111itkt,2823651,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,139,,"69,4",,"92,8",,,,"81,2",,,,1,
CF06111itknt,2823650,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,90,,1,,139,,,,"74,4",,"6,5",,"31,8",,"1,5",,1,
DI07004itknt,2823602,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"77,5",,1,,"132,5",,,,"77,8",,7,,"33,2",,1,,"1,5",
DI07004itkt,2823603,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,,,132,,"69,8",,"92,1",,,,"80,5",,,,1,
EM06021itknt,2823620,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"82,5",,1,,"129,5",,,,85,,9,,"36,3",,1,,"1,5",
EM06021itkt,2823621,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,,,"128,5",,"75,8",,"111,3",,,,"97,3",,,,1,
DI07007itknt,2823604,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,80,,1,,131,,,,"70,8",,"4,5",,"30,2",,"4,5",,9,
DI07007itkt,2823605,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,,,131,,"68,4",,"82,7",,,,"72,3",,,,1,
Sankaraitknt,2823634,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,80,,1,,"132,5",,,,71,,"8,5",,"30,3",,"4,5",,4,
Sankaraitkt,2823635,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,133,,"72,4",,"100,2",,,,"87,6",,,,1,
Toisondoritknt,2823584,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,75,,1,,"126,5",,,,"113,1",,1,,"48,3",,"7,5",,1,
Toisondoritkt,2823585,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2007,"72,5",,,,128,,"71,2",,101,,,,"88,4",,,,1,
Karillonitkt,2823663,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,127,,72,,"104,3",,,,"91,2",,,,1,
Karillonitknt,2823662,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,85,,1,,126,,,,"156,4",,"3,5",,"66,8",,1,,1,
Caphornitkt,2823639,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2007,75,,,,"124,5",,"69,9",,"98,4",,,,86,,,,1,
Caphornitknt,2823638,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,75,,1,,124,,,,122,,6,,"52,1",,1,,"3,5",
AO07102itknt,2823622,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"92,5",,2,,129,,,,"128,6",,5,,"54,9",,"1,5",,3,
AO07102itkt,2823623,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,131,,"74,5",,"96,8",,,,"84,6",,,,"2,5",
AO07116itkt,2823665,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,,,128,,73,,"104,2",,,,"91,2",,,,"4,5",
AO07116itknt,2823664,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"92,5",,1,,128,,,,"140,7",,"4,5",,60,,"1,5",,"6,5",
RE06048itkt,2823589,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,,,127,,"73,6",,"99,6",,,,"87,1",,,,2,
RE06048itknt,2823588,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,90,,1,,126,,,,"106,8",,"6,5",,"45,6",,1,,8,
CF06107itknt,2823610,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"87,5",,1,,137,,,,"135,1",,"2,5",,"57,7",,"2,5",,1,
CF06107itkt,2823611,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,,,137,,"74,1",,"111,1",,,,"97,2",,,,1,
Mendelitkt,2823629,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,,,125,,"72,6",,103,,,,"90,1",,,,1,
Koreliitkt,2823617,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,,,"132,5",,"76,1",,"105,6",,,,"92,3",,,,1,
CF06153itkt,2823669,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,139,,"73,4",,"101,1",,,,"88,4",,,,1,
CF06153itknt,2823668,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,85,,1,,"139,5",,,,"86,4",,1,,"36,9",,7,,"1,5",
EM06064itkt,2823641,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,,,135,,"75,9",,"102,4",,,,"89,5",,,,1,
EM06064itknt,2823640,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"92,5",,1,,135,,,,"98,7",,5,,"42,1",,"6,5",,"3,5",
RE06057itkt,2823609,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,122,,"69,2",,"112,3",,,,"98,2",,,,1,
RE06057itknt,2823608,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"82,5",,1,,121,,,,"105,3",,9,,"44,9",,1,,"4,5",
RE06008itkt,2823649,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,,,134,,"71,5",,"101,3",,,,"88,6",,,,1,
RE06008itknt,2823648,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,95,,"1,5",,133,,,,"125,6",,"2,5",,"53,6",,"3,5",,5,
AO07127itknt,2823624,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,80,,1,,122,,,,"159,8",,7,,"68,2",,"1,5",,1,
AO07127itkt,2823625,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,,,"123,5",,"74,6",,"107,5",,,,94,,,,1,
RE06025itkt,2823647,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,,,130,,"67,4",,93,,,,"81,3",,,,"1,5",
RE06025itknt,2823646,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"82,5",,"3,5",,"128,5",,,,116,,6,,"49,5",,"1,5",,1,
DI07001itkt,2823595,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,,,"121,5",,"69,4",,"108,1",,,,"94,6",,,,1,
DI07001itknt,2823594,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"77,5",,1,,"120,5",,,,"102,9",,9,,"43,9",,1,,"2,5",
EM06017itknt,2823590,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,90,,1,,126,,,,"119,8",,8,,"51,2",,1,,1,
EM06017itkt,2823591,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,,,"126,5",,"75,8",,"126,1",,,,"110,3",,,,"3,5",
EM06035itknt,2823666,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"87,5",,"1,5",,131,,,,"79,4",,"8,5",,"33,9",,1,,1,
EM06035itkt,2823667,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,,,132,,"75,5",,"109,5",,,,"95,8",,,,1,
RE06058itkt,2823633,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,,,142,,"72,5",,99,,,,"86,6",,,,1,
RE06058itknt,2823632,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"97,5",,"2,5",,139,,,,"149,7",,1,,"63,9",,2,,1,
EM06029itkt,2823631,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,,,"132,5",,"72,8",,"103,3",,,,"90,3",,,,1,
EM06029itknt,2823630,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"92,5",,"2,5",,132,,,,"119,6",,"6,5",,51,,1,,"1,5",
DI07003itkt,2823597,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,VIRTUAL_TRIAL,,,,,,,,treated,2007,"72,5",,,,131,,"69,4",,"87,9",,,,"76,9",,,,4,
DI07003itknt,2823596,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,80,,"1,5",,"129,5",,,,"93,9",,7,,"40,1",,"1,5",,"3,5",
CF06013itkt,2823657,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,VIRTUAL_TRIAL,,,,,,,,treated,2007,75,,,,"122,5",,"74,8",,"112,2",,,,"98,2",,,,"1,5",
CF06013itknt,2823656,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"87,5",,"3,5",,121,,,,"125,2",,"4,5",,"53,4",,5,,2,
CF06123itknt,2823626,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"82,5",,1,,131,,,,73,,9,,"31,2",,1,,"3,5",
CF06123itkt,2823627,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,"132,5",,"70,4",,"104,8",,,,"91,7",,,,1,
DI07006itkt,2823607,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,,,"129,5",,"69,2",,"97,2",,,,85,,,,1,
DI07006itknt,2823606,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,80,,1,,"129,5",,,,"92,7",,4,,"39,6",,"3,5",,1,
EM06062itkt,2823637,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,,,132,,75,,"97,3",,,,"85,1",,,,1,
EM06062itknt,2823636,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,85,,1,,134,,,,"86,9",,"5,5",,"37,1",,"6,5",,2,
