observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF99126itknt,2770766,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49740,gnpis_pui:holding-921_taxon-4898_accession-49740,CF99126,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,90,,2,,143,,"102,7",,1,,"91,7",
CF00017itknt,2770747,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48962,gnpis_pui:holding-921_taxon-4898_accession-48962,CF00017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,92,,2,,138,,"102,1",,1,,"91,2",
CF00113itknt,2770742,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48890,gnpis_pui:holding-921_taxon-4898_accession-48890,CF00113,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,88,,2,,138,,"97,9",,1,,"87,5",
CF01001itknt,2770752,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48835,gnpis_pui:holding-921_taxon-4898_accession-48835,CF01001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,87,,1,,133,,74,,8,,"66,1",
CF00117itknt,2770745,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,83,,1,,141,,"105,1",,1,,"93,9",
CF00160itknt,2770733,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49150,gnpis_pui:holding-921_taxon-4898_accession-49150,CF00160,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,90,,1,,138,,"79,8",,1,,"71,2",
Skerzzoitknt,2770762,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,97,,1,,141,,"111,3",,1,,"99,4",
CF00020itknt,2770727,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49725,https://doi.org/10.15454/PNW0L6,CF00020,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,92,,3,,136,,"97,5",,1,,"87,1",
CF99077itknt,2770736,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,84,,1,,143,,"108,2",,1,,"96,7",
CF00150itknt,2770759,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49429,gnpis_pui:holding-921_taxon-4898_accession-49429,CF00150,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,92,,1,,136,,"110,1",,1,,"98,4",
Chargeritknt,2770746,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,80,,1,,142,,"101,6",,1,,"90,8",
Rytmicitknt,2770737,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,95,,1,,143,,"95,5",,2,,"85,3",
