observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
RE07114itkfi,2835400,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,"59,4",,,,"98,5",,,,"257,9",,,,,,,,64,,391,,"12,6",,"77,6",,,,1580,,,
RE07114itkt,2835401,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
RE06134itkt,2835411,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
RE06134itkfi,2835410,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
RE07019itkt,2835405,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
RE07019itkfi,2835404,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,94,,,,"50,85",,,,"88,5",,,,"233,35",,,,,,,,65,,348,,13,,"79,6",,,,1520,,,
RE07093itkfi,2835432,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,"48,15",,,,80,,,,"228,15",,,,,,,,22,,330,,"12,4",,78,,,,1580,,,
RE07093itkt,2835433,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
Hendrixitkt,2835389,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
Hendrixitkfi,2835388,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
Folkloritkt,2835395,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,"21,8",,96,,100,,,,75,,,,98,,,,273,,,,89,,"0,93",,270,,70,,373,,"12,8",,"77,6",,1698,,,,46,
Folkloritkfi,2835394,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
RE07012itkt,2835399,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
RE07012itkfi,2835398,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,97,,,,"68,4",,,,"88,5",,,,"253,9",,,,,,,,51,,464,,"13,1",,"76,7",,,,1880,,,
RE06060itkt,2835473,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
RE06060itkfi,2835472,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
RE07040itkt,2835475,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
RE07040itkfi,2835474,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,"26,3",,,,87,,,,"213,3",,,,,,,,23,,365,,12,,"76,9",,,,1310,,,
RE06127itkfi,2835452,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
RE06127itkt,2835453,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
Apacheitkt,2835431,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,"24,4",,121,,94,,,,70,,,,90,,,,254,,,,74,,"0,62",,251,,61,,387,,"13,3",,"76,9",,1738,,,,45,
Apacheitkfi,2835430,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,94,,,,"55,65",,,,"98,5",,,,"248,15",,,,,,,,48,,414,,14,,73,,,,1680,,,
CF07022itkt,2835483,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
CF07022itkfi,2835482,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,97,,,,"53,25",,,,"85,88",,,,"236,13",,,,,,,,36,,416,,"11,5",,"74,9",,,,1600,,,
Toisondoritkfi,2835392,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,94,,,,"9,55",,,,77,,,,"180,55",,,,,,,,55,,396,,12,,"79,6",,,,1260,,,
Toisondoritkt,2835393,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
Flamenkoitkfi,2835444,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
Flamenkoitkt,2835445,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,2",,83,,100,,,,83,,,,87,,,,270,,,,110,,"1,34",,316,,83,,382,,"12,9",,"76,9",,1688,,,,59,
Lyrikitkt,2835491,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
Lyrikitkfi,2835490,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
Musikitkt,2835409,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2008,"26,1",,138,,97,,,,66,,,,97,,,,260,,,,76,,"0,55",,312,,50,,462,,"13,3",,"74,7",,1763,,,,49,
Musikitkfi,2835408,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
Karillonitkfi,2835450,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
Karillonitkt,2835451,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2008,"17,9",,65,,94,,,,53,,,,94,,,,241,,,,102,,"1,57",,224,,80,,414,,"12,5",,78,,1468,,,,42,
Ghaytaitkt,2835465,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
Ghaytaitkfi,2835464,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
Grapeliitkt,2835415,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
Grapeliitkfi,2835414,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,97,,,,"45,75",,,,"92,5",,,,"235,25",,,,,,,,17,,395,,"11,4",,"79,8",,,,1500,,,
