observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Barokitkt,2827130,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2008,146,,"11,7",,"81,6",,"123,1",,89,,NA,
RE05039itkt,2827145,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,treated,2008,147,,"13,3",,"77,7",,"107,5",,"77,7",,"0,5",
AO07803itkt,2827150,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,treated,2008,149,,"14,1",,"80,5",,"85,4",,"61,7",,NA,
AO07127itkt,2827144,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,treated,2008,145,,13,,"80,7",,"106,4",,"76,9",,NA,
Apacheitkt,2827146,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,145,,"12,7",,"80,1",,"103,7",,75,,NA,
AO07210itkt,2827164,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2008,144,,"12,5",,"77,9",,"115,7",,"83,6",,NA,
AO07218itkt,2827163,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27758,https://doi.org/10.15454/HQFX9Y,AO07218,VIRTUAL_TRIAL,,,,,,,,treated,2008,145,,"12,7",,"79,4",,"105,6",,"76,3",,NA,
Karillonitkt,2827165,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2008,146,,"11,7",,78,,111,,"80,2",,NA,
AO07116itkt,2827167,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,treated,2008,146,,"12,4",,"79,7",,"102,8",,"74,3",,NA,
RE05005itkt,2827133,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,treated,2008,147,,"13,2",,76,,"96,7",,"69,9",,NA,
AO07302itkt,2827138,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2008,146,,12,,"78,5",,115,,"83,1",,NA,
AO08004itkt,2827171,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,VIRTUAL_TRIAL,,,,,,,,treated,2008,146,,"13,2",,"78,8",,"92,4",,"66,8",,NA,
CF05173itkt,2827161,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2008,148,,"13,2",,"80,2",,"111,3",,"80,4",,NA,
AO08001itkt,2827170,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27765,https://doi.org/10.15454/ROTVXP,AO08001,VIRTUAL_TRIAL,,,,,,,,treated,2008,146,,"12,7",,"78,6",,"107,5",,"77,7",,NA,
Sankaraitkt,2827148,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,147,,"13,4",,"80,3",,"96,4",,"69,7",,NA,
AO07403itkt,2827136,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,treated,2008,143,,"12,5",,"80,1",,"117,7",,85,,"1,5",
RE05074itkt,2827156,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,treated,2008,146,,"11,5",,"76,5",,120,,"86,7",,NA,
CF05079itkt,2827160,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2008,148,,"13,4",,"81,9",,"89,5",,"64,7",,NA,
Croustyitkt,2827154,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2008,146,,"12,3",,"79,4",,113,,"81,6",,NA,
Toisondoritkt,2827132,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,148,,"12,7",,"79,8",,"98,7",,"71,3",,NA,
CF03287itkt,2827155,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2008,149,,"14,2",,"79,7",,"84,6",,"61,2",,NA,
AO07311itkt,2827162,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27760,https://doi.org/10.15454/RMDMGI,AO07311,VIRTUAL_TRIAL,,,,,,,,treated,2008,150,,"12,3",,"82,6",,"109,5",,"79,1",,NA,
Soissonsitkt,2827166,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2008,145,,"13,1",,"80,6",,"103,8",,75,,NA,
AO07438itkt,2827157,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,treated,2008,149,,"13,6",,"79,1",,90,,65,,NA,
CF04043itkt,2827152,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2008,147,,12,,"79,5",,"112,2",,81,,NA,
DI05014itkt,2827139,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2008,151,,"12,5",,"78,8",,"104,9",,"75,8",,NA,
RE05047itkt,2827137,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,treated,2008,149,,"13,4",,"79,7",,"101,5",,"73,3",,NA,
Flamenkoitkt,2827153,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2008,147,,"12,9",,78,,"106,9",,"77,2",,NA,
Goreckiitkt,2827159,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,treated,2008,145,,"13,3",,"78,6",,"97,6",,"70,5",,NA,
RE05007itkt,2827134,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,treated,2008,147,,"12,6",,"76,1",,103,,"74,4",,NA,
Caphornitkt,2827149,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,146,,"12,9",,"78,5",,"101,6",,"73,4",,NA,
CF05161itkt,2827142,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,treated,2008,147,,"13,6",,"77,8",,"99,1",,"71,6",,NA,
