observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
2,2873139,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,NA,,"86,94",,,
2,2873175,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,NA,,"83,93",,,
1,2873174,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"9,9",,"91,16",,,
2,2873173,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"84,62",,"8,5",
1,2873172,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"83,45",,,
2,2873141,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"70,31",,"8,5",
1,2873140,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"73,94",,,
1,2873142,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,1",,"86,61",,,
2,2873143,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,NA,,"83,95",,,
2,2873091,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,8",,"67,41",,,
2,2873089,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"60,24",,9,
1,2873090,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,NA,,"69,73",,,
1,2873088,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"61,38",,,
2,2873103,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,NA,,"87,59",,,
2,2873101,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"84,97",,9,
1,2873102,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,10,,"93,41",,,
1,2873100,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"79,69",,,
2,2873047,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,3",,"95,44",,,
1,2873046,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,4",,"91,85",,,
1,2873044,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"87,24",,,
2,2873045,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"86,9",,7,
1,2873076,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"85,88",,,
2,2873079,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,11,,"85,62",,,
1,2873078,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,11,,"93,83",,,
2,2873077,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"86,74",,"7,5",
2,2873051,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"9,9",,"90,26",,,
1,2873050,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"9,4",,"91,12",,,
2,2873049,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"85,16",,9,
1,2873048,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"82,5",,,
2,2873145,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"80,04",,9,
1,2873146,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,6",,"91,53",,,
1,2873144,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"84,3",,,
2,2873147,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"11,5",,"91,48",,,
1,2873120,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"89,5",,,
1,2873122,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,3",,"94,37",,,
2,2873123,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,6",,"97,45",,,
2,2873121,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"85,14",,7,
1,2873060,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"86,9",,,
2,2873061,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"83,76",,7,
2,2873063,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,NA,,"90,91",,,
1,2873062,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,4",,"101,35",,,
2,2873097,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"81,84",,7,
2,2873099,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"11,2",,"85,11",,,
1,2873098,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,9",,"85,69",,,
1,2873096,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"86,57",,,
2,2873191,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"11,4",,"98,6",,,
1,2873188,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"84,4",,,
2,2873189,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"84,75",,7,
1,2873190,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"9,8",,"94,86",,,
1,2873130,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,4",,"88,18",,,
2,2873129,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"82,91",,9,
1,2873128,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"75,01",,,
2,2873131,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,6",,"87,93",,,
2,2873073,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"80,07",,9,
2,2873075,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,9",,"91,73",,,
1,2873074,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,10,,"90,5",,,
1,2873072,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"84,14",,,
1,2873158,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,4",,"97,23",,,
1,2873156,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"85,63",,,
2,2873159,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"11,2",,"90,93",,,
2,2873157,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"88,56",,8,
2,2873083,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,10,,"98,53",,,
2,2873081,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"87,17",,6,
1,2873082,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,9,,"101,86",,,
1,2873080,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"87,14",,,
2,2873135,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,8",,"95,46",,,
2,2873133,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"84,16",,9,
1,2873134,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"9,7",,"98,43",,,
1,2873092,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"92,56",,,
2,2873093,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"81,67",,7,
2,2873095,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"11,4",,"95,13",,,
1,2873112,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"84,09",,,
2,2873113,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"73,53",,"8,5",
2,2873115,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,8",,"85,27",,,
1,2873114,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,1",,"84,29",,,
2,2873203,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,NA,,"85,61",,,
1,2873200,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"82,08",,,
2,2873201,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"80,57",,"8,5",
1,2873202,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,4",,"89,67",,,
1,2873066,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,4",,"93,71",,,
2,2873067,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,9",,"89,85",,,
1,2873064,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"87,7",,,
2,2873065,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"85,03",,8,
2,2873057,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"79,16",,"8,5",
1,2873058,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,5",,"83,8",,,
1,2873056,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"77,56",,,
2,2873059,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"11,2",,"83,13",,,
1,2873068,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"82,94",,,
2,2873069,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"86,84",,6,
1,2873070,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,NA,,"90,72",,,
2,2873071,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"11,5",,"90,86",,,
2,2873105,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"90,96",,"7,5",
1,2873106,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,8",,"95,76",,,
2,2873107,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"11,3",,"96,07",,,
1,2873104,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"85,14",,,
1,2873168,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"77,77",,,
1,2873170,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"9,8",,"94,91",,,
2,2873169,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"71,12",,8,
2,2873171,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"9,7",,"86,53",,,
1,2873178,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"12,7",,"85,16",,,
2,2873179,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,NA,,"87,19",,,
2,2873177,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"84,02",,"6,5",
1,2873176,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"79,8",,,
2,2873155,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"11,3",,"88,37",,,
1,2873154,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"9,9",,"85,58",,,
2,2873153,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"82,48",,6,
