observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date
EM03234itkt,2809153,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,146,,"70,2",
Chargeritkt,2809148,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,75,,144,,"72,25",
RE04082itkt,2809161,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48348,gnpis_pui:holding-921_taxon-4898_accession-48348,RE04082,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,"143,5",,"75,4",
RE04124itkt,2809126,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,49453,gnpis_pui:holding-921_taxon-4898_accession-49453,RE04124,VIRTUAL_TRIAL,,,,,,,,treated,2005,"83,5",,143,,"77,7",
DI05026itkt,2809160,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48489,gnpis_pui:holding-921_taxon-4898_accession-48489,DI05026,VIRTUAL_TRIAL,,,,,,,,treated,2005,"83,5",,"141,5",,"78,2",
EM03264itkt,2809136,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,49705,gnpis_pui:holding-921_taxon-4898_accession-49705,EM03264,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,146,,"75,5",
Caphornitkt,2809146,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2005,"78,5",,141,,76,
DI05027itkt,2809159,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48705,gnpis_pui:holding-921_taxon-4898_accession-48705,DI05027,VIRTUAL_TRIAL,,,,,,,,treated,2005,"80,5",,"141,5",,"77,6",
DI05023itkt,2809162,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48851,gnpis_pui:holding-921_taxon-4898_accession-48851,DI05023,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,144,,"73,2",
RE04096itkt,2809143,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48421,gnpis_pui:holding-921_taxon-4898_accession-48421,RE04096,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,147,,"65,3",
RE04125itkt,2809125,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48485,gnpis_pui:holding-921_taxon-4898_accession-48485,RE04125,VIRTUAL_TRIAL,,,,,,,,treated,2005,"80,5",,"146,5",,"73,2",
RE04101itkt,2809131,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,26834,https://doi.org/10.15454/NMELF4,RE04101,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"140,5",,"79,7",
CF04159itkt,2809144,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48809,gnpis_pui:holding-921_taxon-4898_accession-48809,CF04159,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"142,5",,"79,8",
EM03271itkt,2809155,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48565,gnpis_pui:holding-921_taxon-4898_accession-48565,EM03271,VIRTUAL_TRIAL,,,,,,,,treated,2005,"78,5",,"145,5",,"76,2",
DI05028itkt,2809151,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48436,gnpis_pui:holding-921_taxon-4898_accession-48436,DI05028,VIRTUAL_TRIAL,,,,,,,,treated,2005,75,,146,,"73,2",
Orvantisitkt,2809152,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,"80,5",,"142,5",,"77,4",
EM03204itkt,2809134,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48628,gnpis_pui:holding-921_taxon-4898_accession-48628,EM03204,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,147,,"69,7",
RE04099itkt,2809137,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48855,gnpis_pui:holding-921_taxon-4898_accession-48855,RE04099,VIRTUAL_TRIAL,,,,,,,,treated,2005,"74,5",,"144,5",,"74,8",
