observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM00107itknt,2794387,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"112,8",,"111,8",,1,
RE01047itkt,2794420,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26097,https://doi.org/10.15454/3W80FR,RE01047,VIRTUAL_TRIAL,,,,,,,,treated,2004,"73,4",,"88,8",,"97,1",,,
CF01085itkt,2794414,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2004,"70,9",,"105,7",,"115,6",,,
RE01047itknt,2794419,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26097,https://doi.org/10.15454/3W80FR,RE01047,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"91,3",,"90,5",,2,
CF01085itknt,2794413,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"115,4",,"114,5",,2,
Skerzzoitknt,2794435,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"109,9",,109,,1,
EM00074itknt,2794427,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"106,2",,"105,3",,"3,5",
Orvantisitkt,2794432,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2004,"76,4",,"107,3",,"117,4",,,
Skerzzoitkt,2794436,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"78,6",,"101,6",,"111,2",,,
RE02080itkt,2794386,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26100,https://doi.org/10.15454/AM3GAN,RE02080,VIRTUAL_TRIAL,,,,,,,,treated,2004,"73,2",,"109,1",,"119,3",,,
Oratorioitknt,2794425,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"100,7",,"99,9",,1,
RE02080itknt,2794385,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26100,https://doi.org/10.15454/AM3GAN,RE02080,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"115,2",,"114,2",,1,
Chargeritkt,2794416,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2004,"73,6",,"97,6",,"106,7",,,
Chargeritknt,2794415,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"102,7",,"101,8",,1,
EM00074itkt,2794428,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2004,"76,2",,"103,4",,"113,1",,,
EM99017itknt,2794445,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"92,9",,"92,1",,9,
CF00193itkt,2794438,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,8",,"93,4",,"102,1",,,
CF00193itknt,2794437,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"95,2",,"94,4",,1,
EM00107itkt,2794388,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2004,"76,2",,"110,3",,"120,6",,,
RE01015itkt,2794380,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,4",,"103,8",,"113,5",,,
EM99017itkt,2794446,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2004,"76,4",,"101,6",,"111,2",,,
DI02008itknt,2794417,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"101,6",,"100,8",,1,
Croustyitkt,2794424,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2004,"70,2",,"94,6",,"103,5",,,
RE01015itknt,2794379,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"107,2",,"106,3",,1,
Croustyitknt,2794423,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"95,4",,"94,6",,"2,5",
Orvantisitknt,2794431,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,104,,"103,2",,3,
Farandoleitkt,2794412,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2004,75,,"107,9",,118,,,
Stru991490.1itknt,2794393,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,49470,gnpis_pui:holding-921_taxon-4898_accession-49470,Stru991490.1,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"103,1",,"102,2",,1,
DI02001itkt,2794382,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2004,"79,1",,"104,9",,"114,8",,,
DI02001itknt,2794381,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"120,4",,"119,4",,1,
Stru991490.1itkt,2794394,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,49470,gnpis_pui:holding-921_taxon-4898_accession-49470,Stru991490.1,VIRTUAL_TRIAL,,,,,,,,treated,2004,"77,6",,"101,9",,"111,4",,,
Stru991495.3itknt,2794443,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,48723,gnpis_pui:holding-921_taxon-4898_accession-48723,Stru991495.3,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"102,6",,"101,7",,"2,5",
DI02006itknt,2794383,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"102,7",,"101,9",,1,
DI02006itkt,2794384,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2004,"73,8",,"100,9",,"110,4",,,
Tamaroitkt,2794400,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2004,73,,"73,6",,"80,5",,,
RE02101itknt,2794389,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"101,8",,"100,9",,1,
Tamaroitknt,2794399,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"79,5",,"78,8",,1,
Stru991495.3itkt,2794444,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,48723,gnpis_pui:holding-921_taxon-4898_accession-48723,Stru991495.3,VIRTUAL_TRIAL,,,,,,,,treated,2004,77,,"101,5",,111,,,
Caphornitknt,2794409,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"102,7",,"101,8",,1,
DI01022itkt,2794402,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2004,"77,4",,"107,5",,"117,6",,,
DI01022itknt,2794401,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"112,6",,"111,7",,"3,5",
RE02101itkt,2794390,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,treated,2004,"76,6",,"95,3",,"104,2",,,
Soissonsitkt,2794442,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2004,"77,9",,"97,6",,"106,8",,,
Farandoleitknt,2794411,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"111,3",,"110,4",,3,
EM00264itknt,2794429,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"104,7",,"103,8",,1,
Caphornitkt,2794410,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"77,7",,"99,5",,"108,8",,,
EM00264itkt,2794430,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2004,"71,1",,"98,6",,"107,9",,,
EM99006itknt,2794403,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"99,5",,"98,7",,1,
RE02162itknt,2794439,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26101,https://doi.org/10.15454/FFIEB9,RE02162,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"96,9",,"96,1",,1,
Soissonsitknt,2794441,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"96,7",,"95,9",,1,
EM01023itknt,2794421,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,97,,"96,2",,1,
Apacheitkt,2794398,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,"77,8",,"100,8",,"110,2",,,
EM01023itkt,2794422,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,treated,2004,"78,1",,"95,9",,"104,9",,,
EM99006itkt,2794404,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2004,"78,7",,"96,8",,"105,8",,,
Apacheitknt,2794397,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"92,2",,"91,4",,1,
Isengrainitknt,2794433,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"102,5",,"101,6",,1,
Rytmicitkt,2794406,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,2",,"103,9",,"113,7",,,
EM01214itkt,2794408,BTH_Orgeval_2004_SetA1,BTH_Orgeval_2004_SetA1,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,treated,2004,"76,4",,98,,"107,2",,,
